# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	argF//alsE//
Fur-Fe2	gltB//gabD//hcaC//cyoE//aceB//paaK//rsmH//nemA//accC//fadJ//metB//adhE//rffG//gabT//putA//fbaB//waaY//sdhC//glgP//hypB//feaB//umuC//nagA//mngB//paaG//cysJ//cdd//glxK//nadA//kbaZ//paaG//yeaG//garL//aceF//argF//cysH//murI//speB//ulaD//mngB//oxc//dhaK//malP//nrdE//prpB//atoD//ilvA//luxS//puuE//xylA//purH//uidA//aspC//rtcB//glgC//ynfE//pnp//pncB//glpQ//ycjG//gcvT//argI//
GadE	pgaB//asnB//bioD//paaZ//malZ//fbaB//ubiA//glxK//moaE//uxaC//
GadE-RcsB	fadE//lacA//fabZ//phr//narH//
GadW	bioC//polB//katE//lyxK//
GadX	pspE//dadX//srlD//dgcN//mhpD//glgC//deoB//rhaD//tehB//aceA//glgA//paaF//pnp//deoC//
GalR	napG//nrfD//pgm//glpB//ynfH//glpX//
GalR-beta-D-galactose	torC//lpxA//murD//gatD//malZ//
GalS	citC//ydcS//fabZ//fbaB//wecE//pagP//
GalS-beta-D-galactose	murF//astC//fabD//ruvB//citC//
GatR	accA//lacA//wecC//
GcvA	phnG//prpB//pfkA//
GlcC-glycolate	fabI//hcaF//paaB//
GlpR	hemH//lysC//bioC//aroG//puuB//tnaA//entD//
GlrR-Pasp56	
GntR	metA//paaK//rbsD//pspE//dhaL//cysN//pyrC//betA//metK//
GutM	cyoE//fabD//moeA//
HU	rbsK//frdD//sodB//aldA//nrfD//uxaC//nrdE//
HcaR	
HcaR-HCA	gcvH//fdhF//
HdfR	
HigA	aceE//
HigB-HigA	ulaG//
HipAB	fau//gpmA//
HipB	fes//atoD//prpE//
HprR-Phosphorylated	kbaZ//cysJ//paaZ//glnA//
HyfR	glpC//
HypT-Met-oxidized	phoA//sdhB//cysD//fumC//dgcC//pgaD//nrdD//
IclR-pyruvate	dsdA//paaJ//talA//
IdnR-5-ketogluconate	asnA//eno//tdh//dmsA//tdh//
IlvY	
IlvY-S-2-acetolactate	purE//
IscR	glsA//murQ//paaK//trpB//metL//paaY//
IscR-2Fe-2S	hycF//mhpC//
KdgR	ogt//hcaB//
KdpE-Phosphorylated	ruvB//
LacI	patD//metF//murG//
LeuO	fucA//murF//ascB//edd//purM//betA//
LexA	mhpB//citE//astA//ahpF//purD//glgP//tdcE//aceB//tpiA//sucA//hcp//ilvI//paaG//nanA//speA//accC//moeA//glpA//recF//pheS//sucA//idnO//mltF//
LldR	feaB//rbsD//
LldR-S-lactate	hemH//nanA//
LrhA	
Lrp	fucU//pnp//pheT//astC//narH//tpiA//dinB//asnB//rbsK//araB//hycD//icd//mnmG//fadJ//nagB//umpH//atoB//citX//lysC//aspA//ddlB//glcF//talA//trpB//purB//serA//gabT//dhaM//oxc//prs//ndh//
Lrp-leucine	recB//astD//lpxD//glgP//ygeA//murD//lacA//gudD//dgcZ//argE//ugpQ//araA//pdeR//pflB//aceE//paaG//ampC//
LsrR	pflB//allC//paaE//treC//rutD//
LysR	dgcZ//
MalI	purM//dgcZ//
MalT-maltotriose-ATP	putA//nrdD//cueO//sdhA//atoA//prpD//
MarA	xylA//galK//hycF//napB//pykF//pyrC//guaA//ppc//serC//cysI//rsmH//uidA//gadA//gltD//caiD//fabH//glcF//nrdE//hcaD//ruvA//katG//malQ//guaB//hycC//
MarR	
MatA	allA//
MazE	ilvA//
MazE-MazF	tehB//
McbR	
MelR	hycG//gabD//
MelR-melibiose	purD//tdcE//
MetJ-adenosylmethionine	mpl//mpaA//alkA//recD//dmsB//atoA//glgP//gudD//uxuB//uxaA//
MetR	citX//ubiA//
MetR-L-homocysteine	icd//sdaA//
MhpR-3HPP	folA//ycjG//allB//cysN//glmS//argG//
Mlc	paaF//phoA//purA//melA//
MlrA	pck//
MngR	moeA//dkgB//
MntR-Mn2+	phr//sgbU//
ModE-MoO42-	tdcB//allE//hycG//dmsC//mltF//deoB//fadH//aspC//ybjG//edd//uxaB//wecB//sdaA//fadH//paaG//sbcD//lacA//
MprA	sgbU//grxA//purD//
MqsA	glpA//arsC//
MraZ	puuC//pyrC//nrdB//rutB//ldtC//argC//fadJ//poxB//astB//hycG//
MurR	garL//entE//torC//
Nac	nrdB//avtA//yedX//ynfF//argG//cysH//sdhC//fdhF//pnp//pdeR//glk//
NadR	uxaA//paaG//phoA//ccp//
NagC	ilvI//metF//glsA//polB//ccp//rsmH//idnD//ydcS//lhgO//pepD//fucA//mazG//hemL//narG//paaZ//gabD//argE//uidA//rhaB//
NanR	malZ//ubiA//hycE//argC//nanE//phnM//
NarL-Phosphorylated	rffG//pagP//sgbE//fucA//recB//sbcC//ulaG//rfe//rbsD//torA//aceB//argI//tyrB//waaH//mhpF//mazG//deoA//fucK//argC//aroG//nrdA//phnG//pck//paaG//moeA//xylB//mngB//ldtC//accD//cysE//ilvH//xylB//trpB//idnO//metL//gatZ//hyaC//rpiB//cyoE//hcaE//rffG//
NarP-Phosphorylated	argE//pnp//dinB//idnO//dacC//fabA//asnB//mhpB//gltB//prs//purF//idnD//tam//feaB//ilvE//
NemR	fdhF//aspA//
NhaR-Na+	fucA//bioA//tynA//sdhD//edd//
NikR-Ni2+	nemA//
NimR	uidA//
NorR	kbl//
NrdR-Zn2+	murF//malP//hycF//putA//
NsrR	entD//polA//phnJ//gnd//ddlB//paaB//rhaA//dgcZ//pgaD//ugpQ//adhE//epd//purD//trpD//phnG//murQ//lpxC//uxuB//garK//gor//purL//fadD//rpiB//lpxA//murG//fau//uvrC//araD//rnpB//moeB//epd//ssuE//pgaB//slt//ydcS//gcvH//rimK//trpC//malP//frdB//
NtrC-Phosphorylated	fabG//ubiC//lsrG//rhaD//trpD//rbsK//nrdF//pheT//glgC//ogt//prpC//narH//lpxA//aceF//paaE//frdD//ynfG//nrdE//gcvT//ahpC//gadA//
OmpR-Phosphorylated	caiD//murG//gcvH//hemL//sdhB//malP//galK//ubiC//
OxyR	dapD//hyaB//sucC//pgk//asnA//uxaC//fabG//gltD//accC//amn//fabI//gntK//garR//purN//metA//gadA//allB//
PaaX	aceE//ampC//gloA//fumC//dhaM//rnpB//dsdA//gabT//hypB//
PdeL	trpD//
PdhR	gltB//ilvC//pgaB//purE//puuB//ugpQ//paaA//sucD//aroL//fadJ//aroH//sucA//purC//napA//argF//wzc//gor//lpd//sgbU//gcvH//ulaG//fadM//hemH//caiA//ynfH//
PepA	paaZ//leuB//
PgrR	ldtC//dapB//
PhoB-Phosphorylated	glpD//narH//glgC//carB//ascB//deoD//melA//sodA//ilvC//galM//alkB//xylB//ugpQ//malZ//lsrK//ulaD//guaA//gnd//trpE//dgcC//
PhoP-Phosphorylated	garL//alaA//fadH//ychF//idnD//argG//wecE//metF//sdhC//purN//fadE//murD//paaK//gloA//polB//puuC//gcvT//patD//leuB//garK//caiA//dmsA//ygeA//argH//dgcN//bacA//gdhA//argC//uidA//uxuB//trpA//entD//
PrpR-2S3S-2-methylcitrate	cysN//mhpC//glpD//folE//
PspF	dinB//
PurR-hypoxanthine	fruK//garL//tauD//napB//tdcE//moaA//nanE//pgaD//araB//dgkA//ldtD//lpxC//wecB//alaA//metH//cysG//lsrK//paaB//gpmM//dkgB//trpA//rtcB//citX//malZ//pgk//purB//
PutA	gpmA//allB//
PuuR	nrdF//nrdB//paaA//glk//nrfD//acnB//
QseB-Phosphorylated	
RbsR	gltB//ndh//mazG//ung//luxS//
RcdA	bglB//
RclR	
RcnR	tehB//
RcsAB	glyA//mdh//araA//
RcsB-BglJ	hemH//eno//
RcsB-Pasp56	cynT//gapA//yfdE//ruvA//
RelB	rpiB//
RelB-RelE	fau//
RhaR-alpha-L-rhamnopyranose	
RhaS	nrfD//
RhaS-alpha-L-rhamnopyranose	pnp//gatD//gatD//pgk//
Rob	fucA//cysG//ulaD//uidA//murG//srkA//astD//oxc//lsrK//aldA//pfkA//prpC//fabA//hycG//gabD//alkB//hcaF//cysJ//pdeL//
RstA-Phosphorylated	gcl//puuD//cdd//
RtcR	dmsB//aldA//
RutR	uvrA//eda//argG//pheS//nadB//lpd//pdeL//aspC//caiA//murG//ttdA//
SdiA	
SgrR	sbcD//ruvA//ilvM//
SlyA	glpK//edd//pgpC//rimK//nanE//hcaC//malY//nadB//yqhD//
SoxR	lpd//dmsB//araA//pykF//sdhB//metA//
SoxS	glpQ//tdcD//prs//bioF//cysJ//nemA//bioD//ulaE//pgk//lacZ//fadM//paaH//ynfH//appA//nagB//astE//accD//fbaA//alaS//rutA//trpC//mhpA//cysK//glk//paaF//ogt//sdhA//paaH//
SrlR	pgm//hycE//pck//
StpA	mhpD//yeaG//glgA//
SutR	allB//nemA//
TdcA	kbl//gltD//nirB//xylA//relA//
TdcR	ahpF//glsA//dgcZ//fabZ//cysK//
TorR-Phosphorylated	pspE//phr//ilvI//deoB//
TorR-TorI	kbaZ//
TreR	uxaB//ynfE//
TrpR-tryptophan	hypF//galT//fucK//gabD//caiC//pepD//paaH//napB//galK//
TyrR	fadD//
TyrR-phenylalanine	narG//fumC//
TyrR-tyrosine	alkB//paaA//fucI//nrfC//gcvH//lpxA//paaI//pdeL//
UhpA-Phosphorylated	phoA//
UidR	phnN//folE//
UlaR	ttdA//rhaB//deoD//lacA//ulaF//
UvrY-Phosphorylated	rbsD//psd//
UxuR	recD//waaZ//dhaK//rffC//astD//
XapR-xanthosine	luxS//leuC//
XylR-xylose	ftsI//tdcB//fabB//
YdeO	ahpF//luxS//ubiA//
YefM	patA//
YefM-YoeB	metE//
YeiL	
YhaJ	
YiaJ	lpxC//idnK//aroL//wzb//gltB//caiB//
YjjQ	wecB//aldA//
YpdB-Phosphorylated	
YqhC	tnaA//garL//
YqjI	ulaE//
ZntR-Zn2	aspA//
ZntR-Zn2+	sodA//
ZraR-Phosphorylated	
Zur-Zn2	mngB//
Zur-Zn2+	nrdA//
