# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	sbcC//pncB//
Fur-Fe2	hycF//argA//slt//napG//narH//ndh//nagB//purL//epd//edd//fadD//bglB//gcvT//lsrG//fabA//trpB//glxK//argE//metC//sucC//idnD//nirB//narI//lpxC//purF//pdeR//tehB//sucB//feaB//gatZ//aroF//fadJ//polA//sucC//phnO//xylA//hcaB//kbaY//eno//bioB//mpl//tauD//glcE//pspE//katG//cysH//nanA//hycG//araB//tadA//ulaG//yiaK//cysE//alaC//gapA//udp//purH//metH//fucO//gltB//dsdA//hemH//
GadE	glpB//pdeR//waaH//ribA//araA//amn//metH//fabI//torC//tdh//
GadE-RcsB	hcaC//alkA//nanM//leuA//zwf//
GadW	waaZ//sucA//dacC//cysH//
GadX	nrdA//argA//aroA//aroF//pepD//wecC//ulaE//treC//cysG//talA//fumC//ilvE//dhaM//dgkA//
GalR	phnM//sdhC//aceE//entC//glyA//rfe//
GalR-beta-D-galactose	argD//argF//allA//nagA//ndh//
GalS	ilvH//uvrA//ddlB//gloA//lysU//glpK//
GalS-beta-D-galactose	rhaA//bioB//galE//ilvA//pgaB//
GatR	gatZ//nirD//bioC//
GcvA	nagB//fes//tynA//
GlcC-glycolate	sgbH//cysN//tdcD//
GlpR	pspE//napA//citG//oxc//sucB//dhaK//entF//
GlrR-Pasp56	
GntR	trpB//aldA//purN//puuB//metK//uxaC//rhaB//dsdA//paaE//
GutM	folE//aroF//murD//
HU	ilvC//astD//srkA//ugpQ//dsdA//pfkA//malP//
HcaR	
HcaR-HCA	fucO//wrbA//
HdfR	
HigA	mazG//
HigB-HigA	cysC//
HipAB	argB//asnB//
HipB	paaG//mhpD//murE//
HprR-Phosphorylated	betB//fes//ttdA//galT//
HyfR	dmsB//
HypT-Met-oxidized	nirD//phnO//kbl//ftnA//mhpC//murG//dkgB//
IclR-pyruvate	sucA//cysJ//putA//
IdnR-5-ketogluconate	umuD//codA//cadA//glxR//moeA//
IlvY	
IlvY-S-2-acetolactate	argI//
IscR	pgm//atoD//recD//atoB//relA//ilvD//
IscR-2Fe-2S	mhpD//fes//
KdgR	purH//speA//
KdpE-Phosphorylated	murC//
LacI	ttdA//rbsD//wzb//
LeuO	paaC//astC//rbsD//paaC//glcE//moeB//
LexA	umuD//dgcC//arsC//metC//hcp//purA//serC//nrdF//moeB//narI//gatZ//paaG//lacA//ycjG//moaD//ribA//tdh//uxaA//fucO//gltD//entE//purM//glcD//
LldR	murC//cysJ//
LldR-S-lactate	dacC//ydcS//
LrhA	
Lrp	hcaC//gcvT//hycC//alaA//tpiA//icd//hyi//gcl//uxuA//phnG//pdeH//gdhA//ahpC//idnD//bioD//ilvI//entB//metL//malQ//pgk//malS//tauD//metL//glcE//ycjG//galM//dhaM//deoA//ssuD//aldA//rutC//
Lrp-leucine	thrS//ulaD//phnP//purC//glsA//folA//nadA//trpA//cysG//glcE//rpiB//cysE//fadD//ynfF//ynfH//cysG//glpA//
LsrR	rutB//glyA//hycD//gltB//lpd//
LysR	metC//
MalI	fabG//paaY//
MalT-maltotriose-ATP	galE//araD//umpH//dhaM//purC//metK//
MarA	ldtD//aspC//speA//gpmM//rnpB//malZ//cysD//lpxA//nirB//cadA//fucK//gcvT//nfsA//gloA//eda//ttdA//folE//murQ//malP//atoB//araD//entA//paaY//argH//
MarR	
MatA	gutQ//
MazE	yqjH//
MazE-MazF	malQ//
McbR	
MelR	glpB//hycF//
MelR-melibiose	hcp//speB//
MetJ-adenosylmethionine	rffC//phoA//cysK//umuC//aroH//fabA//glmU//alaS//rffC//pdeR//
MetR	cueO//gcvH//
MetR-L-homocysteine	nanM//yiaK//
MhpR-3HPP	ubiC//moaC//phnJ//carB//hyi//puuC//
Mlc	alsE//ubiC//torA//carA//
MlrA	dgcZ//
MngR	lacZ//ynfH//
MntR-Mn2+	prpD//glcD//
ModE-MoO42-	pepD//wzb//moaC//aroG//ldtC//dmsC//speA//nanA//paaJ//paaY//moaE//polB//cysJ//glmU//deoD//melA//ynfE//
MprA	nanA//cynS//yeaE//
MqsA	ttdB//pykF//
MraZ	speB//lsrK//rhaA//cysN//murG//mraY//trpB//thrS//phnN//fabH//
MurR	frdD//tehB//puuC//
Nac	araD//aceB//paaY//citF//galE//cysK//puuE//leuC//uvrB//paaJ//pfkA//
NadR	eda//oxc//ahpC//pgpC//
NagC	purD//purH//entF//wrbA//dgcZ//paaE//thrS//mtlD//frdC//citD//wecB//ubiA//lldD//dgkA//citF//fabD//rhaB//dgcC//sbcC//
NanR	wecC//umuD//accD//ogt//glyA//paaF//
NarL-Phosphorylated	ilvC//sufS//glpB//ldtD//hcaD//tam//wzc//malY//hycD//argB//malS//ilvG_1//glpB//moeA//glpK//ruvA//cysC//rtcB//fadM//paaK//uvrC//arsC//patD//paaB//fadB//cysG//aspC//glpB//ilvC//eno//mnmG//patA//uxaC//ynfH//trpB//ulaE//mhpA//lsrF//gltD//acnA//carA//
NarP-Phosphorylated	fdhF//tnaA//hcaE//glk//cynT//caiD//kbaZ//hycE//purM//hycE//purC//patA//sodB//hypF//dapB//
NemR	sdhA//leuA//
NhaR-Na+	deoA//phnO//glxR//xylB//ychF//
NikR-Ni2+	caiC//
NimR	frdC//
NorR	torA//
NrdR-Zn2+	murQ//nrfA//glxR//garR//
NsrR	trpB//hycE//paaE//asnB//hycD//hmp//pgk//dhaM//pgi//ccp//hycE//purK//tpiA//luxS//lacZ//pncB//hyaC//hycE//ynfE//paaI//uxaB//nanK//argG//udp//pfkA//lldD//glgB//nemA//nfsA//eda//paaJ//wecC//frdD//pgk//tdcE//metH//pagP//bioA//citX//trpD//
NtrC-Phosphorylated	purD//alkA//ilvA//rtcA//ilvM//oxc//ulaE//napG//wecC//rutA//dadX//leuD//nfsA//nrdF//frdD//araB//frdB//dmsA//cyoE//gatY//purH//
OmpR-Phosphorylated	napG//nirD//nrdD//glpC//dmsB//dadX//ynfH//adiA//
OxyR	caiA//fabG//alkA//glpK//glpC//hyaA//sufS//acnA//argD//lysC//garD//sodA//ppc//dgcZ//uvrA//xapA//mltF//
PaaX	allD//nrdB//ogt//cysE//dhaM//gatY//rsmH//cdd//nrfA//
PdeL	purD//
PdhR	murG//phr//tadA//metB//yfdE//wecB//phnN//sgbU//folA//astB//paaB//galM//dhaL//murD//dhaL//glpQ//uxuA//ilvE//gatD//ilvI//gutQ//betB//poxB//argG//eno//
PepA	dmsB//gdhA//
PgrR	mngB//ribA//
PhoB-Phosphorylated	uvrB//ilvE//mhpA//hypF//metC//gabD//lpxD//eno//cadA//fadM//cysH//mpl//pgm//tpiA//glxR//carB//cysC//purF//aroL//ndh//
PhoP-Phosphorylated	galM//murF//glsA//gadB//sodA//paaH//entH//fabH//gltD//gcvP//pgaD//ssuE//ssuE//argC//murG//hycD//fucK//tpiA//purF//lhgO//ccp//nanM//hycC//malY//argH//fadM//guaB//purC//kbaY//dgcC//yfdE//paaF//
PrpR-2S3S-2-methylcitrate	deoC//gcl//sgbH//fadA//
PspF	rutB//
PurR-hypoxanthine	argE//mnmG//napB//hemL//rtcA//ldtD//mpl//nirD//ubiA//gatY//rffT//citF//torA//mpaA//pfkA//entF//ftnA//puuB//rpiB//trpD//rutA//umuD//ilvM//moeB//lysC//kbl//
PutA	eda//tynA//
PuuR	glpX//luxS//trpA//ilvA//ybjG//leuC//
QseB-Phosphorylated	
RbsR	glgP//serC//ulaE//metA//ulaF//
RcdA	ahpF//
RclR	
RcnR	yqjH//
RcsAB	napB//speB//tnaA//
RcsB-BglJ	entC//pgaC//
RcsB-Pasp56	sgbE//gatD//ynfE//rbsD//
RelB	chbF//
RelB-RelE	ttdA//
RhaR-alpha-L-rhamnopyranose	
RhaS	nrdB//
RhaS-alpha-L-rhamnopyranose	glcB//ilvA//sdaA//nagB//
Rob	kbaY//purE//dgcN//murG//cysM//fucO//gntK//dapB//tdcE//glpA//chbG//glcB//accA//dapD//guaB//nemA//narH//yeaE//ldtC//
RstA-Phosphorylated	rffC//entC//gabT//
RtcR	paaI//frdD//
RutR	tehB//deoD//paaE//napG//cyoE//lpd//accA//lpd//ulaD//prpD//trpC//
SdiA	
SgrR	ycjG//ahpF//lhgO//
SlyA	pgaC//alaC//moaA//aroF//tam//xylB//ogt//accD//metC//
SoxR	ftsI//oxc//metE//gutQ//ycjG//nrfA//
SoxS	gabT//puuD//pykF//ung//metA//hyi//frdD//lsrK//chbF//recF//tdcB//araB//puuA//alaC//ccp//entB//glcF//luxS//rhaD//patD//cysE//dgcZ//glpC//fucO//ahpF//bglB//fabH//argB//
SrlR	yqhD//lacZ//frdD//
StpA	citG//rutC//trpE//
SutR	lysC//purF//
TdcA	glmU//aroG//malZ//gntK//carB//
TdcR	idnK//argG//ychF//fbaA//paaJ//
TorR-Phosphorylated	sdhD//tktB//mhpF//serC//
TorR-TorI	fumB//
TreR	ssuD//katG//
TrpR-tryptophan	fabH//garR//zwf//pfkA//frdA//grxA//deoB//napH//dgcC//
TyrR	acnA//
TyrR-phenylalanine	adiA//dhaL//
TyrR-tyrosine	phnO//lsrK//ulaF//pgpC//rutE//ttdA//frdB//pflB//
UhpA-Phosphorylated	pncB//
UidR	fruK//dsdA//
UlaR	glgP//tdcE//gabD//dgcZ//glcE//
UvrY-Phosphorylated	nanK//melA//
UxuR	ribA//cdd//phnH//citD//entD//
XapR-xanthosine	lpxD//dhaL//
XylR-xylose	rhaA//dsdA//bioD//
YdeO	yiaK//galK//polB//
YefM	mngB//
YefM-YoeB	fadD//
YeiL	
YhaJ	
YiaJ	tam//sodB//ycjG//hcaB//leuC//fadH//
YjjQ	galT//alaS//
YpdB-Phosphorylated	
YqhC	gatZ//hycD//
YqjI	ycjG//
ZntR-Zn2	ynfE//
ZntR-Zn2+	ssuE//
ZraR-Phosphorylated	
Zur-Zn2	glcE//
Zur-Zn2+	uvrC//
