# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	leuA//sdhD//
GalS-beta-D-galactose	aroF//slt//murQ//icd//ogt//
GatR	aceE//hypB//paaE//
GcvA	dsdA//sdhC//mngB//
GlcC-glycolate	rutA//prpE//mpaA//
GlpR	folA//metL//rutD//serA//cysI//glcB//katG//
GlrR-Pasp56	
GntR	glsA//lpxD//cysM//adiA//fadE//ssuD//edd//sdhD//nrdB//
GutM	pgaC//dhaL//adhE//
HU	glpD//nfsB//slt//gabT//nrfC//lsrG//nrdD//
HcaR	
HcaR-HCA	purH//recB//
HdfR	
HigA	accD//
HigB-HigA	sodB//
HipAB	phnP//cdd//
HipB	malZ//hyaA//malP//
HprR-Phosphorylated	uxuA//cysM//glyA//atoA//
HyfR	sodA//
HypT-Met-oxidized	ychF//accC//leuA//nadB//fadJ//paaZ//dapD//
IclR-pyruvate	fabD//mpaA//chbG//
IdnR-5-ketogluconate	gcvT//frdD//rnpB//mhpE//citC//
IlvY	
IlvY-S-2-acetolactate	glk//
IscR	fadH//gcl//bioA//cysH//fucU//phr//
IscR-2Fe-2S	paaB//uxaC//
KdgR	glmU//yeaG//
KdpE-Phosphorylated	metK//
LacI	napG//feaB//galK//
LeuO	nrdE//alaC//lysA//metL//tdcD//entA//
LexA	rffH//aroL//garD//nadA//tnaA//hycF//ampC//lyxK//murI//sucD//tdh//lysU//pagP//cysH//paaE//serA//thrS//cysH//accA//yiaK//yeaE//tnaA//rimK//
LldR	phnP//rhaD//
LldR-S-lactate	avtA//astB//
LrhA	
Lrp	glk//garK//ygeA//entD//fadM//srlD//mdh//murE//glgB//umpH//purE//gadB//fbaB//carB//slt//nrdF//lpxC//puuD//gnd//gltD//rsmH//lsrG//paaK//tktB//uvrC//ssuE//dkgB//pheT//astD//allC//metB//
Lrp-leucine	waaY//glpC//malQ//lysU//fucK//allD//recB//glgA//napA//ulaG//tynA//gdhA//leuA//serA//aceF//kbaZ//citE//
LsrR	tadA//deoA//uxaC//lpxC//nfsB//
LysR	moeA//
MalI	murI//uvrA//
MalT-maltotriose-ATP	cysJ//argB//hcaE//garR//nrfC//tyrA//
MarA	hycC//paaG//glyA//mtlD//aroL//fucO//hcp//kbl//gadB//glpQ//tyrB//pgaD//cysH//lsrF//hemL//glgX//icd//mhpF//dinB//entC//putA//citD//hypF//carB//
MarR	
MatA	prpD//
MazE	gcvH//
MazE-MazF	frdB//
McbR	
MelR	mazG//folA//
MelR-melibiose	fes//hypF//
MetJ-adenosylmethionine	lpxC//tehB//astC//purF//tadA//dapB//phnI//garK//napB//atoB//
MetR	serA//araA//
MetR-L-homocysteine	frdB//ilvC//
MhpR-3HPP	sdhD//pgi//wecC//cyoE//ttdA//rnpB//
Mlc	phnH//recF//gpmA//ahpF//
MlrA	entC//
MngR	garK//murD//
MntR-Mn2+	ychF//entB//
ModE-MoO42-	deoB//metB//adiA//fabH//tyrB//glpD//fucI//paaC//pepD//waaH//gutQ//pgpC//nirB//waaH//ugpQ//leuD//fucO//
MprA	ppsA//phr//galT//
MqsA	gpmA//pdeH//
MraZ	purN//torA//glnA//glpA//ilvA//malQ//phnM//hyaA//prpD//speG//
MurR	lpd//metK//aldA//
Nac	pgaB//nrdA//betA//srlD//uidA//lldD//paaA//lyxK//kbl//entH//argD//
NadR	gor//mraY//ndh//speA//
NagC	bioA//dgkA//ssuD//galT//rutA//gor//astD//psd//ubiC//glcF//lacA//grxA//waaY//glmS//hycC//entF//trpA//amn//hypB//
NanR	rbsD//glpB//mhpE//pgpC//narI//paaE//
NarL-Phosphorylated	galT//allE//yqhD//caiC//dkgA//nfsA//purD//patD//cysJ//entD//pfkA//patD//avtA//paaE//cysJ//pgm//patD//prs//napB//tdh//moeB//glpD//metB//sucD//feaB//pgm//pheS//gadA//galK//ndh//gudD//edd//hcaC//mraY//uxaA//speG//patA//pheS//metF//fucO//phr//
NarP-Phosphorylated	aroF//murI//nrdE//ascB//yedX//cysN//mdh//ilvM//treC//hypB//hemH//purA//napA//mhpC//wecE//
NemR	rutE//ldtD//
NhaR-Na+	fucU//umuC//adhE//purE//dinB//
NikR-Ni2+	moaA//
NimR	ulaE//
NorR	appA//
NrdR-Zn2+	citX//galT//ppsA//glmS//
NsrR	deoC//uvrB//nanM//purC//aspC//gatD//argB//gabT//glxR//prpD//sdhB//allE//pncB//ulaG//purK//pgpC//nrdE//ilvH//frdB//rhaD//waaZ//paaG//purD//fadM//fumC//eda//fabA//cdd//araD//pagP//hycE//ttdB//pfkA//gatY//fumC//carB//fucA//codA//sdhA//trpD//
NtrC-Phosphorylated	sdhC//tdcD//rutE//dhaK//hyaC//caiA//kbaZ//ssuD//nrfA//paaG//sufS//dadX//gor//srlD//cysN//glcD//eno//citE//purK//srlD//nrdA//
OmpR-Phosphorylated	araA//garR//betB//bioD//alsE//deoD//napG//narI//
OxyR	aroH//feaB//zwf//ddlB//serC//citD//glpD//ldtC//ppsA//ynfG//xylA//glxR//hemL//alaA//rnpB//argC//gabD//
PaaX	ulaE//glgX//purD//gapA//purA//murG//purF//nadA//dadX//
PdeL	cysJ//
PdhR	adhE//dmsC//ndh//slt//murE//rffM//gadB//ulaF//ldtD//pagP//phnJ//hycC//dgkA//cysI//fadI//serA//alaS//phoA//cysD//appA//nirD//frdA//lysU//paaJ//hypF//
PepA	galT//cysE//
PgrR	lsrK//nagB//
PhoB-Phosphorylated	leuC//sufS//glmS//nirD//rnpB//dhaM//ahpC//gabT//fadJ//pflB//poxB//mhpC//psd//xylA//kbaZ//betB//lsrK//gapA//phr//paaI//
PhoP-Phosphorylated	nagA//rsmH//katG//hcaB//tdcD//rutE//hycE//polA//arsC//glk//acnB//hycG//paaG//pgpC//sgbE//lsrF//metH//fadM//hypF//paaB//ubiX//dsdA//ssuE//trpE//murC//sgbU//tdh//accD//glcF//serA//prpD//aroF//
PrpR-2S3S-2-methylcitrate	idnO//katG//dgcC//mazG//
PspF	uvrA//
PurR-hypoxanthine	waaY//ruvA//idnK//prpB//gntK//tauD//uxaB//nrfD//ulaG//metA//uvrA//wrbA//uxaB//purF//gadA//prpD//umpH//sgbH//cynS//puuD//tehB//pspE//folE//napB//guaB//sgbE//
PutA	fadH//accD//
PuuR	glpA//gadA//glpA//glpK//dgkA//ynfH//
QseB-Phosphorylated	
RbsR	allC//wecC//ilvM//mhpD//tdh//
RcdA	gadB//
RclR	
RcnR	icd//
RcsAB	puuD//hycF//pheS//
RcsB-BglJ	pyrD//dmsC//
RcsB-Pasp56	rutD//cysG//mhpE//speB//
RelB	mhpB//
RelB-RelE	aroF//
RhaR-alpha-L-rhamnopyranose	
RhaS	pspE//
RhaS-alpha-L-rhamnopyranose	nirD//moeA//sdhC//ssuD//
Rob	purA//hemH//mpl//trpB//mhpC//ilvG_1//citE//bioA//sdhD//torC//prpE//gutQ//hyaA//bacA//caiC//bacA//purE//ahpC//fadE//
RstA-Phosphorylated	sdhD//rutD//purL//
RtcR	guaA//waaZ//
RutR	relA//murF//arsC//hcaE//cysC//entF//gltD//aroL//fabH//lsrG//cysK//
SdiA	
SgrR	ruvA//dapD//treC//
SlyA	ulaE//phr//dkgB//rffC//ilvE//galK//glpC//leuC//hcp//
SoxR	cysJ//frdD//glgA//asnA//arsC//rtcA//
SoxS	dmsC//aceE//dkgB//fucU//ada//allC//leuB//uvrC//phnH//aroF//frdA//wecE//murF//leuA//glmU//deoD//pgaB//uxuA//waaZ//ogt//phnH//rffH//caiB//katE//pgaB//astD//fabA//nrfA//
SrlR	fabI//nrfA//rffC//
StpA	dinB//amn//galE//
SutR	nanK//allB//
TdcA	hyi//leuD//pyrD//pheT//paaY//
TdcR	fumB//leuD//nrfC//fadA//prpC//
TorR-Phosphorylated	ydcS//katG//paaE//ruvA//
TorR-TorI	ynfH//
TreR	hycD//gltB//
TrpR-tryptophan	fbaB//idnD//fadB//yqhD//phoA//puuA//torC//dhaK//rbsD//
TyrR	murI//
TyrR-phenylalanine	lpxA//alaA//
TyrR-tyrosine	hcaC//hemH//paaJ//leuC//treC//hycB//cdd//nrdB//
UhpA-Phosphorylated	nagB//
UidR	umpH//fbaA//
UlaR	sgbE//nadA//rutB//pgk//pheS//
UvrY-Phosphorylated	tnaA//uxaB//
UxuR	polB//folE//frc//rbsD//tktB//
XapR-xanthosine	nrfA//murC//
XylR-xylose	paaY//malS//udp//
YdeO	paaZ//aceF//ygeA//
YefM	epd//
YefM-YoeB	caiD//
YeiL	
YhaJ	
YiaJ	sgbE//alaC//carA//dgkA//katE//codA//
YjjQ	nrdF//aroA//
YpdB-Phosphorylated	
YqhC	ssuE//hemH//
YqjI	tyrA//
ZntR-Zn2	allC//
ZntR-Zn2+	argE//
ZraR-Phosphorylated	
Zur-Zn2	fbaB//
Zur-Zn2+	pyrC//
