# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	srlD//aldA//
UxuR	cyoE//tdcG//cueO//caiD//pgpC//
XapR-xanthosine	cysI//prpB//
XylR-xylose	sgbE//hyaC//purB//
YdeO	ssuE//fau//fabH//
YefM	purE//
YefM-YoeB	kbaZ//
YeiL	
YhaJ	
YiaJ	napH//accC//paaB//nagA//ndh//nrdB//
YjjQ	fbaA//ppiA//
YpdB-Phosphorylated	
YqhC	paaH//murG//
YqjI	pheT//
ZntR-Zn2	fbaA//
ZntR-Zn2+	edd//
ZraR-Phosphorylated	
Zur-Zn2	dinB//
Zur-Zn2+	mngB//
