# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	phnM//ynfF//
CpxR-Phosphorylated	rffG//sdhB//galE//atoA//nanE//wecB//pgaC//xylB//mngB//murD//caiD//chbG//rbsD//lysA//ilvM//recB//slt//ada//puuB//pgm//polA//
Cra	leuB//araA//ttdA//uxuA//speA//garL//fabD//chbF//leuA//oxc//icd//fucU//prpD//patA//tehB//ftsI//frdA//tyrA//glxR//fdhF//ssuD//gadB//puuA//gatY//citX//rtcB//malZ//hcaF//gpmM//puuE//fadM//aroH//astB//bioA//bioC//sucB//ribA//purH//glk//hmp//ubiA//sdhB//gcvT//rffC//allC//speB//lacZ//yqhD//glsA//malP//bioB//metE//nanK//tdcE//puuD//ynfH//fabG//rffG//ahpF//
CreB-Phosphorylated	dhaM//gabD//
CsgD	ccp//sdaA//srlD//garK//wrbA//
CsiR	uxaA//glgX//purK//atoD//
CspA	xylA//
CueR-Cu	asnB//araB//pgm//phnI//metK//
CusR-Pasp	argH//rhaD//pheT//nanK//
CynR	
CynR-cyanate	caiD//wzb//fbaB//
CysB	lacZ//gcvT//
CysB-O-acetyl-L-serine	betB//entE//recF//aceB//paaC//ilvH//sdhB//prs//prpD//astD//ung//rbsK//pheT//araD//rffT//
CytR	cysE//mazG//cdd//cysI//glgA//deoA//nrdB//fadH//alsE//kbaZ//
Dan-L-tartrate	thrS//acnB//
DcuR-Phosphorylated	aspC//ynfF//ascB//fucU//
DeoR	nirD//rbsD//cynT//slt//rtcB//glpD//
DhaR	nrfD//
DicA	
DinJ-YafQ	atoD//
DnaA-ATP	cysI//deoB//napB//gltD//iscS//serA//
DpiA-Pasp	allE//galT//polB//purH//glpK//
DsdC-D-serine	pnp//cysD//
EbgR	
EnvR	cdd//rtcA//
EnvY	gatZ//aceB//
EvgA-Phosphorylated	astB//ascB//rhaD//purK//nrdF//gloA//
ExuR	paaK//cdd//tyrA//arsC//puuE//aroF//
ExuR-alpha-D-galacturonate	
FabR	deoD//guaA//metL//
FadR	bioC//glcB//grxA//fadD//ugpQ//sgbE//galK//hycF//asnB//tynA//gor//ydcS//pheT//fabD//malP//garR//dgcZ//gcvH//aceE//
FadR-acyl-CoA	
FeaR	tpiA//rtcA//
FhlA-formate	pepD//aldA//gpmA//trpC//pgk//fbaB//mraY//hycD//
FlhDC	mhpD//icd//icd//ilvG_1//frdA//prpC//glmU//rtcB//alkB//fadH//pnp//nrfC//lysC//fabI//
FliZ	ldtD//lysU//malQ//moeA//fruK//
FucR-L-fuculose-1-P	icd//hypB//umpH//kbaZ//betB//ppiA//
Fur-Fe2	hcp//nemA//nrfA//gdhA//nadB//guaB//hcaF//glpB//ftsI//ilvH//nirD//ppiA//glgB//aceA//adiA//trpA//atoA//accD//paaK//tam//entE//rffT//glgB//pyrC//tnaA//nfsA//mraY//eno//purF//rfe//murD//gcvT//tktB//gltD//nirB//sufS//nfsA//glcE//ychF//idnO//lacA//lyxK//cysM//icd//pgm//phnH//waaZ//sdhB//hycC//pflB//gapA//aceA//cueO//fabB//hmp//garR//ilvI//dacC//waaY//astD//ldtB//nfsB//
GadE	cysM//feaB//nrdD//hycB//phr//nrfC//glmU//tauD//astA//glmS//
GadE-RcsB	pgk//polA//lacZ//argH//glpK//
GadW	entA//hyaC//prpB//pgaC//
GadX	metB//astC//accD//wzc//napG//hcaC//mtlD//polB//hyaA//leuD//cysM//paaC//dgcZ//rfe//
GalR	ilvH//recB//pspE//tdcE//idnO//torA//
GalR-beta-D-galactose	atoD//purB//citF//hyaC//pflB//
GalS	ppc//cysM//ldtB//moeA//uvrB//galE//
GalS-beta-D-galactose	murI//ppsA//prs//asnA//fucK//
GatR	rutA//sufS//pflB//
GcvA	entA//yedX//nrdD//
GlcC-glycolate	hycB//leuD//rsmH//
GlpR	argB//entC//melA//dkgA//paaG//pncB//hcp//
GlrR-Pasp56	
GntR	fadM//napG//hyaC//nemA//mraY//rutD//kbl//cyoE//mpaA//
GutM	cysG//waaH//ada//
HU	alaA//allE//dkgA//dmsB//ppiA//hmp//paaK//
HcaR	
HcaR-HCA	wecE//leuD//
HdfR	
HigA	nrdF//
HigB-HigA	frdD//
HipAB	idnD//rtcB//
HipB	fadE//dapD//folE//
HprR-Phosphorylated	cynS//rutB//sucB//wzb//
HyfR	fucA//
HypT-Met-oxidized	murQ//epd//cysD//glyA//tdcE//sodB//lyxK//
IclR-pyruvate	hycG//avtA//argB//
IdnR-5-ketogluconate	dgcC//sdhB//ada//astD//fadA//
IlvY	
IlvY-S-2-acetolactate	puuC//
IscR	dkgA//ssuD//dadA//fadM//purE//glcB//
IscR-2Fe-2S	glxK//dgcZ//
KdgR	entA//rffG//
KdpE-Phosphorylated	tynA//
LacI	hemH//hyaA//dhaM//
LeuO	ygeA//aceF//dgcC//rfe//katG//ubiC//
LexA	betB//pgpC//dadA//cysI//fumB//astA//ssuE//nanM//purD//rutC//bioD//chbG//amn//fabD//katE//deoA//ldtC//citF//yqjH//fumC//paaI//murQ//mpl//
LldR	murG//waaH//
LldR-S-lactate	galE//treC//
LrhA	
Lrp	allD//purH//fbaB//gdhA//gudD//malY//udp//astC//rffH//araA//gcvH//eno//nadB//argI//icd//trpE//moeA//xapA//aceB//wecE//ychF//ilvG_1//glpQ//malP//prpB//murE//phnH//purL//paaZ//gudD//moaC//
Lrp-leucine	astA//fabA//napB//uvrC//hmp//pgi//fau//garK//lhgO//glpQ//phnH//alsE//fadH//srkA//ruvA//metL//bioC//
LsrR	aceF//katE//napG//dhaK//citF//
LysR	recB//
MalI	mhpF//fabA//
MalT-maltotriose-ATP	trpB//metC//cysE//fadM//serC//paaF//
MarA	luxS//narG//rfe//glcB//ccp//pdeH//deoA//bioB//ycjG//sucA//epd//gntK//folE//thrS//argF//alaA//fruK//sgbH//napG//wecB//serC//kbaY//glk//glcE//
MarR	
MatA	ilvG_1//
MazE	nrdE//
MazE-MazF	bioA//
McbR	
MelR	paaK//deoC//
MelR-melibiose	ldtC//prpD//
MetJ-adenosylmethionine	ulaF//alsE//rffM//dkgB//aroG//uxuB//argD//betA//lyxK//alaC//
MetR	deoC//alaS//
MetR-L-homocysteine	bioD//prpC//
MhpR-3HPP	hycE//pyrD//purE//alsE//dkgA//wecC//
Mlc	pagP//narG//puuA//sdhB//
MlrA	pgi//
MngR	yiaK//gltD//
MntR-Mn2+	speA//cysJ//
ModE-MoO42-	mdh//argG//glpB//aldA//paaG//trpD//dhaK//hypF//moaD//ilvE//cysN//tdcB//gcvT//fucU//ilvG_1//citG//ulaF//
MprA	metH//allC//glcD//
MqsA	iscS//phnM//
MraZ	purE//paaA//ynfH//pgk//glyA//glgA//rfe//alkA//speG//ilvD//
MurR	narH//cysH//glcB//
Nac	sgbU//hyi//kbl//chbF//astB//ynfF//glmU//tdcE//treC//mhpE//cynS//
NadR	prpD//umuC//pflB//ilvM//
NagC	fadD//dgkA//fadB//puuC//sodB//recB//ftnA//murI//rffT//rutD//tyrB//asnB//galE//moeB//sufS//ulaF//luxS//cysM//nrdF//
NanR	malP//ogt//rutA//fabD//pgaB//nanM//
NarL-Phosphorylated	ldtD//alkB//hemH//purE//rutA//mhpB//paaB//ubiA//aroA//gdhA//phnM//phnI//sodA//malQ//lacA//purF//argF//ubiC//sbcC//ldtC//glyA//accD//cysD//argD//ygeA//malQ//alkB//truB//sbcD//rhaA//mhpB//cysH//gloA//frdC//galM//argF//ahpF//pflB//hyaB//rimK//purH//
NarP-Phosphorylated	citE//xylA//ilvE//pdeR//nemA//poxB//fucU//katG//mhpC//torA//tpiA//mhpF//uvrC//ppsA//accA//
NemR	ftnA//speA//
NhaR-Na+	argE//bioC//alkB//purH//folE//
NikR-Ni2+	nemA//
NimR	glcB//
NorR	glgX//
NrdR-Zn2+	lpxC//aldA//citF//murI//
NsrR	galK//sodB//gntK//glnA//ttdB//pyrC//phnJ//rutA//dhaK//tnaA//mraY//nrdF//dhaK//mraY//glxK//puuE//tdcE//malQ//rffM//treC//lsrK//uvrC//phnL//astB//nanM//entC//tam//mdh//fabZ//tam//metA//ahpF//astB//phr//chbG//ung//oxc//dinB//ychF//grxA//
NtrC-Phosphorylated	waaH//citE//paaH//nirB//guaA//ccp//luxS//pgm//idnK//phnL//ubiX//ccp//tktB//glyA//trpD//gltB//cyoE//pgaD//speG//ilvH//ssuD//
OmpR-Phosphorylated	nfsB//murG//cyoE//cysM//ilvG_1//paaG//yqjH//gatY//
OxyR	glxR//ynfF//ddlB//adhE//lhgO//glpX//poxB//hcaC//sdhA//wzb//gltB//hemH//nanE//fadB//fbaA//mdh//narI//
PaaX	glgA//cysC//galE//pagP//ccp//cysN//wzb//ilvH//ssuE//
PdeL	sgbE//
PdhR	purD//hcaF//narG//mhpD//dapB//gcvP//grxA//trpB//melA//dgcZ//pheT//hyaB//yqjH//ahpC//mpl//recD//asnA//fadI//moaE//astA//mhpE//pck//torA//narI//dmsB//
PepA	uvrB//araA//
PgrR	speG//cynT//
PhoB-Phosphorylated	chbG//mhpD//fadA//mhpD//fucI//entH//lldD//leuD//nadA//gatY//acnA//lyxK//sdhA//cysH//gpmM//icd//ldtD//ldtD//hyaC//dadA//
PhoP-Phosphorylated	glpX//tdcG//pfkA//glpD//moaD//rhaA//waaZ//puuB//rutD//carB//bioA//metL//patD//lpxC//alaA//lsrF//hypB//puuA//leuA//bioB//glpC//mhpB//nrdA//acnA//ulaE//citE//trpE//recF//accC//glmU//ssuE//cysC//
PrpR-2S3S-2-methylcitrate	purD//psd//nrdA//deoD//
PspF	adiA//
PurR-hypoxanthine	napA//puuB//epd//ruvB//tynA//galK//dadA//argI//deoA//metH//nagB//trpC//hycF//ftsI//garR//argE//sgbH//mhpF//rutD//idnO//dapD//prs//melA//slt//lacA//umuC//
PutA	fabG//wecE//
PuuR	glxR//phnG//acnA//iscS//arsC//dapB//
QseB-Phosphorylated	
RbsR	mazG//glpX//ahpF//lpxA//argG//
RcdA	ynfF//
RclR	
RcnR	adhE//
RcsAB	dapB//mhpE//carB//
RcsB-BglJ	glgB//rhaD//
RcsB-Pasp56	polB//purL//nanA//uxaA//
RelB	ygeA//
RelB-RelE	gudD//
RhaR-alpha-L-rhamnopyranose	
RhaS	araA//
RhaS-alpha-L-rhamnopyranose	fbaB//aceA//gloA//luxS//
Rob	sodA//ubiX//ogt//sodB//fadD//dapD//fucK//glcE//cadA//ilvM//glcF//ppsA//accA//caiC//alaC//asnA//dadX//metK//feaB//
RstA-Phosphorylated	wecB//nagA//nirB//
RtcR	yeaE//glcD//
RutR	dsdA//ulaF//recB//oxc//ugpQ//metE//idnD//arsC//rsmH//cdd//cdd//
SdiA	
SgrR	glxR//fabI//ung//
SlyA	fabG//rsmH//ycjG//nfsA//idnD//ahpC//paaY//ruvA//malS//
SoxR	astA//gcvP//garL//srkA//allA//rutA//
SoxS	amn//edd//edd//fes//dinB//fadA//trpE//rutA//nirD//speA//lsrK//cysK//wecB//cadA//garR//gapA//yedX//moeA//fucI//hcp//gcvH//aldA//bioB//tnaA//ldtC//glpB//lpxA//dhaL//
SrlR	fabA//ybjG//pspE//
StpA	dadA//fadM//hypB//
SutR	alkB//hycE//
TdcA	ascB//aldA//galM//argI//nanA//
TdcR	glnA//murG//sgbH//tehB//bioC//
TorR-Phosphorylated	narH//pspE//fabH//allC//
TorR-TorI	truB//
TreR	moaD//dinB//
TrpR-tryptophan	sdhA//dapB//ldtB//accD//tpiA//arsC//argI//sufS//sucD//
TyrR	tktB//
TyrR-phenylalanine	rsmH//narG//
TyrR-tyrosine	entA//nrdA//lysU//sdhC//napG//acnB//nanA//puuD//
UhpA-Phosphorylated	speG//
UidR	fadH//wzc//
UlaR	phnP//hyaC//ppc//narI//paaK//
UvrY-Phosphorylated	metA//ycjG//
UxuR	wecE//kbaZ//thrS//lpxC//polA//
XapR-xanthosine	sdhC//aceE//
XylR-xylose	paaI//rutB//ppsA//
YdeO	hcp//glgX//tyrB//
YefM	glcF//
YefM-YoeB	mpaA//
YeiL	
YhaJ	
YiaJ	srkA//appA//asnB//cyoE//malQ//malZ//
YjjQ	gcvP//pgaD//
YpdB-Phosphorylated	
YqhC	tauD//leuC//
YqjI	tam//
ZntR-Zn2	napA//
ZntR-Zn2+	ulaG//
ZraR-Phosphorylated	
Zur-Zn2	appA//
Zur-Zn2+	moaE//
