# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	serA//lysU//
LsrR	ubiA//gadB//feaB//glnA//gnd//
LysR	katG//
MalI	glmU//idnD//
MalT-maltotriose-ATP	ttdA//hcaC//dadA//avtA//pfkA//chbF//
MarA	ruvB//pykF//feaB//rutD//nfsA//purK//phnO//hyaA//sdhD//amn//atoA//uidA//entF//rbsD//poxB//hcaB//phnI//napA//wecB//luxS//gudD//lsrK//fucK//rutD//
MarR	
MatA	hcaC//
MazE	rhaD//
MazE-MazF	trpD//
McbR	
MelR	gnd//malZ//
MelR-melibiose	aroH//ruvB//
MetJ-adenosylmethionine	narG//atoA//gcl//gntK//frc//fadH//puuC//allA//ribA//phnN//
MetR	srlD//pncB//
MetR-L-homocysteine	thrS//ddlB//
MhpR-3HPP	phnJ//glgB//hypF//nrfA//ung//yiaK//
Mlc	tauD//ugpQ//ogt//sufS//
MlrA	lysU//
MngR	glk//puuE//
MntR-Mn2+	argA//nanA//
ModE-MoO42-	argB//recF//glcF//nrdB//purD//pdeR//gpmM//fadA//allB//napB//argG//moeA//poxB//ilvD//aceB//dadX//cynS//
MprA	gatY//betA//glxK//
MqsA	lpxD//pfkA//
MraZ	katG//hypB//dhaM//kbaY//pgk//udp//aldA//waaY//lpxA//codA//
MurR	uvrB//tyrB//lhgO//
Nac	ydcS//galE//citF//glcD//leuC//rtcB//mhpF//ddlB//bglB//lysA//mpaA//
NadR	fabG//ychF//nfsA//idnD//
NagC	dadX//gnd//aceE//garK//hcaC//lpd//wecC//gatD//ulaG//trpE//aroG//mpl//patA//tauD//pheT//deoA//glcD//sgbE//fucO//
NanR	ubiC//paaJ//ccp//prpE//rtcB//prpD//
NarL-Phosphorylated	cdd//aceA//sucA//phnN//aroA//ychF//uvrC//mnmG//tadA//ldtC//luxS//asnA//yqjH//tdcD//ppc//recF//alkB//metH//paaF//yeaE//umuD//mngB//leuB//ruvA//wecB//yeaE//murE//sgbE//phnI//tdcD//fadI//bioA//paaZ//wecB//gcvH//murI//argA//entC//kbaY//mdh//cueO//
NarP-Phosphorylated	betA//sucA//prs//trpD//glgA//galK//pnp//gatY//wrbA//pheT//torC//fucO//ogt//aroG//sdhD//
NemR	pgaB//uxaB//
NhaR-Na+	leuD//mhpF//glgA//fabD//wzc//
NikR-Ni2+	ampC//
NimR	nirD//
NorR	paaB//
NrdR-Zn2+	leuD//alaS//lsrK//grxA//
NsrR	alsE//purA//ubiX//rutC//sdhB//sdhB//ynfE//guaB//pyrC//rutA//citC//cysM//leuB//glxR//chbF//mraY//gcl//pdeR//glpK//aceF//malQ//ulaE//codA//argG//purK//prpC//glgC//galE//ftsI//gltD//sdhA//ulaE//malS//wzc//glpB//carA//rutE//entB//yeaE//cueO//
NtrC-Phosphorylated	folE//yqjH//ilvD//fdhF//metB//paaA//fumC//gcvP//arsC//paaI//ilvC//cueO//umuD//glcF//trpB//fbaB//speB//uidA//ahpC//caiA//argG//
OmpR-Phosphorylated	ynfH//dsdA//treC//nemA//nrdE//leuC//aspA//fadM//
OxyR	ccp//ung//sdaA//argE//leuC//speA//putA//ruvA//mnmG//trpA//moeA//hyaA//chbF//fadB//guaA//gor//sgbU//
PaaX	fes//slt//aroA//frdB//galT//patD//dinB//speB//dgcC//
PdeL	yeaG//
PdhR	ftsI//glgB//ychF//yqjH//nemA//dmsC//entF//moaD//mhpD//pyrC//ydcS//citD//hcaB//hcaC//sbcC//fumC//lsrG//bioA//gltB//dhaK//ubiX//nrdE//asnB//puuA//fumB//
PepA	acnA//polB//
PgrR	cysH//ilvC//
PhoB-Phosphorylated	paaB//lsrK//dgkA//allD//pyrD//citF//pgi//rffH//galK//sdhA//wzc//tpiA//hycF//cysM//argC//dhaK//torA//purE//cysG//acnA//
PhoP-Phosphorylated	lacA//mpl//ubiC//udp//deoA//ilvH//glcF//astC//cysI//fabG//moaD//sufS//alsE//paaK//wzb//avtA//glpX//puuB//argB//alaA//puuE//gatY//entH//oxc//arsC//pgk//moeB//serC//fucK//argH//gntK//rffT//
PrpR-2S3S-2-methylcitrate	citG//nrdB//glgC//melA//
PspF	metB//
PurR-hypoxanthine	deoB//recD//tyrA//rhaB//cysI//sbcD//citG//galK//dkgB//mhpB//sufS//metC//tdcD//ydcS//dkgB//narI//paaG//moeA//argE//lsrF//fucK//cadA//edd//ynfH//aroA//gcl//
PutA	entD//glmU//
PuuR	ubiC//bioF//ccp//rhaB//nagB//gltD//
QseB-Phosphorylated	
RbsR	nagA//ldtC//sucD//kbaY//appA//
RcdA	tehB//
RclR	
RcnR	ttdB//
RcsAB	glpA//fadH//fucA//
RcsB-BglJ	hemH//purA//
RcsB-Pasp56	bioC//melA//phnG//fadA//
RelB	glk//
RelB-RelE	recF//
RhaR-alpha-L-rhamnopyranose	
RhaS	rsmH//
RhaS-alpha-L-rhamnopyranose	dgcC//phnL//astA//narH//
Rob	fucU//ampC//nfsB//galM//fbaB//aroL//prpB//puuD//malZ//ubiX//arsC//dinB//xylB//uxaA//pgpC//rhaD//glnA//guaB//hycB//
RstA-Phosphorylated	dadA//atoA//lacZ//
RtcR	murE//mpaA//
RutR	entA//wecB//puuE//citF//nirD//treC//prpE//rbsD//sdhC//tam//deoB//
SdiA	
SgrR	yeaG//dmsB//phoA//
SlyA	uvrB//trpE//glgA//carB//pgk//putA//dgkA//tpiA//galK//
SoxR	dadX//rutE//paaC//malZ//paaH//pgaB//
SoxS	malS//glxR//ssuD//nirD//avtA//dmsC//alsE//folE//nadB//frdA//fabH//ruvA//rutD//entD//allC//citX//acnB//aroG//pgaC//ppsA//epd//purF//fadH//ribA//uvrB//pncB//ada//ubiC//
SrlR	frdA//dmsC//glpC//
StpA	amn//betB//dhaK//
SutR	pykF//entD//
TdcA	nemA//xylA//entF//adiA//cysN//
TdcR	sdaA//aroG//leuB//aceF//astA//
TorR-Phosphorylated	deoD//murD//paaI//garK//
TorR-TorI	cynT//
TreR	pgaD//glpQ//
TrpR-tryptophan	malY//nrfD//yfdE//pgaC//nrfA//alsE//wrbA//lsrG//sbcC//
TyrR	oxc//
TyrR-phenylalanine	murQ//recF//
TyrR-tyrosine	hycC//rffG//glgA//dkgB//pspE//ycjG//fadJ//nanK//
UhpA-Phosphorylated	prpC//
UidR	citF//psd//
UlaR	purK//rimK//ahpC//ahpF//ruvB//
UvrY-Phosphorylated	glpC//nfsA//
UxuR	allE//ldtC//dgcC//pfkA//nirD//
XapR-xanthosine	puuD//speA//
XylR-xylose	glcD//hyaA//malQ//
YdeO	ppsA//glgC//leuD//
YefM	ndh//
YefM-YoeB	gabD//
YeiL	
YhaJ	
YiaJ	lacZ//eno//hypB//puuA//mhpC//lldD//
YjjQ	malQ//fabH//
YpdB-Phosphorylated	
YqhC	purL//treC//
YqjI	rbsD//
ZntR-Zn2	gabD//
ZntR-Zn2+	garK//
ZraR-Phosphorylated	
Zur-Zn2	umpH//
Zur-Zn2+	cysM//
