# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	citX//dinB//
NarL-Phosphorylated	galE//glcD//ribA//glgC//accD//glpK//galE//phoA//ruvA//paaK//pgm//metF//uxaB//uxuA//rffG//sucA//nrfD//pncB//feaB//allB//idnO//tktB//dgcC//accC//argI//fabG//atoB//pgaD//glgC//narG//dapB//cysC//fes//cysK//ulaF//hcaD//yfdE//ulaE//wecE//phoA//uidA//
NarP-Phosphorylated	cyoE//nrfC//gltB//pnp//ynfG//arsC//sucB//pgk//napH//rtcB//argC//mazG//paaA//alsE//mnmG//
NemR	tauD//fadM//
NhaR-Na+	fabG//lacZ//allA//pnp//hycD//
NikR-Ni2+	rbsD//
NimR	atoB//
NorR	aroG//
NrdR-Zn2+	murQ//bacA//fucO//purM//
NsrR	cysJ//araA//dapD//rsmH//gdhA//avtA//yqjH//nirB//carA//alkA//tehB//rffT//phnP//atoB//glgC//trpB//guaA//gabD//lldD//cysE//moeB//entA//glnA//glpQ//mdh//dgcN//ubiA//napG//dmsC//kbaZ//speB//hcaE//lysU//hypF//ribA//phnG//dkgB//rnpB//alaS//allD//
NtrC-Phosphorylated	ynfF//xapA//sdhB//ahpF//yeaE//glgC//citD//cysD//glgP//gcvP//argF//frdB//fabZ//ugpQ//rnpB//leuC//rffG//rffG//citD//ttdA//pdeL//
OmpR-Phosphorylated	cueO//speA//rpiB//wecE//tpiA//gcvP//hcaB//malQ//
OxyR	rhaA//codA//ulaD//hcaC//nanE//uvrC//entE//rbsD//gadA//ogt//ilvH//idnD//lysC//speA//purL//mraY//araB//
PaaX	fadH//umuD//citG//patA//nanM//rutD//alaC//srkA//ubiC//
PdeL	dmsB//
PdhR	fabB//aroA//dgcZ//hycG//nanE//galM//fabA//trpB//mhpF//rffH//nanA//lldD//carB//pgpC//fau//tdcB//glpX//ung//puuB//phnH//nagB//cysK//moeA//paaB//paaG//
PepA	udp//puuA//
PgrR	citF//caiC//
PhoB-Phosphorylated	ubiA//purN//mhpF//rnpB//recF//gpmM//kbl//aceB//trpC//mhpB//purA//allA//garK//rffC//ulaE//uxaB//tehB//lpd//hemH//fabH//
PhoP-Phosphorylated	umuC//argG//allC//accD//ascB//leuD//torA//entE//metF//torC//dadX//paaY//nirB//narI//moaD//ldtB//chbF//ynfF//fbaB//speG//ychF//gpmM//fes//amn//tdcE//tauD//allE//bioD//ilvC//purB//folA//slt//
PrpR-2S3S-2-methylcitrate	glcD//nanE//tdcE//glpA//
PspF	phnO//
PurR-hypoxanthine	gadB//torA//gabD//glsA//psd//gcl//asnB//purH//nirB//waaY//fes//glcF//waaY//guaB//fadE//citD//fadD//yiaK//prpB//phnO//purD//lpxD//folE//fucK//gatZ//nemA//
PutA	ppc//atoA//
PuuR	fucO//pgpC//nemA//metL//gcvT//gnd//
QseB-Phosphorylated	
RbsR	tdcB//trpB//nfsB//dmsB//dkgA//
RcdA	puuA//
RclR	
RcnR	napB//
RcsAB	icd//wecC//phnN//
RcsB-BglJ	phnH//ilvH//
RcsB-Pasp56	bacA//moaC//yqhD//gcvP//
RelB	malS//
RelB-RelE	acnB//
RhaR-alpha-L-rhamnopyranose	
RhaS	napH//
RhaS-alpha-L-rhamnopyranose	citF//argH//aroL//nanE//
Rob	dadX//cysJ//dsdA//phnP//atoA//nirD//ttdA//glpC//atoD//sodB//entF//gatY//gcvH//purM//paaF//ilvC//thrS//citC//accC//
RstA-Phosphorylated	entD//paaA//prs//
RtcR	malZ//mhpE//
RutR	ybjG//phnI//hyaA//astA//metB//fau//ahpC//grxA//nirB//paaZ//ynfG//
SdiA	
SgrR	caiB//leuB//cysN//
SlyA	ydcS//ada//hycC//torC//bacA//aroF//uxaB//sucB//polA//
SoxR	ascB//glmU//ung//malY//atoA//paaG//
SoxS	argE//gcvH//paaH//rimK//bioA//pgm//gcvP//fadI//hcaD//recD//glcB//tam//pykF//xylB//xapA//glsA//hyaB//tadA//galE//argF//phr//pgm//ulaE//nanE//rpiB//paaJ//treC//waaY//
SrlR	rffC//deoA//cysE//
StpA	idnK//recB//ampC//
SutR	hypF//dhaL//
TdcA	yfdE//cynT//hycF//eda//edd//
TdcR	narI//pgm//deoB//trpE//phnO//
TorR-Phosphorylated	dacC//caiC//gatY//galM//
TorR-TorI	adiA//
TreR	murC//lysA//
TrpR-tryptophan	alkB//ulaE//fabZ//hyaA//betA//metK//bglB//idnD//deoB//
TyrR	purK//
TyrR-phenylalanine	glpB//galE//
TyrR-tyrosine	phnL//torC//uvrC//rfe//sbcD//argH//thrS//paaB//
UhpA-Phosphorylated	hycD//
UidR	chbF//ftsI//
UlaR	ulaF//rffC//arsC//allD//pykF//
UvrY-Phosphorylated	paaK//gcvP//
UxuR	argH//prpB//phnI//sdhA//prpD//
XapR-xanthosine	entA//mhpF//
XylR-xylose	argH//napG//hycC//
YdeO	citX//hcaC//gatZ//
YefM	patD//
YefM-YoeB	glmU//
YeiL	
YhaJ	
YiaJ	cysG//sdhD//purH//gatZ//narG//dgcZ//
YjjQ	nrdB//nrfC//
YpdB-Phosphorylated	
YqhC	metF//ddlB//
YqjI	cueO//
ZntR-Zn2	gatY//
ZntR-Zn2+	waaZ//
ZraR-Phosphorylated	
Zur-Zn2	dhaK//
Zur-Zn2+	arsC//
