# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	gatD//fadH//
EvgA-Phosphorylated	dmsB//paaH//glpC//araA//gudD//allB//
ExuR	dapB//deoC//murD//entH//ldtB//phnO//
ExuR-alpha-D-galacturonate	
FabR	yfdE//hycD//metL//
FadR	cysD//hycE//glgB//ubiX//narI//tyrB//nanE//fucA//bacA//feaB//uxuA//purF//truB//argD//recF//frc//cysK//mhpF//bacA//
FadR-acyl-CoA	
FeaR	fadA//dkgB//
FhlA-formate	gor//arsC//phnJ//ulaE//ubiA//entH//atoB//aroG//
FlhDC	astB//edd//allB//nrdE//dhaM//allA//kbaY//allA//pfkA//iscS//rpiB//prpE//pgk//cysH//
FliZ	yiaK//oxc//paaA//paaI//astB//
FucR-L-fuculose-1-P	fadB//hyaC//metK//astB//frc//frc//
Fur-Fe2	edd//metB//rpiB//mltF//cysD//paaI//trpC//glcE//eda//ugpQ//araA//purB//tyrA//glcE//frdA//idnK//tauD//malQ//napH//ssuD//rtcB//carB//gatD//polA//feaB//bioF//yiaK//hyaB//gutQ//ldtB//tam//truB//paaG//idnO//ubiC//hycF//entA//pdeH//dgcN//phnO//lpd//fucO//moeB//nanM//rutE//kbaY//garD//paaC//fumC//citF//sbcC//sdhA//paaA//ulaE//ilvE//mtlD//fumC//phnM//yqhD//oxc//puuE//xapA//
GadE	dgkA//feaB//sdhB//fabB//ascB//astC//fadM//trpD//fucK//phoA//
GadE-RcsB	cysN//wzb//citG//nadA//nrfA//
GadW	argI//melA//aceB//glgP//
GadX	caiC//tdh//sbcC//uxaC//pgaD//sgbH//gpmA//frc//dhaM//rffT//rffT//pyrD//araD//fadB//
GalR	hyaB//hypF//zwf//pfkA//trpD//ilvM//
GalR-beta-D-galactose	garD//chbF//gcvT//paaF//phnL//
GalS	pgk//dapB//adhE//ydcS//cysC//tauD//
GalS-beta-D-galactose	mhpA//fadA//cdd//sdhC//nrfA//
GatR	alkA//wecE//gpmA//
GcvA	cysD//paaE//waaZ//
GlcC-glycolate	tdcG//nagA//sgbH//
GlpR	cysE//puuE//thrS//talA//hmp//paaY//fumB//
GlrR-Pasp56	
GntR	purA//fau//purM//ahpC//allA//malQ//dhaM//sgbU//hycE//
GutM	hemL//paaB//napA//
HU	alaS//nrdD//cysN//glpQ//hcaB//galT//glk//
HcaR	
HcaR-HCA	uxuB//phnO//
HdfR	
HigA	ruvB//
HigB-HigA	dhaM//
HipAB	ychF//katG//
HipB	hycE//tdcG//lsrK//
HprR-Phosphorylated	purN//frdD//pheS//rpiB//
HyfR	dmsA//
HypT-Met-oxidized	rimK//srlD//prpB//gutQ//gcl//fbaA//gcvH//
IclR-pyruvate	alaA//citG//aceF//
IdnR-5-ketogluconate	waaZ//hyaB//pdeH//glcE//tdh//
IlvY	
IlvY-S-2-acetolactate	waaZ//
IscR	purH//fes//lsrF//entH//alsE//rffG//
IscR-2Fe-2S	entD//fadB//
KdgR	mhpF//aceE//
KdpE-Phosphorylated	ruvB//
LacI	aceF//lyxK//carA//
LeuO	glgC//melA//hmp//dgkA//sbcD//pgk//
LexA	pgpC//dhaK//glsA//ulaG//mngB//nrdF//glcE//gadA//hcaE//idnO//glcB//alkA//carB//dmsB//moaC//purN//kbaY//purH//nirD//moaA//fumC//paaF//ulaD//
LldR	gadB//polA//
LldR-S-lactate	fumB//fes//
LrhA	
Lrp	paaE//dgcC//prpB//melA//napH//citE//glsA//gltD//murE//aroL//hcaD//prpE//glxR//ynfE//pyrC//astB//frdC//speB//prpC//uxaB//garD//deoD//aroA//araD//ruvB//puuE//speG//metH//atoA//fadA//gcvT//
Lrp-leucine	yqhD//fumC//gor//wecB//galT//uvrC//puuB//nanA//appA//uidA//pepD//yqhD//entH//leuB//ynfE//pyrD//rutE//
LsrR	acnB//nrdF//rbsK//trpE//eda//
LysR	glsA//
MalI	argD//ynfH//
MalT-maltotriose-ATP	ilvD//nemA//citF//ttdA//wrbA//carA//
MarA	umpH//accC//nfsB//allD//pheT//bioF//hcp//glpQ//cueO//lsrF//glnA//moaC//fabA//uidA//gcl//fadA//torA//galE//hycD//acnA//fucA//recB//entH//metL//
MarR	
MatA	entH//
MazE	cdd//
MazE-MazF	astA//
McbR	
MelR	mhpA//torC//
MelR-melibiose	icd//nrdE//
MetJ-adenosylmethionine	pnp//ilvD//metA//truB//accD//paaH//fucO//phoA//atoA//puuB//
MetR	tdcG//hycC//
MetR-L-homocysteine	mhpA//dadA//
MhpR-3HPP	rutA//katG//hcaB//caiB//trpB//garR//
Mlc	katG//murD//gutQ//caiA//
MlrA	caiB//
MngR	ldtD//dapB//
MntR-Mn2+	recD//gltD//
ModE-MoO42-	gudD//serC//ilvI//phnP//sodB//aceA//ilvH//mngB//gcvT//sdaA//phnO//uvrA//uxaA//glpD//xapA//prpC//serC//
MprA	lpd//rhaA//oxc//
MqsA	caiC//argB//
MraZ	murD//glgX//melA//malQ//dmsC//uidA//cysG//yeaE//xapA//rffH//
MurR	argB//garL//rffC//
Nac	pgaC//trpC//tktB//yiaK//lacA//lyxK//nanM//cynT//aceB//gcvH//sdhC//
NadR	dapD//hcaB//deoD//nemA//
NagC	deoB//tnaA//hycG//deoC//yqjH//putA//nrdD//murE//astA//rtcA//gltB//ulaE//bioB//dgcC//waaZ//waaZ//lsrG//sbcD//eda//
NanR	speG//napB//ulaG//phnN//hmp//ppsA//
NarL-Phosphorylated	entC//rutA//hypB//waaZ//glxK//caiD//waaH//gcvT//gdhA//acnA//deoC//gcvT//leuB//folA//uxaA//pgk//lysU//ruvB//murE//trpB//hypF//gltB//ydcS//hcaC//truB//gutQ//aroG//hyaA//glmU//gapA//cyoE//metF//ftnA//putA//glpQ//wrbA//katE//malP//gcl//nrdD//sucD//
NarP-Phosphorylated	umuC//napA//srkA//ybjG//dacC//pyrD//murI//phnN//fucO//glcE//rimK//glcD//slt//edd//fadJ//
NemR	caiA//tam//
NhaR-Na+	aceE//argD//ftsI//katE//eno//
NikR-Ni2+	pgk//
NimR	nirB//
NorR	rpiB//
NrdR-Zn2+	ldtC//guaA//galE//gcl//
NsrR	pdeH//cynS//fucK//phoA//cysG//aceB//tyrA//puuE//purN//adiA//ahpC//acnA//betB//dacC//nagB//ldtB//fbaB//relA//galT//ung//pdeH//fadA//bioB//sodB//argD//chbF//patD//uxuA//ubiX//betB//amn//umuC//bioF//folE//galK//bioF//melA//fdhF//malQ//sucC//
NtrC-Phosphorylated	galE//aceB//astA//poxB//gadB//psd//murE//fbaB//fabA//codA//fes//paaG//murD//tam//atoB//araB//acnA//trpA//napB//dgcN//glgA//
OmpR-Phosphorylated	grxA//sucA//moeB//bacA//garR//ahpC//guaA//garR//
OxyR	cynT//ddlB//rbsK//ulaF//deoD//talA//malZ//malZ//betA//tehB//dacC//nemA//thrS//hcaD//talA//sbcD//glcB//
PaaX	citX//garL//tdcE//tauD//phnO//deoA//gatD//pheS//mhpD//
PdeL	ilvH//
PdhR	metL//alaA//cysD//tadA//amn//pnp//hcaE//nfsA//glpC//sufS//lsrG//pdeR//appA//purM//srlD//lsrG//gcvT//galK//phoA//melA//gcl//glnA//asnB//ahpF//mtlD//
PepA	hcaB//bglB//
PgrR	mhpF//nrdE//
PhoB-Phosphorylated	nagA//glmU//glgB//polA//purD//glmS//bioD//dhaK//sbcD//allD//edd//truB//alkA//nrdA//betB//arsC//nirD//yeaG//argG//ycjG//
PhoP-Phosphorylated	rhaD//cdd//gloA//purA//ilvM//ilvC//serC//phnI//ahpC//cysD//fadB//folA//dacC//cysD//pgi//talA//araB//gabT//pgpC//gudD//aroA//ilvE//slt//caiC//pgk//puuD//hcaB//argC//fabG//citF//wzc//entA//
PrpR-2S3S-2-methylcitrate	ada//idnD//citC//sgbE//
PspF	tdcB//
PurR-hypoxanthine	dsdA//paaH//paaA//fadA//deoC//napA//treC//gutQ//argE//moaE//yiaK//frdB//glmS//metA//ynfG//mhpC//metA//nfsA//nanE//idnO//ugpQ//hcaF//ppiA//napB//dsdA//ubiA//
PutA	gabD//yqhD//
PuuR	pgaD//araA//glpC//atoA//bioC//kbaY//
QseB-Phosphorylated	
RbsR	gntK//cysK//prpC//icd//tyrA//
RcdA	speG//
RclR	
RcnR	ydcS//
RcsAB	tauD//ubiX//nfsA//
RcsB-BglJ	carA//frdB//
RcsB-Pasp56	ppc//wecC//ldtC//moaD//
RelB	paaF//
RelB-RelE	glcB//
RhaR-alpha-L-rhamnopyranose	
RhaS	fdhF//
RhaS-alpha-L-rhamnopyranose	mpaA//aroG//tyrB//metE//
Rob	ung//lpxD//purN//tyrA//cysH//dmsB//xylB//fadA//nrfD//ahpC//hemH//lpxC//sdhB//wzb//tnaA//pspE//allC//araA//lldD//
RstA-Phosphorylated	nrdE//fabG//ttdA//
RtcR	cynS//galE//
RutR	metA//dhaL//purK//gcvP//galE//napB//glcD//ddlB//katG//hcaC//cdd//
SdiA	
SgrR	fbaA//fbaA//cysM//
SlyA	paaZ//ssuE//purC//ruvA//acnA//lldD//wrbA//pgaC//idnO//
SoxR	galM//dmsA//glgB//entE//nrdE//mhpA//
SoxS	polA//dadA//mhpE//ldtD//rutE//napH//metA//rbsK//bioD//fruK//dadX//purF//cynS//hcaF//uxuB//hycC//phnP//aceB//rutE//dadX//fucA//entD//hypF//pgpC//astC//mdh//moaA//murC//
SrlR	ribA//rffG//rsmH//
StpA	rffG//entB//fadB//
SutR	deoD//ppsA//
TdcA	entB//mnmG//ttdB//caiC//sbcC//
TdcR	fabH//moeA//ybjG//speG//idnO//
TorR-Phosphorylated	nadB//fbaB//murG//murQ//
TorR-TorI	glcD//
TreR	fabH//nrdE//
TrpR-tryptophan	fabB//mhpF//purL//glmU//paaH//napG//putA//sdhA//cysK//
TyrR	recF//
TyrR-phenylalanine	trpC//bioC//
TyrR-tyrosine	cysK//gnd//hycG//ynfH//fucI//dhaL//udp//aceF//
UhpA-Phosphorylated	folE//
UidR	asnA//phnM//
UlaR	araA//moaD//lsrF//allD//cysD//
UvrY-Phosphorylated	bioC//dkgB//
UxuR	hycB//torA//glsA//hcaC//caiA//
XapR-xanthosine	rbsD//luxS//
XylR-xylose	melA//caiB//murF//
YdeO	ruvB//avtA//sucD//
YefM	alaS//
YefM-YoeB	nfsA//
YeiL	
YhaJ	
YiaJ	tauD//paaG//hycB//hycB//purK//pagP//
YjjQ	paaI//ssuE//
YpdB-Phosphorylated	
YqhC	nirB//cueO//
YqjI	nrfA//
ZntR-Zn2	folA//
ZntR-Zn2+	astD//
ZraR-Phosphorylated	
Zur-Zn2	atoA//
Zur-Zn2+	cynS//
