# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	glgB//gpmA//
FucR-L-fuculose-1-P	pheT//galK//ilvD//rutA//glxR//paaI//
Fur-Fe2	ruvA//ybjG//glpD//adiA//alkB//serC//nrdD//bioF//ada//hycE//cysH//fucA//dgcN//tdcE//moaA//hypF//glyA//oxc//pdeR//trpB//rpiB//dsdA//dmsB//trpB//fruK//eda//deoC//alsE//murD//folA//rhaA//waaZ//rsmH//asnA//waaZ//fucA//wzb//nadA//nrfD//murC//alkB//pheT//uvrB//cyoE//phnH//hycF//sdhA//ilvD//wrbA//deoD//recF//uvrC//citX//idnO//gdhA//ampC//ldtC//rimK//bacA//ogt//glcB//fumB//
GadE	accD//paaE//sgbH//araD//srlD//cysE//fadH//rutD//ldtC//mdh//
GadE-RcsB	argC//ppsA//cynT//xylB//phnO//
GadW	asnB//murD//polA//hemH//
GadX	fau//glpX//ulaE//sdhD//glgA//putA//cysI//argF//nanE//metL//kbaY//glgX//pgpC//pgaB//
GalR	cysE//cysN//uxaC//aceB//allE//mraY//
GalR-beta-D-galactose	dkgB//gltD//galK//purD//cysD//
GalS	aceA//bacA//ogt//carA//mpaA//hcaC//
GalS-beta-D-galactose	narI//murI//dadX//luxS//rhaB//
GatR	relA//deoA//hycG//
GcvA	sdhA//gutQ//galK//
GlcC-glycolate	wrbA//rffH//tadA//
GlpR	cysC//ydcS//garR//lpd//murQ//eda//glgC//
GlrR-Pasp56	
GntR	pgaB//grxA//ldtD//sgbE//paaF//purM//ulaD//ldtC//dkgB//
GutM	wecB//glpC//allD//
HU	hycD//lpd//citG//aldA//rfe//rutC//pncB//
HcaR	
HcaR-HCA	tdcD//purE//
HdfR	
HigA	moaD//
HigB-HigA	lhgO//
HipAB	fau//fucU//
HipB	ubiC//napA//aceA//
HprR-Phosphorylated	fumC//trpE//rbsK//nagA//
HyfR	cynT//
HypT-Met-oxidized	cysH//uxaB//moeB//ynfE//guaB//idnO//hcaB//
IclR-pyruvate	ugpQ//accC//nirB//
IdnR-5-ketogluconate	katG//icd//recF//nirB//garK//
IlvY	
IlvY-S-2-acetolactate	moaE//
IscR	napB//ilvH//hemL//ung//purB//prpC//
IscR-2Fe-2S	ygeA//uvrA//
KdgR	argA//hmp//
KdpE-Phosphorylated	puuB//
LacI	tnaA//fes//adiA//
LeuO	wzc//glgX//lpd//phnN//prpD//citF//
LexA	rutE//araB//fabH//eno//epd//malQ//hcaB//pheS//slt//moaA//paaZ//nrfA//wzc//prpC//yqhD//lpxC//guaA//yiaK//cysJ//metE//aceE//ubiA//puuB//
LldR	gpmA//ilvH//
LldR-S-lactate	icd//paaY//
LrhA	
Lrp	pdeR//puuC//phnI//pgaD//deoC//tdh//allD//bglB//metA//idnD//murF//glgB//citG//murG//nirB//dhaK//gadA//fabI//ubiA//prpC//dapB//glpA//xylA//murQ//lpxC//aceA//frc//pnp//rbsK//zwf//aceE//
Lrp-leucine	paaC//mhpC//gdhA//lysA//waaZ//ada//aceF//cysM//dgcN//aceA//serA//asnB//gnd//glcE//entH//lpxD//rtcB//
LsrR	wrbA//purF//luxS//cysJ//nirB//
LysR	rffH//
MalI	gpmA//aroA//
MalT-maltotriose-ATP	edd//nrdF//purC//puuC//ynfH//sgbH//
MarA	speB//psd//arsC//cynS//tehB//argE//tpiA//frdD//ubiC//malZ//citE//xylA//rnpB//ada//entA//cysI//citG//treC//dgcC//hyaA//glgP//fucA//argB//leuD//
MarR	
MatA	glcB//
MazE	dgkA//
MazE-MazF	luxS//
McbR	
MelR	murI//sdhA//
MelR-melibiose	ldtC//ruvB//
MetJ-adenosylmethionine	bioF//aspC//pdeH//phnL//ynfE//acnB//waaZ//sgbU//rutA//puuE//
MetR	glnA//rutC//
MetR-L-homocysteine	fabG//deoD//
MhpR-3HPP	fdhF//argA//uvrC//glmS//aceA//ppiA//
Mlc	napB//argB//entD//lpxC//
MlrA	fdhF//
MngR	fabB//purK//
MntR-Mn2+	paaA//moaA//
ModE-MoO42-	metL//hemL//hypF//glnA//pyrC//moaC//accA//hycB//fbaB//sdhB//paaG//torC//gatY//glcD//cysG//pykF//yedX//
MprA	ilvH//paaG//ogt//
MqsA	pdeL//grxA//
MraZ	fabA//aroF//chbF//rhaA//aspC//tam//aspA//ccp//rhaD//fbaA//
MurR	purK//ydcS//rbsK//
Nac	caiB//glyA//glmS//nirD//hyaC//ilvI//fumB//glpQ//deoA//dkgB//cysN//
NadR	fabH//mpl//fadI//rutD//
NagC	trpE//leuB//murI//hyi//nrfD//aceE//pepD//epd//recF//ogt//dkgB//hcaC//dgcN//sdhD//phnP//fabB//wecE//prpD//bacA//
NanR	srkA//frdB//tynA//hycB//nagB//tdcE//
NarL-Phosphorylated	bioD//deoB//ppsA//dgcC//lhgO//mhpC//phnM//nfsB//sbcD//rffG//trpC//sgbU//fucK//ppsA//cdd//alaA//cysE//mtlD//argE//pgm//glcE//allA//glmU//torC//moaE//lsrF//metA//cynS//umpH//ldtC//ascB//ldtC//ruvB//fadB//nrfD//uxaB//frdA//mngB//acnA//ldtC//hcaE//
NarP-Phosphorylated	lacA//leuB//glpD//fucI//talA//argB//napB//pflB//phr//waaH//mdh//nrdB//cysD//pgaC//uxuA//
NemR	caiD//gutQ//
NhaR-Na+	deoB//alaA//paaZ//sbcC//rpiB//
NikR-Ni2+	dapD//
NimR	pck//
NorR	gabT//
NrdR-Zn2+	allE//sdhA//ilvH//fadM//
NsrR	glyA//gadB//ilvE//gatY//prpE//phnJ//hcaF//hycC//acnB//araD//hyaB//entF//paaF//tehB//fdhF//ndh//pheS//paaH//glk//sucC//napG//nirB//pgaC//cynS//phr//pdeL//sucC//puuE//chbF//speB//waaY//ahpC//trpA//recB//pykF//glpD//paaF//lsrK//frdC//bglB//
NtrC-Phosphorylated	cysI//ygeA//accC//paaA//alaS//pdeL//dgcC//phnJ//hypF//yiaK//lldD//fruK//metL//accA//pheS//srkA//glpB//pgpC//cysK//sucC//hcaD//
OmpR-Phosphorylated	paaH//glxR//garR//nrdF//dkgA//katG//phnN//metB//
OxyR	nrfA//moaA//pdeL//wecC//paaH//icd//nrfD//mhpF//argG//ycjG//bacA//tpiA//mtlD//gapA//paaZ//glpC//allC//
PaaX	cysH//talA//glyA//purC//rtcA//alaA//idnD//aldA//accC//
PdeL	fucK//
PdhR	ddlB//gadA//purA//sdhD//hycD//murD//galE//ahpC//atoD//folE//murI//cueO//hypF//araD//putA//fadM//fruK//phnL//tynA//hycD//sdhD//frdD//trpE//adhE//ubiC//
PepA	carB//rffM//
PgrR	waaY//fadH//
PhoB-Phosphorylated	cynS//nemA//icd//wzc//pflB//galT//hypB//frdC//wecC//caiC//ascB//tdcE//cdd//yiaK//frdB//umuD//garL//napG//allE//aceE//
PhoP-Phosphorylated	ynfF//puuD//fabI//cysH//paaG//gapA//idnD//sucB//malS//ttdB//thrS//wecB//yedX//mhpC//araD//ydcS//metC//fbaA//aceB//allE//ynfF//entC//treC//mtlD//hyi//cysC//ilvI//metF//alkA//ilvM//asnB//ung//
PrpR-2S3S-2-methylcitrate	mpl//hcaF//pyrC//nemA//
PspF	speB//
PurR-hypoxanthine	murI//murD//cysG//purM//waaH//ppiA//prpD//pncB//rffT//argB//polB//fabG//ahpC//ndh//cysK//mraY//hycF//fabI//hyi//dgcC//garD//edd//nrdA//pck//polB//narI//
PutA	ilvA//ssuD//
PuuR	moaD//pheT//narI//glgC//moaD//hycC//
QseB-Phosphorylated	
RbsR	kbaY//grxA//fumB//allD//fumB//
RcdA	tdcE//
RclR	
RcnR	edd//
RcsAB	fumB//gatY//ruvA//
RcsB-BglJ	rsmH//tpiA//
RcsB-Pasp56	mraY//relA//leuC//aroA//
RelB	dkgA//
RelB-RelE	idnD//
RhaR-alpha-L-rhamnopyranose	
RhaS	ydcS//
RhaS-alpha-L-rhamnopyranose	rbsK//entA//lpxD//hycB//
Rob	nfsB//pnp//hcaC//ssuE//nemA//dapD//garR//eda//nirD//atoA//glk//ybjG//thrS//rpiB//glgP//gcl//lpxD//avtA//fadD//
RstA-Phosphorylated	paaB//fdhF//citC//
RtcR	glgP//tdcE//
RutR	puuA//ilvM//iscS//pck//kbaZ//paaI//cadA//asnB//epd//pykF//fadA//
SdiA	
SgrR	fadJ//glpK//cysI//
SlyA	eda//aroG//rpiB//aceF//nanK//rffG//wecC//mtlD//ilvH//
SoxR	citF//waaZ//idnK//asnB//codA//paaI//
SoxS	napA//fabB//dhaL//alsE//paaA//glgX//rutB//bioD//chbG//ssuE//nfsB//leuB//fadE//guaB//nrfA//ubiX//iscS//mltF//ppc//dmsA//rimK//gatY//astA//dkgB//pdeH//ilvI//rnpB//gutQ//
SrlR	alaA//xylB//phnI//
StpA	srlD//caiC//sgbE//
SutR	hmp//phoA//
TdcA	trpA//sdaA//sdhC//lysA//citC//
TdcR	paaG//ttdB//pdeR//yeaG//nemA//
TorR-Phosphorylated	tauD//allE//phnJ//fabB//
TorR-TorI	glpC//
TreR	pdeR//allB//
TrpR-tryptophan	rffH//polB//cysN//ppiA//metC//glpQ//garL//tdcD//tdcG//
TyrR	chbG//
TyrR-phenylalanine	caiB//uvrA//
TyrR-tyrosine	speG//bacA//moaE//dkgA//ddlB//pncB//leuC//gloA//
UhpA-Phosphorylated	ddlB//
UidR	ftsI//cysH//
UlaR	patD//ribA//atoA//rpiB//mhpC//
UvrY-Phosphorylated	tynA//paaA//
UxuR	rffM//pheT//bioD//avtA//cysH//
XapR-xanthosine	ppc//glpX//
XylR-xylose	mazG//ruvA//lacA//
YdeO	paaK//uvrA//metK//
YefM	ulaF//
YefM-YoeB	cysH//
YeiL	
YhaJ	
YiaJ	thrS//ldtC//bacA//tdh//umpH//glcD//
YjjQ	cysG//eno//
YpdB-Phosphorylated	
YqhC	citC//recF//
YqjI	pflB//
ZntR-Zn2	rutE//
ZntR-Zn2+	puuB//
ZraR-Phosphorylated	
Zur-Zn2	cadA//
Zur-Zn2+	nrfD//
