# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	gltB//cysC//
DnaA-ATP	bioA//cysJ//alsE//paaH//ynfF//garK//
DpiA-Pasp	malY//nagB//ubiX//hcaE//ynfE//
DsdC-D-serine	paaZ//glgP//
EbgR	
EnvR	hemH//sdhD//
EnvY	purK//sdhD//
EvgA-Phosphorylated	citG//mnmG//argC//ldtB//ttdA//tdcB//
ExuR	bioD//phnL//asnB//galT//dkgB//argC//
ExuR-alpha-D-galacturonate	
FabR	argH//purE//gloA//
FadR	feaB//idnO//araA//dhaK//glmS//caiA//waaH//trpD//prpD//moaD//aceA//dacC//citE//gabD//dkgA//nagB//lacZ//alkA//cysI//
FadR-acyl-CoA	
FeaR	mpl//adiA//
FhlA-formate	araA//fumB//metH//glgA//ubiC//dmsB//gdhA//pnp//
FlhDC	tauD//betA//ynfE//nrdD//phnP//malS//mraY//fbaA//napA//idnK//argI//ftnA//ccp//fumC//
FliZ	fadM//lysA//pncB//argI//malQ//
FucR-L-fuculose-1-P	speG//pflB//phnO//glcE//ybjG//phnP//
Fur-Fe2	dgcZ//recB//purK//rbsD//glgB//glxK//gdhA//nirB//nagA//gatZ//alkB//yiaK//tdcD//mhpD//bioF//hyaB//ulaD//hcaB//entD//phnI//tdcB//aceE//dmsC//fadD//wecC//pnp//gntK//cysD//entB//fadE//fadB//glk//allE//ilvM//argA//ynfH//atoD//purH//murQ//rbsK//uxaA//argC//dkgA//thrS//astD//moaC//tdcE//feaB//rffT//phnH//dapD//ccp//purE//treC//glyA//mhpC//allD//araD//gntK//uidA//fumB//melA//
GadE	cysE//gutQ//fabB//dinB//alaA//rhaB//dsdA//citD//aceF//glpC//
GadE-RcsB	galT//katG//nadA//ilvD//fdhF//
GadW	alsE//ung//tdcD//entE//
GadX	ycjG//carA//nirD//bglB//rhaA//glpB//deoB//melA//ynfH//ppsA//cynS//srlD//rutD//ahpC//
GalR	guaA//dmsC//waaH//sucC//ilvC//idnK//
GalR-beta-D-galactose	sodB//pgaB//fbaA//yqhD//uidA//
GalS	waaY//rimK//tehB//paaE//uvrB//accA//
GalS-beta-D-galactose	lacZ//asnB//fucK//ndh//leuB//
GatR	idnK//rffG//purK//
GcvA	lyxK//ftsI//rffT//
GlcC-glycolate	entB//pgaD//pyrD//
GlpR	murC//fumC//astE//pykF//purL//fadA//tam//
GlrR-Pasp56	
GntR	puuA//ulaG//ssuE//rhaB//moaC//gabD//caiA//gnd//ruvA//
GutM	nrdD//fadE//argG//
HU	glk//uxuA//ubiA//ilvG_1//pnp//yiaK//ydcS//
HcaR	
HcaR-HCA	gltD//hyi//
HdfR	
HigA	deoD//
HigB-HigA	ilvH//
HipAB	deoD//frdA//
HipB	codA//grxA//umuD//
HprR-Phosphorylated	ilvC//mngB//lpd//fadB//
HyfR	phnM//
HypT-Met-oxidized	sufS//napB//glcB//wecE//bioD//paaC//leuA//
IclR-pyruvate	fucI//moaA//dhaM//
IdnR-5-ketogluconate	talA//folA//allC//pnp//caiD//
IlvY	
IlvY-S-2-acetolactate	ulaF//
IscR	hemH//iscS//narI//hemL//zwf//glpQ//
IscR-2Fe-2S	ilvH//argI//
KdgR	ycjG//puuA//
KdpE-Phosphorylated	recD//
LacI	grxA//rtcB//mltF//
LeuO	glgC//murC//umuD//luxS//citF//tam//
LexA	cysK//accA//pgaB//pdeH//araD//rhaA//fbaA//serA//mngB//allA//cysG//prpB//speB//pyrD//rsmH//relA//rimK//nrdA//nrdA//allD//gadA//hycC//srkA//
LldR	dgcZ//lacA//
LldR-S-lactate	narG//atoA//
LrhA	
Lrp	metA//narH//fabI//moaD//aceE//cysI//pepD//ppiA//cyoE//fabH//ttdA//ychF//luxS//moaA//truB//puuE//mngB//aspA//rbsK//deoD//purK//ulaD//hemL//pgaB//recF//gltD//chbF//cyoE//hycG//argG//talA//
Lrp-leucine	ssuE//wecB//garL//purF//sdhA//sbcD//prpC//gltB//thrS//uxuA//caiB//pheS//narI//polB//nrdB//truB//rffG//
LsrR	paaY//purN//murI//puuE//purE//
LysR	cysE//
MalI	ahpF//malY//
MalT-maltotriose-ATP	carB//paaK//hyaA//gutQ//paaZ//grxA//
MarA	alkA//pfkA//glpA//ttdA//fucI//pgi//pyrC//frdC//glpD//purN//yeaG//hycB//idnK//feaB//pgi//ahpF//dapB//putA//oxc//pgi//ugpQ//phnH//fadJ//gcvH//
MarR	
MatA	paaG//
MazE	malP//
MazE-MazF	pdeH//
McbR	
MelR	nfsB//mhpB//
MelR-melibiose	sgbH//pflB//
MetJ-adenosylmethionine	rfe//ruvA//astB//uxuB//fdhF//carB//ilvH//hyaA//rffM//betA//
MetR	pdeR//fabH//
MetR-L-homocysteine	dadX//fdhF//
MhpR-3HPP	moeB//paaE//uvrC//mhpA//uxuB//deoB//
Mlc	rbsK//epd//ilvH//rhaA//
MlrA	leuB//
MngR	cueO//phnP//
MntR-Mn2+	phr//phr//
ModE-MoO42-	frdA//galK//bioF//allA//atoD//glmU//narG//cysK//rtcB//citF//metF//gcvH//polB//trpE//wecC//fbaA//citE//
MprA	alkA//glxR//astE//
MqsA	allB//moaE//
MraZ	wecE//mtlD//sdhA//ulaD//fumB//fumB//dmsC//dgcC//metH//mhpE//
MurR	epd//accD//paaY//
Nac	glk//dgcN//ldtD//lpxD//purN//atoB//aceF//rffG//purA//dapD//dgcC//
NadR	mpl//pdeR//glmU//pykF//
NagC	waaY//wecE//bioA//ybjG//murI//gcvT//cynS//hyaA//frdA//aceA//gnd//ygeA//fabD//phoA//sdhC//kbaZ//aspC//citG//narG//
NanR	purA//lsrK//moaC//dmsC//citD//phnO//
NarL-Phosphorylated	hemL//frdB//nadB//srlD//metE//gudD//tktB//pgaB//murF//epd//ilvI//entC//kbaY//lacZ//pgaC//hcaC//hmp//fucO//glcF//avtA//purN//paaG//pck//hyaA//ruvA//gabT//ilvM//moeB//patD//atoB//ttdB//eda//phnL//carB//wrbA//pdeL//recF//sodA//srkA//murI//uxuA//
NarP-Phosphorylated	accD//pgaD//dacC//ulaF//ahpF//dadX//glpA//alkA//frdD//mhpA//dhaK//malZ//glcB//accA//ilvD//
NemR	aspC//yqhD//
NhaR-Na+	fabZ//pgpC//argB//entC//nrfC//
NikR-Ni2+	lpxD//
NimR	codA//
NorR	purH//
NrdR-Zn2+	nfsB//folE//fbaB//atoB//
NsrR	zwf//ynfG//hyaB//lhgO//nrdE//sbcC//argF//alkA//astC//gatD//moeB//argH//bioB//waaH//garD//kbaY//malZ//glpK//metL//entC//nirD//pyrD//wecB//hypF//gcvH//rutD//napB//sdhD//fucU//caiB//phnG//dadX//aroH//tdh//hmp//appA//gntK//deoA//ugpQ//aceE//
NtrC-Phosphorylated	pgaB//rffH//glnA//rnpB//tadA//purK//frdC//mhpD//hycG//katE//rffM//leuC//gadB//tyrB//ahpC//argC//cyoE//paaG//metC//cyoE//dinB//
OmpR-Phosphorylated	pgk//ugpQ//cysC//katE//rfe//idnK//mhpC//acnB//
OxyR	allB//paaA//uidA//torC//rffC//garR//nrdF//murD//murD//nrdB//wzc//wecE//frdD//gltB//alsE//slt//pyrD//
PaaX	sdhA//ampC//tdcB//fabA//uxaB//glcD//ppiA//phnG//gltD//
PdeL	ilvD//
PdhR	tpiA//cynS//argC//codA//alsE//cysD//metE//putA//murG//glmS//pdeH//accD//fau//citE//ahpC//gntK//sgbH//ascB//phnJ//ldtC//mdh//guaB//paaA//garK//tdh//
PepA	uxuA//paaI//
PgrR	garR//gatY//
PhoB-Phosphorylated	pgk//garR//lpxA//phnH//cynS//ygeA//cysM//pgm//hmp//atoB//gpmA//paaF//tynA//glpQ//sdhD//cysG//polB//hypF//ilvH//rffG//
PhoP-Phosphorylated	ubiC//dacC//betA//pgi//ribA//entC//trpD//purC//thrS//aceF//galE//eda//yeaG//astA//metF//feaB//phnJ//ttdA//nanK//rtcA//purM//paaY//lacA//puuE//malQ//asnA//ulaE//glnA//rfe//argH//lhgO//fadH//
PrpR-2S3S-2-methylcitrate	paaE//tdcE//hyaA//purM//
PspF	phnG//
PurR-hypoxanthine	fucO//gcvH//tehB//nagA//hemL//sdhD//tdcG//leuB//gapA//xapA//wrbA//uvrB//trpC//nfsA//purD//rtcB//rbsK//alkA//cynT//ttdA//allC//prpE//fbaA//wrbA//fabD//ogt//
PutA	hypF//glgB//
PuuR	entE//rffG//wzc//ruvA//phnM//cysH//
QseB-Phosphorylated	
RbsR	grxA//cynT//pdeH//guaA//uxuA//
RcdA	prpD//
RclR	
RcnR	pepD//
RcsAB	accA//hcaD//nrfC//
RcsB-BglJ	nrfC//prs//
RcsB-Pasp56	eda//fucA//paaJ//aspC//
RelB	dmsC//
RelB-RelE	gabD//
RhaR-alpha-L-rhamnopyranose	
RhaS	treC//
RhaS-alpha-L-rhamnopyranose	polA//glpQ//pgk//gatD//
Rob	ulaF//acnA//ldtB//udp//iscS//phnP//lyxK//guaB//aroA//rutD//fumB//paaA//hemH//aldA//yiaK//uvrB//paaJ//waaH//gabT//
RstA-Phosphorylated	pgk//folE//aldA//
RtcR	argI//iscS//
RutR	hcaD//dkgA//waaZ//epd//mhpE//gpmM//malZ//pgpC//ilvA//treC//alsE//
SdiA	
SgrR	hcaE//phr//gltB//
SlyA	galM//mhpE//alsE//fabG//malP//ulaE//paaB//trpE//nanA//
SoxR	araA//sgbE//ynfF//srkA//sucD//gapA//
SoxS	ilvC//rnpB//hyaA//gpmM//speG//ybjG//lsrG//hycC//uvrB//bglB//xylA//paaY//pyrD//ybjG//speA//purF//trpC//grxA//hyi//sgbU//dhaK//gor//gdhA//napH//dapB//fabZ//argA//leuD//
SrlR	rnpB//argI//galE//
StpA	pagP//ynfG//metK//
SutR	pyrD//uxuA//
TdcA	gudD//katG//nadB//umpH//metA//
TdcR	cysC//phnP//moeB//idnO//sucA//
TorR-Phosphorylated	narI//glk//arsC//purC//
TorR-TorI	nagB//
TreR	sdhA//hyaA//
TrpR-tryptophan	napG//tnaA//sbcC//glxK//alkA//pgaB//cysC//yeaE//pfkA//
TyrR	napB//
TyrR-phenylalanine	tehB//grxA//
TyrR-tyrosine	fadA//ubiX//puuC//ubiX//uxuB//katE//pncB//araD//
UhpA-Phosphorylated	galT//
UidR	moaC//rffM//
UlaR	gadB//aroH//gor//fadE//feaB//
UvrY-Phosphorylated	lysU//rffC//
UxuR	guaA//torA//nrfC//paaI//prpE//
XapR-xanthosine	ilvC//gcvP//
XylR-xylose	polB//glgB//frdB//
YdeO	deoD//nanE//torA//
YefM	glgC//
YefM-YoeB	paaY//
YeiL	
YhaJ	
YiaJ	entA//phnJ//glgX//nrdB//nemA//icd//
YjjQ	garK//tehB//
YpdB-Phosphorylated	
YqhC	pdeR//metH//
YqjI	paaA//
ZntR-Zn2	aceA//
ZntR-Zn2+	rnpB//
ZraR-Phosphorylated	
Zur-Zn2	purN//
Zur-Zn2+	uxuB//
