# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	gdhA//alkB//
DpiA-Pasp	wecC//fabG//purF//dkgA//phnN//
DsdC-D-serine	folA//fruK//
EbgR	
EnvR	moeB//galM//
EnvY	hypB//polA//
EvgA-Phosphorylated	argE//ulaD//nrdF//fadI//dadA//ybjG//
ExuR	malY//ubiX//allB//ilvE//glxR//lacA//
ExuR-alpha-D-galacturonate	
FabR	ftsI//sdhB//malZ//
FadR	glgP//cysH//puuE//ppiA//mltF//purM//fbaA//nrdA//pgaD//cynT//sodB//yfdE//xylB//ppsA//ftnA//guaA//ulaE//glcB//codA//
FadR-acyl-CoA	
FeaR	tdcB//phnM//
FhlA-formate	ssuD//srlD//tyrA//oxc//gloA//pagP//fbaB//ruvA//
FlhDC	astA//astC//argF//sgbU//nrfC//tdh//prpB//umuC//ahpC//hycF//nrfD//ogt//gcvP//dmsB//
FliZ	carA//prpE//sdhB//gudD//prpD//
FucR-L-fuculose-1-P	ppiA//speB//hycB//mraY//xylB//xylA//
Fur-Fe2	ilvE//tdcG//aldA//purM//galM//codA//aceA//pgm//polA//slt//ccp//umuC//cueO//tdcB//paaJ//entC//cysN//glpQ//acnA//astB//dinB//speG//icd//kbaZ//deoA//deoC//cysI//rutC//pdeH//fumB//chbF//entB//ychF//ynfF//zwf//icd//glcE//purD//wecC//tdcE//lacA//pgk//paaG//hcaD//dgcZ//melA//paaK//nirB//phnL//fumC//fadA//moaE//aspC//ddlB//napG//fadH//hypB//frc//nfsB//pgk//aspA//glxR//
GadE	rtcB//dadA//garD//psd//speA//glpC//dinB//glpQ//frc//alaA//
GadE-RcsB	glk//uvrC//pyrC//phnO//glnA//
GadW	garK//udp//trpC//ftnA//
GadX	amn//ilvH//napH//polA//xylB//frc//aroH//nirD//accD//pfkA//purF//paaE//dacC//puuB//
GalR	rtcA//lysC//metL//accA//rutE//sgbU//
GalR-beta-D-galactose	moaD//galK//ldtB//purA//purF//
GalS	tynA//dmsC//galE//ccp//metB//cysJ//
GalS-beta-D-galactose	lsrK//dadX//ynfG//entD//sbcD//
GatR	pspE//tauD//ribA//
GcvA	mpaA//ung//napA//
GlcC-glycolate	pspE//bioA//sgbE//
GlpR	yfdE//aspC//serA//adiA//arsC//cueO//rffM//
GlrR-Pasp56	
GntR	relA//eno//malP//astE//mhpF//ynfF//melA//frdA//yfdE//
GutM	hycC//nrdA//ilvC//
HU	epd//pepD//aceE//nrdB//torA//atoB//narG//
HcaR	
HcaR-HCA	glgB//metA//
HdfR	
HigA	fadM//
HigB-HigA	accA//
HipAB	fabI//astE//
HipB	pspE//hyaB//lhgO//
HprR-Phosphorylated	narI//glcF//pgaB//purC//
HyfR	argH//
HypT-Met-oxidized	glpA//nrdF//aspC//tdcB//argB//yedX//fabI//
IclR-pyruvate	ychF//recF//accA//
IdnR-5-ketogluconate	fumC//fadE//lsrK//fabH//metB//
IlvY	
IlvY-S-2-acetolactate	ruvB//
IscR	glgX//waaY//recD//moeB//ilvG_1//patA//
IscR-2Fe-2S	narG//ilvM//
KdgR	entH//polB//
KdpE-Phosphorylated	ascB//
LacI	nrfD//folA//nrfC//
LeuO	fucA//phnG//adhE//malP//fumC//folA//
LexA	katE//murD//hemH//lysC//narI//sgbU//sucB//cynT//ung//sodB//hypF//idnO//glxK//uxaB//pflB//patD//fabI//gapA//allE//rffC//rtcA//glgC//pgaB//
LldR	ynfH//polA//
LldR-S-lactate	gloA//argD//
LrhA	
Lrp	pepD//sdhC//serA//dhaK//gcvP//idnO//ygeA//epd//mazG//tdcG//purE//nfsA//talA//aroF//paaF//wecC//alaA//nadA//accC//garL//rffT//moaA//pyrD//torA//citG//hypB//purD//bioF//speG//araD//bioF//
Lrp-leucine	uvrA//metB//sdhD//lysU//eno//ycjG//paaZ//astE//nrdB//narI//bglB//ttdB//frdA//deoC//leuB//hmp//allD//
LsrR	pgaB//cynT//aroH//speG//hyi//
LysR	fucU//
MalI	astC//dadA//
MalT-maltotriose-ATP	pgk//uxuB//uvrB//pgaC//nrfA//tdh//
MarA	relA//chbF//grxA//ulaD//paaK//napA//phnP//allC//phnO//uxaC//metL//metF//eda//lpd//waaH//dsdA//accC//mnmG//speA//glxK//nemA//hcp//entE//ppsA//
MarR	
MatA	bioB//
MazE	trpD//
MazE-MazF	narH//
McbR	
MelR	moeA//ynfG//
MelR-melibiose	nanA//yedX//
MetJ-adenosylmethionine	sgbU//hycE//ycjG//relA//uvrA//carA//ynfE//fucU//rutA//hypB//
MetR	argE//deoA//
MetR-L-homocysteine	accD//narH//
MhpR-3HPP	melA//trpD//umpH//bacA//moeA//phnH//
Mlc	glmS//tdcG//adiA//nirB//
MlrA	gltB//
MngR	pck//cysG//
MntR-Mn2+	glpD//galT//
ModE-MoO42-	ulaF//purB//deoD//pgaB//hcaB//uvrB//yedX//caiC//paaE//hcaC//murQ//rfe//xylA//mhpB//uvrC//umuC//cysE//
MprA	hycG//gdhA//sgbH//
MqsA	napB//eno//
MraZ	fucI//ugpQ//alaS//gadA//ruvB//pepD//alaA//rimK//tynA//astD//
MurR	paaH//phoA//edd//
Nac	tehB//sbcD//tehB//pgaB//tehB//sufS//cysC//hemL//ftnA//aroL//aceA//
NadR	tam//ilvA//tdcE//ilvE//
NagC	deoD//ftsI//uidA//waaY//glcB//ulaG//umuC//oxc//rffG//atoD//waaY//argA//amn//lpxD//dgcC//pykF//phnM//fadI//bioB//
NanR	pheT//ribA//entF//avtA//ilvG_1//phoA//
NarL-Phosphorylated	gnd//katE//paaK//cynT//pykF//mhpE//acnA//gcvH//entF//dapB//paaF//gntK//pyrD//phnM//betB//trpE//metK//bioD//patD//nrdA//pspE//gadA//sbcC//uxuA//wecC//yeaG//cadA//idnK//ychF//umuC//murI//dinB//dhaM//phnM//gcvP//adhE//bacA//fadJ//oxc//moaC//ilvG_1//
NarP-Phosphorylated	wecB//rtcA//dmsA//astB//torC//ilvI//adiA//waaY//rtcB//mazG//paaC//tynA//metA//purH//glgP//
NemR	ilvH//yedX//
NhaR-Na+	melA//frdB//allB//ahpC//frdC//
NikR-Ni2+	murQ//
NimR	xylB//
NorR	glgA//
NrdR-Zn2+	paaC//recB//glcD//ppc//
NsrR	citX//entE//kbl//lyxK//wecC//fucA//pheT//aldA//fabD//gcvP//metA//nadA//hemH//rutA//dinB//cysE//lsrF//serA//paaI//galM//pfkA//iscS//dhaM//metK//luxS//glpC//pflB//aceB//mhpC//ndh//pgaD//lysA//serA//betB//purH//glcF//dhaK//malS//fumC//alkA//
NtrC-Phosphorylated	prpE//hycG//leuA//thrS//lpxD//dgkA//pgaB//deoA//ftsI//truB//cysJ//alaS//uidA//rnpB//ascB//argG//argI//asnB//mhpE//nfsA//uvrB//
OmpR-Phosphorylated	hycF//ynfG//tam//fadE//rimK//glxK//moaC//hyaB//
OxyR	hycD//purF//asnA//glpD//allC//dhaM//moaC//ppc//luxS//lpxA//gatZ//frdD//oxc//tpiA//cysH//malZ//ssuE//
PaaX	waaH//tdcB//gntK//paaI//tyrB//rhaD//pflB//mraY//iscS//
PdeL	argH//
PdhR	mdh//leuC//speG//leuA//umpH//alkB//rsmH//argB//aceB//uxaB//feaB//puuA//nrfD//metB//argE//ftsI//paaZ//ssuE//glpB//murC//lysC//paaI//slt//galT//phoA//
PepA	ygeA//fumC//
PgrR	uxaB//putA//
PhoB-Phosphorylated	puuA//frdD//rffT//cysM//ulaE//mhpC//atoB//prpC//nrfA//paaB//fbaB//paaK//paaJ//sucC//gdhA//entH//pagP//fadD//pheS//hyaC//
PhoP-Phosphorylated	purC//rhaD//speG//hcaD//mtlD//glxR//cysH//yiaK//puuD//tdcD//lsrG//rutA//epd//paaE//fucU//lysC//narG//hycC//cysD//paaY//udp//fabA//garL//phoA//glgP//gpmA//umpH//hcp//hcaD//rimK//nrdF//phnI//
PrpR-2S3S-2-methylcitrate	ulaG//serC//gcl//idnD//
PspF	paaH//
PurR-hypoxanthine	garK//oxc//fruK//glpK//sucC//rpiB//wzc//gcvP//paaB//ulaD//pgk//moeA//glmU//rimK//aroH//dgcC//entC//mhpB//talA//dapB//lysU//waaH//pck//phnN//lyxK//tdcB//
PutA	wzc//mhpA//
PuuR	astE//accD//dinB//garR//waaY//fbaB//
QseB-Phosphorylated	
RbsR	tdcG//tyrB//gcvP//metA//murC//
RcdA	pheT//
RclR	
RcnR	lyxK//
RcsAB	hyi//fadI//glpC//
RcsB-BglJ	ynfE//garL//
RcsB-Pasp56	mhpA//garL//moeA//torC//
RelB	paaC//
RelB-RelE	cysN//
RhaR-alpha-L-rhamnopyranose	
RhaS	aroA//
RhaS-alpha-L-rhamnopyranose	fucU//malS//rffG//narG//
Rob	nadA//katE//tdh//argC//purL//hemH//ascB//dadX//umuD//metH//rhaA//wzb//nirB//bioC//hcaE//rhaA//bioA//dsdA//astE//
RstA-Phosphorylated	speB//gltB//phnG//
RtcR	purF//wzc//
RutR	nanM//argC//mtlD//puuB//paaA//dadA//citX//fadD//waaY//umpH//phnJ//
SdiA	
SgrR	dkgB//gadA//aceF//
SlyA	accC//prpD//phnM//tyrA//bioB//allE//ccp//argD//carA//
SoxR	glpX//murG//torC//purK//narG//dhaK//
SoxS	mtlD//murI//fabA//allD//pheT//hypF//moaC//sodA//ftsI//moeA//umpH//purE//dinB//tehB//nadA//citC//ndh//garK//sdaA//gatY//ydcS//hycG//entF//ubiX//yfdE//accC//nagA//iscS//
SrlR	rtcB//sdhD//sbcC//
StpA	yqhD//nagA//ilvD//
SutR	fabG//murC//
TdcA	rbsK//rtcA//dhaL//astD//pheS//
TdcR	dadX//lsrK//nrdB//lacZ//ilvH//
TorR-Phosphorylated	grxA//sbcC//sbcD//purC//
TorR-TorI	glcF//
TreR	relA//purH//
TrpR-tryptophan	narG//lacZ//nanA//gntK//glgC//pdeH//ulaD//ascB//rtcB//
TyrR	cadA//
TyrR-phenylalanine	phnO//glpD//
TyrR-tyrosine	dmsB//speA//napG//dsdA//nrdE//glgP//ybjG//lsrK//
UhpA-Phosphorylated	fabB//
UidR	cysG//glnA//
UlaR	dkgB//ubiA//pspE//chbG//ftsI//
UvrY-Phosphorylated	gudD//gapA//
UxuR	purK//frdB//ogt//kbl//glgB//
XapR-xanthosine	gnd//entB//
XylR-xylose	hemL//puuA//wecE//
YdeO	ruvA//tauD//puuB//
YefM	deoC//
YefM-YoeB	aldA//
YeiL	
YhaJ	
YiaJ	dmsA//sdhB//waaY//arsC//puuD//glpQ//
YjjQ	araB//moaC//
YpdB-Phosphorylated	
YqhC	moaD//frdD//
YqjI	hycE//
ZntR-Zn2	mhpF//
ZntR-Zn2+	tadA//
ZraR-Phosphorylated	
Zur-Zn2	nirD//
Zur-Zn2+	ynfF//
