# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	ahpF//hemH//
EnvR	garD//slt//
EnvY	paaZ//lysC//
EvgA-Phosphorylated	paaA//purC//sucA//fabA//serC//bglB//
ExuR	luxS//trpA//ynfE//gntK//paaZ//bioF//
ExuR-alpha-D-galacturonate	
FabR	luxS//nfsB//cysK//
FadR	hycB//pdeH//glpA//wrbA//rtcB//nanK//citX//argG//mdh//umpH//speA//hycE//carA//patD//polB//ndh//ychF//betA//cysN//
FadR-acyl-CoA	
FeaR	purD//sgbU//
FhlA-formate	mhpF//nfsB//tdcG//bioC//lldD//glcF//bioF//hcaF//
FlhDC	ilvE//mhpF//ubiC//mnmG//glxR//glcE//rffC//carA//purM//moaD//hcaE//murE//cysM//acnA//
FliZ	frdB//sucD//tynA//gdhA//adiA//
FucR-L-fuculose-1-P	glyA//entD//ulaF//idnD//feaB//rutE//
Fur-Fe2	fes//guaB//fucU//purC//puuA//fabA//lacZ//appA//trpE//lyxK//rtcB//tktB//entB//fbaA//uxuA//alaC//uxaC//ppsA//dkgA//pgaC//rffG//purC//dmsC//ftnA//aroA//uxuA//dhaM//purA//aspA//ychF//paaF//allC//hyi//arsC//eno//tdcE//dmsB//moaD//paaG//sufS//ftsI//ulaD//cysK//glcE//ndh//moaC//rimK//murI//araD//tadA//pgpC//bioF//cyoE//lsrF//murC//poxB//ygeA//aroL//rnpB//alaC//rffG//rhaD//
GadE	deoA//cueO//guaA//yedX//murE//uxaB//ilvG_1//moeB//allB//metB//
GadE-RcsB	cysN//rpiB//atoA//fbaA//argC//
GadW	recD//pdeL//gatZ//glcF//
GadX	tpiA//frdC//sufS//lacA//pncB//eno//wrbA//lacA//ascB//trpD//murG//hmp//entF//gcvP//
GalR	deoD//galK//fabD//malQ//gcvH//eda//
GalR-beta-D-galactose	tktB//fadE//bacA//metK//gloA//
GalS	ybjG//sufS//pgi//edd//phnL//glxK//
GalS-beta-D-galactose	fbaA//wecE//ruvB//cdd//citC//
GatR	rnpB//astA//ubiA//
GcvA	wecC//leuB//pncB//
GlcC-glycolate	umuC//melA//tynA//
GlpR	mpl//phoA//tnaA//umpH//hmp//hyaC//phnO//
GlrR-Pasp56	
GntR	xylA//argG//purF//pykF//mpaA//citX//argE//tyrA//ttdA//
GutM	hyaB//pdeR//mraY//
HU	hypB//yqhD//hycC//allE//nrdF//gatZ//gutQ//
HcaR	
HcaR-HCA	hemL//dmsC//
HdfR	
HigA	ogt//
HigB-HigA	avtA//
HipAB	bglB//dgcC//
HipB	rutC//nirB//fruK//
HprR-Phosphorylated	mhpF//pflB//ribA//fes//
HyfR	lacZ//
HypT-Met-oxidized	wecB//betB//metA//astB//purN//waaY//ynfF//
IclR-pyruvate	entH//alaA//paaC//
IdnR-5-ketogluconate	phnP//gatD//phnP//uxaC//trpC//
IlvY	
IlvY-S-2-acetolactate	bioC//
IscR	sdhC//glpA//feaB//nagB//tnaA//rhaB//
IscR-2Fe-2S	glgP//fabA//
KdgR	fabI//rffM//
KdpE-Phosphorylated	fau//
LacI	hcp//araD//murI//
LeuO	purC//gltB//garL//lysA//mraY//lldD//
LexA	umuC//hycF//bioA//fadI//lysA//metC//hyaA//ahpC//accD//ccp//ssuD//feaB//pheS//dgcC//hyaA//uidA//pheT//ynfG//treC//rhaB//pdeR//mngB//citF//
LldR	mhpB//nemA//
LldR-S-lactate	hcaC//prpB//
LrhA	
Lrp	metA//narH//hyi//rutA//ilvD//mhpB//pfkA//umuD//fucA//fabI//ppsA//dapD//yeaG//tdcG//codA//nemA//fadI//gatZ//ilvG_1//mhpA//nirB//nemA//glnA//glgP//ascB//bacA//fucK//napB//xylB//patD//edd//
Lrp-leucine	sgbU//sbcD//fadI//tpiA//wecE//dkgB//rhaD//paaI//nanM//ugpQ//srkA//ftsI//glxK//uxaC//fadB//kbl//cysK//
LsrR	cysH//malP//cysK//glk//ldtB//
LysR	mhpC//
MalI	pfkA//carB//
MalT-maltotriose-ATP	nfsB//ynfH//aldA//ulaE//torA//glpA//
MarA	puuA//pdeL//pykF//uxaB//wzc//hycD//purA//narH//rsmH//ubiC//glpA//pncB//purM//moeB//glxR//bioB//sdhB//umpH//frdD//nadA//frc//ftsI//ndh//rpiB//
MarR	
MatA	paaZ//
MazE	ugpQ//
MazE-MazF	srlD//
McbR	
MelR	pfkA//glpD//
MelR-melibiose	galM//astE//
MetJ-adenosylmethionine	lysU//sdhD//lsrF//frdB//patA//moeB//citE//nfsA//sgbH//rbsK//
MetR	trpD//pdeL//
MetR-L-homocysteine	gadA//entA//
MhpR-3HPP	moaE//dapD//srkA//pgaD//ulaF//nadB//
Mlc	acnA//pspE//moaD//napH//
MlrA	ulaG//
MngR	ulaF//glmS//
MntR-Mn2+	puuE//lhgO//
ModE-MoO42-	wrbA//gadB//murC//pyrD//pgm//fucI//moaC//cysM//citG//narH//ppiA//fadE//prpD//dgcN//sbcD//asnB//ilvI//
MprA	amn//phnI//ssuD//
MqsA	gutQ//hcaD//
MraZ	nirD//rutE//aldA//ynfG//ilvD//fumC//prpC//allC//gpmA//ahpF//
MurR	pgpC//argD//nirB//
Nac	uidA//glgX//hycG//ahpC//ilvM//mhpA//frdC//dsdA//trpE//ddlB//paaC//
NadR	mazG//allC//galT//fucU//
NagC	ftsI//ddlB//purD//purM//rsmH//grxA//dhaL//ynfG//bglB//gabD//citE//glgX//glcF//atoA//mpaA//malZ//nanA//sdhA//ilvE//
NanR	metH//paaH//ybjG//idnD//xapA//codA//
NarL-Phosphorylated	waaH//mhpE//recF//pepD//katE//glgP//bioB//astA//ppc//slt//speG//garR//fucI//glpB//gabD//paaA//lpxD//malP//gadB//atoB//katG//glgP//guaB//nagB//malQ//lysU//aldA//dkgB//uvrB//fadH//tyrA//glpB//dapD//rffM//gltD//mraY//rhaB//rtcB//ubiA//gabD//tdcD//
NarP-Phosphorylated	rbsK//frdC//avtA//pncB//moaC//speA//lsrF//hmp//dadA//lysC//fabG//gudD//hcaC//cysM//napA//
NemR	ogt//fucO//
NhaR-Na+	kbaY//yeaE//puuA//zwf//araD//
NikR-Ni2+	galT//
NimR	nadA//
NorR	aroF//
NrdR-Zn2+	edd//fruK//pncB//chbG//
NsrR	lyxK//ulaF//kbl//ubiA//metK//gatY//astC//lysC//dkgA//serA//gcvP//pepD//sdhA//folE//aroL//ndh//ddlB//mdh//ilvM//tpiA//trpD//ribA//astD//rffC//epd//metE//phnP//ttdB//dkgA//dapB//cysN//wecC//wzc//fau//codA//ppsA//rbsD//cysJ//aceB//umpH//
NtrC-Phosphorylated	purM//paaJ//lysU//codA//wecB//uxaA//ogt//rhaD//glcE//sdhA//fes//pncB//cysG//dapB//ruvA//fabD//sucA//sodB//gcvP//glk//gltD//
OmpR-Phosphorylated	bacA//frc//ilvH//argB//asnB//citF//aroG//ycjG//
OxyR	kbaZ//uidA//tauD//fbaB//fabD//trpD//tdcE//rtcA//nfsB//polA//fadB//rffT//ygeA//yqhD//sucB//glpA//bioD//
PaaX	idnD//bioA//malP//cyoE//gcvH//araB//bioC//waaH//paaA//
PdeL	nanE//
PdhR	sgbH//slt//waaY//atoB//glpX//cysE//torA//pflB//purA//talA//aldA//nirD//codA//recF//allD//cysJ//entD//allB//rpiB//chbF//folA//argC//dhaK//grxA//pgpC//
PepA	srlD//dacC//
PgrR	putA//phoA//
PhoB-Phosphorylated	rutE//ynfE//fabA//rbsD//phnI//polA//rhaD//hyaC//ynfF//glpQ//uxaB//yfdE//napG//purM//rbsK//paaY//entE//aceB//tdcB//ddlB//
PhoP-Phosphorylated	lyxK//phnO//atoD//pdeR//glsA//glcD//tdcE//cysN//galM//purB//dkgB//astA//sdhC//mazG//dmsB//lpxA//ssuE//narH//astC//cysD//leuC//speB//wecB//fruK//pnp//ttdA//rutB//nrfD//mazG//rfe//sgbE//argH//
PrpR-2S3S-2-methylcitrate	aspC//ftnA//murC//malY//
PspF	cysG//
PurR-hypoxanthine	murE//fadH//ttdA//fabA//moaD//aroL//puuD//pgm//araD//sdhA//ascB//deoC//phnM//rfe//glgX//frdA//fabG//sucD//cynS//talA//ynfF//argG//serA//dhaK//dapB//fes//
PutA	dmsB//fucO//
PuuR	nanK//kbaY//frc//phnJ//pck//gor//
QseB-Phosphorylated	
RbsR	fadI//astA//cysE//ulaF//ulaE//
RcdA	ilvG_1//
RclR	
RcnR	mpaA//
RcsAB	wzc//dadX//sucC//
RcsB-BglJ	puuA//adhE//
RcsB-Pasp56	accD//sucD//alsE//allC//
RelB	lysU//
RelB-RelE	leuA//
RhaR-alpha-L-rhamnopyranose	
RhaS	chbG//
RhaS-alpha-L-rhamnopyranose	metC//fucA//leuB//deoC//
Rob	metL//atoD//fadH//trpB//rffT//rpiB//paaF//ilvA//mhpF//wecE//bioA//relA//rbsK//ilvD//dgkA//glyA//citF//hypB//nadA//
RstA-Phosphorylated	bioF//mngB//purB//
RtcR	argI//argH//
RutR	argA//cysD//cysH//nirB//nanK//hyaC//bioF//fucU//ada//sucA//ugpQ//
SdiA	
SgrR	mhpF//fucU//citG//
SlyA	atoB//tdcG//ychF//gadB//ilvH//sodA//relA//ilvH//galT//
SoxR	asnB//bioB//tyrA//wrbA//wzb//mpaA//
SoxS	citE//purF//tdcB//phnL//tam//citF//serA//ulaE//pfkA//frdA//glxK//tam//hycC//aceF//puuE//galM//paaZ//ppc//nemA//frdB//sgbH//paaZ//rhaB//alaS//umpH//ulaE//trpD//murE//
SrlR	sodB//nfsB//lpxA//
StpA	fadA//ttdB//phoA//
SutR	entB//glxK//
TdcA	cysN//cynT//ilvI//metF//cynT//
TdcR	gcvT//glpX//frdB//murQ//idnK//
TorR-Phosphorylated	serC//glgP//fbaA//argE//
TorR-TorI	pdeL//
TreR	rutE//eno//
TrpR-tryptophan	udp//pyrD//ynfE//moaC//rutD//glpB//aroH//cynT//hycE//
TyrR	cysD//
TyrR-phenylalanine	tdcB//ilvC//
TyrR-tyrosine	galE//phnN//glnA//xapA//dapB//psd//nfsA//gcl//
UhpA-Phosphorylated	atoB//
UidR	galT//patA//
UlaR	citF//paaJ//gabT//murI//ada//
UvrY-Phosphorylated	bioB//codA//
UxuR	gutQ//galT//gpmA//atoD//fadI//
XapR-xanthosine	lsrF//ydcS//
XylR-xylose	hcaC//fucO//argF//
YdeO	glpX//umuC//paaJ//
YefM	ldtC//
YefM-YoeB	fabB//
YeiL	
YhaJ	
YiaJ	uxaA//gabD//nagA//araD//rhaD//ldtD//
YjjQ	dgcC//speG//
YpdB-Phosphorylated	
YqhC	fumC//puuD//
YqjI	dmsC//
ZntR-Zn2	glcE//
ZntR-Zn2+	galE//
ZraR-Phosphorylated	
Zur-Zn2	astD//
Zur-Zn2+	guaA//
