# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	fabH//dapD//
CynR-cyanate	tynA//lhgO//purC//
CysB	lpxC//dapB//
CysB-O-acetyl-L-serine	lldD//hcaB//folE//fabB//ada//recF//rffM//metK//pdeR//sufS//ruvA//glsA//galE//fucU//aroF//
CytR	ssuE//leuB//narH//lyxK//cysE//recD//treC//lysU//nrfA//ddlB//
Dan-L-tartrate	sgbH//hycC//
DcuR-Phosphorylated	pgaC//ruvA//paaG//uxuB//
DeoR	lysA//astC//adhE//glpB//malP//deoB//
DhaR	glxK//
DicA	
DinJ-YafQ	cysN//
DnaA-ATP	mpl//sdhB//nemA//hcaC//yiaK//pfkA//
DpiA-Pasp	rhaA//fabG//mnmG//dkgA//ubiA//
DsdC-D-serine	fabD//iscS//
EbgR	
EnvR	caiC//wecC//
EnvY	garR//appA//
EvgA-Phosphorylated	mdh//luxS//ulaG//murD//paaK//fadM//
ExuR	lldD//hycE//speG//narI//hcaC//alaS//
ExuR-alpha-D-galacturonate	
FabR	recD//atoD//rutD//
FadR	pepD//ldtD//putA//phnN//glcE//frdC//purK//kbl//gatY//folA//appA//phoA//purD//yedX//chbF//katG//dgkA//fadM//recB//
FadR-acyl-CoA	
FeaR	cysH//bglB//
FhlA-formate	ynfE//nrdD//lysU//bglB//astA//hycE//fes//ccp//
FlhDC	speA//paaH//ndh//lacZ//gpmM//paaK//kbl//mngB//gor//purN//adiA//entD//gor//lysC//
FliZ	nadA//fabH//dmsC//tehB//ilvA//
FucR-L-fuculose-1-P	fucO//ttdA//pykF//dapB//udp//alkA//
Fur-Fe2	fruK//ttdB//bioC//phnI//sdaA//gdhA//paaC//sdhC//asnB//glnA//epd//recF//asnA//wzc//dgcN//nfsA//ahpF//citD//citG//prpD//citX//glxR//glmU//sbcC//sgbH//metE//phnN//malY//melA//tdcB//glcD//cysD//bacA//cynS//fabD//accA//pheT//gcvH//phnN//ycjG//allB//purE//argG//mltF//nadB//cadA//torA//gcvT//garL//glgX//glcF//hycB//glpA//glcE//uidA//galT//garL//glgB//rffH//argE//mraY//malY//
GadE	dinB//rutE//nemA//malZ//phnG//ogt//umuD//malZ//speA//pykF//
GadE-RcsB	recF//cyoE//mdh//sdaA//aroH//
GadW	lysU//gapA//ycjG//entB//
GadX	napB//glmS//uidA//dkgA//dmsC//mhpC//sufS//phnL//kbl//leuB//ahpC//ydcS//sucA//accD//
GalR	ppsA//sgbU//ilvE//cysN//mraY//nanA//
GalR-beta-D-galactose	idnD//ulaG//rhaB//metA//srkA//
GalS	fucI//cyoE//sgbE//gor//glyA//phr//
GalS-beta-D-galactose	tktB//betB//citX//rutD//purD//
GatR	gcl//fabD//argA//
GcvA	rnpB//xylB//puuD//
GlcC-glycolate	ascB//dsdA//ndh//
GlpR	mltF//gatD//rutC//glpC//glpQ//gpmM//rsmH//
GlrR-Pasp56	
GntR	ndh//yeaG//waaZ//aceE//sgbU//rffG//napG//frdD//deoD//
GutM	phnN//cysE//metF//
HU	tktB//gor//nfsA//serA//glpQ//arsC//pykF//
HcaR	
HcaR-HCA	argC//prpC//
HdfR	
HigA	gudD//
HigB-HigA	ygeA//
HipAB	phnJ//hycC//
HipB	murI//gapA//phnP//
HprR-Phosphorylated	polB//dinB//cysD//recB//
HyfR	cysI//
HypT-Met-oxidized	hemH//uidA//dgcZ//pfkA//chbG//fucI//fadB//
IclR-pyruvate	alkB//malP//accA//
IdnR-5-ketogluconate	dgcN//mhpD//ubiC//carA//gloA//
IlvY	
IlvY-S-2-acetolactate	fbaB//
IscR	ycjG//hycG//paaY//kbl//glxK//ldtC//
IscR-2Fe-2S	truB//aroH//
KdgR	ilvH//hcaD//
KdpE-Phosphorylated	icd//
LacI	aroA//murC//pyrD//
LeuO	uxaB//glpB//torC//ilvH//garL//pykF//
LexA	tehB//dgcC//astC//ogt//yedX//atoA//allD//aceA//fadI//avtA//ulaF//asnB//udp//argG//tyrB//hcaD//fucI//glpD//nrfA//hcp//rutD//ilvC//malY//
LldR	mhpF//ung//
LldR-S-lactate	galE//fabI//
LrhA	
Lrp	ssuD//edd//trpB//yfdE//nanK//patA//sdaA//fbaA//zwf//gntK//ppiA//idnO//dinB//cysC//entF//argE//leuD//xylA//nrdE//fadM//ulaG//ilvM//folA//accA//nagA//rutB//puuE//prpE//metH//umuC//ampC//
Lrp-leucine	metK//xylB//metC//mraY//glmU//yqjH//galM//atoD//tdcB//tdcG//rffH//trpC//hmp//pykF//alkB//betA//accC//
LsrR	allC//umpH//hyaA//zwf//asnB//
LysR	serC//
MalI	alaA//gadB//
MalT-maltotriose-ATP	aspC//glpB//ldtC//puuB//cysG//waaH//
MarA	prpC//mnmG//glgC//ynfE//rtcA//trpC//ychF//accA//malY//epd//glk//aceB//nrfA//dapD//alaA//uxaB//sbcC//guaA//yqjH//gcvT//gnd//entB//wecB//nirD//
MarR	
MatA	cdd//
MazE	ccp//
MazE-MazF	purH//
McbR	
MelR	pgaC//ruvA//
MelR-melibiose	hypB//rpiB//
MetJ-adenosylmethionine	uvrA//accC//srkA//lpd//purC//pagP//murF//epd//cueO//malP//
MetR	paaY//fdhF//
MetR-L-homocysteine	fabI//xapA//
MhpR-3HPP	guaB//citG//tdcE//argB//polB//metF//
Mlc	speA//phnO//glpD//hemH//
MlrA	malZ//
MngR	glmU//purK//
MntR-Mn2+	fucI//nanE//
ModE-MoO42-	ccp//sucA//nirB//lpxA//glpC//cynT//alaA//gpmM//mhpA//mhpF//nrfC//gltB//paaI//fadH//ldtB//nrdB//fadD//
MprA	nagA//epd//glcB//
MqsA	sdhB//astC//
MraZ	caiA//nadB//rffG//glnA//fbaB//uxaA//paaA//cyoE//bioA//gatZ//
MurR	tdcG//katG//paaC//
Nac	lsrF//ynfE//argF//argC//serC//ygeA//leuD//bacA//fabH//recF//zwf//
NadR	lsrG//betA//entF//murE//
NagC	wzb//bglB//bacA//hcaC//rbsK//rhaA//glgX//umuD//sucD//lsrF//rsmH//aroF//entC//rffM//ilvH//ldtB//ugpQ//tynA//ugpQ//
NanR	purB//galE//caiA//pgaB//moaC//cysD//
NarL-Phosphorylated	speA//patA//tdcB//nagB//nfsA//atoA//argG//phnM//idnK//dapD//waaZ//caiA//tdh//nrfC//alaC//nagB//idnO//rfe//paaY//deoB//pgpC//trpD//atoD//caiC//wzb//uvrB//yeaE//bglB//fumC//prpC//prpC//nrdD//mpaA//wecE//cynT//carA//ccp//gabT//aceB//ldtD//melA//
NarP-Phosphorylated	pdeR//deoC//fes//pfkA//glmS//moeA//tehB//glpA//folA//lysC//gcvT//lsrK//cysD//pyrD//moaC//
NemR	sdaA//rnpB//
NhaR-Na+	deoB//galE//purL//rtcB//rsmH//
NikR-Ni2+	pspE//
NimR	mhpA//
NorR	adiA//
NrdR-Zn2+	cysJ//xapA//citD//astC//
NsrR	dmsA//dhaL//mhpD//ygeA//murE//recD//adhE//napB//cynS//ulaE//nrdE//ppiA//luxS//rsmH//mnmG//deoB//mnmG//gor//mhpF//glxK//sucD//cysH//pyrC//murC//ychF//ynfG//lpxC//fabZ//fadB//dadX//sbcD//adiA//fabD//rffC//galK//paaZ//cynT//murE//cysD//rffM//
NtrC-Phosphorylated	prpE//yqhD//bioC//murC//mpaA//alkB//cysE//allE//ybjG//paaH//argF//umpH//katE//paaH//citF//paaZ//uxuA//hycG//folE//wzc//fabB//
OmpR-Phosphorylated	rutE//dhaK//pagP//idnO//ubiC//moeB//ycjG//aceE//
OxyR	accC//sucA//melA//alsE//fruK//cysI//rbsK//argD//glpX//frdB//nrfC//mhpD//glcB//gatZ//putA//moaA//tpiA//
PaaX	nrdD//bioA//ugpQ//cysN//moaE//waaY//astC//pnp//sdhA//
PdeL	allD//
PdhR	guaB//glpB//yeaG//aceB//metA//lpxC//tdcG//deoB//sucC//dadA//murD//prpD//wecB//dacC//nagA//argD//glgX//mltF//pspE//glxR//gabT//hmp//udp//purK//tadA//
PepA	pgm//alkB//
PgrR	gntK//gor//
PhoB-Phosphorylated	entD//recF//nanA//ruvA//aroH//gnd//ynfE//trpE//tpiA//tynA//betB//napB//atoD//yfdE//ulaE//gdhA//pnp//citX//leuD//ruvB//
PhoP-Phosphorylated	xylA//entC//nrfD//hycG//ribA//entC//recF//frc//pheS//fumC//frc//glk//paaG//rhaD//garL//nagB//ulaD//gutQ//codA//fadA//gcvP//gcvT//ydcS//katE//carA//lyxK//ahpF//trpE//entC//argD//entB//glpQ//
PrpR-2S3S-2-methylcitrate	uvrB//paaF//entF//rtcA//
PspF	fdhF//
PurR-hypoxanthine	metL//fruK//gabD//tdh//hycC//bioF//puuC//ydcS//gltB//araD//uxaC//pgk//eno//idnK//speA//fucA//phnP//tdcE//hcaF//sdhA//garK//melA//ychF//rffG//serA//gloA//
PutA	dgkA//speG//
PuuR	hyi//ung//gdhA//purL//allB//gatZ//
QseB-Phosphorylated	
RbsR	narG//metE//dsdA//atoB//gudD//
RcdA	paaB//
RclR	
RcnR	rutD//
RcsAB	relA//tadA//nrfC//
RcsB-BglJ	aspC//puuB//
RcsB-Pasp56	tdcB//aroA//sbcD//glmS//
RelB	xapA//
RelB-RelE	yqjH//
RhaR-alpha-L-rhamnopyranose	
RhaS	pgaB//
RhaS-alpha-L-rhamnopyranose	lsrG//fadM//entB//nrfC//
Rob	rffH//iscS//glpA//argB//deoB//alsE//bioF//mazG//entB//dgkA//rffC//lysC//trpA//thrS//lacA//dapB//phnM//ung//rffH//
RstA-Phosphorylated	hypF//alaA//ribA//
RtcR	moaC//pheS//
RutR	patA//sdhD//purK//hyaB//ddlB//prpC//pgaC//bioD//lysC//trpB//folA//
SdiA	
SgrR	frc//pgaB//hypF//
SlyA	hycE//wecE//uvrA//acnA//galE//atoA//astE//ynfH//allB//
SoxR	yeaE//idnK//gpmM//gdhA//malS//ppc//
SoxS	glxK//ilvA//pck//appA//prpC//pck//sufS//citC//purL//gor//hcaC//cdd//rffC//gapA//rutE//rutA//phnL//metK//wzc//carB//ftnA//nrdD//sodB//ynfF//purM//prpB//mdh//rutB//
SrlR	ldtC//rpiB//rutD//
StpA	gudD//fucI//deoC//
SutR	tyrB//entD//
TdcA	purM//iscS//polA//gcl//pspE//
TdcR	prpC//tam//gatY//sodA//srlD//
TorR-Phosphorylated	aroF//gutQ//phnG//bglB//
TorR-TorI	pdeR//
TreR	gltD//trpA//
TrpR-tryptophan	metE//pnp//ccp//purM//puuE//ndh//ppsA//aldA//ilvA//
TyrR	nirB//
TyrR-phenylalanine	glcB//hyaB//
TyrR-tyrosine	adiA//allB//caiC//glmU//rfe//asnA//wzc//dapD//
UhpA-Phosphorylated	lhgO//
UidR	purC//accD//
UlaR	metK//pfkA//lpxD//waaY//argH//
UvrY-Phosphorylated	wecB//kbaZ//
UxuR	ttdB//hcaB//mdh//rutB//paaC//
XapR-xanthosine	pepD//ilvC//
XylR-xylose	rpiB//citE//glyA//
YdeO	tyrA//hyi//sdhD//
YefM	narG//
YefM-YoeB	gabD//
YeiL	
YhaJ	
YiaJ	phnP//uvrB//gcvP//hycB//lpxC//pgi//
YjjQ	fucO//pdeR//
YpdB-Phosphorylated	
YqhC	nrfA//betA//
YqjI	dkgB//
ZntR-Zn2	trpC//
ZntR-Zn2+	napG//
ZraR-Phosphorylated	
Zur-Zn2	phnO//
Zur-Zn2+	fadJ//
