# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	ada//rutD//
Mlc	appA//moaD//ung//speA//
MlrA	entE//
MngR	pnp//idnK//
MntR-Mn2+	uxuB//gltB//
ModE-MoO42-	deoA//alaS//pgk//ynfE//narH//moaC//ilvD//glyA//aroL//argB//prpE//entA//ppsA//purN//tauD//paaK//atoA//
MprA	kbaY//astB//gcvH//
MqsA	mraY//paaI//
MraZ	speA//tehB//glpA//guaB//avtA//fabZ//rtcB//ruvB//purM//leuC//
MurR	trpD//aldA//tdcG//
Nac	prpB//speA//lacA//glpQ//fbaB//napB//nrfA//nrdE//fabB//cynS//glmU//
NadR	cysD//hycC//galT//ilvG_1//
NagC	dgcZ//dmsA//malZ//metE//aroA//dacC//nrfA//rtcA//ilvD//pheS//astD//mhpF//tauD//aspC//recB//paaI//glgB//entA//ampC//
NanR	grxA//tauD//grxA//phnJ//wzc//nadA//
NarL-Phosphorylated	hcaF//cysI//waaY//purD//murQ//lpxC//putA//gltB//moaA//adiA//glsA//glk//waaZ//dsdA//folA//gloA//purB//idnK//rffM//epd//glgB//asnB//paaJ//pheT//dgcZ//dinB//murC//pgi//paaF//fabD//trpB//dkgA//gor//fadM//phnO//cysE//nanE//ybjG//pepD//metF//ilvD//
NarP-Phosphorylated	fadA//ruvA//dmsA//pyrC//murC//ldtD//cysE//ilvD//lpxD//entB//entC//hycG//melA//tdh//bacA//
NemR	appA//napA//
NhaR-Na+	fbaA//puuD//waaH//dhaL//entE//
NikR-Ni2+	hycC//
NimR	glpQ//
NorR	lysA//
NrdR-Zn2+	glgC//nagB//gapA//allB//
NsrR	gltB//bacA//pdeH//galM//glgA//gatZ//allE//purF//rffH//nrdA//umpH//gcvH//ilvM//nagA//fes//waaZ//leuD//murE//rimK//cysI//phoA//nrdA//lsrF//mnmG//purL//dsdA//araA//eno//aceA//dapB//ilvA//bacA//eno//hyaC//hcaD//nirB//allE//puuB//gltD//lysC//
NtrC-Phosphorylated	guaA//cysK//rhaA//gutQ//lacZ//mhpA//pdeL//ccp//fumB//citF//murE//carA//pdeR//sgbH//gadA//gltB//gatZ//prpE//tdh//sgbU//zwf//
OmpR-Phosphorylated	gabT//moaE//fabG//mhpB//citG//paaY//phnM//betB//
OxyR	pgaB//glpQ//xylA//araD//sucD//entB//puuB//kbl//phnJ//nadA//metB//ilvC//betB//rffG//prpC//relA//metB//
PaaX	ftsI//truB//puuB//hcaB//moeA//cyoE//kbl//idnD//speB//
PdeL	gapA//
PdhR	glnA//fabI//slt//allB//ilvH//recB//napB//ubiC//nirB//nrdE//argA//hyaC//uxuB//phnJ//uvrB//metK//fadI//glgP//ilvA//ilvE//yedX//mazG//entF//polA//bioF//
PepA	tdcD//allE//
PgrR	entB//rutA//
PhoB-Phosphorylated	tdcD//galK//acnB//rhaD//hyaC//moaA//hcaD//prpE//recB//recF//uxaB//nanK//ppsA//mraY//speB//speB//alkA//rutA//asnA//purF//
PhoP-Phosphorylated	glgC//purF//trpD//nrfA//sdhC//tyrA//sdhB//tdh//glpC//gabD//paaK//frdC//purF//cysD//leuA//glk//glnA//malP//nrfD//frc//yqjH//ftsI//garD//metK//torA//ynfG//tehB//cynT//fucA//fau//prpD//pgm//
PrpR-2S3S-2-methylcitrate	garL//tdcE//metE//glyA//
PspF	phr//
PurR-hypoxanthine	entE//glpA//astA//narG//dkgA//serC//aceB//glgX//ccp//fabG//metK//lpxC//ycjG//fadI//galT//phnJ//napB//icd//glyA//folE//ttdA//metF//patD//tdh//moaD//gltD//
PutA	nanE//ilvA//
PuuR	argH//folE//asnB//dmsB//eno//glcF//
QseB-Phosphorylated	
RbsR	rsmH//sbcC//tam//ndh//gatZ//
RcdA	hycG//
RclR	
RcnR	cysK//
RcsAB	waaY//tdcG//ybjG//
RcsB-BglJ	tadA//waaY//
RcsB-Pasp56	rbsD//cysM//metE//leuB//
RelB	pepD//
RelB-RelE	glmU//
RhaR-alpha-L-rhamnopyranose	
RhaS	fumC//
RhaS-alpha-L-rhamnopyranose	alkB//bglB//entA//srlD//
Rob	hycF//ilvD//ssuE//narH//citF//argH//ulaF//ilvH//wrbA//dsdA//dhaK//napA//narG//cysJ//cysD//pepD//pgpC//puuE//ldtC//
RstA-Phosphorylated	hemH//nrfC//pnp//
RtcR	nemA//glpQ//
RutR	napA//ydcS//fdhF//rfe//umuC//nanE//hyaC//katE//glgA//pheS//guaA//
SdiA	
SgrR	glcB//fabH//fdhF//
SlyA	accA//sucA//carA//guaB//phnI//hcaF//tynA//tdcB//glcD//
SoxR	purL//ycjG//cyoE//yqhD//nanA//purN//
SoxS	argA//purE//lsrK//tpiA//nagB//malS//moaC//pdeL//ahpF//cynT//katE//ychF//argG//dapB//gcvH//citD//ilvH//umpH//sufS//gcvT//hcaC//rutE//ttdB//trpA//cysC//aroF//lpxA//trpD//
SrlR	polA//uidA//moaA//
StpA	frdA//patD//nrdA//
SutR	fabD//idnO//
TdcA	ychF//prs//lldD//wrbA//rnpB//
TdcR	ascB//uxaB//hyaB//garL//pepD//
TorR-Phosphorylated	putA//nanK//ydcS//leuD//
TorR-TorI	dapB//
TreR	allC//pgi//
TrpR-tryptophan	mhpD//lysC//malP//pdeR//pspE//fdhF//ulaE//psd//deoB//
TyrR	asnB//
TyrR-phenylalanine	cynS//malQ//
TyrR-tyrosine	citD//feaB//astC//astA//lpxA//sgbE//aroF//rtcA//
UhpA-Phosphorylated	aroA//
UidR	entH//avtA//
UlaR	cysK//speG//yqjH//frdD//umuC//
UvrY-Phosphorylated	alkA//glgC//
UxuR	pspE//argD//cysG//alaA//entA//
XapR-xanthosine	cadA//gntK//
XylR-xylose	ulaE//hycF//metH//
YdeO	ubiC//metC//napB//
YefM	garK//
YefM-YoeB	entH//
YeiL	
YhaJ	
YiaJ	ulaE//cadA//leuC//hypF//wrbA//bioC//
YjjQ	allE//torA//
YpdB-Phosphorylated	
YqhC	ruvA//nrfD//
YqjI	ddlB//
ZntR-Zn2	entC//
ZntR-Zn2+	cysD//
ZraR-Phosphorylated	
Zur-Zn2	sdhA//
Zur-Zn2+	nanA//
