# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	bioC//rbsD//
GlpR	entD//ccp//glxR//ynfH//glgP//pagP//trpD//
GlrR-Pasp56	
GntR	codA//ilvM//wecB//pyrD//glcF//aldA//idnK//atoB//lysA//
GutM	prpC//mhpF//ilvC//
HU	mhpF//lysC//prs//xapA//glmS//ubiA//ulaD//
HcaR	
HcaR-HCA	dkgB//tam//
HdfR	
HigA	yiaK//
HigB-HigA	frdA//
HipAB	nadB//cysG//
HipB	tynA//malY//ddlB//
HprR-Phosphorylated	ynfE//relA//aroA//paaE//
HyfR	mhpF//
HypT-Met-oxidized	sufS//nrdF//cysK//paaA//araD//torC//allA//
IclR-pyruvate	torA//rutC//murG//
IdnR-5-ketogluconate	hemH//melA//moaD//trpC//narI//
IlvY	
IlvY-S-2-acetolactate	ugpQ//
IscR	mhpD//sgbU//grxA//alaA//frdC//purK//
IscR-2Fe-2S	phnG//purL//
KdgR	speG//gltD//
KdpE-Phosphorylated	ttdB//
LacI	cynT//rbsD//patA//
LeuO	gatY//chbG//ilvE//wzb//ldtB//glpD//
LexA	aspA//pfkA//dsdA//ppc//lpxD//dapB//cysJ//fucI//citD//fucA//phnN//carB//gadB//ddlB//araB//napG//deoC//hemH//araD//dgcZ//glmU//dadX//allE//
LldR	hmp//uxuA//
LldR-S-lactate	dinB//rimK//
LrhA	
Lrp	cysN//cysC//frdD//glgB//glnA//mazG//frdA//mraY//nemA//pykF//purL//gatZ//glgA//ldtC//nemA//sodA//argC//hycC//dsdA//alkA//malP//gnd//lyxK//moaA//glgP//dhaM//nrdF//dadA//paaK//recF//ppiA//
Lrp-leucine	paaE//paaZ//murQ//edd//puuE//gcvP//mhpB//udp//paaC//gatY//fucO//gatY//lsrG//napH//rffH//leuD//hypB//
LsrR	hmp//hcaD//ahpF//hcaB//rtcA//
LysR	hyaB//
MalI	waaH//paaZ//
MalT-maltotriose-ATP	ubiA//ogt//ftsI//fabD//gatD//serA//
MarA	aspC//gpmM//atoA//murI//aroL//gltD//lsrF//torA//dmsB//waaY//glpB//lsrK//entB//phnP//yeaG//fabA//uxaB//pyrD//pgaB//fabZ//fumC//fadA//ubiA//malZ//
MarR	
MatA	lpxD//
MazE	fau//
MazE-MazF	fdhF//
McbR	
MelR	uvrC//treC//
MelR-melibiose	metH//rffC//
MetJ-adenosylmethionine	purH//nrdF//allB//chbG//aceA//pck//speG//pspE//cueO//xylA//
MetR	entH//sdhC//
MetR-L-homocysteine	rutA//napA//
MhpR-3HPP	rsmH//astE//argD//gutQ//puuD//talA//
Mlc	feaB//hyaB//fucK//tnaA//
MlrA	moaA//
MngR	tyrA//gpmA//
MntR-Mn2+	fes//malS//
ModE-MoO42-	mnmG//gatD//gloA//lldD//folE//yfdE//leuB//yqhD//puuA//rimK//bioC//glpB//prs//citC//fadA//patD//cysD//
MprA	hypF//hcaD//prs//
MqsA	deoA//purB//
MraZ	alsE//glxR//lacZ//glpC//purN//citD//mdh//patA//purL//ung//
MurR	fbaB//dhaL//folA//
Nac	gatY//nrdD//srlD//lysU//sucA//prpC//ygeA//tdcD//alaS//amn//gutQ//
NadR	speB//fadB//narH//fabA//
NagC	phnL//uxaC//torC//glpX//araD//dhaM//tam//araB//metH//dsdA//nanE//hyaA//entA//glgX//aroH//moaE//glpC//gltB//ruvA//
NanR	putA//ada//glmS//folE//trpE//aroL//
NarL-Phosphorylated	allA//ahpC//paaC//idnD//hcaC//xapA//ampC//fumC//tauD//dmsA//hmp//ubiX//gor//adiA//dgcZ//ascB//moeA//nrdD//ftnA//glcB//dapD//grxA//xapA//hcaD//aspA//napB//idnK//poxB//fadH//betB//garK//rhaD//mhpE//ilvG_1//alaC//fadH//phnM//wecC//glnA//dmsA//fucO//
NarP-Phosphorylated	napB//atoA//puuC//wecC//alaC//glnA//aceA//pspE//ldtD//phr//glcE//hycC//iscS//wzb//nanK//
NemR	ydcS//phnI//
NhaR-Na+	ldtB//pdeL//lacZ//trpE//paaG//
NikR-Ni2+	glpA//
NimR	phnI//
NorR	accD//
NrdR-Zn2+	bioC//accC//gltB//ahpF//
NsrR	amn//ubiC//hycC//katE//fumC//slt//gpmM//fbaB//putA//cdd//alaA//ynfG//ampC//murG//mltF//uvrC//malZ//metE//ilvH//allE//ulaE//malS//moaE//ndh//deoC//bioD//citE//cynS//glcD//rtcA//entH//ppc//dgcC//ubiX//astA//garL//paaH//hcaF//nfsA//hemL//
NtrC-Phosphorylated	fumB//ydcS//talA//deoA//prs//bioC//murG//rimK//ynfG//betA//tdcG//idnK//accD//sucD//phnM//lpd//alsE//pagP//epd//phnM//sdhD//
OmpR-Phosphorylated	entE//chbG//pck//fabD//fadB//waaH//lyxK//pgpC//
OxyR	fbaB//astA//asnB//prs//glyA//aspA//fadM//prpE//hcaE//gutQ//mraY//ldtC//ybjG//fabG//ilvH//nrdB//glgB//
PaaX	tdcE//dadX//recF//bglB//betB//paaI//sbcC//gadA//purD//
PdeL	sgbE//
PdhR	umuD//umuD//glyA//nrdA//gatZ//appA//narG//ttdB//ubiX//cyoE//napB//oxc//ulaE//caiD//hemH//pspE//entD//alkB//cysE//ilvH//dadX//mhpF//ung//hypF//glgX//
PepA	gcvP//sdhB//
PgrR	lpd//fucK//
PhoB-Phosphorylated	allC//ung//gor//fau//gutQ//aceF//lysA//glpA//mdh//iscS//alaA//wzc//rutE//nrfD//pheS//rtcA//phnL//fucK//pdeH//rtcB//
PhoP-Phosphorylated	hyaB//gcvH//glmU//nadB//ndh//fumC//moeB//gcvT//fadA//metE//purF//nrfD//paaJ//tnaA//deoB//udp//dmsC//talA//phnH//rnpB//ahpC//sdhD//fadD//katG//murD//umuC//nanM//glgX//uidA//paaG//nanK//sucC//
PrpR-2S3S-2-methylcitrate	frdB//ulaG//hycE//murF//
PspF	fbaA//
PurR-hypoxanthine	rpiB//mazG//uidA//dhaK//speA//paaB//sucC//malY//lyxK//mhpA//sbcC//alaC//adhE//metK//fumC//thrS//metL//arsC//phnN//purM//ilvA//metE//argE//dmsB//codA//waaZ//
PutA	cysC//paaE//
PuuR	deoD//pgi//fadD//deoD//slt//rbsK//
QseB-Phosphorylated	
RbsR	napB//phoA//pdeR//yeaE//bioF//
RcdA	wzb//
RclR	
RcnR	dapD//
RcsAB	astB//mhpD//rutE//
RcsB-BglJ	rutE//paaG//
RcsB-Pasp56	lacA//araB//dkgA//truB//
RelB	tdcE//
RelB-RelE	bioB//
RhaR-alpha-L-rhamnopyranose	
RhaS	fbaB//
RhaS-alpha-L-rhamnopyranose	argB//aroG//citD//talA//
Rob	tdcB//tam//bioF//argB//hemL//truB//pnp//chbF//dgcN//uvrB//frc//paaF//rutE//mhpB//nirD//gcvT//wrbA//pspE//ruvA//
RstA-Phosphorylated	deoB//paaB//ahpF//
RtcR	ampC//glsA//
RutR	cysC//lysA//sbcD//kbaY//nemA//ilvE//slt//pheT//atoD//deoD//ddlB//
SdiA	
SgrR	ppc//hyaB//ndh//
SlyA	lacA//rtcB//sucD//purL//pgk//fabH//fucO//garL//epd//
SoxR	gadA//guaA//oxc//glcF//astA//mtlD//
SoxS	yqhD//eda//carA//gntK//pagP//argE//glgA//dgcZ//kbaY//trpD//ybjG//nfsA//argA//accC//moaD//narG//truB//tyrB//malQ//dkgB//cynT//metE//nrdF//yedX//ttdA//fbaA//fadJ//idnK//
SrlR	iscS//araB//gcvH//
StpA	gor//deoB//gudD//
SutR	lsrK//fbaB//
TdcA	katE//pdeL//glxR//fadH//fadI//
TdcR	prpB//ydcS//idnO//wecE//fadM//
TorR-Phosphorylated	oxc//garD//glpB//kbaY//
TorR-TorI	fabA//
TreR	pnp//fabG//
TrpR-tryptophan	fadM//metK//aceA//aceA//malQ//adiA//ilvM//uxaB//amn//
TyrR	luxS//
TyrR-phenylalanine	trpE//uvrC//
TyrR-tyrosine	ldtB//trpC//sdhA//fabH//nadA//ppiA//asnA//napH//
UhpA-Phosphorylated	phnI//
UidR	uxaB//xapA//
UlaR	pgaD//fdhF//rhaA//citE//dgcC//
UvrY-Phosphorylated	hcaF//prs//
UxuR	aroL//thrS//aroH//mpaA//ruvA//
XapR-xanthosine	paaA//fadI//
XylR-xylose	glgC//rffG//nadB//
YdeO	nanA//dhaM//yedX//
YefM	glpA//
YefM-YoeB	lysC//
YeiL	
YhaJ	
YiaJ	pgaB//atoD//acnB//nrfD//aroL//ilvA//
YjjQ	yqjH//glyA//
YpdB-Phosphorylated	
YqhC	nadA//tynA//
YqjI	fdhF//
ZntR-Zn2	pgi//
ZntR-Zn2+	malP//
ZraR-Phosphorylated	
Zur-Zn2	tpiA//
Zur-Zn2+	sucB//
