# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	aroF//paaB//
GalS-beta-D-galactose	frdC//ydcS//recD//wecC//hmp//
GatR	torA//slt//cysG//
GcvA	rutD//sucA//hycG//
GlcC-glycolate	mhpA//pspE//hcaC//
GlpR	entE//ilvH//purA//speG//bioC//ttdB//rhaB//
GlrR-Pasp56	
GntR	luxS//dgkA//lpd//ldtD//ttdA//epd//ssuD//citD//galK//
GutM	pyrD//ribA//gabT//
HU	metK//rutE//murF//accC//psd//caiA//purM//
HcaR	
HcaR-HCA	mhpA//argG//
HdfR	
HigA	gatZ//
HigB-HigA	dmsA//
HipAB	chbG//rffH//
HipB	tdcB//mraY//epd//
HprR-Phosphorylated	araA//rutC//murG//folA//
HyfR	tauD//
HypT-Met-oxidized	katG//glcF//dsdA//tdcD//prpE//cysM//paaY//
IclR-pyruvate	hycC//ilvI//pgaD//
IdnR-5-ketogluconate	dinB//fumC//glgA//nagB//rimK//
IlvY	
IlvY-S-2-acetolactate	luxS//
IscR	wecE//betA//rhaA//cynS//pgaD//pyrC//
IscR-2Fe-2S	xylB//alkB//
KdgR	pncB//tdcB//
KdpE-Phosphorylated	nadA//
LacI	uvrA//gapA//fucA//
LeuO	mhpE//phnH//uvrC//srlD//tktB//nanM//
LexA	pagP//yedX//ychF//umpH//cdd//fes//phnG//zwf//sodB//gcl//glyA//fes//purC//moeB//recD//glpB//dgcZ//tpiA//bioB//pdeL//umuC//tdcG//fau//
LldR	prpD//deoC//
LldR-S-lactate	dapD//allB//
LrhA	
Lrp	gadB//deoD//bioC//lysC//cysH//glgX//grxA//fadJ//deoA//ilvG_1//udp//nrfA//prs//paaC//aceA//putA//leuB//pfkA//bioF//cysE//prpC//dmsB//katE//ilvG_1//recD//moaC//bglB//paaB//rutA//aceE//guaB//
Lrp-leucine	araB//glpX//lhgO//aroF//narH//deoA//argI//trpB//polB//hycF//yqjH//glmS//malQ//sodA//fabD//recB//aroA//
LsrR	ddlB//glpB//fbaA//nemA//accC//
LysR	argG//
MalI	nrdE//paaA//
MalT-maltotriose-ATP	hypF//murC//truB//deoA//deoA//garK//
MarA	icd//citC//treC//purB//allA//glgX//dgkA//murF//pflB//ldtB//accD//hypF//ppiA//xylA//sucC//fruK//rffC//gcvP//gcvT//metB//phnG//entF//slt//deoA//
MarR	
MatA	gutQ//
MazE	rffM//
MazE-MazF	glpD//
McbR	
MelR	treC//luxS//
MelR-melibiose	dapD//purM//
MetJ-adenosylmethionine	atoD//waaZ//sucB//astE//pykF//rfe//gcl//zwf//glpA//uvrB//
MetR	metE//tadA//
MetR-L-homocysteine	ldtC//fadH//
MhpR-3HPP	tam//aceE//rutA//glnA//lpd//rnpB//
Mlc	glnA//fadA//glpX//zwf//
MlrA	purH//
MngR	glyA//gpmM//
MntR-Mn2+	argH//dhaM//
ModE-MoO42-	oxc//gcvP//ilvI//glsA//glgP//chbF//cdd//ogt//ribA//bacA//uxaA//gudD//ada//frdA//bglB//ynfF//argC//
MprA	umuD//allE//aroH//
MqsA	ynfF//sucB//
MraZ	phnH//tam//gpmA//garK//puuB//hyaC//rpiB//serC//fucK//pgaD//
MurR	asnA//garR//pspE//
Nac	caiC//ldtC//putA//glsA//mhpD//aceB//ubiC//nirB//sdhA//tdcG//fabB//
NadR	gdhA//alsE//ilvA//dgcN//
NagC	citE//purD//aldA//talA//astD//frdB//hyi//ppiA//yedX//nanA//ung//betA//chbF//puuC//uxaB//lysU//prpD//tyrA//alaA//
NanR	metH//dadX//fbaB//fumC//phnI//trpA//
NarL-Phosphorylated	pheS//metE//relA//sbcD//pgaC//yqjH//accA//rimK//sdhC//glcF//mpaA//ilvH//fdhF//argC//fadB//astB//dhaK//aceE//allE//malZ//xylB//dmsA//galK//ung//purM//chbG//glsA//frdB//hyaB//lacA//waaY//frc//fucA//lacA//cadA//idnD//pgaB//bioB//gntK//paaJ//purN//
NarP-Phosphorylated	dkgB//ccp//cysM//udp//gcl//iscS//puuC//purC//citG//allE//ndh//rbsK//waaZ//eno//ddlB//
NemR	cysN//paaJ//
NhaR-Na+	murG//mhpA//paaE//speB//wecE//
NikR-Ni2+	prs//
NimR	ulaD//
NorR	torC//
NrdR-Zn2+	ada//uxaB//pnp//poxB//
NsrR	hemH//grxA//uvrC//rffT//rffH//ulaD//nrfD//cysN//cysG//fabA//polB//sdaA//icd//aroG//trpB//rimK//dadX//paaY//prpD//sucA//aceB//aceF//murC//pgm//garL//paaA//pncB//patA//pdeH//zwf//frdB//argB//garR//speG//torA//pgaD//fucA//dsdA//mpaA//metB//
NtrC-Phosphorylated	aspC//hcaF//umuC//metH//rutB//gcl//frdB//murD//dsdA//moaA//purE//rbsK//nanM//citD//fucA//mngB//tyrA//nanK//aroA//astE//asnB//
OmpR-Phosphorylated	sodB//metC//aroA//gcvT//torC//recD//ubiC//citE//
OxyR	metL//purA//glpK//ssuE//putA//gadB//uvrC//glcD//dmsB//ulaG//cysG//tdcB//serC//carA//fruK//purE//murC//
PaaX	tdcG//glpC//tyrB//moaA//allE//ampC//ung//prpC//gatY//
PdeL	uvrA//
PdhR	dgcC//phnM//asnB//moeB//dkgA//ygeA//rfe//treC//narH//carA//nanM//araB//tdcE//purK//dgcN//ynfG//pagP//lysC//aldA//paaF//codA//metC//pgaB//dmsB//mhpD//
PepA	fadH//glnA//
PgrR	asnA//frc//
PhoB-Phosphorylated	yedX//rnpB//trpE//tdcE//glgP//dinB//paaI//tdh//phnI//bioF//pheS//gabT//moaA//ilvC//napH//hycC//trpA//allD//hmp//ulaF//
PhoP-Phosphorylated	avtA//paaZ//puuD//frdB//mazG//pdeL//rffH//psd//aceF//patA//argI//gcvH//mngB//folE//epd//torA//cynT//entB//puuE//atoB//acnB//argC//cynT//pfkA//sdhB//metA//frdC//narI//luxS//ndh//waaY//alkB//
PrpR-2S3S-2-methylcitrate	ldtD//tktB//phnL//cysM//
PspF	pgk//
PurR-hypoxanthine	glpC//gcvT//glpD//tdh//sucD//cyoE//gatZ//icd//fumB//dadX//hyaA//uxaC//pheS//mhpB//leuB//uidA//tpiA//purM//bacA//betA//folA//serA//bglB//speG//speG//srlD//
PutA	metE//gadB//
PuuR	xylB//polA//leuD//sdhA//citF//cysI//
QseB-Phosphorylated	
RbsR	hcaE//ampC//moaA//gapA//paaK//
RcdA	hcaB//
RclR	
RcnR	hcaE//
RcsAB	ubiC//pdeH//truB//
RcsB-BglJ	fadE//narI//
RcsB-Pasp56	fucI//aceE//ynfF//thrS//
RelB	pspE//
RelB-RelE	lacZ//
RhaR-alpha-L-rhamnopyranose	
RhaS	pgm//
RhaS-alpha-L-rhamnopyranose	gabT//phnH//ubiC//nanE//
Rob	prs//fadE//gapA//rbsD//garD//trpE//dhaL//narI//ppiA//nanE//glgB//ilvC//lacZ//argC//nagA//ccp//dmsB//guaA//lsrF//
RstA-Phosphorylated	xylA//arsC//uxaC//
RtcR	purK//fabD//
RutR	fruK//hmp//hyaC//tadA//rtcB//metB//aspA//ampC//glxR//cysN//paaJ//
SdiA	
SgrR	lsrF//thrS//fau//
SlyA	argI//fadJ//rtcA//paaY//rbsD//uxuA//fdhF//phnO//cynS//
SoxR	dkgB//moaC//asnA//nrdB//dgcN//fdhF//
SoxS	aspC//tynA//cysK//allD//yfdE//wecC//caiB//citF//ilvM//pheT//gdhA//torC//yiaK//glpB//nrdF//rutD//glnA//fau//fabH//cysJ//trpB//yfdE//mngB//nanM//rbsD//umuD//idnK//fabG//
SrlR	trpD//dmsB//glsA//
StpA	puuD//dhaM//rffH//
SutR	rffC//nanK//
TdcA	pspE//murD//dsdA//rtcB//bioB//
TdcR	allE//thrS//sucC//nrfA//uxuA//
TorR-Phosphorylated	xylA//rhaD//fucA//hypF//
TorR-TorI	accC//
TreR	folA//gnd//
TrpR-tryptophan	rfe//murI//hyi//rbsD//astB//pgaD//fabB//iscS//cysM//
TyrR	lsrF//
TyrR-phenylalanine	frdC//glyA//
TyrR-tyrosine	fadE//yfdE//fadM//fabI//aceA//accC//paaG//epd//
UhpA-Phosphorylated	nadB//
UidR	ulaD//malS//
UlaR	kbaY//sdhA//acnB//hypF//ldtD//
UvrY-Phosphorylated	nrdA//aspC//
UxuR	pepD//tadA//mpl//torC//fadD//
XapR-xanthosine	alsE//astE//
XylR-xylose	araB//gcvP//hcaE//
YdeO	citC//deoB//trpA//
YefM	murF//
YefM-YoeB	alaS//
YeiL	
YhaJ	
YiaJ	rnpB//hcaC//puuD//gatY//rffT//cadA//
YjjQ	nrfA//asnB//
YpdB-Phosphorylated	
YqhC	adiA//melA//
YqjI	ilvA//
ZntR-Zn2	pyrD//
ZntR-Zn2+	serA//
ZraR-Phosphorylated	
Zur-Zn2	gatZ//
Zur-Zn2+	tdcE//
