# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	cdd//waaY//
MraZ	sdhB//cysM//ldtD//hyaA//entF//melA//fes//aroH//lhgO//rimK//
MurR	prpC//hmp//paaI//
Nac	tadA//eno//paaC//puuC//tyrA//dgcC//asnA//avtA//gltB//metB//caiB//
NadR	gcvH//ampC//metC//alkB//
NagC	cyoE//fbaB//bglB//fabA//mraY//waaZ//prpD//nrdB//tauD//napG//paaH//pgaB//fbaA//pgk//phnP//thrS//pdeL//frdA//paaH//
NanR	allB//polA//glpD//deoB//astE//nanE//
NarL-Phosphorylated	galE//moeB//purN//metA//aroL//guaA//citE//fabG//nagB//hyaA//pgk//hemL//citF//metA//betB//astB//nirD//glgX//lysA//accA//ilvD//fabI//nfsA//edd//phnP//lsrK//glpK//pflB//ubiA//rhaD//paaK//adhE//tnaA//astA//arsC//metC//gadA//cysE//polB//nirB//ampC//
NarP-Phosphorylated	alaS//pgk//glgP//rhaA//wrbA//murF//dmsA//nrdD//tyrB//lysA//wecE//ydcS//patD//mpaA//hmp//
NemR	gabD//guaA//
NhaR-Na+	tadA//fucU//mpaA//purD//hcaC//
NikR-Ni2+	allE//
NimR	torC//
NorR	umuD//
NrdR-Zn2+	moaE//asnA//murG//paaH//
NsrR	malY//hycB//uxaB//sgbH//accC//alaA//bacA//codA//purL//serC//entF//ccp//tdcB//argG//waaZ//paaC//cysJ//mazG//lpxD//deoD//mraY//folA//sucD//pykF//bglB//guaA//metK//tdcE//glnA//relA//treC//talA//aroH//leuB//hyaC//gatY//cysG//tauD//alkB//cysD//
NtrC-Phosphorylated	purM//idnO//rfe//sucC//aceE//entB//malQ//gcvP//pdeR//ldtC//dadX//hmp//mpl//cysD//cynT//prpB//sdhB//aroL//ilvE//astC//aroH//
OmpR-Phosphorylated	bioC//argF//fadM//sdhD//dhaL//ilvH//alaC//pykF//
OxyR	hyaA//fadE//hycB//frdB//sdhD//luxS//glgP//trpE//nagA//astC//hcaB//trpE//bioA//ilvH//sucB//wecE//adiA//
PaaX	dacC//garK//atoA//ulaD//adiA//ynfF//serC//araA//glcB//
PdeL	guaA//
PdhR	murF//srkA//metC//glgC//hycB//glcF//uidA//yfdE//tdh//fabI//melA//murF//lpxD//hypF//fucK//ilvM//fadA//cysM//gloA//talA//idnD//tnaA//nfsA//murI//tpiA//
PepA	mhpC//gatY//
PgrR	purB//ahpF//
PhoB-Phosphorylated	entF//hcaC//leuC//codA//fadB//hyaA//bioC//ubiA//murQ//torC//tnaA//frdA//fabA//frdB//glgB//wzb//fruK//atoB//hcaF//speG//
PhoP-Phosphorylated	eda//xylA//bioB//aroH//speG//dkgB//recD//pgpC//argF//sufS//malQ//entH//codA//sucB//glpB//pagP//pck//fucU//cysG//frc//torA//ynfE//ruvA//asnB//pykF//sodB//frdB//cysN//accD//cadA//pagP//ilvG_1//
PrpR-2S3S-2-methylcitrate	yiaK//mltF//prpB//lyxK//
PspF	fadM//
PurR-hypoxanthine	dadA//gcl//paaJ//katG//fadB//paaA//metL//citD//citG//entC//aceE//atoD//tadA//nanA//nrdB//ttdB//metA//rhaD//deoB//fadD//melA//tpiA//hyaB//hycE//pflB//nfsB//
PutA	rffH//tyrA//
PuuR	bioC//nemA//yfdE//dmsA//murE//moaA//
QseB-Phosphorylated	
RbsR	aroF//dmsC//eno//ycjG//metA//
RcdA	sucC//
RclR	
RcnR	ubiX//
RcsAB	nagB//dgkA//bacA//
RcsB-BglJ	yqjH//nanA//
RcsB-Pasp56	nirB//lsrK//ulaF//torA//
RelB	aroA//
RelB-RelE	ppsA//
RhaR-alpha-L-rhamnopyranose	
RhaS	rtcB//
RhaS-alpha-L-rhamnopyranose	pyrD//wecB//frdC//xylB//
Rob	xapA//nagB//sodA//chbG//hyaC//frc//fabB//betA//gdhA//bioB//allD//ulaD//alaS//moaD//ccp//glpD//nrdA//gntK//rffC//
RstA-Phosphorylated	nanM//xylA//ogt//
RtcR	hycG//pgaD//
RutR	nanA//cysG//cadA//prpD//katG//sucA//argE//accA//uidA//rhaD//napH//
SdiA	
SgrR	rffM//citC//bioD//
SlyA	asnB//patD//purH//glcB//gdhA//nagB//yqhD//lpd//adiA//
SoxR	lysA//ssuE//moaD//gnd//ulaE//rutB//
SoxS	aroH//rtcB//gdhA//rpiB//hyaA//pspE//uxuA//cynS//torA//paaG//thrS//tnaA//metF//ruvB//lsrK//nanA//patD//paaH//fucU//uxaC//gapA//ilvA//trpE//uvrC//ccp//glk//waaH//pheS//
SrlR	yeaE//fadD//nemA//
StpA	glpD//umuC//lpxD//
SutR	uidA//ilvA//
TdcA	aroF//pgk//pdeH//fadE//dgkA//
TdcR	phnI//fadJ//fucI//eda//lysA//
TorR-Phosphorylated	astA//paaC//ttdA//fucA//
TorR-TorI	recF//
TreR	rbsD//frdC//
TrpR-tryptophan	tadA//putA//glcF//yqjH//narI//tdh//ssuD//allB//katE//
TyrR	gltB//
TyrR-phenylalanine	mpaA//aceA//
TyrR-tyrosine	ada//ttdB//ubiC//ppiA//glyA//sucA//rhaA//phr//
UhpA-Phosphorylated	hcaB//
UidR	paaC//fadM//
UlaR	phoA//astB//nagB//treC//nrdB//
UvrY-Phosphorylated	moaC//gcvP//
UxuR	ascB//nadA//ldtD//rpiB//pgi//
XapR-xanthosine	pepD//glgB//
XylR-xylose	ung//yedX//citE//
YdeO	rffH//murC//pdeH//
YefM	dadX//
YefM-YoeB	pykF//
YeiL	
YhaJ	
YiaJ	dinB//thrS//aroH//glmU//rutC//phnP//
YjjQ	phnL//metB//
YpdB-Phosphorylated	
YqhC	aroF//folA//
YqjI	gcvH//
ZntR-Zn2	gor//
ZntR-Zn2+	carA//
ZraR-Phosphorylated	
Zur-Zn2	ahpF//
Zur-Zn2+	phnJ//
