# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	phnO//gatZ//
PhoP-Phosphorylated	nanM//deoA//cynT//hmp//glgA//prpB//paaJ//aroF//ynfF//paaC//puuA//dinB//metE//glnA//phnO//prpC//ung//fucO//malQ//rutB//ynfE//dhaK//lpxC//fabA//trpB//serA//alkB//aspC//aroL//tehB//folE//murQ//
PrpR-2S3S-2-methylcitrate	ppc//codA//trpE//allA//
PspF	dgcN//
PurR-hypoxanthine	deoD//ilvG_1//tdh//pheT//napH//rfe//araB//fucA//pgaD//gapA//chbF//entC//garK//murC//gadA//poxB//moaE//phnN//waaZ//glnA//nanK//avtA//purE//lldD//garR//malY//
PutA	fabB//argG//
PuuR	dsdA//tdcG//glk//citG//carA//recB//
QseB-Phosphorylated	
RbsR	frdD//lpd//idnK//arsC//cyoE//
RcdA	cueO//
RclR	
RcnR	tynA//
RcsAB	trpC//ulaE//argI//
RcsB-BglJ	tdcD//napH//
RcsB-Pasp56	polB//cysJ//kbaY//lysC//
RelB	hcaB//
RelB-RelE	nanM//
RhaR-alpha-L-rhamnopyranose	
RhaS	glcF//
RhaS-alpha-L-rhamnopyranose	atoA//garK//tadA//ilvD//
Rob	frc//sucA//prpB//wzc//acnA//rutE//malP//prpD//nirD//gatZ//gudD//lpxC//aroA//nrdD//puuE//metH//ldtB//accC//paaB//
RstA-Phosphorylated	paaF//hcp//serA//
RtcR	lysA//dkgB//
RutR	prpD//zwf//gabT//betB//truB//citG//hmp//glpA//umuC//rtcB//uidA//
SdiA	
SgrR	mltF//glpD//ruvB//
SlyA	fadA//frc//metA//galE//cysN//purL//nrfD//recD//trpA//
SoxR	xapA//recD//pgi//frdD//citX//mazG//
SoxS	purA//murD//astC//purB//ygeA//fadM//thrS//gcl//tadA//nanK//sodA//ulaE//atoB//cysK//recD//waaH//dadA//wzc//moeA//argD//dinB//fucK//pheS//uxuB//lysC//accA//murI//ttdA//
SrlR	ubiC//pepD//waaZ//
StpA	waaY//galT//ynfG//
SutR	lsrK//dadA//
TdcA	moaA//gloA//hemH//nfsA//dgcN//
TdcR	ybjG//rbsD//narH//pykF//atoA//
TorR-Phosphorylated	mhpE//ubiX//fadH//citX//
TorR-TorI	allB//
TreR	nanK//allC//
TrpR-tryptophan	codA//dmsC//astC//glpC//cynT//gntK//cdd//citG//cynS//
TyrR	purL//
TyrR-phenylalanine	hyi//rutD//
TyrR-tyrosine	polB//entD//leuD//garK//dhaL//tauD//murE//puuC//
UhpA-Phosphorylated	nirB//
UidR	fabB//wzb//
UlaR	ldtD//lpxC//poxB//phnG//pykF//
UvrY-Phosphorylated	argF//trpB//
UxuR	ung//phnJ//frdA//aldA//pagP//
XapR-xanthosine	gcvT//paaE//
XylR-xylose	mnmG//poxB//edd//
YdeO	mdh//dgcN//atoD//
YefM	lacZ//
YefM-YoeB	ldtB//
YeiL	
YhaJ	
YiaJ	fabI//zwf//kbl//mhpF//rffH//hyaA//
YjjQ	purN//talA//
YpdB-Phosphorylated	
YqhC	hcaB//ilvC//
YqjI	dacC//
ZntR-Zn2	malP//
ZntR-Zn2+	mtlD//
ZraR-Phosphorylated	
Zur-Zn2	hyi//
Zur-Zn2+	fadE//
