# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	folA//gpmM//
Cra	sdhB//nrdA//ddlB//paaF//sgbU//sufS//ldtC//phnL//araD//fadD//sbcD//moeB//paaK//yedX//ilvG_1//eda//aceE//deoB//puuD//kbaY//purF//glpX//ilvA//entC//dhaM//pgk//murI//araA//bioF//nrfD//gabD//carB//tadA//rpiB//ilvD//murE//ribA//edd//ynfE//aceE//gltB//deoA//phnM//murI//folA//glpB//prpE//dapB//sgbU//nrfC//fumB//sdhD//rutE//gutQ//cysG//glcD//dapB//bioD//ulaD//
CreB-Phosphorylated	uvrA//phnL//
CsgD	allE//mhpC//avtA//mdh//pdeL//
CsiR	deoA//recD//tpiA//gnd//
CspA	pyrC//
CueR-Cu	paaH//avtA//cysJ//leuA//pgpC//
CusR-Pasp	sbcC//rutA//purN//appA//
CynR	
CynR-cyanate	fabI//paaK//dgkA//
CysB	phnH//allC//
CysB-O-acetyl-L-serine	uxaC//tpiA//edd//fes//gadB//fes//iscS//alaS//fucO//waaZ//tyrB//paaC//pflB//phnJ//nanM//
CytR	mltF//citD//trpE//purF//fadB//lsrG//uvrB//sgbH//purF//dkgB//
Dan-L-tartrate	pck//ascB//
DcuR-Phosphorylated	recD//pyrD//wecE//paaA//
DeoR	ssuE//purD//argE//narI//cadA//waaZ//
DhaR	thrS//
DicA	
DinJ-YafQ	thrS//
DnaA-ATP	uvrC//pgaB//amn//gatY//ilvC//sdhD//
DpiA-Pasp	tdcG//galK//mltF//deoB//fadB//
DsdC-D-serine	lpxD//lacA//
EbgR	
EnvR	aspA//recB//
EnvY	astE//hyi//
EvgA-Phosphorylated	entE//alsE//atoA//rffT//hcaB//alkA//
ExuR	metC//purF//accD//entB//umpH//prpB//
ExuR-alpha-D-galacturonate	
FabR	glpB//aroH//garL//
FadR	cysN//chbF//sbcC//acnB//pdeH//purK//rffM//ldtB//ybjG//ilvE//rutE//rffH//kbaZ//glgB//nrfD//alaA//malQ//ilvC//fadD//
FadR-acyl-CoA	
FeaR	serC//betA//
FhlA-formate	ycjG//mhpE//ogt//metL//accC//metB//paaI//dkgA//
FlhDC	tauD//ulaD//paaF//entH//hcaF//rutD//citG//moaA//gatZ//kbaZ//srlD//narH//gcl//sdhB//
FliZ	betB//iscS//glcD//aceA//dkgA//
FucR-L-fuculose-1-P	entB//entA//rutA//sodB//wzb//rutE//
Fur-Fe2	rutC//slt//leuA//glcD//rutA//sbcC//ung//paaK//citC//paaA//garR//trpA//leuA//sgbE//rffM//fumB//aroA//aspC//dapB//frdA//murQ//ppiA//tdcD//slt//sgbE//ilvH//gudD//waaH//argD//hyaB//rhaD//napH//metB//bioA//yeaG//purC//ampC//mtlD//sbcD//gltD//lysU//frdB//rsmH//polA//bioA//sufS//feaB//fabA//hcaC//yiaK//iscS//sdhB//acnB//ftnA//rffC//speA//lsrK//fabI//caiB//dgkA//garL//sucC//
GadE	cadA//galM//ddlB//yeaE//lsrK//polB//tyrA//garD//recF//phnM//
GadE-RcsB	allB//murE//sufS//torA//iscS//
GadW	mngB//glmU//pspE//ilvC//
GadX	moaD//entB//purC//purD//idnD//betA//eda//ilvM//acnA//uvrA//nemA//caiA//hemH//gpmA//
GalR	araD//sodB//fabD//phr//phoA//sucA//
GalR-beta-D-galactose	fau//mhpA//ulaG//ulaD//lsrG//
GalS	guaA//ssuD//epd//tehB//trpD//gpmM//
GalS-beta-D-galactose	paaI//tdcE//lpxC//phnJ//ilvA//
GatR	rfe//arsC//zwf//
GcvA	ftsI//galT//idnD//
GlcC-glycolate	yfdE//treC//mhpF//
GlpR	atoA//fucA//puuE//yfdE//leuB//sbcD//nemA//
GlrR-Pasp56	
GntR	ascB//rutD//ppiA//ilvD//uxaC//caiD//paaC//rnpB//rbsD//
GutM	murC//thrS//hmp//
HU	yeaE//paaC//alaC//epd//astC//rfe//puuB//
HcaR	
HcaR-HCA	rffM//sbcC//
HdfR	
HigA	asnA//
HigB-HigA	ycjG//
HipAB	uxuA//caiA//
HipB	yfdE//gpmA//nirD//
HprR-Phosphorylated	tpiA//aldA//mpaA//bioD//
HyfR	aceE//
HypT-Met-oxidized	ydcS//ubiC//argH//metC//hyaC//bacA//glpK//
IclR-pyruvate	relA//luxS//cysM//
IdnR-5-ketogluconate	carA//aroL//nadB//rffT//ynfH//
IlvY	
IlvY-S-2-acetolactate	narG//
IscR	fruK//ppiA//fucI//deoD//galE//gloA//
IscR-2Fe-2S	sdhB//fucK//
KdgR	sgbH//gatZ//
KdpE-Phosphorylated	citE//
LacI	lldD//paaC//gcvH//
LeuO	ilvI//citD//rffH//glcE//glcE//rhaA//
LexA	arsC//bglB//leuC//purH//dgcZ//cysC//paaF//fadI//uxaC//luxS//umpH//sufS//allC//fabA//hycE//deoA//cynT//argD//araD//glnA//kbaZ//aceA//moaC//
LldR	umpH//pepD//
LldR-S-lactate	umpH//purF//
LrhA	
Lrp	caiC//xylB//torC//aspA//nirD//cynT//nadB//asnA//tehB//aceA//citE//mpl//malP//tktB//pgaD//yiaK//betB//trpC//yeaG//ygeA//gabD//uvrC//tdh//nrdD//rffM//murC//murF//fucU//mhpE//malP//sbcC//
Lrp-leucine	hcaE//fabH//nrfC//rhaD//ulaE//deoC//galT//xylB//purH//hemH//lysA//mhpD//ubiA//moeA//dgkA//cysC//purH//
LsrR	pyrD//glxK//narH//katG//hypB//
LysR	ynfG//
MalI	entH//rtcA//
MalT-maltotriose-ATP	rbsK//wecE//gatY//purK//metF//nagB//
MarA	ulaD//frc//nadA//deoA//napB//nanK//ynfF//aroG//thrS//moaD//lpxC//dacC//ddlB//gloA//lysA//pdeH//uxuA//ftnA//lsrK//puuD//ubiC//prpB//glpX//ubiX//
MarR	
MatA	hemH//
MazE	garR//
MazE-MazF	fabD//
McbR	
MelR	deoC//betB//
MelR-melibiose	kbaY//entE//
MetJ-adenosylmethionine	paaB//cysD//kbl//fes//kbaZ//tadA//paaZ//arsC//fes//fadB//
MetR	napB//hyaC//
MetR-L-homocysteine	pdeL//uxaB//
MhpR-3HPP	leuB//purF//hycE//citG//glpB//purC//
Mlc	fadD//malQ//glpC//gabD//
MlrA	fadJ//
MngR	rbsK//deoD//
MntR-Mn2+	glgX//hycB//
ModE-MoO42-	xapA//galK//asnA//fes//dhaL//nadA//dhaL//lysC//fabH//nrdB//katE//metL//tadA//ugpQ//putA//paaC//hycD//
MprA	citD//cysC//fadJ//
MqsA	betA//fadI//
MraZ	tyrB//sodB//ulaG//allD//gltB//putA//gatD//zwf//moaE//purD//
MurR	yqhD//uidA//speA//
Nac	ascB//mltF//cysJ//sbcC//tdh//argE//garD//mhpB//glpD//rbsD//ugpQ//
NadR	nanM//fabD//udp//malY//
NagC	phnO//glk//wzc//gutQ//malP//malQ//murF//cysJ//hypB//aceA//galK//lhgO//glmS//ygeA//phnN//paaF//purC//gor//sdhC//
NanR	luxS//ppc//lpxD//patD//eda//nirB//
NarL-Phosphorylated	eda//avtA//folA//galK//ubiX//rffG//metB//ilvM//cysC//glk//luxS//frdA//ulaG//pgaB//ssuD//araB//dinB//glk//glxK//pykF//accC//lhgO//fadA//frc//rfe//mtlD//nfsB//phnO//fadB//mltF//entF//dkgB//rutE//gatY//puuA//gor//phnG//tynA//paaY//idnK//acnB//
NarP-Phosphorylated	ubiX//ttdA//bioF//carB//codA//citG//aspC//recD//fucU//alsE//murE//allC//relA//ugpQ//gutQ//
NemR	malQ//moaD//
NhaR-Na+	purN//napA//alsE//sbcC//fadB//
NikR-Ni2+	ldtC//
NimR	ldtD//
NorR	alaS//
NrdR-Zn2+	avtA//glgA//xylA//appA//
NsrR	xylB//cysG//rutC//fabD//frc//sufS//alkA//astE//uvrA//nrdB//phnH//ugpQ//pdeH//lyxK//napB//tnaA//rffG//galM//pdeR//gdhA//entB//galK//fadM//hycE//cyoE//bioD//lysC//citC//paaH//gcvP//asnB//cdd//ndh//alaA//sdhA//nanM//luxS//phnO//ldtC//ccp//
NtrC-Phosphorylated	dkgB//galE//ppc//malP//mdh//purN//tnaA//hyaB//ydcS//uvrC//sdaA//aroG//dapD//uxaB//carA//nrfD//cysD//alkA//lysC//gloA//cysM//
OmpR-Phosphorylated	psd//tauD//tadA//rfe//dhaK//lpxD//pyrD//dmsB//
OxyR	glgA//ynfG//uidA//nrfD//prpD//malY//uxuB//ilvH//purK//relA//ynfE//hypF//tyrB//glgB//nfsB//narG//purF//
PaaX	aspC//hycD//bioD//aspA//cysI//cysJ//nrdE//ung//gatY//
PdeL	trpD//
PdhR	uxuA//hemH//paaA//phnO//ynfF//rhaB//cadA//pheS//trpD//idnD//thrS//rnpB//katE//alkA//tehB//cysG//dkgB//sdhD//speB//cysJ//citF//citG//cueO//pyrC//kbaY//
PepA	lpxA//mazG//
PgrR	gatZ//rtcB//
PhoB-Phosphorylated	fucA//pepD//citE//frdD//serC//moaC//metL//dhaL//fadH//sdhC//dgkA//nrdA//srkA//nanA//bioF//recF//fadH//fdhF//waaH//glgP//
PhoP-Phosphorylated	alkA//argG//frc//ldtB//narH//alsE//fabZ//glmS//moaA//deoD//avtA//paaY//gltD//trpE//ilvG_1//araD//wecB//ulaD//hyaC//yqjH//paaH//nagA//sgbE//atoD//galT//hcaC//dmsC//fabA//gudD//pdeR//murE//kbaY//
PrpR-2S3S-2-methylcitrate	bioF//carA//lysC//dkgA//
PspF	fucK//
PurR-hypoxanthine	pepD//gutQ//glpC//fabH//phnJ//sucD//fabB//astC//astC//sdhD//dmsC//nanM//gatY//gnd//metC//narH//mhpF//atoD//rtcA//nfsB//glyA//ilvA//ruvA//metH//mngB//yqjH//
PutA	napB//accA//
PuuR	ndh//prpC//fabI//pyrD//araB//pnp//
QseB-Phosphorylated	
RbsR	ubiA//mnmG//fruK//kbaY//astE//
RcdA	tdcG//
RclR	
RcnR	phnI//
RcsAB	mraY//argH//tadA//
RcsB-BglJ	pgpC//argA//
RcsB-Pasp56	argH//lyxK//fumB//pgpC//
RelB	mltF//
RelB-RelE	cynS//
RhaR-alpha-L-rhamnopyranose	
RhaS	ugpQ//
RhaS-alpha-L-rhamnopyranose	pfkA//ppc//caiC//rffM//
Rob	hyaC//aldA//rhaD//gnd//recB//moeB//patD//fbaA//bglB//tdcE//pgpC//cysE//wecE//nemA//caiA//pagP//sucB//lsrG//nrdE//
RstA-Phosphorylated	sdaA//pncB//nrdE//
RtcR	murC//phnM//
RutR	betB//ugpQ//ftnA//oxc//gdhA//gloA//feaB//pfkA//fabD//mnmG//ilvA//
SdiA	
SgrR	fucI//paaA//pncB//
SlyA	srkA//lsrF//aroH//torA//citC//garR//mtlD//relA//metH//
SoxR	argD//chbG//melA//puuB//grxA//aroA//
SoxS	glxK//entB//rsmH//alaA//mhpC//tadA//paaZ//rutC//betB//ung//nagA//entC//garL//leuC//ygeA//rutC//paaK//rffT//nrfC//uxaB//puuA//moeB//lpxA//phoA//alaS//gatY//patD//alaC//
SrlR	sdhC//murF//glpX//
StpA	gutQ//puuA//ynfF//
SutR	ubiX//dkgA//
TdcA	serC//prpB//nanA//dadA//nanA//
TdcR	gpmA//phnL//glgX//ogt//hycC//
TorR-Phosphorylated	xylA//ssuE//araB//atoB//
TorR-TorI	paaH//
TreR	wzc//nemA//
TrpR-tryptophan	xylA//glpD//fadJ//ilvE//nemA//fabA//bioA//moaE//dgcZ//
TyrR	glcE//
TyrR-phenylalanine	ssuD//accA//
TyrR-tyrosine	sucC//uxaC//uxaC//ssuE//galK//nirD//xapA//ssuE//
UhpA-Phosphorylated	argD//
UidR	hcaB//wecE//
UlaR	moaD//gabT//sufS//entE//fadA//
UvrY-Phosphorylated	fabZ//pnp//
UxuR	nrdA//prpE//pgm//putA//yedX//
XapR-xanthosine	glpD//poxB//
XylR-xylose	arsC//mdh//fabA//
YdeO	trpE//garD//nrfA//
YefM	nadA//
YefM-YoeB	asnB//
YeiL	
YhaJ	
YiaJ	rffC//yqhD//pheS//mhpD//tyrB//hypF//
YjjQ	sodA//rtcA//
YpdB-Phosphorylated	
YqhC	fadD//katE//
YqjI	murF//
ZntR-Zn2	treC//
ZntR-Zn2+	phnO//
ZraR-Phosphorylated	
Zur-Zn2	gpmA//
Zur-Zn2+	rutD//
