# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	uidA//yeaE//
GadE-RcsB	hypB//umuD//codA//moaE//rtcB//
GadW	speA//tauD//rbsD//hypB//
GadX	nadA//cysH//fadB//purF//epd//purD//uxuB//rutB//hyi//asnB//uvrA//glnA//aroG//prpC//
GalR	bioB//pheS//lacZ//pgaB//rhaB//cdd//
GalR-beta-D-galactose	nrfD//cysD//nrdA//lsrG//umuD//
GalS	yeaE//sucA//dkgB//paaY//pgaD//frc//
GalS-beta-D-galactose	nanE//paaY//aldA//tdcE//ycjG//
GatR	pyrC//ynfF//lysC//
GcvA	entF//gatZ//paaJ//
GlcC-glycolate	lsrF//ldtD//allC//
GlpR	leuD//phoA//ldtD//aroG//dhaM//sucA//hypF//
GlrR-Pasp56	
GntR	prpE//phr//lysA//nagA//fabZ//aceA//wrbA//gatY//ddlB//
GutM	gor//zwf//napG//
HU	ruvA//idnD//xylA//caiC//glmU//cynT//tdh//
HcaR	
HcaR-HCA	bioF//rtcB//
HdfR	
HigA	nfsA//
HigB-HigA	rutC//
HipAB	citF//tdcB//
HipB	rimK//malP//cysD//
HprR-Phosphorylated	rtcB//ycjG//ulaE//dgcN//
HyfR	frdA//
HypT-Met-oxidized	uxaA//ugpQ//ldtC//torC//narI//accA//rutB//
IclR-pyruvate	ynfH//cysM//paaZ//
IdnR-5-ketogluconate	murD//dgkA//frdB//citF//glpK//
IlvY	
IlvY-S-2-acetolactate	katE//
IscR	ugpQ//aspA//edd//nfsB//fadH//lhgO//
IscR-2Fe-2S	fadM//nagB//
KdgR	ttdA//entA//
KdpE-Phosphorylated	trpD//
LacI	ulaD//chbF//leuB//
LeuO	prpD//uxuA//gnd//hcp//guaB//zwf//
LexA	nrdD//serC//cysC//lpxD//bglB//glpC//argG//nrfC//fruK//yqhD//ruvB//fbaA//uxuB//prpE//paaK//dgcN//paaG//fabZ//glpC//avtA//murD//gcvT//ada//
LldR	leuC//sbcD//
LldR-S-lactate	glpX//aroA//
LrhA	
Lrp	glpC//hcp//uxaA//phr//glpD//treC//purM//nrdA//pdeH//serC//cysG//hmp//alkA//bacA//purE//hemL//nanM//xylB//nanK//luxS//aspA//ttdB//tdcD//purF//garL//glnA//yeaG//glpX//folE//nrfA//rffG//
Lrp-leucine	sgbH//ulaG//alaS//argA//fes//rutB//metF//phnJ//ilvM//phr//udp//pgaD//fadJ//ogt//ilvD//speG//nemA//
LsrR	umuC//pnp//fbaB//rimK//argA//
LysR	frdD//
MalI	deoC//srlD//
MalT-maltotriose-ATP	bacA//bioC//sbcC//paaK//ppc//wecC//
MarA	entB//dgkA//glpD//paaG//bacA//paaE//glmU//yiaK//phnL//katG//bioF//betA//dgcN//feaB//galM//hcaF//fabZ//gcvP//ilvH//paaA//sdhD//cysG//leuB//fabA//
MarR	
MatA	murD//
MazE	argE//
MazE-MazF	fucU//
McbR	
MelR	glmS//ynfF//
MelR-melibiose	fau//lpxC//
MetJ-adenosylmethionine	citF//rtcB//feaB//glcE//tdcG//gabD//fbaA//moaE//nanE//rhaA//
MetR	hycC//glcB//
MetR-L-homocysteine	ilvA//ilvE//
MhpR-3HPP	rhaD//pdeH//ubiX//pfkA//accD//ynfG//
Mlc	fbaA//deoD//phnM//luxS//
MlrA	fabH//
MngR	fbaB//bglB//
MntR-Mn2+	lldD//araB//
ModE-MoO42-	leuC//mraY//napG//hyaA//glpA//araA//ftsI//paaJ//aspA//leuD//nanA//purM//dgcN//phnI//alkA//sdhD//fadH//
MprA	hycG//astC//nrfC//
MqsA	aroF//aroF//
MraZ	fabH//gpmM//dgcC//alkA//ttdB//mhpC//aspC//moeA//srkA//lyxK//
MurR	tyrA//fadA//rffT//
Nac	cysH//metK//hmp//fadJ//prpE//atoA//fabD//glyA//ssuE//putA//fes//
NadR	pgaB//sdhC//citD//ppiA//
NagC	murF//pncB//hypF//napB//fdhF//alkB//hcaB//bacA//rhaD//napG//puuE//grxA//rutA//katG//gcl//gcl//glpC//waaY//mhpF//
NanR	gudD//argG//glpC//malS//sgbH//araA//
NarL-Phosphorylated	fes//ftsI//nanA//pck//lacZ//uvrA//dgcC//nagA//cyoE//asnB//polB//kbl//fbaA//zwf//fruK//accC//paaG//ldtC//phnH//asnA//dmsB//gcvT//dkgB//purA//yiaK//pyrC//sdhD//nanE//narH//hyaC//epd//mhpD//caiC//oxc//moeA//hcaF//aceF//luxS//galE//dapB//tdcE//
NarP-Phosphorylated	hcaB//fadE//fucO//tyrA//prpC//paaK//pflB//tdh//hemL//pflB//phnM//argI//glmU//trpD//avtA//
NemR	gloA//aroL//
NhaR-Na+	nadA//ribA//trpC//pheT//umuD//
NikR-Ni2+	pyrD//
NimR	frdA//
NorR	mazG//
NrdR-Zn2+	yeaE//uvrA//umuC//paaC//
NsrR	malS//nfsA//pgaC//murC//frdD//purA//ygeA//gltB//argF//sucD//prpB//hyaA//hypF//hyaC//argH//metL//glcE//arsC//tdcG//sdhC//tadA//cysJ//moaD//pgk//entE//cysJ//mraY//uvrB//argC//edd//uxaA//gabD//ilvH//bioD//umuC//wecC//atoA//tktB//astD//yiaK//
NtrC-Phosphorylated	dhaM//glpA//fucK//rsmH//narI//prs//ccp//pflB//phnN//luxS//eno//moaE//purC//cysE//ilvM//speB//nadB//murC//ynfH//pgi//rffC//
OmpR-Phosphorylated	fadE//fucO//malQ//fadB//katG//ynfF//araA//argE//
OxyR	purC//uvrC//pgaB//alsE//nadB//ppiA//garK//puuC//allC//arsC//amn//rffT//caiA//udp//talA//mazG//tynA//
PaaX	ulaF//rhaA//pgpC//bioF//entD//aceE//atoA//yeaE//serA//
PdeL	hcaF//
PdhR	betB//aceA//kbl//glsA//murG//dinB//rbsK//rffG//murG//cdd//chbG//murI//rhaD//kbaZ//malQ//mhpC//dadA//gatD//gadB//napA//accC//phnJ//srkA//uidA//ilvC//
PepA	uvrB//bacA//
PgrR	paaG//mazG//
PhoB-Phosphorylated	alkA//prpE//purA//sdhA//ynfF//ynfF//ldtC//ldtD//fruK//dmsC//araB//fabG//pykF//pgk//serA//hcaB//pyrC//wecC//ung//rffC//
PhoP-Phosphorylated	glgA//fadE//sgbE//pepD//accC//bioD//citC//umuC//moeA//sgbU//uxaC//leuD//lyxK//patD//adhE//bioD//ychF//dinB//caiC//gutQ//pgpC//glcD//sgbE//pyrD//mnmG//idnO//dkgB//dhaM//entH//atoB//umuC//ung//
PrpR-2S3S-2-methylcitrate	fabH//tdcD//ilvD//ilvE//
PspF	tdcD//
PurR-hypoxanthine	araD//hcaB//tktB//bioA//hcp//hyaC//bioF//rhaA//pdeL//glpK//tyrA//purL//kbaZ//ascB//glpC//glgA//melA//entA//cysK//accD//uxaB//ada//dacC//avtA//yqhD//ldtB//
PutA	sodA//puuE//
PuuR	zwf//puuD//gntK//trpA//sucC//moeA//
QseB-Phosphorylated	
RbsR	glpA//srkA//relA//sucB//malZ//
RcdA	purL//
RclR	
RcnR	ubiC//
RcsAB	hycC//napB//frdB//
RcsB-BglJ	gpmA//frdC//
RcsB-Pasp56	wrbA//lpxA//caiC//citG//
RelB	phnI//
RelB-RelE	pykF//
RhaR-alpha-L-rhamnopyranose	
RhaS	patA//
RhaS-alpha-L-rhamnopyranose	narG//ubiX//glpQ//ssuE//
Rob	dapD//rnpB//hyaA//purH//moaC//hypF//hcaD//betB//pfkA//dmsA//cysD//rhaD//fadB//codA//napH//hcp//napG//rtcB//mazG//
RstA-Phosphorylated	pflB//moeB//phnJ//
RtcR	cysM//torC//
RutR	appA//frdB//metA//speB//argG//idnO//malP//lpxC//paaH//atoB//deoD//
SdiA	
SgrR	ynfF//metA//aceE//
SlyA	glpD//zwf//gadA//yedX//cysH//citX//hycD//glgX//lpxC//
SoxR	malS//yedX//ascB//gpmA//hycG//paaJ//
SoxS	araB//ilvA//fumB//fruK//sufS//xapA//glsA//bioC//ygeA//hyi//ung//caiD//araD//glcF//puuD//citX//nanA//ulaD//fabH//accC//speB//lysA//purC//gltB//sodB//pdeH//acnA//fbaB//
SrlR	dgcZ//puuD//dapB//
StpA	tynA//sgbH//gadA//
SutR	hycB//wzc//
TdcA	glpK//metK//nrfA//dgcZ//fucA//
TdcR	hycE//leuA//wecC//phnL//hcp//
TorR-Phosphorylated	caiC//mnmG//murI//aroH//
TorR-TorI	glpB//
TreR	lyxK//aroL//
TrpR-tryptophan	gdhA//gnd//argI//glmU//nrdE//entF//metH//bioA//caiB//
TyrR	xylA//
TyrR-phenylalanine	paaE//trpB//
TyrR-tyrosine	napA//dgkA//paaA//hyaB//paaK//metE//ulaG//dhaL//
UhpA-Phosphorylated	gnd//
UidR	pck//narG//
UlaR	gatD//cdd//phnL//murD//metL//
UvrY-Phosphorylated	purD//purK//
UxuR	xapA//tdcB//glmU//lsrK//pagP//
XapR-xanthosine	purE//citF//
XylR-xylose	adiA//fucA//ilvE//
YdeO	argF//deoA//xylA//
YefM	fadD//
YefM-YoeB	nrfC//
YeiL	
YhaJ	
YiaJ	gcvH//ppc//paaF//aroG//bacA//poxB//
YjjQ	gatY//glmU//
YpdB-Phosphorylated	
YqhC	dkgA//puuB//
YqjI	dgcN//
ZntR-Zn2	metC//
ZntR-Zn2+	purM//
ZraR-Phosphorylated	
Zur-Zn2	glyA//
Zur-Zn2+	torA//
