# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	ddlB//aroA//
DnaA-ATP	ldtB//rfe//idnK//citX//uidA//moaA//
DpiA-Pasp	fadA//lpxC//frc//mtlD//lacA//
DsdC-D-serine	gatZ//dkgA//
EbgR	
EnvR	psd//hypF//
EnvY	araA//argI//
EvgA-Phosphorylated	purD//dinB//torC//cadA//allA//fadH//
ExuR	amn//wrbA//rutC//aceA//sbcC//lpxD//
ExuR-alpha-D-galacturonate	
FabR	sdaA//glgP//deoB//
FadR	ulaD//napA//glxR//ilvA//mazG//uvrA//amn//astE//tdcE//waaH//hmp//malS//sdhA//allD//dacC//leuB//rffM//mnmG//cdd//
FadR-acyl-CoA	
FeaR	fabH//polB//
FhlA-formate	glgC//mltF//lysU//sbcD//speB//murE//psd//sucA//
FlhDC	paaH//bioB//hycG//glgP//ddlB//glcE//dkgB//glgP//tyrB//napH//dgcZ//gatD//citD//trpE//
FliZ	pgaD//nrdF//hemL//metL//gor//
FucR-L-fuculose-1-P	rpiB//moaC//caiD//fumC//astB//prpE//
Fur-Fe2	mraY//patD//malY//glcD//ilvH//mpaA//umuC//nadB//atoB//purH//aldA//pnp//araD//pagP//folE//pgaD//nfsB//lldD//fadA//araB//fbaB//metB//phnG//ruvB//nanA//argD//mnmG//prpC//fdhF//citF//nagB//ilvH//adiA//epd//nirD//rffM//citF//lpxA//rffH//nanK//nrdB//nadB//bglB//aroH//wecC//nfsB//mpaA//purF//ftnA//malQ//nadA//argD//ascB//sdhD//phnI//lsrG//atoA//fes//hcaE//hypB//yeaG//wzb//
GadE	fabZ//entF//gcvT//trpA//uxuA//arsC//dmsB//fabA//purB//fau//
GadE-RcsB	caiB//lpxA//katE//entD//rffH//
GadW	xylA//xylA//allA//pgaD//
GadX	sodB//lysU//argC//garK//glpQ//fumC//patA//rutA//waaH//asnA//ddlB//trpC//sodB//avtA//
GalR	ilvA//rtcA//uxaB//ubiA//ttdB//torC//
GalR-beta-D-galactose	relA//gdhA//pdeR//trpC//lyxK//
GalS	cysE//hemL//paaH//dgcN//paaJ//pdeL//
GalS-beta-D-galactose	dacC//glcF//metH//ascB//ahpF//
GatR	paaB//treC//speA//
GcvA	argI//mnmG//nrdD//
GlcC-glycolate	galE//mpl//waaZ//
GlpR	glcB//allE//hyaB//napH//cdd//ubiX//dgcN//
GlrR-Pasp56	
GntR	polB//allA//cysD//rimK//thrS//fucI//gcvP//malQ//phnO//
GutM	amn//adiA//sdhA//
HU	dkgA//citE//uvrA//ynfE//uvrC//pgk//phnN//
HcaR	
HcaR-HCA	purL//nanK//
HdfR	
HigA	folE//
HigB-HigA	ulaE//
HipAB	galM//bioC//
HipB	fabG//pdeR//fabG//
HprR-Phosphorylated	speA//leuB//pdeR//tdcE//
HyfR	phnI//
HypT-Met-oxidized	ilvG_1//glnA//glgX//torA//lpxC//fabA//entC//
IclR-pyruvate	malY//lpxC//ahpC//
IdnR-5-ketogluconate	ampC//idnD//bacA//uxaA//pagP//
IlvY	
IlvY-S-2-acetolactate	puuB//
IscR	dapB//puuA//hypB//cysN//sdaA//ilvA//
IscR-2Fe-2S	aroA//lhgO//
KdgR	rsmH//ribA//
KdpE-Phosphorylated	gntK//
LacI	sucA//hcp//lacZ//
LeuO	hyaC//glsA//speA//argF//lysA//rfe//
LexA	hyaB//tpiA//sdaA//ynfE//sgbH//gabT//atoD//frdA//rutB//nfsB//deoA//pdeR//phnN//purM//purC//paaE//aroG//ftsI//ynfF//slt//polB//paaC//murF//
LldR	dgkA//treC//
LldR-S-lactate	fabI//idnK//
LrhA	
Lrp	glpC//aroL//fabH//xylA//nadB//lpxD//galT//glmS//lldD//ilvM//pdeH//dkgA//purH//nadA//nanA//recB//metF//gdhA//lacA//astD//mpl//uxaA//ahpF//ddlB//cysE//trpC//argC//ribA//lysA//hcaD//recD//
Lrp-leucine	betA//cysN//gapA//guaA//purL//phnI//argB//edd//iscS//argB//metA//gadB//entA//tauD//zwf//rtcA//cysJ//
LsrR	leuA//dgkA//araA//fes//dacC//
LysR	pck//
MalI	argC//cysJ//
MalT-maltotriose-ATP	moeA//feaB//paaA//katG//araA//mhpB//
MarA	citX//ynfH//argH//glcD//hmp//glk//metF//fucK//gor//rffH//hcp//tdcG//ccp//alaS//prs//hycE//napG//icd//napH//srkA//glxR//paaK//moaC//ynfH//
MarR	
MatA	ampC//
MazE	gpmA//
MazE-MazF	ssuE//
McbR	
MelR	aspA//garD//
MelR-melibiose	uxuB//hcaE//
MetJ-adenosylmethionine	rnpB//ppc//sufS//puuC//mraY//aroF//fadI//ilvD//glk//ahpC//
MetR	alkA//puuB//
MetR-L-homocysteine	fadE//pnp//
MhpR-3HPP	dhaK//uxaA//wzc//hcaB//pflB//ubiA//
Mlc	purH//icd//umpH//gudD//
MlrA	ssuD//
MngR	xylA//aspC//
MntR-Mn2+	malZ//bacA//
ModE-MoO42-	ygeA//alsE//nrdF//ilvE//lacZ//mraY//uxaC//napG//glpB//uxaA//glnA//allD//pncB//glnA//sdhD//ruvA//sdhA//
MprA	fadH//galE//mhpC//
MqsA	deoC//yiaK//
MraZ	hyaB//relA//mhpD//ynfE//moaD//avtA//fucO//fbaA//puuD//uxuA//
MurR	dgcN//hcaE//allC//
Nac	dapD//sdhA//gudD//alkA//lpxC//rutD//nagA//paaE//aceB//fabD//glgC//
NadR	pgk//bioA//gatZ//sgbE//
NagC	pnp//gatD//tauD//wecC//tdcB//sucA//allD//ruvB//allA//xapA//lldD//paaH//umpH//tadA//feaB//hcaE//pgaB//rutC//xapA//
NanR	dmsB//ygeA//mhpE//caiC//phnO//lyxK//
NarL-Phosphorylated	glcD//fes//tyrB//trpB//rbsK//tdcD//prpB//sdhD//caiA//fes//tpiA//araA//uidA//dgcC//nemA//fdhF//hmp//paaI//talA//ruvB//glgB//pspE//cysJ//ahpC//purM//phnH//pagP//nanK//glnA//caiD//fabH//moaC//glgX//wrbA//phr//nrfD//nrdE//yiaK//asnA//hyaA//pheS//
NarP-Phosphorylated	rhaA//folE//aroG//ychF//metA//murC//lacZ//fabA//eno//torA//pdeH//astC//acnA//pflB//phnN//
NemR	rffH//gatY//
NhaR-Na+	yeaE//eda//fabH//hypB//nemA//
NikR-Ni2+	murF//
NimR	pgaB//
NorR	dadA//
NrdR-Zn2+	hyaC//tpiA//nrdA//trpA//
NsrR	rtcA//pflB//rbsD//nfsB//patD//nrfD//speG//recB//phnO//purD//glgB//ilvC//rbsK//nirB//lldD//narH//hypB//trpE//amn//poxB//ilvA//poxB//pgpC//hcp//umuD//waaH//idnK//uxuB//dadA//nrdD//hyaB//gatY//mhpC//pspE//tdcE//pspE//rffG//waaZ//mazG//rhaB//
NtrC-Phosphorylated	acnA//lpxA//fabA//tdh//gdhA//nanE//serC//tyrB//murC//lysU//sufS//gltB//entF//ynfH//arsC//speA//puuB//sdhC//glgA//gudD//narI//
OmpR-Phosphorylated	codA//araA//arsC//ldtD//phnO//bioA//gutQ//uvrC//
OxyR	gadA//purE//aroF//glcF//dhaM//mltF//torC//sucD//ddlB//leuA//phnO//glpK//glxK//prpD//gatY//hyaC//ribA//
PaaX	pgaB//phnN//citC//citD//kbaZ//fadB//prpD//nadA//idnO//
PdeL	entA//
PdhR	rutE//mhpE//lldD//codA//asnA//gloA//gcvT//cadA//idnK//hyaC//hyaA//rffT//fadE//leuC//uxuA//bioB//allB//wecC//moeB//mtlD//deoD//dhaM//ynfH//malP//aceE//
PepA	sufS//avtA//
PgrR	phnP//purE//
PhoB-Phosphorylated	mpaA//fucK//cyoE//glcF//argE//rffH//fes//pyrD//ampC//glk//puuB//sucC//tdcD//glxR//pyrC//nrdD//gatZ//allC//dkgB//poxB//
PhoP-Phosphorylated	guaA//pgaD//adhE//ndh//gadA//phnH//entH//paaA//purD//fau//purB//ppiA//glk//patA//rsmH//leuA//grxA//epd//allB//gabD//umuC//hycC//nemA//moeB//leuC//gcvP//fabI//pdeH//yeaG//nrdA//asnA//yqjH//
PrpR-2S3S-2-methylcitrate	alaC//galK//ftnA//yiaK//
PspF	pfkA//
PurR-hypoxanthine	edd//chbF//alaC//hyaC//ygeA//gutQ//mltF//hycB//paaY//tpiA//sbcC//glgP//ahpC//phoA//tam//frdC//cynT//pflB//araD//hycF//glpB//phnI//aceA//metF//cysN//ftnA//
PutA	tnaA//ttdB//
PuuR	nemA//astC//araA//ppc//ubiX//uidA//
QseB-Phosphorylated	
RbsR	arsC//yedX//xylB//recF//bglB//
RcdA	acnB//
RclR	
RcnR	uvrC//
RcsAB	moeA//guaB//dapB//
RcsB-BglJ	uvrA//phnL//
RcsB-Pasp56	tehB//hcaE//pncB//katG//
RelB	glmU//
RelB-RelE	nrfA//
RhaR-alpha-L-rhamnopyranose	
RhaS	fbaA//
RhaS-alpha-L-rhamnopyranose	fabG//sodA//moeB//gnd//
Rob	prs//dkgB//ilvA//nemA//udp//aroG//deoD//tnaA//allC//rnpB//malP//fbaB//sbcC//murE//dmsA//moaE//sodB//glmS//pgk//
RstA-Phosphorylated	aspC//srlD//fucU//
RtcR	phnI//rutE//
RutR	lsrF//ftnA//nirB//mpl//guaB//pck//frdA//dkgB//entA//hycE//nanM//
SdiA	
SgrR	recD//gatD//rffC//
SlyA	mpl//purN//hycB//nagB//astB//frdB//tam//glk//torA//
SoxR	hycB//aceA//ilvC//pheS//argC//serC//
SoxS	ldtC//rhaB//malQ//narG//waaH//pyrC//betA//gpmM//ulaE//mhpF//pgi//fabD//entH//codA//sbcC//purF//acnB//katG//accA//dgcN//ccp//sdhC//narI//ulaD//fucU//sdhD//mdh//oxc//
SrlR	phnM//sgbH//narH//
StpA	phr//cysH//sdaA//
SutR	frc//phnH//
TdcA	ydcS//hycB//lsrF//garR//chbF//
TdcR	moaD//cysN//hyaC//fabG//sgbU//
TorR-Phosphorylated	cdd//puuB//purD//hcaC//
TorR-TorI	icd//
TreR	dadA//dgkA//
TrpR-tryptophan	xylA//ydcS//nrdA//rutA//ssuE//aldA//tdcB//hemL//chbG//
TyrR	purL//
TyrR-phenylalanine	guaA//dgkA//
TyrR-tyrosine	glcB//astC//cynT//aceB//puuA//wecC//wzc//mdh//
UhpA-Phosphorylated	cysE//
UidR	lsrK//argB//
UlaR	dsdA//gltB//fabI//gcl//malY//
UvrY-Phosphorylated	hycG//argG//
UxuR	fbaB//ynfG//rutD//sdhB//wecB//
XapR-xanthosine	glgA//ftnA//
XylR-xylose	lacZ//galE//alaC//
YdeO	ttdA//trpC//malZ//
YefM	purF//
YefM-YoeB	patD//
YeiL	
YhaJ	
YiaJ	hyaB//argF//phnP//accA//paaI//astA//
YjjQ	ynfH//gpmM//
YpdB-Phosphorylated	
YqhC	ascB//slt//
YqjI	ulaG//
ZntR-Zn2	galE//
ZntR-Zn2+	puuE//
ZraR-Phosphorylated	
Zur-Zn2	ruvB//
Zur-Zn2+	ilvC//
