# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	guaB//malP//
DeoR	murD//mraY//entC//tauD//mtlD//gadB//
DhaR	pgaB//
DicA	
DinJ-YafQ	tpiA//
DnaA-ATP	frdA//fumC//moaE//glsA//relA//cysD//
DpiA-Pasp	udp//hyaC//argB//xapA//nrfC//
DsdC-D-serine	hemH//adhE//
EbgR	
EnvR	katE//moaE//
EnvY	glgP//hyaC//
EvgA-Phosphorylated	ubiA//pgm//nadA//wecC//uxaA//citF//
ExuR	betB//serC//ccp//purL//glcE//ygeA//
ExuR-alpha-D-galacturonate	
FabR	dmsA//wecE//ilvA//
FadR	fabG//glpD//purN//frdD//entE//dgcZ//bglB//purC//narI//leuD//ahpC//uxaB//hyaC//mhpC//katG//alkA//treC//citE//ulaD//
FadR-acyl-CoA	
FeaR	citC//trpA//
FhlA-formate	dadA//patA//deoD//idnK//fabD//gcvT//tyrA//fucI//
FlhDC	ribA//moaA//pgk//uvrC//tdcB//aceF//puuC//fabG//relA//hemL//pagP//hycE//rbsD//gpmA//
FliZ	wzb//purD//fadD//argD//lpxD//
FucR-L-fuculose-1-P	allA//entD//gdhA//icd//katE//ruvA//
Fur-Fe2	nanA//allD//phnO//hyaC//hycC//metL//deoD//ynfF//gdhA//serA//rbsK//fucO//ulaD//pgk//moeA//aldA//appA//gcvT//ilvA//wecC//acnB//caiC//pfkA//cysE//fadJ//asnA//carB//citC//dmsB//mdh//narH//glcF//fes//lysU//rimK//srkA//aceB//ccp//glcF//mpl//nrdB//glcE//uvrB//ppc//alaC//ada//cysE//fumB//pgaB//astB//ribA//hycG//dacC//malS//nfsB//uidA//deoA//dadA//glxR//pagP//torA//dkgA//
GadE	asnA//paaY//glmU//nfsA//ruvB//citE//aroG//gntK//rpiB//feaB//
GadE-RcsB	dinB//glcF//entE//hemH//tdcB//
GadW	rutC//paaG//sdhB//rtcA//
GadX	rfe//cdd//cysK//entH//speA//sodB//wzb//recF//rnpB//relA//cysM//phr//napB//ttdA//
GalR	hypF//aroF//ampC//lpxC//pdeH//phr//
GalR-beta-D-galactose	astE//napA//dapB//nanA//truB//
GalS	folE//ulaD//pagP//hyaA//idnD//cysC//
GalS-beta-D-galactose	fes//tdcG//aceE//treC//eno//
GatR	lysA//cynT//tdcD//
GcvA	purN//pspE//alaC//
GlcC-glycolate	allB//purB//allE//
GlpR	fadB//lsrK//purN//glgB//tam//uxuB//dgcZ//
GlrR-Pasp56	
GntR	araB//cynS//paaF//hyaB//gcvH//glpK//phnH//paaB//ssuE//
GutM	hcp//rffH//uvrA//
HU	nirB//ilvM//nirD//wzc//luxS//folA//purK//
HcaR	
HcaR-HCA	napG//moaA//
HdfR	
HigA	adiA//
HigB-HigA	rutB//
HipAB	rffM//tnaA//
HipB	accA//dkgA//phr//
HprR-Phosphorylated	tehB//nrdD//moeB//ahpC//
HyfR	uxuA//
HypT-Met-oxidized	fumC//melA//wrbA//gatY//chbG//puuB//ahpC//
IclR-pyruvate	fabB//ilvA//hycC//
IdnR-5-ketogluconate	accC//lpd//sgbU//sdhD//waaH//
IlvY	
IlvY-S-2-acetolactate	fbaB//
IscR	atoA//phnN//cynS//atoD//sbcC//rnpB//
IscR-2Fe-2S	entC//mltF//
KdgR	aceE//patD//
KdpE-Phosphorylated	wecE//
LacI	hycG//eda//prpD//
LeuO	ndh//alaC//purM//purF//alkB//cysH//
LexA	cysN//cysN//patA//hyaB//nrdD//fadM//betA//folA//yiaK//rutD//glgB//sgbU//nagA//ruvB//srlD//ynfG//gloA//paaZ//ulaD//glsA//paaZ//ynfF//leuC//
LldR	narG//hyaA//
LldR-S-lactate	idnD//glnA//
LrhA	
Lrp	phoA//moaE//phoA//chbG//uidA//murG//mhpE//alaS//galT//murD//betB//sbcC//fadD//lysU//yedX//bioD//cynT//paaE//fabB//ybjG//prpB//mhpD//citD//sdhC//mhpA//ychF//deoC//aroL//nadA//xylB//rbsK//
Lrp-leucine	citX//uxaC//napB//sdhD//cysG//allA//hemL//talA//fadB//ilvM//idnO//serA//fabG//hyaB//speA//dmsB//fabG//
LsrR	ynfH//glpB//napB//dinB//trpB//
LysR	bioA//
MalI	gcl//citD//
MalT-maltotriose-ATP	caiD//mraY//asnB//torA//edd//accC//
MarA	paaF//polB//betB//fucA//caiC//nanE//phr//purF//gltD//moaC//phnI//ydcS//tnaA//rffH//hcaF//gltB//malQ//murG//dacC//leuC//edd//mdh//paaA//glsA//
MarR	
MatA	glpA//
MazE	ssuE//
MazE-MazF	ubiX//
McbR	
MelR	ascB//cysH//
MelR-melibiose	garK//paaI//
MetJ-adenosylmethionine	gatZ//napG//wecB//glcE//ulaG//rpiB//astE//ybjG//sgbE//recB//
MetR	dapB//citG//
MetR-L-homocysteine	mdh//fucO//
MhpR-3HPP	hypB//alaA//malY//ulaE//argG//ndh//
Mlc	chbF//garL//ilvC//cadA//
MlrA	fumB//
MngR	uidA//gcvT//
MntR-Mn2+	aroH//entH//
ModE-MoO42-	katE//entC//fucI//dadX//phnI//murC//sodA//dgcC//serC//entC//purD//garL//astD//zwf//rnpB//phoA//dapB//
MprA	oxc//mpl//fadA//
MqsA	astB//fadI//
MraZ	sodA//bioF//cysG//dhaL//pheS//glmU//poxB//ung//hyi//puuD//
MurR	fadD//ilvH//glcD//
Nac	gpmA//hyaC//feaB//glxK//araB//malY//srkA//grxA//malY//aspA//srlD//
NadR	idnD//fabI//waaH//dadX//
NagC	nanE//aroF//folE//argI//nadB//rffH//hmp//paaC//tehB//ubiX//ynfE//acnB//kbl//ndh//rtcB//dhaK//grxA//hypF//dgcN//
NanR	glgA//caiD//ilvM//grxA//arsC//ubiX//
NarL-Phosphorylated	srkA//ftsI//paaB//pdeH//narG//nanK//ubiA//patA//uidA//murC//pgaB//aroL//ttdA//bioC//pgk//murD//betB//nrfD//dhaL//fadD//paaC//feaB//dhaM//argG//frdA//yeaE//arsC//tauD//mraY//ftnA//idnO//deoC//glmU//cysN//hycG//gatY//citD//metL//tpiA//glpK//phoA//
NarP-Phosphorylated	gcvH//trpB//ruvB//purL//hcaB//umuC//asnA//ychF//hyi//mraY//fadI//uidA//fabA//nrdD//dapB//
NemR	alkA//napH//
NhaR-Na+	lacZ//murF//pgaD//purH//cadA//
NikR-Ni2+	glsA//
NimR	gabD//
NorR	murG//
NrdR-Zn2+	ilvA//trpB//nfsA//glpC//
NsrR	nanA//atoA//amn//allB//fbaA//nagB//dgcZ//allC//rtcA//adiA//fabA//bioC//fadM//moaC//lsrG//aroH//gntK//sodA//caiD//moeB//uidA//tadA//cyoE//nrfA//gpmM//frdC//ycjG//puuC//rffH//ybjG//aceA//frdC//dgkA//yeaG//accC//allA//alaC//argH//lsrF//citC//
NtrC-Phosphorylated	katE//hyaA//allC//ung//recD//aroL//paaC//napG//deoA//dgcN//citG//pdeL//gltD//nagB//murF//mhpB//narI//prs//phnM//fabI//rffC//
OmpR-Phosphorylated	fadM//sgbU//slt//frdD//aroG//cysD//pflB//fadJ//
OxyR	yqjH//fabB//sodA//atoD//ynfH//ygeA//ilvH//alkB//sbcD//uvrA//metF//aceB//metL//deoC//rutD//wrbA//melA//
PaaX	feaB//garD//speA//ogt//fadE//accA//phnP//nrfC//nrdE//
PdeL	gntK//
PdhR	tynA//cysJ//eno//relA//cysD//gabD//trpE//ychF//ssuD//polB//alaA//nadA//poxB//malP//paaI//lsrK//puuD//gapA//aceF//glgX//entC//aroF//fabB//malP//grxA//
PepA	tyrA//prpB//
PgrR	pgpC//glcB//
PhoB-Phosphorylated	wzb//yqhD//glxK//purF//glxR//ttdA//glcF//nrdD//ada//slt//yqhD//glgC//pncB//speG//nrfD//phnI//murG//paaC//moaE//polA//
PhoP-Phosphorylated	fadB//atoA//fau//paaF//betA//nadA//ruvA//umuC//ynfE//rnpB//fabZ//rhaA//mngB//bacA//dgcZ//cueO//rhaA//murI//bioF//narH//nrdA//amn//glcF//ldtC//lpxC//wecC//phnO//paaJ//idnD//caiD//sodB//alaA//
PrpR-2S3S-2-methylcitrate	paaA//sucB//fadA//hcaD//
PspF	nrfC//
PurR-hypoxanthine	gcvT//gadB//gloA//lysC//fadM//aroA//sgbU//mhpE//ldtB//treC//lsrG//purL//uxaC//nagB//purK//citG//pspE//lacA//entH//nrfC//rhaB//cysG//cysC//cadA//malP//aroF//
PutA	ilvH//caiC//
PuuR	nanM//purL//glgC//murD//nrdD//ndh//
QseB-Phosphorylated	
RbsR	phnH//dinB//pck//fucK//srlD//
RcdA	fbaB//
RclR	
RcnR	pck//
RcsAB	yedX//speG//ynfE//
RcsB-BglJ	dgcC//ldtD//
RcsB-Pasp56	purL//ldtD//mraY//prpD//
RelB	tynA//
RelB-RelE	uxuA//
RhaR-alpha-L-rhamnopyranose	
RhaS	xylA//
RhaS-alpha-L-rhamnopyranose	icd//wzc//tdcB//fadI//
Rob	pyrD//astD//guaA//fabA//ubiX//ogt//dmsC//lysC//lpd//epd//paaY//entA//moeA//zwf//paaY//betA//yeaG//tadA//dhaM//
RstA-Phosphorylated	srkA//citD//fadD//
RtcR	aceF//metK//
RutR	moeA//arsC//purA//sdaA//mngB//argA//slt//puuE//ogt//glcB//yfdE//
SdiA	
SgrR	nrfA//tehB//glxR//
SlyA	nanM//moeA//murC//relA//mtlD//bioB//galE//rffT//sucC//
SoxR	cadA//glcE//serA//gadB//pdeH//fadD//
SoxS	kbaZ//ada//pdeL//katG//tdh//paaF//acnA//ssuD//fucO//entA//napG//codA//hyaB//ascB//tyrA//uxaC//mhpD//speG//ftnA//srkA//trpC//truB//ydcS//argD//kbaY//fucU//umpH//serA//
SrlR	gcl//alkB//phnP//
StpA	cysE//gudD//napH//
SutR	chbG//metE//
TdcA	pdeL//ttdA//gltB//dadX//folE//
TdcR	zwf//carA//astD//gcvH//uxuA//
TorR-Phosphorylated	frdD//purC//napG//nadB//
TorR-TorI	prpD//
TreR	glpK//aspA//
TrpR-tryptophan	sodB//gcvP//umuD//tehB//pgpC//melA//ynfE//puuC//entH//
TyrR	torA//
TyrR-phenylalanine	melA//glcB//
TyrR-tyrosine	tyrA//luxS//glcF//ynfE//purL//pspE//prpB//srkA//
UhpA-Phosphorylated	gltB//
UidR	ubiA//aceE//
UlaR	tdcB//truB//hycD//murC//lpd//
UvrY-Phosphorylated	argC//rsmH//
UxuR	nfsA//narG//purK//galT//frc//
XapR-xanthosine	rimK//mhpE//
XylR-xylose	gadA//ampC//grxA//
YdeO	purN//wzb//fau//
YefM	alsE//
YefM-YoeB	purM//
YeiL	
YhaJ	
YiaJ	allE//sucB//hemH//hyaA//sucC//prpC//
YjjQ	hypB//pyrD//
YpdB-Phosphorylated	
YqhC	uvrC//pgpC//
YqjI	narG//
ZntR-Zn2	mhpB//
ZntR-Zn2+	glpC//
ZraR-Phosphorylated	
Zur-Zn2	accD//
Zur-Zn2+	pfkA//
