# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	metK//serA//
DcuR-Phosphorylated	cynT//tdcG//dkgB//sdhD//
DeoR	puuB//idnK//cysJ//rnpB//uxuB//dhaK//
DhaR	puuE//
DicA	
DinJ-YafQ	galM//
DnaA-ATP	sufS//fumB//gutQ//ilvG_1//dadX//fabD//
DpiA-Pasp	aroA//hypB//paaJ//ppsA//mhpC//
DsdC-D-serine	yqjH//rutE//
EbgR	
EnvR	trpA//caiC//
EnvY	leuB//bioC//
EvgA-Phosphorylated	metB//nanM//allA//allA//narG//glk//
ExuR	moaE//recB//bioA//pgm//cysN//gcvH//
ExuR-alpha-D-galacturonate	
FabR	carA//tyrA//glgX//
FadR	pyrC//treC//eno//prs//entA//fadE//idnO//hycB//ahpF//nanA//thrS//udp//prpD//ddlB//malZ//sucB//metC//ubiA//ahpF//
FadR-acyl-CoA	
FeaR	fadI//polA//
FhlA-formate	leuC//lhgO//trpB//hemH//alsE//guaA//gcvP//fadH//
FlhDC	acnA//napG//fes//pgaC//yqhD//glmU//phnI//cysI//cysD//fucA//bioF//atoB//sucA//sdhA//
FliZ	aroA//gapA//napA//nfsA//ydcS//
FucR-L-fuculose-1-P	ynfF//ftsI//prpB//dsdA//relA//srlD//
Fur-Fe2	dkgA//gatY//avtA//nfsB//sgbE//glpX//cysK//galM//lldD//entE//cysN//speB//puuE//recD//bacA//gcvT//thrS//patA//waaH//carA//puuA//nagA//sdhD//idnD//zwf//rhaD//phnM//hycF//rpiB//paaE//chbG//puuB//ahpF//dmsB//aceA//ung//wzc//metL//astE//pgk//nagA//yiaK//ampC//alaC//idnO//entA//murF//ahpF//trpD//dsdA//alaC//tdcD//dgcZ//frdB//gor//ttdA//nanE//ung//gabT//ilvM//ung//ygeA//
GadE	aspA//srlD//phnP//phnO//ilvH//hypB//nrdA//aroG//aroL//bacA//
GadE-RcsB	fabG//adhE//alaA//codA//tktB//
GadW	sucD//kbaZ//lhgO//citF//
GadX	murC//ilvD//rhaB//ahpC//idnO//ilvG_1//prpC//pspE//pepD//mhpB//fadJ//moaD//fau//rutD//
GalR	yqjH//hycC//purM//puuE//nanK//allB//
GalR-beta-D-galactose	napB//paaZ//mnmG//paaG//rhaA//
GalS	umpH//ldtD//citX//ssuD//malQ//ubiA//
GalS-beta-D-galactose	ynfG//pflB//carB//alkA//aceA//
GatR	rffT//malP//citG//
GcvA	pgpC//gltB//dgcC//
GlcC-glycolate	udp//sgbE//lysA//
GlpR	recB//mpaA//fucO//mpl//ulaF//fabZ//dkgA//
GlrR-Pasp56	
GntR	rtcB//ilvG_1//hcaC//dapD//pdeH//malY//argF//lldD//citE//
GutM	purD//hycG//ulaE//
HU	phnP//ada//ubiA//arsC//srkA//nemA//argF//
HcaR	
HcaR-HCA	ndh//hycD//
HdfR	
HigA	paaC//
HigB-HigA	yeaE//
HipAB	argB//murG//
HipB	cynT//pfkA//entA//
HprR-Phosphorylated	cysM//polB//ulaG//poxB//
HyfR	citG//
HypT-Met-oxidized	ldtB//gabT//mhpF//uxaC//gcl//rtcB//lacA//
IclR-pyruvate	nrdE//tehB//entH//
IdnR-5-ketogluconate	ahpC//pagP//slt//glpA//tdcG//
IlvY	
IlvY-S-2-acetolactate	glxK//
IscR	garK//sbcC//glpX//nrdF//fumC//gpmA//
IscR-2Fe-2S	glxR//ldtD//
KdgR	murI//ychF//
KdpE-Phosphorylated	aspA//
LacI	mltF//serA//ssuD//
LeuO	entC//frdA//purB//edd//mnmG//hycB//
LexA	nagA//gcvP//acnB//wrbA//bioB//lldD//pnp//puuE//tauD//gcl//dmsC//guaA//fau//dkgB//ssuE//hypB//entB//ssuE//lysA//idnD//rutD//cynS//allE//
LldR	pfkA//gor//
LldR-S-lactate	fau//argI//
LrhA	
Lrp	guaB//sucA//tadA//citX//tadA//trpA//hyaB//paaE//pyrC//entB//aceB//moaD//xylB//purB//ribA//ogt//cysM//recD//glmU//polA//argC//torC//ulaF//waaZ//relA//paaZ//fucU//mngB//ulaE//deoA//hcaD//
Lrp-leucine	alsE//polA//mhpF//uxaC//paaC//tpiA//dhaM//phnM//alkA//wrbA//phnJ//cysI//fucK//hcaD//purF//aroA//puuB//
LsrR	narG//folA//gntK//sdaA//fruK//
LysR	garL//
MalI	caiB//waaZ//
MalT-maltotriose-ATP	pgm//ssuE//ribA//ygeA//polB//mtlD//
MarA	uidA//gcvH//metC//nirD//serA//rtcB//gpmM//argF//fabA//sdaA//cysM//deoA//bglB//astB//dgkA//glpC//argH//alkB//caiB//puuA//phnP//bacA//aceF//ccp//
MarR	
MatA	citE//
MazE	uxaA//
MazE-MazF	waaY//
McbR	
MelR	gutQ//napA//
MelR-melibiose	dkgB//sgbE//
MetJ-adenosylmethionine	cysM//ppiA//waaH//ilvG_1//nrfD//narI//gdhA//gadB//fucI//yiaK//
MetR	cysG//murF//
MetR-L-homocysteine	bioF//fabD//
MhpR-3HPP	lysU//puuA//dgcC//gnd//astA//ulaD//
Mlc	xylA//leuA//nagB//rffT//
MlrA	paaC//
MngR	citX//lldD//
MntR-Mn2+	cadA//fabI//
ModE-MoO42-	slt//appA//aroF//phnH//argA//nemA//hypF//nanM//phnO//tauD//mazG//trpD//amn//pflB//ccp//bglB//allC//
MprA	rfe//waaZ//nfsB//
MqsA	fucI//cyoE//
MraZ	ulaE//prpB//ttdB//cysJ//dhaK//ynfF//cysC//wecB//glxK//entH//
MurR	appA//paaH//guaA//
Nac	phnP//puuC//fadE//tam//amn//bioF//metK//entA//fau//yqhD//ssuD//
NadR	edd//lysC//cysD//paaB//
NagC	glpD//entC//prs//nemA//pnp//rsmH//rnpB//xylB//metB//nirB//ssuE//frc//murI//lpxA//malZ//nrdD//alsE//pgm//uxuA//
NanR	hcaC//nagB//cysD//cysH//lsrG//hcp//
NarL-Phosphorylated	entA//murD//fbaB//fabD//katG//ribA//glpK//glgX//katE//ddlB//tdcG//nadA//rffH//nanA//ulaD//malS//cadA//phnH//trpE//gcvT//fau//alkB//fbaA//citD//nfsA//fadM//aroG//dsdA//ubiA//nagA//puuA//galE//argD//nrdB//wzc//mltF//xylB//metK//avtA//ugpQ//hcp//
NarP-Phosphorylated	tdcG//lsrK//sgbU//pgaC//tam//rbsD//sucA//hycG//argB//hyaC//narG//ruvB//gcl//purB//argC//
NemR	nfsB//fadA//
NhaR-Na+	allB//pheT//yeaE//gadB//idnD//
NikR-Ni2+	purC//
NimR	galM//
NorR	lpxC//
NrdR-Zn2+	yeaG//aspC//asnB//recB//
NsrR	dgcC//purF//tdcB//prpC//pgpC//cysE//carB//lacZ//ssuD//dsdA//rutA//glcF//paaF//nemA//deoA//astB//narI//fadD//hycD//glcB//talA//xapA//relA//lhgO//alkB//lsrG//frc//pgm//wzb//hmp//cysC//lsrF//murC//fadM//polB//mngB//glpQ//paaY//rffG//glgP//
NtrC-Phosphorylated	feaB//recD//lsrK//citF//fadJ//atoA//dapB//cynS//ubiX//astD//mhpD//mhpC//puuC//yfdE//sucA//trpD//caiD//cadA//accC//ynfF//rutE//
OmpR-Phosphorylated	asnA//folA//waaZ//pyrC//bioD//mtlD//ilvD//leuC//
OxyR	eda//gdhA//rutB//mtlD//xylA//purM//uxuB//nrdD//hcaE//lysA//hycG//mnmG//uxaB//dapB//phnN//ldtB//fadM//
PaaX	fadA//tam//malS//aldA//deoB//cadA//zwf//alaS//ribA//
PdeL	putA//
PdhR	hcaE//accA//citG//cysJ//pgpC//purF//serC//ppsA//leuD//purE//sufS//sucB//betA//cysC//paaZ//mhpC//fbaB//rimK//betB//tynA//hyaB//udp//dmsA//dsdA//carA//
PepA	aroA//polB//
PgrR	malY//wecB//
PhoB-Phosphorylated	ilvA//aroL//gdhA//napA//narH//gapA//mltF//glpX//relA//moaD//fes//deoB//dhaK//dhaM//pgk//sdaA//paaE//tdcG//xapA//cysH//
PhoP-Phosphorylated	ynfH//garD//appA//mhpC//alkB//udp//nrdF//hcaF//alaS//tnaA//rfe//purF//phr//ldtC//torA//pncB//fdhF//dacC//purE//dmsA//leuC//argI//umuC//glpX//uxaC//moeB//cysN//gpmM//malQ//bioB//nanM//mdh//
PrpR-2S3S-2-methylcitrate	mhpA//fadJ//ddlB//nirB//
PspF	katE//
PurR-hypoxanthine	amn//uvrC//gdhA//tehB//paaI//asnA//entH//rtcB//paaH//prpE//lysC//ftsI//glxR//murG//gapA//acnA//umuD//entA//moaD//sucA//mtlD//ppc//eda//cyoE//ung//ynfF//
PutA	purA//murQ//
PuuR	phnN//accC//wzb//eda//codA//dkgA//
QseB-Phosphorylated	
RbsR	mazG//fadA//ilvH//thrS//galM//
RcdA	nagB//
RclR	
RcnR	chbG//
RcsAB	cysN//ruvA//argD//
RcsB-BglJ	ldtD//rtcA//
RcsB-Pasp56	ulaF//phnO//wecB//sucD//
RelB	phr//
RelB-RelE	adiA//
RhaR-alpha-L-rhamnopyranose	
RhaS	mdh//
RhaS-alpha-L-rhamnopyranose	garK//cyoE//narG//alkA//
Rob	hcaB//paaZ//cueO//ftsI//metL//metH//umpH//aspC//fdhF//trpE//ilvG_1//malP//patA//phnG//nrfC//alkA//glxK//cysK//glpA//
RstA-Phosphorylated	lsrF//frdC//edd//
RtcR	citD//fadA//
RutR	frdD//tpiA//metL//adhE//mnmG//patA//dadX//metC//edd//bioF//wzb//
SdiA	
SgrR	glcD//polA//accD//
SlyA	nfsB//fadJ//dkgB//araA//metL//yeaG//hycB//rffH//fucI//
SoxR	truB//ftsI//yqhD//paaJ//aldA//ilvC//
SoxS	galK//guaA//cysN//mdh//purM//ilvM//uvrA//rffM//trpE//sbcC//phnH//hycE//ruvA//mhpF//poxB//phnL//sufS//dgcN//narI//sbcC//citE//nrdF//hycG//gnd//kbl//gdhA//accA//ulaD//
SrlR	fucK//hypF//ubiA//
StpA	speB//nadA//deoD//
SutR	ada//lhgO//
TdcA	pflB//trpA//tehB//ccp//glpK//
TdcR	glcB//talA//mhpF//paaY//prpD//
TorR-Phosphorylated	cynT//recF//puuC//lhgO//
TorR-TorI	cysH//
TreR	pdeL//glxR//
TrpR-tryptophan	aroH//ung//idnD//phnG//paaA//garL//ada//pepD//tyrB//
TyrR	alsE//
TyrR-phenylalanine	sbcC//uidA//
TyrR-tyrosine	fabH//fucU//ynfE//ldtB//pflB//mhpF//hyi//murE//
UhpA-Phosphorylated	rffC//
UidR	fabA//trpA//
UlaR	recF//ruvA//glcB//rfe//ccp//
UvrY-Phosphorylated	glmU//alkB//
UxuR	fadA//rhaA//nagA//torC//serC//
XapR-xanthosine	allE//gltD//
XylR-xylose	waaZ//asnB//tdcD//
YdeO	zwf//pyrC//frdB//
YefM	ynfF//
YefM-YoeB	wrbA//
YeiL	
YhaJ	
YiaJ	frdD//bioC//yeaE//yqjH//rhaB//dkgB//
YjjQ	glk//purC//
YpdB-Phosphorylated	
YqhC	fadM//glpC//
YqjI	murE//
ZntR-Zn2	argH//
ZntR-Zn2+	rffC//
ZraR-Phosphorylated	
Zur-Zn2	rutD//
Zur-Zn2+	polA//
