# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	argC//gntK//
LysR	umuD//
MalI	malS//dkgA//
MalT-maltotriose-ATP	dgcN//fruK//uxuA//hcaE//iscS//sgbH//
MarA	glpA//tnaA//narH//fdhF//accA//ulaF//pspE//paaI//uxaA//araD//metK//ahpF//asnB//bioC//mtlD//pspE//asnA//nagA//aroF//tyrB//aceA//malS//tam//entB//
MarR	
MatA	ycjG//
MazE	sgbH//
MazE-MazF	puuD//
McbR	
MelR	pgaD//asnA//
MelR-melibiose	sucB//pheS//
MetJ-adenosylmethionine	mpaA//lhgO//leuC//cyoE//cueO//dgcZ//trpE//mpaA//pdeR//ilvH//
MetR	ttdB//glsA//
MetR-L-homocysteine	idnK//entB//
MhpR-3HPP	yeaG//nfsA//dadX//feaB//caiC//sufS//
Mlc	wrbA//yqhD//gloA//caiB//
MlrA	paaH//
MngR	metK//murI//
MntR-Mn2+	hemH//putA//
ModE-MoO42-	mpaA//cysM//gcvP//argG//ulaD//tdcE//nanA//alaA//purF//lacA//ygeA//ddlB//atoB//hycD//deoC//avtA//purM//
MprA	aspA//ilvM//uvrA//
MqsA	lyxK//nrdD//
MraZ	xapA//allA//glcE//uidA//lacA//wrbA//phnO//pnp//alaC//ftnA//
MurR	deoD//accA//hycF//
Nac	puuD//glcF//entD//cysD//allC//nfsB//dacC//metC//pgpC//purC//murQ//
NadR	epd//frdB//paaJ//lpxC//
NagC	murI//aceE//dacC//ribA//hypB//argC//pagP//metE//hmp//gloA//ogt//gabT//ttdB//nrdB//napB//ynfG//wrbA//paaY//carA//
NanR	moeA//uvrB//cysK//aroG//bglB//paaA//
NarL-Phosphorylated	ahpC//entB//nanK//entH//torC//trpC//aceB//metL//polB//entC//mpaA//fabA//deoB//fabH//paaG//dkgA//fabZ//tadA//fucO//hyaA//phoA//nrdD//sdhD//aceE//citD//frc//nfsB//sbcD//lpxA//deoD//rutD//paaJ//gabT//trpC//poxB//alkB//rhaD//tdh//putA//glgP//murI//
NarP-Phosphorylated	paaI//purM//dacC//astB//hcaC//gpmM//gnd//fumB//dhaM//carA//rutA//accC//lsrK//astE//ynfG//
NemR	argG//lsrK//
NhaR-Na+	sgbE//katE//entA//astB//lsrG//
NikR-Ni2+	glpX//
NimR	alkA//
NorR	gatZ//
NrdR-Zn2+	glpD//pspE//hcaF//lysC//
NsrR	fucK//puuA//glmS//sdhB//metC//codA//waaZ//sbcD//cysK//fes//cynT//grxA//patD//torC//dapB//ndh//kbaZ//yqjH//purM//frdC//araA//araA//purM//srkA//gdhA//serC//uxaB//idnK//aroA//paaH//idnO//uxuB//cysD//tyrB//torC//nanM//rffC//atoD//argH//thrS//
NtrC-Phosphorylated	garD//pgaC//garK//epd//prpC//chbG//alaC//paaY//rbsD//nrdA//carA//acnB//psd//yedX//bioD//gatD//alkA//moaA//gcvP//betB//lacZ//
OmpR-Phosphorylated	phr//accD//allA//treC//guaB//fadE//glxK//xapA//
OxyR	lacA//bacA//hycG//speG//trpA//hypB//fucO//metF//gatD//pgi//mltF//gatZ//ldtD//phnJ//dhaM//galE//phnH//
PaaX	gatD//tadA//gatZ//cynT//katE//serA//ddlB//argB//sgbH//
PdeL	phnG//
PdhR	garL//gdhA//purB//alkB//yqhD//asnB//ttdB//recD//nirB//sbcD//accA//allB//accC//hcaE//idnD//hcaC//eno//fadA//mpaA//sdhD//argA//ttdA//wzc//glpD//argG//
PepA	accD//rhaB//
PgrR	entH//guaA//
PhoB-Phosphorylated	argG//pgaC//mdh//lpxA//ruvA//arsC//sdhD//dadA//bioD//rffT//entD//dmsC//ccp//ilvI//pspE//dgkA//thrS//poxB//speA//glpA//
PhoP-Phosphorylated	ampC//fabH//murF//citX//araB//paaB//bglB//phnG//aspC//glcE//paaB//ruvB//phnM//tpiA//pncB//codA//araA//cueO//tktB//ygeA//murD//bacA//moaA//fadJ//fabZ//citE//dkgB//murG//purF//aroF//paaG//recD//
PrpR-2S3S-2-methylcitrate	fabI//astE//malQ//nanA//
PspF	allD//
PurR-hypoxanthine	aroL//dmsB//glpB//gabT//zwf//tyrB//tdcB//speB//sdhC//sgbU//argD//rhaD//entB//serA//argD//rffC//lyxK//leuD//cueO//paaJ//citF//ccp//ssuD//folE//tdcG//frc//
PutA	ugpQ//trpB//
PuuR	citG//pheT//metC//wzc//lysU//bacA//
QseB-Phosphorylated	
RbsR	lysU//fruK//dinB//pagP//deoB//
RcdA	paaG//
RclR	
RcnR	hcaF//
RcsAB	gabD//hycF//sufS//
RcsB-BglJ	ychF//argI//
RcsB-Pasp56	galT//gapA//rutC//pfkA//
RelB	entA//
RelB-RelE	trpC//
RhaR-alpha-L-rhamnopyranose	
RhaS	yqjH//
RhaS-alpha-L-rhamnopyranose	pncB//ulaE//rimK//uidA//
Rob	argE//cysH//astB//entF//glcF//nrfD//phnG//rffM//rutD//rfe//allB//nemA//katG//nanK//betB//lhgO//cysE//speA//glpA//
RstA-Phosphorylated	dkgA//entD//adiA//
RtcR	nanE//gcl//
RutR	nanM//idnO//talA//rhaD//alkB//fadA//fabD//hyi//phnO//tktB//mnmG//
SdiA	
SgrR	glpB//rffT//bioC//
SlyA	aroF//wecE//nrfA//yeaG//sucC//nirD//cysK//ada//gcvP//
SoxR	aroA//waaY//hypF//nfsB//dapD//caiA//
SoxS	cdd//fadJ//entC//tpiA//speG//icd//leuA//dadX//betA//alaS//pykF//dhaL//pck//pgm//caiD//cysI//purC//gcvP//argI//edd//citD//astE//hmp//galK//glpC//citF//tdcB//phnH//
SrlR	gabD//cyoE//aroF//
StpA	hcaE//entE//purM//
SutR	napB//lsrK//
TdcA	glpC//aldA//sucC//gcvP//mpl//
TdcR	ubiA//waaZ//metK//fabI//metC//
TorR-Phosphorylated	glpX//serC//galE//narH//
TorR-TorI	paaZ//
TreR	zwf//aldA//
TrpR-tryptophan	paaF//glpQ//purM//cadA//deoB//ybjG//tnaA//ygeA//narG//
TyrR	dgkA//
TyrR-phenylalanine	nanK//gloA//
TyrR-tyrosine	moaE//prpE//garR//treC//mhpE//yedX//lhgO//acnA//
UhpA-Phosphorylated	hyaC//
UidR	speA//lhgO//
UlaR	glcE//gcvT//frdA//frdB//pyrC//
UvrY-Phosphorylated	hcaD//fdhF//
UxuR	dapB//pdeR//cysH//accD//glgP//
XapR-xanthosine	ybjG//fabD//
XylR-xylose	mhpA//recB//hcaB//
YdeO	napB//fucU//lsrK//
YefM	nrfC//
YefM-YoeB	fadH//
YeiL	
YhaJ	
YiaJ	cysC//purM//aroG//moeA//dkgA//nanA//
YjjQ	ppsA//entC//
YpdB-Phosphorylated	
YqhC	yiaK//ahpF//
YqjI	glpK//
ZntR-Zn2	nemA//
ZntR-Zn2+	nadB//
ZraR-Phosphorylated	
Zur-Zn2	hycB//
Zur-Zn2+	lpxC//
