# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	aspA//amn//
DcuR-Phosphorylated	ilvH//rffG//rimK//gdhA//
DeoR	yiaK//aroH//nrfC//aldA//recF//accC//
DhaR	lysC//
DicA	
DinJ-YafQ	mltF//
DnaA-ATP	cysJ//hmp//nrdE//pgaD//ubiC//fumC//
DpiA-Pasp	glgB//alsE//uvrB//bioA//lldD//
DsdC-D-serine	tadA//fabI//
EbgR	
EnvR	wrbA//hypF//
EnvY	melA//nagA//
EvgA-Phosphorylated	argB//hmp//glxR//cadA//entC//galM//
ExuR	purN//fadH//hmp//galM//hyaC//mdh//
ExuR-alpha-D-galacturonate	
FabR	gpmM//purA//alaA//
FadR	bioF//idnK//fabA//mhpB//umuD//poxB//fau//caiB//wecC//dmsA//accA//lysU//atoD//purA//purB//galE//xapA//allA//ndh//
FadR-acyl-CoA	
FeaR	prpC//lacA//
FhlA-formate	pspE//rimK//ruvA//arsC//wecB//argA//ynfE//melA//
FlhDC	gcvP//accC//pykF//glxR//hycB//glpX//purB//iscS//tdcB//hcaC//betA//phoA//lhgO//pflB//
FliZ	glpC//glk//kbaZ//nadB//fadI//
FucR-L-fuculose-1-P	tktB//moaD//pepD//aspA//mhpE//katE//
Fur-Fe2	galK//talA//asnB//galT//galM//gcl//nadA//yqhD//aroF//hypB//poxB//asnA//trpA//napA//prpD//hycE//nrdF//phnN//purC//dgcN//caiB//cyoE//allE//nrfD//cysD//narG//purB//sucB//katG//mazG//aldA//aceF//glxK//ilvI//sdhB//allB//phoA//dmsC//umpH//ydcS//sbcD//wecB//udp//puuA//pgaD//nirB//edd//wzb//eda//rtcB//ilvH//yfdE//puuE//murI//glpD//trpB//gabD//slt//ttdA//entF//betA//ugpQ//
GadE	phnN//ynfH//gabT//tdcG//citD//ubiC//dadX//glk//gabD//icd//
GadE-RcsB	purM//pspE//nadA//glpD//frdB//
GadW	uidA//purL//nrdA//appA//
GadX	lysC//guaB//sdhB//pheS//nrdB//purL//icd//moeA//astD//pdeR//deoC//astE//ychF//glgB//
GalR	lysU//paaF//nfsA//gltD//ulaD//bioC//
GalR-beta-D-galactose	pdeH//nanM//paaB//aroF//gapA//
GalS	umpH//grxA//trpC//cynT//ycjG//dgcN//
GalS-beta-D-galactose	dmsC//waaH//dhaK//glgB//entE//
GatR	phoA//trpC//rbsD//
GcvA	prpC//fucO//nrfC//
GlcC-glycolate	gapA//lacA//eno//
GlpR	dsdA//gadA//malY//xylB//prpE//trpB//allA//
GlrR-Pasp56	
GntR	gatY//idnO//cynS//uvrC//cyoE//ilvH//nrfD//mtlD//idnD//
GutM	purD//putA//fumB//
HU	nadB//fes//uxuB//rffH//nrdE//argE//purD//
HcaR	
HcaR-HCA	gapA//nadB//
HdfR	
HigA	sbcC//
HigB-HigA	wzb//
HipAB	cysH//srkA//
HipB	fadE//aceA//ybjG//
HprR-Phosphorylated	pdeH//dkgA//srkA//metA//
HyfR	rhaD//
HypT-Met-oxidized	speA//ascB//pdeL//hycF//speB//lpxC//rbsK//
IclR-pyruvate	fadB//sucB//hycF//
IdnR-5-ketogluconate	gpmA//rimK//hcaB//prpD//fucA//
IlvY	
IlvY-S-2-acetolactate	fumC//
IscR	katG//hcaF//pflB//ynfG//glcE//nrfA//
IscR-2Fe-2S	purL//gcl//
KdgR	ada//paaF//
KdpE-Phosphorylated	rutD//
LacI	glgX//nrdE//nrdF//
LeuO	relA//ppc//bioF//nadB//paaK//purN//
LexA	paaE//fadE//phnJ//malP//adiA//srkA//hycG//tyrB//nagA//glxR//fbaA//ilvM//tktB//fucI//allC//glpD//nrfC//yqhD//uxuB//purN//glgA//rhaB//dinB//
LldR	ugpQ//ftnA//
LldR-S-lactate	pgm//mhpD//
LrhA	
Lrp	nrfA//pdeH//aceB//ldtB//gdhA//tam//astA//speG//fdhF//puuE//narH//ampC//phoA//cysD//ftnA//serA//xylB//carB//gloA//ssuE//sucD//poxB//rhaD//purF//tdh//purD//feaB//prpB//hcaC//cysJ//cysH//
Lrp-leucine	recB//astA//moaE//dacC//metE//murG//garD//aspC//tnaA//katG//gltB//uvrA//araD//pgpC//ppsA//rtcA//pepD//
LsrR	dgkA//caiC//allC//ogt//tadA//
LysR	entD//
MalI	cueO//nrdE//
MalT-maltotriose-ATP	gcvH//mpl//ahpF//arsC//ilvI//folE//
MarA	moeB//gcvH//mhpC//aroL//paaY//fabI//hcp//amn//yeaG//pdeH//dgcZ//ychF//wzb//guaA//astE//yeaG//fadB//serA//nrfD//murD//entH//alaC//purD//malY//
MarR	
MatA	gntK//
MazE	nadB//
MazE-MazF	phnJ//
McbR	
MelR	metA//sucD//
MelR-melibiose	tdcB//sodB//
MetJ-adenosylmethionine	mdh//gcvP//ubiA//sdhD//lsrG//hyaA//murG//ygeA//xapA//allC//
MetR	glgP//accA//
MetR-L-homocysteine	ilvA//ilvC//
MhpR-3HPP	aceA//grxA//gcvT//murE//citF//allB//
Mlc	trpB//rtcB//allC//gcvT//
MlrA	gcvH//
MngR	betB//melA//
MntR-Mn2+	prpE//sufS//
ModE-MoO42-	dhaM//leuA//gdhA//asnA//purM//argI//lacZ//carB//sucA//acnB//dkgA//phoA//dgcN//tyrB//gadA//galT//aceE//
MprA	rtcA//sdhC//ynfE//
MqsA	recF//melA//
MraZ	fucU//metC//phnO//metL//moeA//glgA//allB//dhaK//leuD//argG//
MurR	yedX//fabI//mltF//
Nac	rutE//ilvC//trpB//yedX//tdcE//torA//ilvA//fruK//purN//lysC//sgbE//
NadR	trpD//glxK//ycjG//paaB//
NagC	garD//glpX//tyrB//kbaY//paaZ//lpxD//cysK//glnA//hypF//idnK//leuD//recF//malZ//atoD//dgkA//pfkA//serC//sufS//cynT//
NanR	dgkA//uxaC//epd//poxB//speA//narG//
NarL-Phosphorylated	uxaC//tpiA//rutA//waaY//mhpB//paaH//ilvI//waaZ//aspC//atoB//narI//astD//malZ//ubiX//glcF//yedX//nrdB//paaK//folE//cysI//lsrG//paaY//uvrB//wecB//entC//purF//galE//rbsD//hcaF//ppc//paaJ//murG//ahpF//pfkA//lpd//eno//yqhD//allB//alaS//epd//pgaC//
NarP-Phosphorylated	glmS//bglB//mdh//metF//dapD//rutC//aceA//entB//glpD//malP//ndh//folE//sdaA//lacA//lacA//
NemR	moaC//napG//
NhaR-Na+	sdhD//lsrK//ubiA//sdhB//deoC//
NikR-Ni2+	pck//
NimR	purN//
NorR	glpD//
NrdR-Zn2+	yeaE//rutB//rffC//murQ//
NsrR	ldtC//umuC//nanM//pyrD//umpH//ubiX//dmsA//nrfA//lldD//gabT//torA//puuD//mhpA//ycjG//waaZ//lacZ//leuD//malS//leuA//rhaB//nrdA//alaC//frc//grxA//bioB//rpiB//napG//entE//argA//cysI//ilvG_1//hycB//fucK//puuD//gor//gpmM//rhaD//mltF//pfkA//phoA//
NtrC-Phosphorylated	cueO//malY//fabA//fadJ//betB//hcp//allE//waaH//rutD//folE//sodB//mdh//truB//murE//nfsB//aceA//paaI//frdA//dinB//lpxC//araD//
OmpR-Phosphorylated	gapA//prs//hycG//fucO//paaF//purE//paaJ//malQ//
OxyR	acnA//sdhB//ahpC//hcaF//lsrK//sucD//sgbH//gcvH//caiC//argD//tpiA//phnG//aceE//narI//pgaB//ddlB//thrS//
PaaX	ubiC//phnJ//tyrB//citD//rimK//murQ//sgbE//rpiB//atoB//
PdeL	aceA//
PdhR	sgbH//atoD//pdeL//carB//tdcB//galE//glpC//allE//dapB//gltD//gltB//fucO//mraY//sdhD//luxS//psd//mtlD//ftsI//cysD//hcaE//metL//uvrB//ribA//araD//paaA//
PepA	rutC//trpB//
PgrR	hemL//sdaA//
PhoB-Phosphorylated	glyA//carA//atoB//pgaD//bioB//asnB//talA//dgcZ//rbsK//nrfD//ldtB//nanA//pgaC//paaJ//citD//arsC//lpxC//nemA//dgcN//ppsA//
PhoP-Phosphorylated	hycG//ahpC//fadD//paaF//allE//nagB//glpK//murF//mraY//alaA//wecC//metB//glpD//gadA//sufS//ulaF//wecC//phnM//paaB//rfe//trpB//galE//fabZ//ilvD//gloA//galT//leuC//argA//pyrC//bioF//lsrK//thrS//
PrpR-2S3S-2-methylcitrate	dadX//treC//nanK//entA//
PspF	araD//
PurR-hypoxanthine	fumC//sdhC//slt//sgbE//uxaC//pfkA//speG//nemA//ldtD//fumC//gloA//mpl//yeaE//ftsI//dhaK//trpC//allB//fadJ//tdcE//sgbE//pgk//lacZ//polA//nadA//fumC//deoC//
PutA	aceE//dmsC//
PuuR	pgaD//wrbA//ampC//caiD//gor//gdhA//
QseB-Phosphorylated	
RbsR	purE//deoA//glgA//recD//patD//
RcdA	pfkA//
RclR	
RcnR	dgkA//
RcsAB	serC//ppsA//phnJ//
RcsB-BglJ	fabA//metE//
RcsB-Pasp56	hypB//pdeR//accD//hemL//
RelB	argC//
RelB-RelE	gntK//
RhaR-alpha-L-rhamnopyranose	
RhaS	pck//
RhaS-alpha-L-rhamnopyranose	aspC//xylA//mhpF//gatD//
Rob	metF//wecC//aceB//pdeH//malP//truB//phnO//ynfG//fadM//asnA//bioB//mtlD//phnM//rhaA//cysI//fadA//gadB//aceA//alaS//
RstA-Phosphorylated	tktB//nanE//ychF//
RtcR	srlD//patD//
RutR	fucI//trpA//cynS//metC//mngB//hmp//rutC//murC//wecC//galK//sdhB//
SdiA	
SgrR	phnG//malZ//leuC//
SlyA	xylA//prpD//hycC//sdhD//umpH//entE//guaA//glmS//ubiX//
SoxR	lpxC//pheT//tdcB//dhaK//puuA//phnN//
SoxS	tdcG//napA//frc//paaF//glgA//polB//tdh//hcp//murG//fumC//tyrA//rpiB//gcvH//phnP//tauD//chbG//deoB//rsmH//dmsA//mhpB//lsrF//ulaE//uxaC//purC//ygeA//fabD//carB//mnmG//
SrlR	glmU//sbcD//aldA//
StpA	sgbH//ilvE//prpE//
SutR	sufS//allE//
TdcA	murG//alkA//narH//phoA//narG//
TdcR	hcaC//phnO//sdhB//narI//fucU//
TorR-Phosphorylated	xylA//entE//mpaA//purN//
TorR-TorI	fdhF//
TreR	fdhF//lsrF//
TrpR-tryptophan	fucU//astC//poxB//hcaB//napA//cysM//mhpB//aroF//dsdA//
TyrR	aceF//
TyrR-phenylalanine	nadA//argG//
TyrR-tyrosine	atoB//rffG//phnG//mhpD//garK//phnO//glpC//allB//
UhpA-Phosphorylated	adiA//
UidR	accC//carA//
UlaR	tam//fadI//tyrB//katE//deoC//
UvrY-Phosphorylated	paaA//hcaC//
UxuR	murQ//tauD//fabG//entD//aroF//
XapR-xanthosine	pykF//aceF//
XylR-xylose	paaA//sgbH//moaC//
YdeO	xapA//fucI//umpH//
YefM	polB//
YefM-YoeB	idnO//
YeiL	
YhaJ	
YiaJ	mhpE//napG//glcD//deoD//tpiA//astC//
YjjQ	ogt//betA//
YpdB-Phosphorylated	
YqhC	rffM//mpaA//
YqjI	mltF//
ZntR-Zn2	mhpD//
ZntR-Zn2+	puuD//
ZraR-Phosphorylated	
Zur-Zn2	ygeA//
Zur-Zn2+	ftsI//
