# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	dmsA//gloA//
MarA	nadA//mnmG//cueO//umuC//hmp//lsrK//glpD//cysD//gpmA//nfsA//leuC//malQ//cysK//nrfA//kbaY//fumB//lhgO//lhgO//wecE//ulaF//sdhC//sgbE//hypB//tdcD//
MarR	
MatA	srlD//
MazE	phnJ//
MazE-MazF	patA//
McbR	
MelR	phnO//fabG//
MelR-melibiose	moaD//hcaD//
MetJ-adenosylmethionine	napH//fabG//argG//recB//mhpF//hcaD//pgaB//fabB//narG//cadA//
MetR	phnG//rnpB//
MetR-L-homocysteine	mhpD//garL//
MhpR-3HPP	uvrC//fadD//metB//melA//phnH//galK//
Mlc	ruvB//paaZ//astA//murD//
MlrA	umpH//
MngR	fdhF//lacA//
MntR-Mn2+	avtA//ynfF//
ModE-MoO42-	glpK//hcaD//frdB//puuA//lysU//napB//caiA//ogt//kbaZ//caiC//gnd//tyrB//fumC//entF//wzc//sucB//entA//
MprA	gloA//murC//pgaC//
MqsA	rffC//gcl//
MraZ	sdhA//pnp//uxaA//aroF//metE//dhaL//fruK//ilvM//wrbA//paaY//
MurR	wecB//lyxK//polA//
Nac	ppc//pdeH//argA//leuC//tdcG//pspE//araA//hcaB//wecB//purB//chbG//
NadR	frdB//metF//citX//tdcD//
NagC	araB//uidA//aspA//phnI//paaZ//puuA//kbaY//tyrB//astA//argI//codA//malS//yiaK//metE//dhaL//cysG//phnP//cysD//glgC//
NanR	alaC//rbsK//rffT//frdD//zwf//moaE//
NarL-Phosphorylated	citF//rffC//icd//gadA//purF//hcaF//pncB//paaB//caiA//tehB//sdhB//dgcN//patA//pheT//glcB//luxS//ybjG//truB//pykF//gpmM//uxaB//uxuB//ahpF//nrfA//fadA//purL//rffM//betA//fabZ//hcaB//malZ//metF//folA//dadX//gnd//galE//argC//uxuB//pyrC//pgpC//trpE//
NarP-Phosphorylated	astC//ldtB//tnaA//mhpA//dgcZ//gudD//srlD//uxaB//purH//murQ//citE//phnH//cysC//truB//allC//
NemR	frdC//malY//
NhaR-Na+	recB//entC//rutE//rfe//ilvH//
NikR-Ni2+	yfdE//
NimR	nrdE//
NorR	yqhD//
NrdR-Zn2+	waaY//cynS//phnG//glcB//
NsrR	cueO//pgk//fabH//ampC//mnmG//asnB//phnM//chbF//glgA//ilvA//sdhD//rffT//nagB//speA//ahpC//cynS//tdcE//rbsD//amn//argC//pck//pgpC//phr//mazG//ldtB//mnmG//purD//malQ//mdh//nrdB//tauD//citF//udp//cynS//mdh//murE//murG//ilvH//wecE//dapD//
NtrC-Phosphorylated	fruK//sdhB//moeA//entH//fucO//hyaC//ilvD//accC//guaB//deoD//pfkA//narG//nrdF//bioC//dacC//ddlB//dgcN//lpd//fbaA//malZ//allC//
OmpR-Phosphorylated	ttdB//wrbA//aroA//mpl//ilvD//mpl//entC//sgbH//
OxyR	uxuA//bioF//dgkA//glgB//eda//uxuB//citE//fadE//tyrA//entE//napG//malY//purL//sdhB//hcaE//cysC//folE//
PaaX	ppiA//trpE//wrbA//mhpE//caiA//carB//rnpB//hcp//arsC//
PdeL	paaF//
PdhR	uxuB//pyrC//hyaB//citF//allE//icd//narH//alsE//moaD//metH//astA//aldA//phnL//wzb//speA//ascB//ldtD//kbaY//leuD//alkB//serC//sbcC//fadA//metK//napB//
PepA	fucA//ynfG//
PgrR	lhgO//gcvT//
PhoB-Phosphorylated	pflB//caiB//metK//gpmM//trpB//gabD//ilvI//glk//srkA//ppc//pnp//mtlD//paaH//rffC//hyaC//deoB//glpA//wecE//tdcD//citC//
PhoP-Phosphorylated	arsC//mraY//mltF//hcaE//rhaA//fucK//psd//gapA//eda//idnK//lsrF//pgk//caiC//glnA//pyrC//hycF//oxc//ung//deoC//fucK//aldA//hycC//mhpC//paaH//tehB//pgi//cysE//allE//murF//tpiA//moaD//accD//
PrpR-2S3S-2-methylcitrate	tdcD//pnp//astB//phnO//
PspF	deoA//
PurR-hypoxanthine	ribA//entH//bglB//nfsA//purH//zwf//sucA//purE//kbaY//carA//glgP//serA//nemA//ulaG//entD//fes//glpB//nanE//cysH//garL//lhgO//citX//frdD//entB//xylB//argB//
PutA	lysA//prs//
PuuR	polB//fadJ//phnM//asnB//edd//kbl//
QseB-Phosphorylated	
RbsR	caiD//astB//gdhA//alaC//garD//
RcdA	lpxC//
RclR	
RcnR	moaA//
RcsAB	dacC//phr//ascB//
RcsB-BglJ	rhaD//sbcD//
RcsB-Pasp56	fabH//paaK//sbcC//argI//
RelB	ddlB//
RelB-RelE	glcF//
RhaR-alpha-L-rhamnopyranose	
RhaS	fdhF//
RhaS-alpha-L-rhamnopyranose	slt//ulaD//phnP//ubiA//
Rob	nrdB//purC//purK//argE//metH//leuD//pykF//avtA//lacZ//srkA//allE//wecC//ada//ldtC//cynS//ascB//nadA//rffG//moaC//
RstA-Phosphorylated	frc//mhpD//fadD//
RtcR	uidA//argD//
RutR	citE//napH//glpQ//glgA//aceA//ulaG//glpC//rhaD//paaZ//tyrB//murG//
SdiA	
SgrR	atoB//gor//ynfE//
SlyA	ppsA//dadX//glnA//ychF//ttdB//trpD//pdeL//gor//glgP//
SoxR	fadH//mltF//pfkA//glpQ//glcE//lacA//
SoxS	atoD//tadA//fadJ//fabI//sucA//ftnA//sdaA//fumB//prs//tam//edd//relA//tauD//metA//malP//eno//slt//deoA//fruK//paaF//pgaD//phnJ//nanK//uvrA//lpxC//mhpB//gutQ//malY//
SrlR	cysD//lsrG//purK//
StpA	sodB//psd//galT//
SutR	aldA//truB//
TdcA	argG//truB//yeaG//lacA//lyxK//
TdcR	metE//gntK//entB//citC//atoD//
TorR-Phosphorylated	bioC//lsrF//fadM//nrdE//
TorR-TorI	sdhA//
TreR	mhpA//mhpD//
TrpR-tryptophan	fabZ//aroH//fucA//uxuB//ahpF//gltD//glk//uxaC//ilvD//
TyrR	araB//
TyrR-phenylalanine	nagA//idnO//
TyrR-tyrosine	aceF//lpd//guaB//tktB//glyA//purF//umuD//lldD//
UhpA-Phosphorylated	hcaE//
UidR	gnd//deoD//
UlaR	sodA//ychF//nrdE//leuA//phnP//
UvrY-Phosphorylated	dadA//idnK//
UxuR	cysH//ilvH//tdcE//cysD//hyaA//
XapR-xanthosine	prs//phnM//
XylR-xylose	rffM//mdh//acnB//
YdeO	yedX//puuC//udp//
YefM	dgcC//
YefM-YoeB	hyaC//
YeiL	
YhaJ	
YiaJ	ulaF//galT//allC//pgaC//araA//glpC//
YjjQ	adhE//garL//
YpdB-Phosphorylated	
YqhC	rutB//recF//
YqjI	dmsC//
ZntR-Zn2	dapD//
ZntR-Zn2+	phnL//
ZraR-Phosphorylated	
Zur-Zn2	ppsA//
Zur-Zn2+	glpC//
