# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	paaG//umpH//
CreB-Phosphorylated	moeA//codA//
CsgD	uxaA//rimK//cysE//sdhD//purK//
CsiR	nfsB//idnO//moeB//ppc//
CspA	hycC//
CueR-Cu	ybjG//hycG//cyoE//cysG//cysC//
CusR-Pasp	trpA//cysE//trpC//rtcB//
CynR	
CynR-cyanate	sdhA//thrS//chbF//
CysB	dmsC//astA//
CysB-O-acetyl-L-serine	purL//entD//argD//allD//sgbU//nadA//torC//prpD//ndh//fadM//pspE//cysI//truB//uxaB//phnL//
CytR	rhaA//glgC//astA//ynfF//dkgA//rutB//patA//paaE//astB//lacZ//
Dan-L-tartrate	tynA//waaZ//
DcuR-Phosphorylated	murQ//atoB//hcp//bglB//
DeoR	psd//rtcB//fadM//tdcB//wecE//srlD//
DhaR	aspA//
DicA	
DinJ-YafQ	gnd//
DnaA-ATP	malQ//paaK//paaK//ddlB//cysD//nanM//
DpiA-Pasp	caiB//lpxA//malY//dmsC//dgcN//
DsdC-D-serine	fucI//malP//
EbgR	
EnvR	caiD//ldtB//
EnvY	dmsB//tynA//
EvgA-Phosphorylated	dkgA//metE//astA//glcE//nirD//kbaZ//
ExuR	cysH//tam//cyoE//ynfH//chbF//ppc//
ExuR-alpha-D-galacturonate	
FabR	rimK//garR//fadH//
FadR	amn//phnI//sufS//cysD//phnJ//avtA//mazG//gpmA//citD//uxaC//purE//mhpD//sbcD//xylA//ftsI//nanE//glcF//cysI//sdhD//
FadR-acyl-CoA	
FeaR	edd//paaE//
FhlA-formate	fdhF//lacZ//paaJ//sbcD//aroF//ndh//ilvE//patA//
FlhDC	leuD//katG//astD//gcvP//umpH//nadA//citD//alaC//aceF//lsrK//lysA//pheT//lpxD//luxS//
FliZ	metF//cueO//dacC//phnG//nfsA//
FucR-L-fuculose-1-P	carA//alaC//rutC//recF//sucB//carA//
Fur-Fe2	lldD//mpaA//entD//aroF//fabH//lpxA//mnmG//galK//dadX//hyi//sufS//pyrD//glgA//torC//rutA//dgcN//purD//moaA//glk//entD//yedX//tdcG//patD//polB//pfkA//gpmA//dinB//purD//tyrB//ulaE//murQ//prpC//paaA//gcvP//wzc//metB//recB//psd//yqjH//accA//hypB//slt//hypB//fadM//cysE//sucA//sodA//rutA//glxK//cadA//glyA//ssuD//cysD//lsrG//srkA//umuC//frdB//yqjH//purC//trpA//gcvP//citG//
GadE	rbsK//murE//entD//glxR//guaA//nrdD//carB//ascB//zwf//argH//
GadE-RcsB	hyaC//rhaB//betA//lysA//leuD//
GadW	ldtB//sdhA//hcaD//nanE//
GadX	fbaB//purA//sdhC//rnpB//bioB//malP//dhaL//phnN//mnmG//murD//cysE//chbG//pck//gcvP//
GalR	appA//argH//lacA//nagB//cysN//fabD//
GalR-beta-D-galactose	wrbA//tnaA//gntK//tdcB//thrS//
GalS	sgbH//uvrB//ruvB//ubiC//deoA//citC//
GalS-beta-D-galactose	glgX//sucB//dinB//rffH//xapA//
GatR	atoB//cysJ//appA//
GcvA	ahpF//ulaD//entF//
GlcC-glycolate	tam//hypF//wrbA//
GlpR	gabT//glcB//fadE//ung//lpxC//leuD//uxuA//
GlrR-Pasp56	
GntR	sdaA//alkA//ppc//polB//tam//dadX//relA//fucI//aroA//
GutM	malZ//ndh//ulaG//
HU	rffH//pgi//nanM//puuC//ilvC//rutA//citX//
HcaR	
HcaR-HCA	ada//fadA//
HdfR	
HigA	gatZ//
HigB-HigA	ilvM//
HipAB	rbsK//prs//
HipB	argA//hyaA//glmU//
HprR-Phosphorylated	malZ//pgpC//betB//zwf//
HyfR	ilvA//
HypT-Met-oxidized	truB//nfsB//mdh//mhpD//grxA//cynS//alkA//
IclR-pyruvate	lysU//folA//purL//
IdnR-5-ketogluconate	srlD//murQ//gcvH//trpA//pyrC//
IlvY	
IlvY-S-2-acetolactate	trpD//
IscR	prs//phnI//pgaC//glyA//purH//phoA//
IscR-2Fe-2S	araD//tauD//
KdgR	fdhF//nadB//
KdpE-Phosphorylated	ahpF//
LacI	carA//accD//purH//
LeuO	aceB//ruvA//ssuD//ogt//pgaB//murF//
LexA	glxR//alaA//gcvT//pnp//glpX//glpC//phnG//nrdD//trpE//ilvM//yqjH//trpE//puuE//pykF//ygeA//paaI//aroH//dacC//gcvH//allD//patD//puuC//galM//
LldR	fadJ//narG//
LldR-S-lactate	ilvI//ilvH//
LrhA	
Lrp	lacA//ybjG//nrfC//citX//nanK//citG//dapB//hyaA//wecC//ulaF//pgaB//cadA//yqhD//glgC//citC//alaC//ubiC//rutD//entB//ynfH//paaC//murQ//alaC//fadD//phnN//nanA//allC//mhpC//hcp//cysG//edd//
Lrp-leucine	ulaF//folE//mhpB//ruvA//speA//torC//sbcC//mhpD//astA//uxaC//allD//fadJ//ruvA//tdcD//cysK//ilvD//garK//
LsrR	fruK//gabT//srkA//phnL//yqhD//
LysR	metE//
MalI	sodA//lpd//
MalT-maltotriose-ATP	phnN//sucC//paaK//malZ//lysC//sdhC//
MarA	mpl//udp//icd//pgaC//speA//garL//argB//ydcS//tauD//citF//nrdA//bioD//frc//lysA//ynfH//rhaD//glgC//allE//sucB//gpmM//ycjG//sodB//sdhD//sucC//
MarR	
MatA	ddlB//
MazE	cysH//
MazE-MazF	cysD//
McbR	
MelR	pncB//nirB//
MelR-melibiose	hyaB//pdeL//
MetJ-adenosylmethionine	argI//purK//ilvD//deoD//argA//pspE//hypF//fumC//nfsA//napB//
MetR	moaE//caiA//
MetR-L-homocysteine	paaJ//dadX//
MhpR-3HPP	ddlB//trpE//mtlD//pdeH//ampC//ubiA//
Mlc	uxaC//ccp//ascB//rpiB//
MlrA	dinB//
MngR	luxS//avtA//
MntR-Mn2+	phoA//allE//
ModE-MoO42-	ampC//waaZ//nemA//mhpC//gadB//lysA//frdB//aceE//umuD//araA//deoA//ahpC//metF//bioA//sdaA//metF//ppsA//
MprA	phnH//ogt//ulaD//
MqsA	glyA//ttdB//
MraZ	murQ//garK//entC//frc//argE//serC//frdC//paaF//nadB//hcaB//
MurR	glpC//yedX//gapA//
Nac	lsrK//phnO//alaS//speA//argE//sucA//ulaG//purK//glgP//gutQ//murQ//
NadR	tyrB//yeaG//yiaK//prs//
NagC	pnp//dgkA//aspC//yqhD//moaA//nirD//paaF//gltB//puuA//dkgB//ynfH//pgm//paaA//astD//murG//recF//gpmA//chbF//edd//
NanR	ogt//purE//torA//lhgO//ldtB//glyA//
NarL-Phosphorylated	pdeH//glpQ//pheS//moaC//argH//bacA//eda//leuA//entH//sucC//ada//murI//araD//entB//glmU//murQ//rnpB//fadD//gatD//dapD//dkgB//atoD//fadI//malZ//pheT//caiA//fadI//speB//nrfC//kbaZ//rhaA//rhaB//ruvB//betA//mhpB//nanK//tpiA//nanA//uxaC//accD//hycB//
NarP-Phosphorylated	argC//arsC//mngB//pgaC//puuD//idnO//sucD//nanM//oxc//ilvA//ulaF//guaA//aceE//phnP//aspA//
NemR	allC//patA//
NhaR-Na+	fucA//ulaD//malP//argF//glcB//
NikR-Ni2+	gatZ//
NimR	glpD//
NorR	rffM//
NrdR-Zn2+	hycD//garD//serA//phnP//
NsrR	fdhF//aceE//recD//rhaB//pyrC//fucO//gcvH//deoD//dhaL//deoC//trpC//glk//speG//phnO//purC//gltB//fruK//napB//ogt//amn//astD//dacC//ftsI//citD//feaB//ulaE//rtcA//hyaB//uidA//ulaE//purH//gor//lacA//accA//tdcD//hcp//lysA//alsE//gntK//glxR//
NtrC-Phosphorylated	nrdB//fucI//paaY//glgP//ahpC//cysE//metB//narI//dsdA//ruvB//codA//ygeA//pck//mpaA//gabD//rhaA//ulaG//tdcB//citF//rutC//nrdA//
OmpR-Phosphorylated	uxaA//murD//alaA//glcF//narH//phnJ//hycC//tynA//
OxyR	recD//caiA//putA//dsdA//dmsC//nemA//fes//ilvD//glcF//serC//cysC//paaA//ftnA//nfsB//lpxD//rffM//napH//
PaaX	idnO//codA//uxuB//dacC//ulaD//kbl//atoB//sodB//allE//
PdeL	deoB//
PdhR	sufS//paaH//ilvD//trpD//ydcS//pgm//tktB//katG//sgbU//pncB//lysC//malP//moeA//cyoE//purA//hcp//epd//tdcD//deoA//pyrC//metL//bioD//glxK//dmsA//pdeR//
PepA	glpC//sbcD//
PgrR	fucA//glk//
PhoB-Phosphorylated	mhpC//sdhD//astB//sdaA//cysC//nirB//prpC//fadJ//caiB//betB//ssuE//nanM//rutA//argC//ttdA//serA//malP//prpB//glnA//waaZ//
PhoP-Phosphorylated	fucO//rtcA//hcaE//glxR//glcF//malQ//hemH//phnJ//glpX//dhaK//allD//astB//pdeH//glgB//phnL//pfkA//idnD//wrbA//edd//fabA//glk//pflB//feaB//srlD//wecE//astD//pykF//murE//alkB//pgaC//garR//tnaA//
PrpR-2S3S-2-methylcitrate	relA//chbG//kbl//pgi//
PspF	nrdF//
PurR-hypoxanthine	rffM//gatZ//allC//mhpA//glcD//lacA//hyaC//idnK//argH//ung//glk//ruvB//alkB//aroL//sodB//tdcB//aceE//gloA//pgaC//tpiA//wecE//glk//chbG//fabB//astE//paaE//
PutA	carA//uxuB//
PuuR	prpE//metC//fabB//fadH//ilvE//srkA//
QseB-Phosphorylated	
RbsR	ychF//rhaD//hcaC//leuC//metB//
RcdA	cysC//
RclR	
RcnR	citE//
RcsAB	xylB//glgA//fau//
RcsB-BglJ	cadA//relA//
RcsB-Pasp56	frdC//nrdA//folA//rbsD//
RelB	slt//
RelB-RelE	recD//
RhaR-alpha-L-rhamnopyranose	
RhaS	adhE//
RhaS-alpha-L-rhamnopyranose	sgbH//kbaY//atoB//mpl//
Rob	rhaA//lacA//pgpC//treC//phnP//gudD//relA//lysA//araB//hcp//sufS//ssuD//recF//arsC//napG//nirD//napB//hcaE//malP//
RstA-Phosphorylated	sucB//hyaC//pdeL//
RtcR	malP//alaA//
RutR	gltD//entH//nadB//purF//hyaA//pgpC//gabT//yiaK//argF//mltF//hypB//
SdiA	
SgrR	dadA//relA//rfe//
SlyA	nemA//moeB//dkgA//rffM//hycB//dmsB//metK//dinB//nanA//
SoxR	carB//pheS//rfe//polB//fabI//glmS//
SoxS	uxuB//hcaC//paaE//purM//garK//hmp//pyrD//recF//polA//serC//entC//dgcC//pagP//fucU//ychF//fabA//guaB//aspC//srlD//glpK//alkA//ndh//moaD//truB//ftnA//astD//psd//dhaL//
SrlR	puuA//tdcD//argD//
StpA	ssuD//betB//bglB//
SutR	dapB//sgbH//
TdcA	torA//lyxK//purL//uidA//pdeR//
TdcR	ndh//torA//fabH//uidA//adhE//
TorR-Phosphorylated	ynfF//ynfF//polA//astE//
TorR-TorI	nrfA//
TreR	hcaC//fadI//
TrpR-tryptophan	accD//glxK//narH//alaS//dhaK//deoD//rhaB//dsdA//ppc//
TyrR	entF//
TyrR-phenylalanine	ulaF//nrfD//
TyrR-tyrosine	glcB//yeaG//ndh//eno//hypB//rffC//adhE//betB//
UhpA-Phosphorylated	garK//
UidR	bioC//sgbE//
UlaR	epd//purH//ndh//pyrD//xapA//
UvrY-Phosphorylated	pdeH//narH//
UxuR	fucK//hemL//deoA//purA//pgpC//
XapR-xanthosine	alkB//tyrA//
XylR-xylose	lysU//frc//moaE//
YdeO	uidA//ahpC//wzc//
YefM	tehB//
YefM-YoeB	ampC//
YeiL	
YhaJ	
YiaJ	sdhC//avtA//tyrB//phnI//ldtC//cysM//
YjjQ	tdcG//glpK//
YpdB-Phosphorylated	
YqhC	nemA//serA//
YqjI	gabD//
ZntR-Zn2	entH//
ZntR-Zn2+	dadX//
ZraR-Phosphorylated	
Zur-Zn2	udp//
Zur-Zn2+	ruvA//
