# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	mtlD//mhpD//
DeoR	umpH//bioB//leuB//nrdF//ampC//pyrC//
DhaR	argB//
DicA	
DinJ-YafQ	fabZ//
DnaA-ATP	caiB//wrbA//betB//hyaA//glgX//fadM//
DpiA-Pasp	sdaA//betA//gltB//sdaA//mpl//
DsdC-D-serine	astD//wecB//
EbgR	
EnvR	moaD//ppc//
EnvY	glgX//phnM//
EvgA-Phosphorylated	araD//uvrC//ung//kbaZ//deoD//recF//
ExuR	caiC//patD//araA//argD//metF//uvrB//
ExuR-alpha-D-galacturonate	
FabR	mngB//aceE//prpE//
FadR	nrdB//lpd//nrdB//tehB//rutC//moaD//cueO//waaZ//fucU//lsrG//mpl//galE//dgcC//gadB//argE//ubiX//narI//phnP//entE//
FadR-acyl-CoA	
FeaR	serC//aceA//
FhlA-formate	eno//fabH//fadA//mnmG//dgcZ//gcvH//fbaA//ung//
FlhDC	chbF//yeaE//phnL//wzb//frdC//uxuB//entH//gadA//psd//moaA//ddlB//entD//phnG//argB//
FliZ	cynS//rpiB//gadB//argI//rffT//
FucR-L-fuculose-1-P	ynfH//dhaK//rffH//alaS//dgcZ//narH//
Fur-Fe2	puuC//purC//astA//hycF//deoC//purK//leuA//entH//dinB//deoB//metH//puuE//fucI//pgaD//frdC//waaY//fadE//rffG//udp//hyaC//ppiA//mngB//lpxA//cysN//epd//guaA//yfdE//paaC//hycG//gudD//fucI//mpl//argA//yeaE//asnB//hypB//aroL//fabB//hycF//rhaD//phnJ//alaC//amn//leuB//rsmH//ruvA//cysK//argC//sucD//gloA//ftsI//narH//mnmG//glxR//dadA//citD//katG//aroH//paaC//glpX//nanK//argD//
GadE	hycE//adhE//narG//ppc//gntK//paaB//luxS//frdC//yfdE//glxK//
GadE-RcsB	fumC//puuA//nanE//nrfC//fadI//
GadW	ahpF//aroG//paaY//allD//
GadX	glgX//ppiA//pdeR//atoA//truB//wzc//glcD//allD//hcaE//fadD//phnL//idnK//tktB//frc//
GalR	nrfA//bioF//ygeA//purM//dmsC//pspE//
GalR-beta-D-galactose	murF//trpA//puuB//rhaA//malP//
GalS	folA//fadB//lsrK//paaY//entE//adhE//
GalS-beta-D-galactose	nanK//wecC//cyoE//rhaB//ruvB//
GatR	nirD//wrbA//napB//
GcvA	nrdD//appA//fabG//
GlcC-glycolate	paaC//phnO//garR//
GlpR	ubiA//gpmA//phnP//putA//malS//trpA//glyA//
GlrR-Pasp56	
GntR	glcE//sucC//ynfF//nadA//rffM//purC//truB//ldtC//mtlD//
GutM	purB//accD//murE//
HU	ung//glgC//mhpC//sucB//frdA//rtcA//cysN//
HcaR	
HcaR-HCA	glnA//metE//
HdfR	
HigA	araA//
HigB-HigA	purM//
HipAB	glk//speA//
HipB	recD//tyrB//phnL//
HprR-Phosphorylated	gltD//wecC//patD//lldD//
HyfR	glpK//
HypT-Met-oxidized	yeaE//rutC//xylA//glpQ//tyrA//bacA//ahpF//
IclR-pyruvate	glcF//ppiA//caiC//
IdnR-5-ketogluconate	hyaB//mhpF//sucB//dacC//cdd//
IlvY	
IlvY-S-2-acetolactate	deoC//
IscR	prpD//cynS//serC//gnd//entA//atoA//
IscR-2Fe-2S	dadX//malZ//
KdgR	garK//entC//
KdpE-Phosphorylated	ung//
LacI	phnH//bioD//thrS//
LeuO	metL//leuD//glcD//dsdA//hycG//leuD//
LexA	adiA//rutD//yiaK//sucB//tpiA//dmsB//nirB//cysD//avtA//treC//narH//pgk//leuB//pyrC//nanE//pgm//bacA//fadM//ynfF//yfdE//rtcB//ccp//glgX//
LldR	ttdB//mazG//
LldR-S-lactate	hyaB//moeA//
LrhA	
Lrp	allA//purB//mdh//fadB//tynA//tyrA//ttdA//trpE//waaZ//pheS//mhpD//speG//fabB//purN//nrdE//galT//aceB//ampC//citE//entE//ilvE//uxuA//ppiA//pck//poxB//gatY//lsrK//gor//xylB//ugpQ//yiaK//
Lrp-leucine	lpd//cysI//glpB//lsrG//xapA//dinB//phnP//ascB//metC//ppsA//rutD//nrdE//fabA//fabD//glpQ//cysC//ndh//
LsrR	frdC//mhpF//mltF//ccp//gor//
LysR	tam//
MalI	hyaB//hycB//
MalT-maltotriose-ATP	cysN//glcD//tpiA//polA//lysU//gatD//
MarA	cysE//galK//ampC//purB//uidA//relA//paaI//pykF//paaY//nanK//trpB//tyrA//uxuA//katG//serC//rimK//speG//citG//dgkA//paaC//cynT//fucU//lysU//murG//
MarR	
MatA	napH//
MazE	galT//
MazE-MazF	pgm//
McbR	
MelR	glpD//nirB//
MelR-melibiose	aceB//nrfA//
MetJ-adenosylmethionine	galE//dsdA//fadM//ulaF//moaD//deoD//edd//rutA//recD//ygeA//
MetR	fadD//moaE//
MetR-L-homocysteine	recD//malP//
MhpR-3HPP	sgbH//recF//hycE//dmsC//paaH//umuD//
Mlc	purK//gabD//rtcA//mhpD//
MlrA	ilvC//
MngR	caiA//sgbH//
MntR-Mn2+	gcvT//xapA//
ModE-MoO42-	deoD//trpD//dinB//phnH//gdhA//recB//adhE//gabT//fau//polB//ampC//nagA//mdh//nrdE//ppiA//metA//leuC//
MprA	mazG//ssuD//hemL//
MqsA	chbG//hemH//
MraZ	yiaK//aroA//leuA//fabG//hycB//dkgA//kbaY//fabH//leuA//narG//
MurR	ilvG_1//purM//xylB//
Nac	citD//moaA//dhaM//udp//nrfC//pdeH//ascB//mraY//frdB//ampC//gcvH//
NadR	metH//cynT//aspA//poxB//
NagC	argD//mdh//metA//melA//ldtB//argI//fucA//yqjH//metE//malP//bioF//metL//idnD//murF//pnp//bioC//gadB//ilvM//speB//
NanR	garL//purH//lacA//phnH//galT//lsrK//
NarL-Phosphorylated	folA//napA//prpC//sucA//truB//fabA//rutD//pheS//fbaA//tadA//bioB//paaB//waaY//fadI//ascB//murI//garR//fadE//bioF//pdeH//nrdA//fucA//gcl//entH//phnH//nagB//moaC//malS//alaA//fabG//alaC//ttdA//mhpC//fabD//appA//rsmH//gatD//argB//purF//ppiA//amn//
NarP-Phosphorylated	epd//leuC//sgbH//gcvP//fruK//hyaB//fabG//lsrF//ruvA//glsA//sucC//deoA//nrdD//slt//ydcS//
NemR	yqjH//cysH//
NhaR-Na+	mpaA//nrdF//purC//dmsC//feaB//
NikR-Ni2+	astA//
NimR	murE//
NorR	hycC//
NrdR-Zn2+	purF//dhaL//nanE//yfdE//
NsrR	glcB//nemA//galK//dadX//leuD//cysE//paaJ//metA//phnH//sdaA//lpd//malY//malP//epd//glxK//leuA//moaD//purE//fbaB//glcD//sdhB//melA//rfe//gpmA//pspE//adhE//wecC//dacC//entD//gpmM//xapA//glgA//trpC//yfdE//pgi//talA//lsrF//prpB//uvrC//ynfE//
NtrC-Phosphorylated	xylA//gabD//ada//caiC//rhaD//cysN//uxaC//ubiX//lyxK//pflB//lldD//mltF//atoD//mhpB//aceA//metF//purB//pnp//gcl//ulaE//purD//
OmpR-Phosphorylated	serC//pykF//caiC//gpmM//deoD//yqjH//sdhC//polA//
OxyR	waaZ//nirD//cysK//wecC//prpB//paaF//prpE//bacA//nadA//alaS//aspA//yfdE//ilvH//cysC//puuC//ydcS//phnP//
PaaX	srkA//paaB//lsrG//cysJ//tdh//lyxK//ndh//paaA//fes//
PdeL	gcl//
PdhR	fadJ//astA//yqjH//ychF//aceF//garL//metB//frdC//mnmG//ribA//wecE//serC//glnA//fadJ//murE//wrbA//ruvA//aceE//aceE//fucO//ilvA//mpaA//aspC//gadB//argG//
PepA	hycC//prpB//
PgrR	mpl//cysH//
PhoB-Phosphorylated	yiaK//moaE//ascB//ssuE//purA//gltB//paaK//glgC//recD//metB//ahpF//hycF//mhpB//mhpE//prpC//dacC//ppiA//nadA//cysC//ruvB//
PhoP-Phosphorylated	lysA//glsA//entA//aroG//metB//xylA//uxuA//kbaY//fadD//paaE//metL//nanK//serA//metA//ilvC//napG//leuB//napA//metC//pfkA//fumC//sucC//rutE//dgcN//mltF//argC//mhpD//aroA//waaZ//mnmG//entB//cysG//
PrpR-2S3S-2-methylcitrate	asnB//alaA//feaB//fucK//
PspF	sodB//
PurR-hypoxanthine	phnL//puuC//kbaY//rbsK//aceA//fdhF//ilvE//ubiA//mdh//psd//xapA//carB//moaE//tyrB//dhaL//fadE//srlD//sbcD//gcvH//mpaA//gatY//nrdA//deoC//yeaE//astA//caiB//
PutA	pgaB//dgkA//
PuuR	ttdA//argG//sucC//napG//rffM//metA//
QseB-Phosphorylated	
RbsR	malQ//frdB//folA//pyrD//cueO//
RcdA	lsrK//
RclR	
RcnR	sufS//
RcsAB	sodA//waaZ//pck//
RcsB-BglJ	ilvD//ampC//
RcsB-Pasp56	paaH//mraY//nadB//patD//
RelB	ynfG//
RelB-RelE	trpA//
RhaR-alpha-L-rhamnopyranose	
RhaS	purN//
RhaS-alpha-L-rhamnopyranose	frdD//avtA//araA//metA//
Rob	trpE//ampC//mhpA//iscS//atoD//mltF//sdhA//nrdF//cysD//glk//cysI//hcaC//cysN//trpC//rutA//ssuE//tpiA//leuB//hcaD//
RstA-Phosphorylated	srlD//fbaA//cysM//
RtcR	sgbH//metK//
RutR	nirD//sdhC//torA//phnI//cynT//xylA//hypB//acnA//mnmG//gcl//caiB//
SdiA	
SgrR	serC//glxK//gcvP//
SlyA	chbG//gcl//lsrG//murG//umuC//serA//cadA//lpxA//torA//
SoxR	hyaA//gutQ//tehB//gdhA//wecB//atoB//
SoxS	waaY//deoB//sodB//lyxK//mhpA//gpmM//entA//pgaB//ppiA//nrdA//dgcC//gadB//ynfH//lpxC//ilvC//nanA//speA//ogt//purH//leuC//galE//dgcZ//sucA//lsrK//rbsK//argI//cadA//gcvT//
SrlR	ttdB//fdhF//rutB//
StpA	alaS//hycC//nadA//
SutR	srkA//ilvC//
TdcA	mhpB//malZ//narH//murI//ssuE//
TdcR	lysC//psd//metE//grxA//dgkA//
TorR-Phosphorylated	phnP//wecC//ubiA//gcvP//
TorR-TorI	ada//
TreR	bioA//murE//
TrpR-tryptophan	aspA//glgA//ubiX//aroG//hcaC//galM//gpmM//lyxK//ahpC//
TyrR	atoA//
TyrR-phenylalanine	cynS//sgbH//
TyrR-tyrosine	uxaC//tnaA//dhaM//pgaD//glcB//edd//dmsC//rimK//
UhpA-Phosphorylated	cysH//
UidR	guaB//glnA//
UlaR	frdC//chbG//gpmM//glpC//ddlB//
UvrY-Phosphorylated	gltD//hcaF//
UxuR	glcE//phnH//gcvP//nagB//murC//
XapR-xanthosine	uvrA//caiA//
XylR-xylose	ada//ppiA//argD//
YdeO	fruK//serC//phr//
YefM	deoB//
YefM-YoeB	torA//
YeiL	
YhaJ	
YiaJ	murI//patA//ilvH//aroG//paaJ//sdaA//
YjjQ	fabI//entB//
YpdB-Phosphorylated	
YqhC	glpA//fabZ//
YqjI	dadA//
ZntR-Zn2	astE//
ZntR-Zn2+	dhaK//
ZraR-Phosphorylated	
Zur-Zn2	argG//
Zur-Zn2+	ilvM//
