# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	mltF//narG//
FucR-L-fuculose-1-P	allB//ftsI//eda//paaZ//purL//ahpC//
Fur-Fe2	prpC//tktB//ttdA//hcp//hypB//cdd//glpX//paaZ//leuA//lpd//prpD//recF//rhaB//idnK//malY//hmp//lacA//rutE//aspA//gatD//nrdE//caiC//yiaK//ccp//puuC//eno//gntK//aceF//atoB//glnA//eda//lysC//nadA//fadJ//narH//rffC//metF//fabB//napH//paaG//ddlB//leuB//pdeH//cysG//astC//galM//caiB//yfdE//rutB//dacC//astA//uxaC//murD//fruK//sdhA//glpX//caiB//prpE//astD//dgcC//rhaA//pspE//
GadE	wecB//acnA//kbaY//gabD//paaC//grxA//leuD//cdd//sufS//prpC//
GadE-RcsB	recB//pgaC//uxaC//trpA//ppiA//
GadW	recB//garK//entA//torC//
GadX	betB//galE//xylA//pykF//idnO//zwf//phr//pgm//fadD//glgP//speB//lacZ//ssuE//nrfD//
GalR	ndh//cueO//metE//alaC//pgm//katG//
GalR-beta-D-galactose	lpxC//amn//gnd//puuB//trpE//
GalS	acnA//pyrC//nagB//metE//purD//ahpC//
GalS-beta-D-galactose	acnB//narG//xylA//leuD//argH//
GatR	argA//aroF//tadA//
GcvA	tadA//gatY//yqhD//
GlcC-glycolate	cysH//acnB//purK//
GlpR	nirB//malZ//gpmA//rtcA//malP//carA//rsmH//
GlrR-Pasp56	
GntR	glcF//malY//alaC//astC//gntK//lsrG//fabZ//lldD//malY//
GutM	hypB//ttdA//allC//
HU	acnB//ilvE//glyA//allB//citE//yeaE//hycD//
HcaR	
HcaR-HCA	lsrF//yqhD//
HdfR	
HigA	glpK//
HigB-HigA	luxS//
HipAB	rhaB//puuA//
HipB	pdeH//phnN//hypB//
HprR-Phosphorylated	tam//aceA//sdhD//argH//
HyfR	waaY//
HypT-Met-oxidized	paaE//sdhD//pgaC//yeaG//uxaA//allA//ulaE//
IclR-pyruvate	lacA//talA//nrfA//
IdnR-5-ketogluconate	katG//dadA//rtcA//ycjG//lacA//
IlvY	
IlvY-S-2-acetolactate	puuA//
IscR	alkB//ilvA//mhpA//cysE//sbcC//lysA//
IscR-2Fe-2S	atoB//lpxC//
KdgR	purN//dhaL//
KdpE-Phosphorylated	cysK//
LacI	katE//sucA//purD//
LeuO	lysU//adiA//pspE//dapD//moaE//fucI//
LexA	hmp//puuA//glpB//amn//serA//xylB//allB//glcF//fadB//rfe//dmsC//fruK//glpX//mnmG//dmsC//fadH//uxuA//cadA//ftsI//ynfF//paaC//nrdA//napH//
LldR	dacC//tnaA//
LldR-S-lactate	ydcS//adhE//
LrhA	
Lrp	paaB//deoC//paaZ//wzc//pfkA//cysK//glmS//nrdA//dgcC//glmS//astE//malP//rimK//hcaB//hycF//tktB//moeB//phnJ//cueO//nrfD//edd//nadA//epd//pagP//ppc//entH//bioD//hycF//gltD//rutD//fabB//
Lrp-leucine	hycG//paaC//tdcD//sdaA//yiaK//ilvG_1//ubiA//rffM//paaH//paaB//fumB//rffT//nanK//glgC//malS//treC//ilvD//
LsrR	purD//dkgB//aceE//tadA//accC//
LysR	pgi//
MalI	xylB//malQ//
MalT-maltotriose-ATP	ssuE//umuC//fadM//cysC//prpD//lldD//
MarA	allD//allE//metB//xylA//nrfA//kbl//patD//sdhB//hycE//nadA//dapD//cdd//malS//fabZ//mhpC//hcp//ilvC//allB//dmsA//mhpF//pgm//metC//trpD//rtcB//
MarR	
MatA	slt//
MazE	argA//
MazE-MazF	argG//
McbR	
MelR	phnJ//pyrC//
MelR-melibiose	sgbE//rtcA//
MetJ-adenosylmethionine	paaB//sodA//aroL//ycjG//pepD//moaA//puuD//pgaB//sucB//pgi//
MetR	acnA//treC//
MetR-L-homocysteine	glpX//ubiA//
MhpR-3HPP	serC//pyrC//rffT//mngB//citF//lpxA//
Mlc	nfsA//napB//ilvA//trpC//
MlrA	nagB//
MngR	fabI//sdaA//
MntR-Mn2+	bioA//metH//
ModE-MoO42-	folA//fabH//gabD//hycE//sbcD//uxuB//glmS//kbaY//melA//umuD//polB//phnL//gcl//polA//yeaG//waaY//hcp//
MprA	rfe//pepD//rpiB//
MqsA	citG//cysN//
MraZ	nirD//sdhC//dapB//rnpB//araD//ftnA//aceB//carA//ccp//napG//
MurR	umpH//treC//pheT//
Nac	nrfD//uvrA//ada//putA//xylA//ilvD//fbaB//glcD//gadB//asnB//cadA//
NadR	paaC//avtA//gabD//trpC//
NagC	polA//entE//murE//sucA//mtlD//mdh//mraY//glgP//avtA//phnJ//moaC//eda//lhgO//citE//ssuD//ulaE//alaA//pgaB//deoB//
NanR	alsE//purH//ugpQ//hemL//xylA//torA//
NarL-Phosphorylated	fbaB//feaB//guaB//pck//allC//cysC//lacA//srlD//fadJ//ccp//eno//hcaE//purC//argB//paaE//rhaB//tpiA//ygeA//napA//nrfD//arsC//dgcC//glcD//paaY//pgaD//glgX//glnA//aceB//polA//gabT//icd//glpC//amn//ccp//guaB//allB//alsE//glsA//dgcN//frdD//metK//
NarP-Phosphorylated	xapA//dgcN//citX//ddlB//phnL//lpxC//sdhA//frdC//metF//ygeA//metF//mltF//aspA//bacA//mpl//
NemR	adhE//pheT//
NhaR-Na+	paaI//amn//ddlB//glpX//gcvH//
NikR-Ni2+	pheT//
NimR	ogt//
NorR	tdcB//
NrdR-Zn2+	gatY//glpD//putA//aroH//
NsrR	entH//araD//lysU//argG//fumC//hyaB//uxuB//gnd//ychF//caiA//rpiB//sucC//yqjH//codA//thrS//aroH//yfdE//dsdA//xylA//dsdA//ilvI//hemH//gadB//uvrC//alaC//puuB//lyxK//mhpF//glgB//trpC//ldtB//pncB//nadB//trpA//garR//ldtC//cadA//mhpE//rffM//hemH//
NtrC-Phosphorylated	glpC//glcB//umuC//glgC//frdC//rhaB//malQ//phnL//glpC//hcaB//betA//malY//glxR//epd//hyi//pgaB//folA//dhaK//malZ//mpaA//ogt//
OmpR-Phosphorylated	psd//metH//sufS//garR//paaG//ubiC//gapA//accC//
OxyR	paaC//waaY//galM//lsrG//epd//dgkA//allB//mhpA//nrfA//tyrA//paaH//tpiA//ubiA//idnO//recD//speA//acnA//
PaaX	ung//uxaA//fabA//sucB//ahpF//nadA//hemL//ldtD//dapD//
PdeL	malP//
PdhR	murI//fucU//nfsB//fabD//ilvA//wecE//entB//ada//phnO//gabT//glpK//pheT//atoD//phnH//pck//mhpA//chbF//glxK//rffM//fumC//srlD//phnJ//citE//nfsB//fabZ//
PepA	rtcA//aceA//
PgrR	paaY//rbsD//
PhoB-Phosphorylated	pdeL//glpQ//citC//sdhB//glgC//entB//bioA//yeaG//nirD//citX//cysH//sodB//rffT//uvrC//asnB//moaC//ruvA//nfsB//allC//allD//
PhoP-Phosphorylated	entD//rffG//gpmM//pflB//phr//rtcB//uvrB//paaI//alaS//rbsD//gadB//hcaC//frdB//rutD//ruvA//murC//hycF//hcaF//pagP//paaC//hemH//uxaC//lacA//lsrK//bioA//tdcD//slt//mnmG//ung//sdhA//astE//glnA//
PrpR-2S3S-2-methylcitrate	pepD//cysM//fucO//idnK//
PspF	recD//
PurR-hypoxanthine	atoB//astA//phnH//allA//fadE//torC//ung//kbaY//hcaD//idnO//hcaC//kbaY//leuB//rutC//codA//puuA//ynfH//ddlB//betA//cysG//paaY//lpd//rutD//recD//chbF//puuC//
PutA	folE//napH//
PuuR	folE//ydcS//hcaF//tam//nrfA//sdaA//
QseB-Phosphorylated	
RbsR	dmsA//malZ//gutQ//gpmM//ilvI//
RcdA	uxaA//
RclR	
RcnR	bacA//
RcsAB	katE//ampC//murF//
RcsB-BglJ	ilvM//pspE//
RcsB-Pasp56	fadI//malZ//hcaD//recB//
RelB	tam//
RelB-RelE	asnA//
RhaR-alpha-L-rhamnopyranose	
RhaS	fucU//
RhaS-alpha-L-rhamnopyranose	entC//glxK//aceF//hcaC//
Rob	nanE//trpC//aceB//dgkA//astD//lacZ//idnO//glpQ//galM//recD//accC//dhaM//cysJ//citC//feaB//dkgB//gutQ//mpl//feaB//
RstA-Phosphorylated	glpC//srlD//eno//
RtcR	sgbH//aldA//
RutR	bioF//pspE//aceB//gatD//fabG//bioF//aceA//nadA//hcaB//fdhF//mhpC//
SdiA	
SgrR	gudD//araD//treC//
SlyA	glgX//entF//ilvE//moaD//purN//ascB//citE//cysE//glcD//
SoxR	mhpD//ldtC//oxc//murQ//ygeA//nrfD//
SoxS	paaB//ilvH//arsC//tyrA//fabZ//dkgA//oxc//waaZ//ygeA//argF//ldtD//hycB//gatY//serC//carA//frdA//deoA//accC//glpK//galT//tdcB//poxB//glgA//purC//ilvG_1//metH//fabB//fabZ//
SrlR	araA//galE//ilvH//
StpA	dgcC//cysE//hcp//
SutR	pgaC//atoD//
TdcA	lyxK//nfsA//udp//yedX//puuC//
TdcR	entH//fadE//moaE//glpC//citE//
TorR-Phosphorylated	sdhB//ynfE//glcE//rsmH//
TorR-TorI	lysC//
TreR	dmsC//pfkA//
TrpR-tryptophan	moeA//galK//ilvI//cynS//lhgO//ulaE//torA//fau//nirB//
TyrR	fabH//
TyrR-phenylalanine	gutQ//murF//
TyrR-tyrosine	rbsD//rffG//alsE//glpB//fabZ//gatY//moaD//metB//
UhpA-Phosphorylated	gcvH//
UidR	lhgO//tdcD//
UlaR	fabH//sdhD//bioC//gdhA//fadJ//
UvrY-Phosphorylated	glmS//glcD//
UxuR	garR//glpQ//rhaD//pyrD//gadB//
XapR-xanthosine	katG//entC//
XylR-xylose	recF//rutD//uvrB//
YdeO	fabG//feaB//nadA//
YefM	dgcC//
YefM-YoeB	deoA//
YeiL	
YhaJ	
YiaJ	entD//eda//phnO//napH//ychF//pepD//
YjjQ	speB//recB//
YpdB-Phosphorylated	
YqhC	ilvG_1//dgcN//
YqjI	gpmA//
ZntR-Zn2	kbl//
ZntR-Zn2+	leuB//
ZraR-Phosphorylated	
Zur-Zn2	adhE//
Zur-Zn2+	glgX//
