# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	mdh//purF//
CreB-Phosphorylated	tktB//truB//
CsgD	purE//trpD//hcaB//mraY//treC//
CsiR	dacC//xylB//avtA//gltB//
CspA	tdcB//
CueR-Cu	pgaC//grxA//accA//trpB//paaZ//
CusR-Pasp	paaF//prpD//dacC//pgaC//
CynR	
CynR-cyanate	folA//nrdA//puuA//
CysB	malZ//kbl//
CysB-O-acetyl-L-serine	ascB//murF//nrdD//uxaA//slt//waaY//gltD//glxK//glcF//caiB//citD//phnH//purD//kbl//glyA//
CytR	fabH//glgC//ada//narI//tehB//alaC//lpxC//metB//cysM//frdC//
Dan-L-tartrate	rffM//pgaB//
DcuR-Phosphorylated	purB//xylA//cysK//hypF//
DeoR	pyrC//mhpF//glmU//citE//napG//garK//
DhaR	hycG//
DicA	
DinJ-YafQ	phoA//
DnaA-ATP	murE//prpC//idnK//pgaC//murG//serA//
DpiA-Pasp	dgcN//citC//deoA//glcB//rnpB//
DsdC-D-serine	glpC//leuB//
EbgR	
EnvR	fau//ynfH//
EnvY	xapA//recD//
EvgA-Phosphorylated	puuE//malP//tdcB//ilvI//paaA//narI//
ExuR	lsrG//ubiX//nrfD//entE//hyaB//ulaE//
ExuR-alpha-D-galacturonate	
FabR	dmsA//pyrC//allD//
FadR	carB//dmsA//aroA//puuC//pheS//cynS//murG//paaB//wrbA//nirD//gatZ//ilvH//wecB//gloA//glmS//fumB//narI//ampC//glpA//
FadR-acyl-CoA	
FeaR	sbcD//metA//
FhlA-formate	pyrD//rfe//paaJ//ubiA//yeaG//gcvH//aceE//fau//
FlhDC	codA//sgbU//allA//sbcD//recD//phoA//rffG//mraY//tktB//alaS//asnB//uxaB//adiA//nrdD//
FliZ	moaC//accA//codA//uxaB//ynfF//
FucR-L-fuculose-1-P	fruK//deoD//sucA//folE//gloA//sdhA//
Fur-Fe2	argG//tynA//phnL//fabH//citC//uxaB//frdD//aroA//ubiA//tyrB//yeaE//glxK//galE//metB//uvrC//trpE//ynfG//pgm//ldtD//ulaD//nirB//bioB//speG//gatY//eno//aceF//malY//waaH//rimK//wzb//tdcG//lpxC//pgaD//metK//prpE//idnD//cysK//edd//polA//sdaA//dinB//caiD//appA//mazG//zwf//tpiA//cysN//srlD//gnd//astE//murG//mpl//araA//cynT//puuD//caiC//ldtC//nrfA//bacA//aceF//gltD//adhE//
GadE	rffT//narH//fabH//lyxK//paaG//glcB//mngB//umpH//udp//frdB//
GadE-RcsB	melA//lyxK//phnJ//citF//kbaZ//
GadW	dacC//lldD//mraY//purD//
GadX	aceA//glxR//paaB//ahpF//ynfH//tpiA//galK//dgkA//galE//malS//ldtB//epd//cueO//ldtB//
GalR	frc//dmsA//pfkA//hycG//gcvT//glpB//
GalR-beta-D-galactose	alkA//yqjH//umpH//ssuE//entE//
GalS	ulaG//mtlD//citG//purM//uxaA//entH//
GalS-beta-D-galactose	leuB//fumC//napH//ccp//dhaM//
GatR	pgaD//wrbA//asnA//
GcvA	rutC//ilvD//ugpQ//
GlcC-glycolate	moaD//lacA//tam//
GlpR	ulaE//argI//tyrA//hemH//lhgO//entD//glcE//
GlrR-Pasp56	
GntR	lacZ//ynfF//narI//purM//ynfG//lpd//garR//oxc//tdh//
GutM	malS//lacA//lysA//
HU	glmU//ybjG//argH//phnN//paaC//recD//paaC//
HcaR	
HcaR-HCA	fadE//recD//
HdfR	
HigA	fabZ//
HigB-HigA	tktB//
HipAB	sdaA//cynS//
HipB	patD//chbG//nadA//
HprR-Phosphorylated	hypF//tam//napG//paaA//
HyfR	rbsD//
HypT-Met-oxidized	yqjH//rffG//folA//udp//ribA//hycE//pck//
IclR-pyruvate	pykF//speA//sdhC//
IdnR-5-ketogluconate	nanM//dgcC//rhaA//edd//paaC//
IlvY	
IlvY-S-2-acetolactate	glgP//
IscR	hycG//avtA//rhaB//phoA//pgk//murE//
IscR-2Fe-2S	pgaC//metF//
KdgR	trpB//puuE//
KdpE-Phosphorylated	tynA//
LacI	nagB//pgk//lacA//
LeuO	pgaD//leuC//ycjG//xylA//wzc//epd//
LexA	wecB//hemH//malS//ddlB//umuD//aceE//sgbU//lysU//ugpQ//hcaC//amn//paaB//gloA//patA//dacC//nrdA//ldtC//entH//yqjH//metA//metC//katE//hyaB//
LldR	pck//sgbU//
LldR-S-lactate	ilvC//lpd//
LrhA	
Lrp	chbF//dmsB//mpl//nrdE//purH//galE//ldtD//lpxA//gatD//frc//lacA//sdhD//dhaK//sbcC//lysC//phnO//purH//rutE//dmsB//nadB//yqhD//gutQ//rnpB//caiA//umpH//gabT//glpD//purK//glpD//poxB//uxaC//
Lrp-leucine	tdh//entE//glmS//tpiA//serA//poxB//fabZ//cdd//alaC//yiaK//deoC//tktB//wzc//fucU//acnB//galT//dkgB//
LsrR	lysU//ruvB//dgcC//nadB//fau//
LysR	puuE//
MalI	uvrB//argG//
MalT-maltotriose-ATP	lhgO//ung//ldtC//glcF//mazG//ilvA//
MarA	pflB//dapD//tdcE//paaZ//alaC//galE//ulaG//yeaE//rhaD//ada//pyrC//nadA//cdd//phr//glcF//ruvB//dadA//alkB//phnM//lhgO//ldtD//cysN//acnA//metL//
MarR	
MatA	entH//
MazE	avtA//
MazE-MazF	fucU//
McbR	
MelR	prpB//narH//
MelR-melibiose	yqhD//moaC//
MetJ-adenosylmethionine	bioA//wzc//fadI//wrbA//puuE//kbaY//argD//trpB//malQ//ilvA//
MetR	glsA//narG//
MetR-L-homocysteine	ilvM//hcaF//
MhpR-3HPP	cysN//glpB//luxS//malZ//ampC//gabD//
Mlc	lsrG//katE//uvrC//atoB//
MlrA	lhgO//
MngR	pgaC//rutA//
MntR-Mn2+	rffH//hypB//
ModE-MoO42-	edd//grxA//glpX//mpl//kbaY//recB//adiA//trpA//ccp//citC//treC//ppiA//torA//allD//murQ//metE//napG//
MprA	araA//ubiA//narG//
MqsA	phnI//frdB//
MraZ	mhpD//icd//araD//cysN//accD//tyrB//sgbE//garL//sucD//allC//
MurR	tdcG//rutD//uxuB//
Nac	umuD//entD//pgm//gpmA//caiB//lacZ//ldtD//dhaM//trpC//prpE//ppiA//
NadR	fadB//alkB//xylB//gnd//
NagC	lysA//ynfG//gudD//glpK//cysD//cyoE//iscS//astE//glcD//tdh//ppsA//fadM//deoC//pncB//dsdA//aroH//aceE//narI//ycjG//
NanR	bacA//sbcC//hyaC//gcl//purC//pspE//
NarL-Phosphorylated	fumB//rutC//trpB//kbl//alkB//dinB//mazG//trpE//metA//citD//galE//rsmH//fucI//prpC//kbaY//rffM//idnO//relA//rffG//cysG//phnI//pheT//nemA//uidA//puuD//pnp//truB//entH//poxB//pyrD//sucA//mazG//ftsI//pyrD//murE//aroF//sdhD//sdhB//gloA//aroF//mltF//
NarP-Phosphorylated	moeB//xylB//bioD//yqhD//leuC//pgi//pyrD//malS//puuD//tdcB//glpQ//hypF//allA//tdcG//aroL//
NemR	puuC//serC//
NhaR-Na+	lsrF//phnG//gcvP//kbl//nanK//
NikR-Ni2+	lsrG//
NimR	ilvH//
NorR	aceB//
NrdR-Zn2+	serA//pfkA//tam//cysH//
NsrR	icd//glcD//astA//lpxD//purN//nagA//aspC//dadA//ilvD//leuC//rutC//aroL//leuA//hemH//patA//dadA//rutB//malQ//malZ//sdhB//ynfH//murI//gloA//gadA//pflB//allC//tyrA//cysI//hcaB//metE//ppc//hemH//udp//dapB//galE//fadB//putA//mazG//fbaA//cysK//
NtrC-Phosphorylated	allE//napG//hcaB//fabA//umuD//fbaA//fadE//speA//gltB//astE//nrfA//lysC//hypF//garL//paaA//metE//dhaL//ada//dkgA//mtlD//glgA//
OmpR-Phosphorylated	fbaA//cysJ//tadA//fabG//waaH//umpH//waaY//deoB//
OxyR	lacZ//nagA//ldtB//phoA//narG//chbF//fucK//ilvM//sucC//icd//lysU//waaH//chbF//ulaG//ftsI//dhaL//tdcE//
PaaX	phnM//wecC//aceE//ccp//torC//hcaC//nanM//pgaD//tyrA//
PdeL	pgi//
PdhR	hyi//mazG//citE//murQ//citX//allD//metH//entH//napH//waaH//allB//fadE//ubiX//hyaC//recB//cysH//acnA//fadH//phnI//ftsI//chbG//amn//metF//cadA//fucK//
PepA	glgB//aceE//
PgrR	dacC//narI//
PhoB-Phosphorylated	astB//rutC//sbcC//mltF//accA//sdhD//tehB//wecB//mraY//ruvB//fucA//wrbA//cysG//paaF//hycB//hyaC//ahpF//nrfA//gltB//kbaY//
PhoP-Phosphorylated	leuA//cysE//aceB//dinB//narH//pgaB//tdcE//glnA//pykF//pagP//lpxC//dadA//allA//mhpB//gatZ//slt//pncB//sucC//murG//citF//icd//pgi//tktB//leuA//cysJ//paaH//moeB//pgpC//napG//glpQ//acnB//tadA//
PrpR-2S3S-2-methylcitrate	nrfD//pgaB//wecC//pck//
PspF	murD//
PurR-hypoxanthine	uvrC//atoD//paaE//hycF//metC//aroL//nadA//allE//nrfC//rbsK//hcaC//ttdA//waaZ//umuC//chbF//sdhA//lacZ//rtcA//ccp//glpB//paaY//murE//bioA//fabD//nrfC//cyoE//
PutA	araD//ndh//
PuuR	feaB//gnd//kbaY//fucU//glpQ//fadB//
QseB-Phosphorylated	
RbsR	ftnA//wecE//dinB//nrdF//malY//
RcdA	frdA//
RclR	
RcnR	glcE//
RcsAB	glpA//paaJ//malP//
RcsB-BglJ	sodB//pdeH//
RcsB-Pasp56	gadA//gutQ//alsE//guaA//
RelB	ynfG//
RelB-RelE	pspE//
RhaR-alpha-L-rhamnopyranose	
RhaS	nrfD//
RhaS-alpha-L-rhamnopyranose	ydcS//phnP//sdhB//cysD//
Rob	ribA//dsdA//malS//mngB//yqhD//tnaA//argI//metC//tauD//puuA//rutD//alkB//ilvG_1//aldA//hcaC//recD//tdcD//rffM//fadD//
RstA-Phosphorylated	lsrG//ddlB//glpA//
RtcR	pgpC//rutA//
RutR	allA//alsE//caiC//ppsA//galM//glxK//gltB//poxB//yeaE//aspC//uxuA//
SdiA	
SgrR	cysG//ygeA//rsmH//
SlyA	argG//thrS//bioB//dgcZ//pgpC//metA//dhaM//galT//rffG//
SoxR	trpE//rutE//aldA//purK//deoB//fabH//
SoxS	pgaB//citX//gabD//sdaA//chbF//nfsB//dgcC//gcl//garD//glcF//torC//glcE//alaS//ttdB//nanA//glpQ//cysH//luxS//truB//paaA//nemA//astC//yiaK//zwf//cysC//hemL//lsrF//leuB//
SrlR	phnN//fucI//rhaA//
StpA	appA//hemH//guaA//
SutR	rtcB//wzc//
TdcA	phnN//entH//dhaK//sufS//udp//
TdcR	sgbE//ubiX//hyi//sbcD//feaB//
TorR-Phosphorylated	lhgO//araA//uvrB//argD//
TorR-TorI	bioB//
TreR	allC//glmS//
TrpR-tryptophan	rffC//avtA//rbsD//fucI//purF//sgbH//napH//folE//alkA//
TyrR	cysG//
TyrR-phenylalanine	pflB//dadA//
TyrR-tyrosine	glgB//hyaB//galM//glpQ//recF//trpD//fdhF//araD//
UhpA-Phosphorylated	gapA//
UidR	ahpF//glgX//
UlaR	napB//murD//tyrA//hycB//lpxC//
UvrY-Phosphorylated	caiA//ppsA//
UxuR	dmsB//ilvE//lsrF//pagP//fabH//
XapR-xanthosine	gloA//rsmH//
XylR-xylose	cysJ//galT//ilvH//
YdeO	ilvA//sdhB//glcE//
YefM	lpxD//
YefM-YoeB	rhaD//
YeiL	
YhaJ	
YiaJ	murQ//thrS//mhpF//epd//murQ//trpE//
YjjQ	gltB//metK//
YpdB-Phosphorylated	
YqhC	chbG//ftsI//
YqjI	moeB//
ZntR-Zn2	ttdB//
ZntR-Zn2+	phnL//
ZraR-Phosphorylated	
Zur-Zn2	accC//
Zur-Zn2+	gadB//
