# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	pspE//gloA//
Nac	deoA//chbG//paaJ//sdhD//lldD//garL//ilvE//argB//gudD//dinB//cdd//
NadR	frdA//moeB//purF//gatZ//
NagC	lysA//mpaA//cysH//lysC//polB//glpB//argF//fdhF//gnd//yedX//paaF//gadB//mhpF//fucU//trpE//allC//purK//epd//araA//
NanR	ttdA//umuC//rhaD//poxB//arsC//leuA//
NarL-Phosphorylated	lpd//narH//aroG//deoD//hemH//bioF//eda//gadA//gatZ//glgX//aroG//lsrG//xylA//hyi//trpE//gloA//fadM//entA//lysU//citD//ychF//metF//uxaC//ybjG//mhpC//rfe//psd//puuD//ssuD//lsrF//mngB//psd//yeaE//gatD//phnI//entH//slt//hyaA//gcvH//glxR//gadB//
NarP-Phosphorylated	uxaB//codA//fucI//putA//hycC//torC//rffC//mngB//glcB//lsrG//ybjG//trpE//cysG//nrdF//rutE//
NemR	ygeA//hcaF//
NhaR-Na+	araB//galT//guaA//asnB//ilvC//
NikR-Ni2+	sucD//
NimR	pflB//
NorR	glpA//
NrdR-Zn2+	rffT//sucA//folA//torA//
NsrR	phoA//mhpE//nanE//accC//speB//purE//ssuE//allE//avtA//sucA//uidA//rutE//truB//aroF//gutQ//mhpD//mhpC//glgX//prpE//dmsC//narI//nanM//ychF//glgB//pspE//gudD//hcaD//tdcB//rbsK//ldtC//tdh//carB//glcD//ascB//sbcC//fabD//ychF//xylA//yeaG//nrfA//
NtrC-Phosphorylated	tyrA//mpl//galE//pykF//glpD//glpQ//murD//purB//ynfE//hypF//rbsD//argE//sgbH//yqhD//glcF//waaZ//lldD//gdhA//pgi//pncB//murI//
OmpR-Phosphorylated	lsrK//waaZ//nirB//fadD//citD//ldtC//guaB//tdcB//
OxyR	ilvH//dgkA//atoA//ygeA//cysG//glcF//murG//torC//gadB//srlD//metL//mhpC//fucU//wzb//fadB//nirB//metF//
PaaX	ascB//idnK//ldtC//prpE//tynA//ulaF//cysC//sbcC//gapA//
PdeL	betB//
PdhR	ogt//waaH//uxaB//hypB//nagB//ribA//glcE//fadB//bglB//tyrA//amn//hycE//katG//rtcB//kbaY//purC//glgX//astD//rtcB//ilvA//accD//rhaD//prpD//glpK//udp//
PepA	folA//gadA//
PgrR	fumC//bioB//
PhoB-Phosphorylated	napA//xylB//sgbE//rpiB//rutE//lsrF//gudD//hycD//gpmM//mhpB//moaA//wecC//dgcN//patA//allC//ilvE//nemA//xylA//hycB//glgC//
PhoP-Phosphorylated	bioF//gloA//leuA//ubiX//bglB//zwf//argA//citC//truB//wecC//patD//puuD//rutD//acnA//fadJ//prs//ruvB//adhE//umuD//ilvD//sucD//lpd//glnA//deoB//glmS//dhaL//adiA//narG//sgbH//uxaC//mazG//srkA//
PrpR-2S3S-2-methylcitrate	nrfD//phnM//gatY//caiD//
PspF	ychF//
PurR-hypoxanthine	ulaD//alaA//lsrG//yeaG//narH//hmp//tadA//glpD//deoD//sgbH//ulaF//fadB//citX//adiA//fumB//trpA//frdB//uxaA//tam//ppc//mdh//paaG//fumC//nagA//ilvE//uxaC//
PutA	leuC//purK//
PuuR	dadX//ssuD//cysJ//entC//gor//hemH//
QseB-Phosphorylated	
RbsR	hycC//phnN//icd//rsmH//ccp//
RcdA	oxc//
RclR	
RcnR	trpC//
RcsAB	bacA//fabG//argI//
RcsB-BglJ	cynS//purN//
RcsB-Pasp56	treC//ilvI//yqjH//ilvA//
RelB	glmU//
RelB-RelE	pncB//
RhaR-alpha-L-rhamnopyranose	
RhaS	gcvH//
RhaS-alpha-L-rhamnopyranose	ppiA//citE//fabA//fadI//
Rob	fabA//ilvI//nfsB//ynfH//ppiA//pnp//nemA//psd//feaB//ulaF//ynfG//ftsI//rhaA//ogt//guaA//prpE//hypB//purA//glpK//
RstA-Phosphorylated	waaZ//moaA//murG//
RtcR	alsE//dmsC//
RutR	astD//malS//lsrF//citC//paaC//metC//cysN//cysI//prpE//lpd//dadX//
SdiA	
SgrR	tdcB//nirD//moeA//
SlyA	puuA//uxaA//pepD//rffC//melA//napB//xylA//deoB//speA//
SoxR	ssuE//nanK//hypB//hcp//fruK//paaY//
SoxS	idnK//acnB//alsE//frdC//tdcB//wzb//rfe//betB//fumC//rffG//argB//fruK//mazG//eda//icd//pfkA//glpK//deoD//atoB//nrdA//argE//nanA//alaC//nrdD//phnG//ccp//argI//moeA//
SrlR	murE//fumC//prpB//
StpA	hycE//fabI//glcF//
SutR	ung//purD//
TdcA	udp//citG//codA//allA//pgaB//
TdcR	rutA//wecB//nrdA//gcvT//hycE//
TorR-Phosphorylated	asnA//paaG//tadA//srlD//
TorR-TorI	paaB//
TreR	glcF//pheT//
TrpR-tryptophan	mpaA//glcD//paaK//paaC//hyaC//serA//dadX//sdhB//wzb//
TyrR	pgpC//
TyrR-phenylalanine	glgP//rffM//
TyrR-tyrosine	puuE//citX//atoA//dapB//paaB//leuD//pgpC//acnB//
UhpA-Phosphorylated	gnd//
UidR	fucO//trpA//
UlaR	mhpC//glgA//purN//recF//galK//
UvrY-Phosphorylated	entF//ruvB//
UxuR	guaB//napB//pnp//uxaA//yiaK//
XapR-xanthosine	fucK//araB//
XylR-xylose	astA//phoA//argI//
YdeO	ndh//allB//ynfG//
YefM	astD//
YefM-YoeB	uvrC//
YeiL	
YhaJ	
YiaJ	alaA//relA//idnK//dgcZ//serC//ilvC//
YjjQ	tdcB//glpX//
YpdB-Phosphorylated	
YqhC	fabI//acnB//
YqjI	deoB//
ZntR-Zn2	glpQ//
ZntR-Zn2+	yfdE//
ZraR-Phosphorylated	
Zur-Zn2	glk//
Zur-Zn2+	allE//
