# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	purC//codA//
CpxR-Phosphorylated	fabZ//lacZ//katG//ynfH//gutQ//ttdB//nrdE//idnO//moaA//rbsK//ulaG//asnB//wzb//chbF//nrdF//adiA//allB//speB//accA//gatZ//ftsI//
Cra	hycF//glgB//ynfF//fadM//sucD//sgbU//rfe//lsrK//metB//glk//ulaE//fadB//hcaD//wecE//glxR//malP//metB//fadJ//sbcD//aroA//glpK//pck//idnD//truB//glgP//paaE//ada//atoA//serC//murD//pykF//citE//ldtD//pyrC//murG//malP//ppsA//lysU//phnJ//phnH//frdC//purF//paaF//glyA//fumB//gcvP//rffH//purD//rhaD//rbsD//rutD//phnN//ynfE//pepD//phnL//ynfH//pfkA//dkgB//hyaB//
CreB-Phosphorylated	tdh//sdhA//
CsgD	rutD//argH//yqhD//eda//purK//
CsiR	uvrC//glxK//ygeA//ldtB//
CspA	uxuA//
CueR-Cu	hyaC//ygeA//ccp//speG//bioC//
CusR-Pasp	mhpE//glpB//carA//cueO//
CynR	
CynR-cyanate	mhpC//hcaF//paaI//
CysB	trpA//tdcB//
CysB-O-acetyl-L-serine	pncB//aspA//cysJ//glpA//ulaD//cueO//eno//ppc//tadA//glpD//pspE//fadJ//srkA//dgcN//ada//
CytR	rutD//dgcC//astD//galM//mhpE//lyxK//ulaF//ynfF//frdB//phnH//
Dan-L-tartrate	kbl//caiC//
DcuR-Phosphorylated	aroL//rfe//glxR//cysD//
DeoR	uxuA//lpd//pspE//glcF//galT//cynS//
DhaR	dgcC//
DicA	
DinJ-YafQ	murQ//
DnaA-ATP	cdd//cdd//mnmG//amn//aroG//accD//
DpiA-Pasp	ppiA//alkB//aceB//ppsA//argE//
DsdC-D-serine	asnA//aspA//
EbgR	
EnvR	fucO//hcp//
EnvY	fabG//zwf//
EvgA-Phosphorylated	ssuD//phr//recF//gntK//nirD//aceF//
ExuR	amn//srkA//mnmG//garK//tktB//phnH//
ExuR-alpha-D-galacturonate	
FabR	purB//caiA//caiC//
FadR	fadA//glgA//hcaB//fadE//pagP//torC//araB//purD//recD//murC//nemA//mdh//gabD//ung//argD//glgA//glpA//puuC//pyrD//
FadR-acyl-CoA	
FeaR	alkB//ldtB//
FhlA-formate	speA//xylA//ldtC//speA//tyrA//wrbA//accA//gnd//
FlhDC	folE//nrdD//glpK//mhpD//wecE//argB//purH//pagP//nrdE//torC//ascB//narI//wzb//hcaC//
FliZ	ribA//lpxD//fabA//rimK//lpd//
FucR-L-fuculose-1-P	umpH//fumC//araA//lyxK//rffG//kbaY//
Fur-Fe2	yqhD//kbl//guaA//ilvH//yeaG//hyaA//rtcA//gadA//ynfF//wecC//ldtD//ynfH//ilvC//wrbA//fadJ//acnB//nadA//gntK//sgbE//cynS//cynT//nanA//dgcZ//aspC//sdhC//glcF//ldtD//phnN//fadJ//lldD//glpK//glsA//paaE//iscS//nadA//sucB//cysJ//tdcD//fabA//asnA//hyi//argH//nagB//deoC//fabG//wzb//ulaF//fadD//sodA//frdD//rutE//uxaC//galM//sodB//paaI//edd//tdcE//uvrA//fabA//ugpQ//dhaK//citE//
GadE	gpmA//glpQ//moaE//aroL//cysK//pdeR//glpX//pspE//ruvA//nrfA//
GadE-RcsB	ubiA//murC//glpA//yfdE//recD//
GadW	malQ//pyrC//pdeR//lsrF//
GadX	xylA//feaB//phnP//lhgO//guaA//bioC//rutD//ilvI//adhE//cueO//ldtD//mngB//ada//citX//
GalR	lyxK//ada//metF//pykF//mhpD//gutQ//
GalR-beta-D-galactose	fabH//murI//dmsC//nirD//rffM//
GalS	galK//gloA//accC//uxuB//fabA//argI//
GalS-beta-D-galactose	glpD//chbF//nanE//rpiB//pgm//
GatR	argH//ftsI//fucK//
GcvA	ssuD//rffH//polB//
GlcC-glycolate	truB//lpd//allC//
GlpR	phnJ//pspE//hycC//ulaE//lyxK//glsA//glcD//
GlrR-Pasp56	
GntR	patA//ascB//pyrC//phnP//aspA//wecC//allD//srkA//entB//
GutM	yiaK//deoA//paaZ//
HU	napG//caiD//nagB//iscS//ascB//alaS//argC//
HcaR	
HcaR-HCA	purB//kbl//
HdfR	
HigA	malQ//
HigB-HigA	frdC//
HipAB	hcaC//dkgB//
HipB	dadX//ilvI//gnd//
HprR-Phosphorylated	pgpC//hyaB//uxaB//phnH//
HyfR	paaZ//
HypT-Met-oxidized	aroH//tyrB//entC//accC//ttdA//rutD//sdhC//
IclR-pyruvate	tyrB//mazG//gudD//
IdnR-5-ketogluconate	paaG//tam//yqjH//puuB//idnD//
IlvY	
IlvY-S-2-acetolactate	mhpB//
IscR	sbcC//paaB//tam//garK//allD//frdB//
IscR-2Fe-2S	aldA//dgkA//
KdgR	udp//metK//
KdpE-Phosphorylated	hycF//
LacI	dmsB//accA//fadD//
LeuO	prpE//ulaF//trpC//gltB//pflB//rffM//
LexA	ruvB//purN//citX//yedX//glpQ//leuB//dkgB//icd//murC//patD//pheT//nanA//fau//nanM//allB//nagB//allB//pyrC//wecE//paaC//xylA//torA//glpQ//
LldR	nirD//aceA//
LldR-S-lactate	rnpB//cynT//
LrhA	
Lrp	leuC//hcaF//bioD//lpxA//pepD//fabI//glmU//malP//fucK//hycC//sgbH//pdeL//frdD//sbcC//patD//alaS//nanK//kbl//rpiB//rbsD//recF//pncB//argI//lsrF//fabH//yeaG//glpA//cynS//wecB//glgP//chbF//
Lrp-leucine	hyaC//glcF//nrfC//hcaD//fucA//pepD//ubiX//bioB//prpD//bioA//tnaA//phnP//nagB//sodA//napG//glxK//eda//
LsrR	entD//ribA//malP//phnM//sodB//
LysR	lpxC//
MalI	ada//ung//
MalT-maltotriose-ATP	citC//mngB//phr//wrbA//asnB//ilvG_1//
MarA	fadI//hcp//wecB//glpB//alkB//galM//ccp//astA//waaH//dhaK//astD//glpK//dinB//purD//phnG//gatZ//garK//carB//aroH//sodA//rsmH//uvrC//araA//pyrD//
MarR	
MatA	gpmA//
MazE	tdcD//
MazE-MazF	tyrA//
McbR	
MelR	alaC//malQ//
MelR-melibiose	aceF//fbaB//
MetJ-adenosylmethionine	chbF//wzb//prpE//pgaC//glpB//murI//gpmM//murC//trpD//idnO//
MetR	gltB//ilvD//
MetR-L-homocysteine	rnpB//leuB//
MhpR-3HPP	fadD//folE//citG//glk//fes//murQ//
Mlc	frc//fes//rutA//thrS//
MlrA	fadI//
MngR	entD//waaZ//
MntR-Mn2+	purB//aceF//
ModE-MoO42-	fabD//recF//rutE//glxK//dmsC//cysK//xylB//katG//mnmG//ubiC//chbF//argI//kbaZ//fruK//aceE//citC//dkgB//
MprA	bacA//tauD//cysE//
MqsA	galM//bioC//
MraZ	gatD//pdeR//fabG//cysI//pgaB//purC//phnP//ynfE//nanM//phnH//
MurR	araD//sdhC//paaJ//
Nac	cysH//dhaM//garR//cueO//bacA//iscS//caiD//glmS//cysM//ydcS//napB//
NadR	yeaE//katG//mhpD//prs//
NagC	kbaY//uvrC//ftnA//purM//paaH//gcvP//ybjG//galM//dapD//aroH//tdcB//ogt//rfe//gpmA//eno//dkgA//fabA//nadB//frdA//
NanR	aroG//icd//polB//mhpB//tnaA//rffC//
NarL-Phosphorylated	mhpB//malZ//ubiC//hmp//rutA//pepD//paaH//yqjH//hycG//fabB//fabZ//entB//tnaA//yiaK//sgbU//cysM//yedX//phnJ//wrbA//aroA//mraY//gcvP//argG//entH//ccp//purC//pflB//accD//hcaE//mhpB//hypF//hycF//aceE//mazG//lacA//mhpD//kbaZ//ynfF//xapA//pfkA//rpiB//
NarP-Phosphorylated	pspE//dmsA//nanM//rffG//gabD//adiA//aroA//tdcE//fbaB//hcaB//purD//garD//pyrD//entD//sodA//
NemR	trpE//dkgB//
NhaR-Na+	ttdB//kbl//hemH//katG//lysC//
NikR-Ni2+	ftnA//
NimR	ddlB//
NorR	galK//
NrdR-Zn2+	cynT//nirD//hypF//mngB//
NsrR	fumB//hcaD//waaY//glpB//trpB//adhE//thrS//moaE//chbF//yedX//gcvT//narH//lpxC//leuC//phnO//prpD//frdC//hcp//sbcC//paaE//hypF//argH//alsE//nagA//fadA//ldtC//mhpC//glpK//fabI//ttdB//rutE//murF//relA//dkgA//bioC//tyrA//tynA//deoA//carB//ilvI//
NtrC-Phosphorylated	fucU//metF//ddlB//cdd//mraY//trpD//atoD//yqhD//glyA//ulaF//ldtD//fucO//guaA//prpC//cynT//gntK//acnA//srlD//yqjH//metB//pfkA//
OmpR-Phosphorylated	pgaD//luxS//alaC//astE//sucC//ycjG//mhpA//dhaK//
OxyR	lsrG//garD//lysA//napB//dgcN//pdeL//rhaA//hypB//cysJ//uxaA//nrdE//waaY//ttdA//sodA//fucA//alaA//prs//
PaaX	hycG//adiA//sgbH//nadA//prpC//wzc//kbaZ//moaA//lysA//
PdeL	gltD//
PdhR	mpl//phnH//napB//betB//mpl//entF//fabB//rbsD//pgpC//wecE//pck//pgaB//eno//fdhF//carA//udp//torC//ruvB//ilvC//rutA//gcl//phnL//fucI//gcvP//fadH//
PepA	nadA//galT//
PgrR	astE//phnH//
PhoB-Phosphorylated	icd//murE//aceE//ilvC//truB//cysM//ugpQ//hycB//uxuA//accA//argI//purM//cysH//uvrC//srkA//hycD//hcaC//mhpE//tadA//lpd//
PhoP-Phosphorylated	pepD//waaY//uxaC//putA//entE//moaD//accC//srlD//melA//fbaA//dadX//tnaA//glgA//caiB//metA//lacZ//purE//tdcD//moaE//trpD//aceF//paaB//phnH//lpxA//cadA//yeaE//sgbH//ascB//sucD//cysN//pdeH//umuC//
PrpR-2S3S-2-methylcitrate	chbG//napH//sucB//alaA//
PspF	caiA//
PurR-hypoxanthine	glgX//murF//rhaA//polA//dinB//paaK//puuD//eda//frdD//asnB//paaK//hycC//rtcA//moaA//ulaG//bioF//avtA//fadB//paaA//gapA//nemA//fdhF//nrdE//dgcN//aldA//guaA//
PutA	glnA//malS//
PuuR	paaZ//xylA//sdhC//garL//aroF//gadB//
QseB-Phosphorylated	
RbsR	uxaC//rfe//dadX//pdeH//waaY//
RcdA	caiB//
RclR	
RcnR	lhgO//
RcsAB	zwf//paaH//cysG//
RcsB-BglJ	lysA//ahpC//
RcsB-Pasp56	rnpB//ynfF//tpiA//lacA//
RelB	hcp//
RelB-RelE	bioB//
RhaR-alpha-L-rhamnopyranose	
RhaS	lpxC//
RhaS-alpha-L-rhamnopyranose	deoC//frdA//gadB//mhpF//
Rob	mhpF//bioD//fabH//pgi//deoA//trpB//caiB//leuC//bglB//ssuE//trpA//xapA//deoA//aroL//hycC//rutC//paaE//ubiA//purF//
RstA-Phosphorylated	glpQ//dadA//hcaE//
RtcR	glgB//fadB//
RutR	trpD//sbcD//icd//dhaK//rtcB//gabD//dhaL//atoD//rffM//glpA//moaE//
SdiA	
SgrR	ulaD//cynT//leuC//
SlyA	melA//frdD//glpC//gltD//psd//cysN//mraY//gloA//folA//
SoxR	citF//aspC//lysC//prpD//phnM//yedX//
SoxS	rutE//hcaB//gltD//glk//rutD//relA//lsrF//putA//napA//cysG//frc//paaA//trpA//phnL//metF//deoA//metL//glnA//napA//mhpE//waaY//tpiA//tyrA//appA//dapB//purF//ycjG//cysN//
SrlR	mpl//paaB//avtA//
StpA	dapD//sucC//glcD//
SutR	guaB//truB//
TdcA	tam//cysD//rffH//hcaF//rbsD//
TdcR	fabD//ahpF//rbsK//phnH//guaA//
TorR-Phosphorylated	frdC//pgpC//yeaG//ssuE//
TorR-TorI	rbsD//
TreR	ttdB//argE//
TrpR-tryptophan	napB//leuA//pykF//sdhB//glpX//alaC//idnD//rsmH//ung//
TyrR	cysK//
TyrR-phenylalanine	recB//purB//
TyrR-tyrosine	lysA//ygeA//malS//kbaZ//polB//metK//hycC//ygeA//
UhpA-Phosphorylated	paaK//
UidR	frdD//purK//
UlaR	pspE//deoB//asnA//tktB//sdhB//
UvrY-Phosphorylated	ssuD//feaB//
UxuR	acnB//metC//ampC//alkB//ycjG//
XapR-xanthosine	paaF//ampC//
XylR-xylose	rsmH//mtlD//dhaL//
YdeO	allD//puuD//feaB//
YefM	serC//
YefM-YoeB	citD//
YeiL	
YhaJ	
YiaJ	trpC//aroG//ilvE//ccp//sgbU//allB//
YjjQ	alkB//xapA//
YpdB-Phosphorylated	
YqhC	pgaD//argD//
YqjI	malZ//
ZntR-Zn2	nrfA//
ZntR-Zn2+	carB//
ZraR-Phosphorylated	
Zur-Zn2	napA//
Zur-Zn2+	tdh//
