# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	fadD//rhaB//
GlcC-glycolate	cadA//aroA//cysM//
GlpR	pck//mpaA//leuB//adiA//acnB//codA//sufS//
GlrR-Pasp56	
GntR	lysU//rfe//sodA//mdh//murF//caiB//lsrG//araA//fadE//
GutM	ttdB//hcp//umuC//
HU	ldtD//ubiC//pdeR//sgbU//araB//moaA//gapA//
HcaR	
HcaR-HCA	rtcA//pagP//
HdfR	
HigA	pfkA//
HigB-HigA	wzc//
HipAB	argA//tehB//
HipB	nemA//fabG//gapA//
HprR-Phosphorylated	feaB//entE//nemA//hcaC//
HyfR	rutC//
HypT-Met-oxidized	nrdE//nadA//prpE//pgpC//zwf//paaK//leuB//
IclR-pyruvate	wecE//ada//phnL//
IdnR-5-ketogluconate	gntK//murE//poxB//pgaB//pheS//
IlvY	
IlvY-S-2-acetolactate	nrdF//
IscR	purM//gcvP//deoD//moeA//galK//fucI//
IscR-2Fe-2S	prpE//glsA//
KdgR	gloA//nadB//
KdpE-Phosphorylated	paaF//
LacI	tam//gcvT//chbF//
LeuO	ilvM//rutD//bioC//glsA//cysG//metA//
LexA	tehB//citF//uvrC//pheS//pdeL//fau//nemA//murI//glpX//aldA//ogt//umuD//arsC//garR//dadX//srlD//bioB//carB//cysH//napB//gatY//hycB//lpd//
LldR	argE//purF//
LldR-S-lactate	fabI//aroA//
LrhA	
Lrp	tyrB//fadE//gcvH//lyxK//napA//rpiB//nadA//allD//prpB//entA//waaZ//trpD//glmS//hycE//dmsC//lpxD//hyaA//nfsB//leuC//murC//folE//pdeL//narH//allE//galE//melA//dhaM//accC//aceE//gudD//ulaD//
Lrp-leucine	psd//glpC//gor//idnD//ppc//umuC//kbl//argC//yeaG//hemL//paaZ//dgcN//nagA//dgcN//rpiB//ftnA//kbaZ//
LsrR	sucA//murC//gatD//psd//hycG//
LysR	mngB//
MalI	hycC//gatZ//
MalT-maltotriose-ATP	tdcD//gpmA//ftsI//ung//bacA//araB//
MarA	sdhD//paaG//chbF//argC//ycjG//zwf//yedX//ssuD//narH//umpH//trpA//tpiA//moaD//hycF//dadX//pagP//folE//lhgO//accA//tam//hcaE//speG//phnN//cynS//
MarR	
MatA	umpH//
MazE	ttdB//
MazE-MazF	hypF//
McbR	
MelR	astC//entC//
MelR-melibiose	tdh//gcvP//
MetJ-adenosylmethionine	ppsA//ttdB//mhpA//prpB//glgA//gcvH//phnM//galT//chbG//mhpB//
MetR	moeA//uidA//
MetR-L-homocysteine	hycE//ruvA//
MhpR-3HPP	talA//lpxA//sufS//leuA//leuC//tdcE//
Mlc	purM//pgaD//fucU//nrdF//
MlrA	ahpF//
MngR	pgaD//cynT//
MntR-Mn2+	rpiB//moeB//
ModE-MoO42-	caiA//puuA//grxA//rffM//speB//phnN//tyrB//grxA//pgm//ftnA//cynT//hypB//allB//cynS//sucB//nanA//cysI//
MprA	puuE//argB//mdh//
MqsA	rhaB//hcaD//
MraZ	lpd//entF//dmsB//paaC//xylA//glgC//ndh//metA//ccp//paaK//
MurR	dgcZ//srkA//argI//
Nac	nfsB//hmp//pgaB//hcaD//prpB//purM//hyaB//sucD//malZ//tnaA//polB//
NadR	galT//cynS//phnO//purH//
NagC	eno//uxaA//rhaB//yiaK//garL//mraY//fucA//dapD//glnA//hyaB//alaC//pgaC//mraY//moaA//ynfF//gor//hyaB//astB//nrfA//
NanR	entA//bioA//glpB//prpC//yedX//alkA//
NarL-Phosphorylated	deoC//glpB//wecC//caiC//hyaC//dmsC//ynfG//glk//gnd//hcaB//speB//cueO//speG//paaE//rbsK//tdcE//nanE//lldD//argD//fadE//mtlD//hycF//gapA//fdhF//polA//metH//ulaE//talA//atoD//gcl//nrdB//purL//talA//lysA//aceE//rhaA//gpmA//gatD//pyrD//lpxA//gloA//
NarP-Phosphorylated	lpd//sbcC//aroL//rtcA//malS//moaD//paaH//frdC//metA//yqjH//nagB//lysU//malQ//rutE//pgpC//
NemR	fadH//trpA//
NhaR-Na+	nanE//uxuA//atoA//paaH//hcp//
NikR-Ni2+	araA//
NimR	sbcD//
NorR	paaA//
NrdR-Zn2+	nagA//narI//ilvH//ahpC//
NsrR	wecB//mpaA//pgaB//pdeR//alkB//gcl//iscS//lysA//sdhC//srlD//sbcD//rtcA//glpK//garK//tpiA//pdeR//psd//ftsI//chbF//citX//waaZ//fadA//uxaB//entA//trpD//pgaC//torC//deoB//mtlD//phnN//chbF//nrdD//araB//fadB//mazG//nfsA//glgA//nirD//dmsB//nfsA//
NtrC-Phosphorylated	allE//narH//nagA//gadB//moaE//paaZ//sdhD//pfkA//codA//argE//glk//gcvT//uvrC//argB//leuB//paaK//nanM//rffT//ydcS//aceF//allE//
OmpR-Phosphorylated	idnO//tktB//hemL//sucC//ogt//fadH//pdeH//trpD//
OxyR	sgbH//nrdB//fadD//sufS//gltD//lpxA//purF//atoD//aroG//lpxD//srkA//murC//gcl//bglB//ubiX//aspA//edd//
PaaX	speB//cysH//accD//paaG//waaY//gatD//leuB//polA//grxA//
PdeL	narG//
PdhR	dapD//ychF//rhaB//epd//purD//lsrK//rtcA//puuC//araA//fadB//yeaG//rtcB//cdd//ulaD//eno//ftsI//phnI//sgbU//ynfH//caiD//gabD//ydcS//umuD//rffT//fabD//
PepA	rbsK//bioA//
PgrR	sdhA//metF//
PhoB-Phosphorylated	tdcD//fau//entF//cysE//garD//sdhB//entC//rfe//hypF//fadM//pgpC//metB//sbcD//carA//idnD//accA//sucD//speG//sdhD//galE//
PhoP-Phosphorylated	rhaD//ulaD//dgcC//ttdB//allD//rnpB//fes//nrdF//hemL//umuC//murE//pheS//phnO//hyaB//fucA//ldtB//purK//paaJ//alaA//katG//dmsB//gabD//moaE//glcE//rnpB//metB//argF//hypF//lacA//paaZ//caiC//purD//
PrpR-2S3S-2-methylcitrate	gcvP//ascB//atoD//dacC//
PspF	fes//
PurR-hypoxanthine	leuD//epd//rhaA//fucK//uidA//glk//nrdB//allA//wecE//entC//ahpF//accA//fadM//frdD//cdd//bioF//ruvA//treC//galT//wzc//glxK//phnG//purF//tauD//malQ//nanE//
PutA	carB//ubiC//
PuuR	yqjH//dgcN//sufS//dinB//sgbU//wecC//
QseB-Phosphorylated	
RbsR	torA//fabI//slt//sufS//aceE//
RcdA	mhpD//
RclR	
RcnR	torC//
RcsAB	tam//gdhA//phoA//
RcsB-BglJ	citE//bioF//
RcsB-Pasp56	puuD//ada//ahpC//gcvT//
RelB	rutE//
RelB-RelE	ilvG_1//
RhaR-alpha-L-rhamnopyranose	
RhaS	carB//
RhaS-alpha-L-rhamnopyranose	rsmH//idnO//purM//astD//
Rob	fdhF//wzc//glcD//grxA//tdcE//fabA//fumB//cysI//serA//leuD//mhpA//cdd//srkA//fes//tyrA//cysK//ilvG_1//mhpB//hycF//
RstA-Phosphorylated	luxS//metF//gatY//
RtcR	fabG//accC//
RutR	hcaB//fadH//lysC//astC//paaJ//paaE//mhpA//paaH//phnH//katE//lsrK//
SdiA	
SgrR	aspA//ldtB//cynS//
SlyA	gabD//lyxK//sucB//psd//cyoE//purE//melA//puuA//luxS//
SoxR	argG//narH//metE//purB//betB//prpD//
SoxS	hyaB//sdhB//pck//lsrG//cadA//katE//paaA//iscS//fbaB//wecB//hycE//cadA//eno//amn//udp//trpA//rutE//ldtB//waaY//dgkA//murG//lacZ//ulaF//gatY//citE//mdh//arsC//malY//
SrlR	lpxA//ychF//bglB//
StpA	edd//galM//phoA//
SutR	nagA//sucD//
TdcA	allD//rnpB//pgaB//cynS//sucB//
TdcR	polA//tdcD//paaC//bioC//nanA//
TorR-Phosphorylated	leuD//eno//fadM//glpQ//
TorR-TorI	wecE//
TreR	hcaD//garD//
TrpR-tryptophan	ribA//fadJ//gatZ//sgbU//srkA//paaF//katE//prpE//pncB//
TyrR	ftnA//
TyrR-phenylalanine	relA//leuC//
TyrR-tyrosine	truB//yqjH//phnG//nfsB//serC//argE//phnI//feaB//
UhpA-Phosphorylated	ilvA//
UidR	dapB//waaH//
UlaR	bioA//glnA//nrdD//pepD//murE//
UvrY-Phosphorylated	nrdE//ppc//
UxuR	ilvH//dadA//hycE//uxaA//paaF//
XapR-xanthosine	fadD//speB//
XylR-xylose	thrS//alaA//pspE//
YdeO	alaC//fucK//uvrC//
YefM	cysH//
YefM-YoeB	glgP//
YeiL	
YhaJ	
YiaJ	hycG//rffH//dkgB//rtcB//fruK//entC//
YjjQ	dapB//glpQ//
YpdB-Phosphorylated	
YqhC	fucI//tnaA//
YqjI	hcaD//
ZntR-Zn2	lpxA//
ZntR-Zn2+	hcaB//
ZraR-Phosphorylated	
Zur-Zn2	patA//
Zur-Zn2+	ugpQ//
