# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	mazG//xylA//
NarL-Phosphorylated	gabT//guaA//paaC//accD//sodB//purL//cadA//lysC//puuC//xapA//ulaG//napB//allE//acnA//pyrD//ulaF//ldtC//folA//lpd//sdhB//deoA//purE//wzb//hcaE//sbcD//asnB//fbaA//sdhB//ruvA//rhaB//polB//wecC//xylB//waaZ//gcl//udp//hmp//sodA//gcl//ftnA//napG//
NarP-Phosphorylated	ftsI//tktB//lpxC//citE//codA//fadE//hyaB//pgi//mpl//uvrB//deoB//nirB//phnH//dhaM//cynT//
NemR	cdd//glxR//
NhaR-Na+	trpC//glnA//nanA//napA//sodA//
NikR-Ni2+	metK//
NimR	tdcD//
NorR	ygeA//
NrdR-Zn2+	moaA//dkgB//mhpC//pepD//
NsrR	murE//fabD//ynfG//lpxC//alaC//ssuE//sodA//sdhC//argC//dmsB//rffM//tdcG//fadM//betB//mhpE//xapA//mpl//aroG//mltF//trpE//nagB//deoA//fadB//malQ//rutE//fabH//hyaC//luxS//gatY//astA//rffG//icd//ddlB//feaB//moaC//mhpF//moaA//arsC//dgcZ//pepD//
NtrC-Phosphorylated	hycE//ahpC//gatY//argE//ydcS//gltD//paaK//tdcB//polB//ilvG_1//phnI//srlD//gatD//gatD//aroL//ilvC//amn//glxK//ydcS//ynfH//guaA//
OmpR-Phosphorylated	sdhB//pflB//sdhD//uxuA//gapA//deoA//lacA//idnD//
OxyR	fabH//nrdB//pheS//fes//ruvA//caiD//ilvE//trpA//astA//uxaC//murI//hcaE//ilvH//moaC//pnp//aroF//accA//
PaaX	glxR//aspC//glgP//bioD//glpA//phnN//thrS//fabG//cadA//
PdeL	gabT//
PdhR	glnA//lysC//fumC//cueO//ldtD//cysI//ilvE//lpxC//phnN//chbG//paaY//lacA//sgbU//paaF//purF//trpD//fucI//codA//aspC//atoB//cadA//argE//bioB//phoA//zwf//
PepA	entE//yiaK//
PgrR	grxA//rffM//
PhoB-Phosphorylated	phr//mhpD//eno//avtA//hyaC//phr//astE//pfkA//rbsK//sgbE//sgbU//torC//murD//tdcG//fucI//hycB//puuD//lsrF//dkgB//aroL//
PhoP-Phosphorylated	pspE//glgA//metH//acnB//ssuD//ynfH//dmsC//ilvH//fadB//frc//betB//aspC//fabZ//asnA//luxS//atoD//murF//citG//sdhC//sucC//tdcB//pfkA//bioC//alkA//trpE//purN//sdhD//gpmA//ssuE//folE//trpA//fabB//
PrpR-2S3S-2-methylcitrate	malZ//gor//nirB//mtlD//
PspF	rtcA//
PurR-hypoxanthine	glgB//lpxD//bioF//fadE//glgA//fumB//paaY//lsrG//pdeH//edd//paaZ//pepD//metE//sgbE//mnmG//srkA//idnK//dadX//katE//uxaC//narI//gdhA//frdA//xylB//ynfG//sgbU//
PutA	pgaC//purE//
PuuR	polB//ahpC//alaS//phoA//pgaB//argA//
QseB-Phosphorylated	
RbsR	yiaK//gatZ//dkgA//garL//sufS//
RcdA	codA//
RclR	
RcnR	bacA//
RcsAB	rffG//gadB//entB//
RcsB-BglJ	fadD//fucU//
RcsB-Pasp56	sdhA//argG//glcE//tktB//
RelB	uvrC//
RelB-RelE	hycB//
RhaR-alpha-L-rhamnopyranose	
RhaS	lsrK//
RhaS-alpha-L-rhamnopyranose	pyrD//ppc//polA//fucO//
Rob	eda//tktB//rnpB//purN//argA//prpE//dgcZ//araB//cyoE//citC//rfe//leuC//eda//gpmM//fdhF//fadI//fbaB//allE//folE//
RstA-Phosphorylated	pnp//yeaG//ascB//
RtcR	allE//gcvH//
RutR	hyaA//wrbA//pfkA//atoB//glpX//tdcE//mhpB//idnD//asnA//ychF//treC//
SdiA	
SgrR	recF//dgkA//accD//
SlyA	frdA//ada//cysK//nagB//fbaB//caiD//murE//speG//fruK//
SoxR	ppsA//lpxA//tadA//glxR//fadI//trpA//
SoxS	astA//glmS//frdA//fes//dkgA//fumC//poxB//phnI//glcF//ybjG//glgC//murI//pagP//glpA//sdhB//pgpC//waaY//gdhA//gatD//pheT//argE//glxR//hcaC//ilvG_1//dgkA//leuB//tnaA//nagA//
SrlR	truB//appA//ftsI//
StpA	gltD//fadA//metL//
SutR	rffG//gloA//
TdcA	nrfD//alkA//metB//zwf//tktB//
TdcR	asnB//asnA//gadB//recF//garD//
TorR-Phosphorylated	lacA//gdhA//fabZ//hypF//
TorR-TorI	sodA//
TreR	fabA//nagA//
TrpR-tryptophan	gltB//phr//uidA//purA//hycD//deoD//garL//recB//malP//
TyrR	ahpF//
TyrR-phenylalanine	metH//tdcE//
TyrR-tyrosine	narI//argD//paaY//lyxK//caiA//fabD//frdA//dsdA//
UhpA-Phosphorylated	phnJ//
UidR	gnd//hcaF//
UlaR	mngB//hycD//aroF//paaI//citG//
UvrY-Phosphorylated	rimK//sgbE//
UxuR	wzb//fucU//uidA//hmp//pgm//
XapR-xanthosine	napB//cyoE//
XylR-xylose	pfkA//prs//argH//
YdeO	malP//epd//yedX//
YefM	cadA//
YefM-YoeB	psd//
YeiL	
YhaJ	
YiaJ	pgk//gapA//citE//pgaD//dmsB//napG//
YjjQ	phnL//gutQ//
YpdB-Phosphorylated	
YqhC	cysM//astE//
YqjI	wrbA//
ZntR-Zn2	glxR//
ZntR-Zn2+	bioA//
ZraR-Phosphorylated	
Zur-Zn2	paaE//
Zur-Zn2+	pagP//
