# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	hyaC//gcvH//
HypT-Met-oxidized	argB//trpA//wzb//ada//sgbE//fucK//atoD//
IclR-pyruvate	aspA//codA//tadA//
IdnR-5-ketogluconate	cueO//bioF//cyoE//glk//tdcG//
IlvY	
IlvY-S-2-acetolactate	lsrK//
IscR	rutA//ulaG//aspC//prpB//frdB//phnH//
IscR-2Fe-2S	dkgA//ygeA//
KdgR	fabD//mhpF//
KdpE-Phosphorylated	betA//
LacI	srlD//nadA//rpiB//
LeuO	frdA//hcaF//dgkA//putA//phoA//gatD//
LexA	argH//idnK//hmp//aspC//rffC//pgpC//ppiA//dapB//glpQ//dapD//narI//polA//aroH//entE//chbG//adhE//wecC//polB//gcvT//waaH//allC//purF//rffT//
LldR	trpD//ahpF//
LldR-S-lactate	bacA//gapA//
LrhA	
Lrp	lysU//gltD//katE//metF//ilvG_1//pgaD//fadI//argG//ssuD//gapA//phnJ//ynfH//fadE//araD//paaH//dhaM//purE//bioD//glcD//rutD//lsrG//mhpD//edd//hycD//ftnA//lysU//pgi//trpE//metA//ilvM//ubiX//
Lrp-leucine	sufS//tauD//xylA//dhaM//mhpF//mngB//dinB//mnmG//aroL//phnJ//rhaB//rnpB//dhaL//hemL//mnmG//chbF//pheS//
LsrR	dkgA//atoB//bioF//fadM//phnM//
LysR	hcaD//
MalI	metB//glk//
MalT-maltotriose-ATP	rutB//ilvM//glpQ//trpC//ynfF//cysD//
MarA	mdh//caiC//yeaE//fucU//mdh//ddlB//paaJ//speG//napA//pepD//glmS//nirB//ccp//adhE//dhaL//hyaB//lhgO//caiB//accC//deoB//guaB//aroH//gatD//glcE//
MarR	
MatA	leuD//
MazE	hyaA//
MazE-MazF	frdB//
McbR	
MelR	fadI//ilvG_1//
MelR-melibiose	aroF//idnO//
MetJ-adenosylmethionine	edd//wecE//glpA//pgaC//moaC//malS//sucC//allE//accD//lacZ//
MetR	fadA//malS//
MetR-L-homocysteine	lhgO//idnO//
MhpR-3HPP	malP//cysN//rutE//gabT//rffG//kbaY//
Mlc	phnN//tam//hyaA//avtA//
MlrA	cysM//
MngR	fadB//fadM//
MntR-Mn2+	entD//rutC//
ModE-MoO42-	citD//oxc//napG//purL//lpxA//pgpC//dgcC//tam//fabZ//murF//metE//psd//polB//ccp//pyrD//frdA//cyoE//
MprA	aroA//ilvI//arsC//
MqsA	entF//truB//
MraZ	deoC//moaE//rffM//dhaL//pflB//ftnA//deoB//dadX//dmsA//astD//
MurR	nadA//galM//hycD//
Nac	folE//ftnA//murG//glcF//recB//cueO//nanA//hycD//fdhF//hyi//serA//
NadR	icd//sodB//nanA//metK//
NagC	argI//waaZ//gatY//narI//waaH//argE//lhgO//hycC//fucK//metB//recB//fabZ//phnL//mhpD//purB//fucA//carB//caiC//atoA//
NanR	ugpQ//gltD//mnmG//carB//lpxC//aroL//
NarL-Phosphorylated	entB//nemA//pepD//ycjG//fbaB//alkA//phnM//asnA//aroL//ilvD//metB//hcaD//caiD//garK//nrfC//entB//cadA//gatD//entA//nrdE//garK//ygeA//cynS//cysH//phnM//trpA//phnH//fumB//alaC//pspE//dacC//sgbU//moaC//malS//tdcD//tdcG//dkgB//gcl//leuA//fucO//gadB//
NarP-Phosphorylated	guaB//caiA//argE//citG//entE//glyA//aroA//idnK//fadD//fbaA//waaY//alaS//rffC//talA//epd//
NemR	hcaC//gor//
NhaR-Na+	paaZ//glgC//astA//bglB//hcaF//
NikR-Ni2+	sufS//
NimR	fbaB//
NorR	cysN//
NrdR-Zn2+	ldtB//araD//glpA//phnJ//
NsrR	ascB//poxB//accA//serA//atoB//sgbU//sdhB//lysU//iscS//sgbH//purH//gcvH//katE//carB//thrS//trpE//mazG//astA//ldtC//nanA//ygeA//srkA//torC//galM//ulaF//uvrB//rfe//fbaB//frdC//purB//ogt//phoA//cysD//aceF//garD//fadB//paaC//caiC//nemA//glpA//
NtrC-Phosphorylated	fabH//paaJ//purD//entF//polA//putA//moaE//aceF//argA//rffH//fucU//moeA//murD//putA//bioD//xylB//ampC//lacZ//purL//metL//metH//
OmpR-Phosphorylated	hyaA//ulaF//paaB//asnB//yeaG//argB//murC//hcp//
OxyR	tadA//alaC//nadA//entD//xylA//atoA//malY//tpiA//lpxD//allB//ilvC//gatD//fadE//amn//rffM//ubiA//malS//
PaaX	nrfA//yqjH//hcaF//glcF//uvrA//nemA//ynfH//accD//ldtB//
PdeL	idnO//
PdhR	bioC//polA//lacZ//murQ//gcl//puuC//phr//glgC//cysH//lsrF//entA//malP//fucU//mraY//ulaE//paaK//poxB//metL//umuC//idnO//ynfG//wecC//fabD//rpiB//uvrA//
PepA	bacA//argA//
PgrR	lsrG//cysD//
PhoB-Phosphorylated	murG//paaZ//rhaB//metB//alaA//waaY//ychF//ilvM//galE//tdcG//fabI//lldD//allD//paaC//gpmM//fbaB//glmS//citE//leuC//nrdD//
PhoP-Phosphorylated	astC//purF//lhgO//kbl//ftnA//waaY//sufS//gatY//pdeL//fadI//yiaK//nirD//glpX//trpA//dacC//fruK//mhpE//glpB//allC//moeA//leuC//pepD//puuB//purN//atoD//pheS//hcaF//lsrF//gltD//ilvC//argA//wecB//
PrpR-2S3S-2-methylcitrate	hycG//idnO//ilvI//gudD//
PspF	galK//
PurR-hypoxanthine	glyA//deoC//gcl//phr//hcaF//cysG//tktB//eno//rffH//pnp//paaY//asnA//katG//bioA//galT//gapA//nrdF//ahpC//ynfE//fucI//sodA//argC//malS//phnO//folA//cdd//
PutA	glpX//prpC//
PuuR	rutA//ilvI//frdD//paaG//idnK//acnA//
QseB-Phosphorylated	
RbsR	rhaA//acnA//adhE//gadA//purF//
RcdA	astD//
RclR	
RcnR	nagA//
RcsAB	sgbE//aceB//speG//
RcsB-BglJ	aroA//nrdA//
RcsB-Pasp56	caiD//mtlD//polB//tynA//
RelB	mdh//
RelB-RelE	hemH//
RhaR-alpha-L-rhamnopyranose	
RhaS	galE//
RhaS-alpha-L-rhamnopyranose	speA//epd//hcp//phnO//
Rob	cadA//fadJ//glgA//glpC//speB//phnH//mazG//tktB//fbaA//napH//sgbH//ilvH//hypB//gabT//gpmM//hypF//yedX//garR//rimK//
RstA-Phosphorylated	prpC//katE//aspC//
RtcR	lpxC//gnd//
RutR	ogt//wzb//galM//putA//uxaB//dinB//pdeL//pykF//rutE//sgbE//poxB//
SdiA	
SgrR	phnI//nanE//recD//
SlyA	kbaZ//paaZ//entE//nrdF//mhpB//glgC//relA//rimK//dmsB//
SoxR	gdhA//ulaG//dadA//malS//dgcN//uxaC//
SoxS	ilvA//rutA//dsdA//paaB//prs//katE//relA//ugpQ//purA//gcvT//prpE//paaY//leuC//fau//melA//dapB//astE//fruK//asnB//caiD//yiaK//sdhD//dmsA//lyxK//metK//astD//gcvH//atoD//
SrlR	nrfA//pgaB//glcB//
StpA	ulaD//malS//carA//
SutR	mazG//gudD//
TdcA	cysK//hypF//ahpF//fadI//ilvA//
TdcR	pheS//entH//paaY//yqhD//recD//
TorR-Phosphorylated	dgcN//ppsA//gnd//speA//
TorR-TorI	entE//
TreR	rbsD//galE//
TrpR-tryptophan	napB//argI//hemH//mdh//cysE//gutQ//prpC//trpD//entE//
TyrR	glgX//
TyrR-phenylalanine	ulaF//ppsA//
TyrR-tyrosine	recB//bacA//pgpC//entC//icd//ahpC//pck//frdC//
UhpA-Phosphorylated	glgA//
UidR	garL//pgk//
UlaR	glpX//pdeH//mdh//phnL//ychF//
UvrY-Phosphorylated	uxaB//phnN//
UxuR	nfsA//dsdA//fucA//yeaG//pepD//
XapR-xanthosine	entE//hypB//
XylR-xylose	dkgB//argI//dmsC//
YdeO	ulaD//pfkA//feaB//
YefM	glk//
YefM-YoeB	pykF//
YeiL	
YhaJ	
YiaJ	ftsI//napA//hyaA//rtcA//sbcC//nrfA//
YjjQ	metB//hcaB//
YpdB-Phosphorylated	
YqhC	aspC//glgP//
YqjI	xylB//
ZntR-Zn2	sodB//
ZntR-Zn2+	acnB//
ZraR-Phosphorylated	
Zur-Zn2	sgbU//
Zur-Zn2+	paaE//
