# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	ugpQ//nfsB//
FhlA-formate	metH//recF//mazG//lacA//gatY//rffH//dmsB//fadB//
FlhDC	betA//galM//nfsB//rbsK//moaE//ynfG//fadD//phnG//gatY//purH//nagA//allC//prpD//fabI//
FliZ	oxc//gadA//purF//pdeH//murD//
FucR-L-fuculose-1-P	hmp//pgk//malY//moaE//purD//lsrG//
Fur-Fe2	ilvE//allB//caiB//glgP//sdhB//allD//arsC//argG//tdh//deoA//gadA//dadA//hcaE//ogt//asnA//phnM//paaJ//mtlD//moeB//nanK//gcvT//xylB//udp//yeaE//entE//nagB//galK//hypB//allE//trpB//slt//dhaL//recF//moeA//mhpE//ldtB//gcvH//nadA//allA//leuA//malP//cynS//sucD//truB//ribA//phnL//wrbA//ycjG//rhaA//napA//nrdE//hyaA//lhgO//gltB//gntK//dkgA//sucD//glsA//hyi//argA//relA//xylA//
GadE	dadX//glsA//ldtB//fabH//paaB//acnB//alaA//ddlB//cysH//fadM//
GadE-RcsB	tadA//argB//fdhF//ppc//cysJ//
GadW	gnd//fucO//hycE//ynfG//
GadX	kbaY//nanA//umpH//hcaC//ilvE//moaD//paaY//uxaA//alkB//glpC//cynS//thrS//cyoE//aroA//
GalR	hycG//ccp//fabA//garK//ilvA//cadA//
GalR-beta-D-galactose	hyaB//xapA//astB//pheS//bacA//
GalS	malP//hcaB//recF//nadB//phnI//paaC//
GalS-beta-D-galactose	pflB//ldtC//trpE//lacA//leuC//
GatR	glsA//folA//glcF//
GcvA	glgB//avtA//metF//
GlcC-glycolate	guaA//gabT//aroG//
GlpR	hmp//hycG//sgbE//asnA//talA//sucC//fadA//
GlrR-Pasp56	
GntR	ldtB//narG//trpB//pdeH//nagB//fadI//rhaA//rffH//rsmH//
GutM	srkA//thrS//mhpB//
HU	pdeR//nirB//aroH//alaA//rutB//phnM//uxuA//
HcaR	
HcaR-HCA	serA//aldA//
HdfR	
HigA	gdhA//
HigB-HigA	oxc//
HipAB	dadX//fucO//
HipB	gpmM//ftnA//ssuE//
HprR-Phosphorylated	wecB//ygeA//trpC//phnN//
HyfR	caiC//
HypT-Met-oxidized	mpaA//gabD//hcaF//glnA//xylB//tdcB//lldD//
IclR-pyruvate	idnD//ruvB//puuC//
IdnR-5-ketogluconate	hycD//pgpC//pagP//alaC//alsE//
IlvY	
IlvY-S-2-acetolactate	gcvP//
IscR	astD//luxS//ndh//dhaL//trpB//wecB//
IscR-2Fe-2S	napB//dapD//
KdgR	rffC//narG//
KdpE-Phosphorylated	nirB//
LacI	gadA//paaB//aroF//
LeuO	rbsK//rbsD//leuB//nadB//nadB//glgX//
LexA	ubiX//kbl//paaE//rbsD//glnA//citD//ssuE//rhaD//mhpA//dmsB//fadH//moaC//nfsB//ascB//aldA//cysN//phnL//srlD//aceF//argE//ubiC//sdhC//ynfG//
LldR	alkB//metB//
LldR-S-lactate	ilvM//ssuD//
LrhA	
Lrp	pdeH//uxuB//alkB//avtA//ynfE//purD//purN//recD//mraY//lacZ//accA//murE//ilvM//prpD//lpxC//uvrB//pheT//fucK//cysK//lpxD//ilvC//thrS//grxA//recD//torC//ribA//ychF//pflB//astC//gntK//gudD//
Lrp-leucine	paaB//grxA//mhpD//gatZ//purN//trpD//allE//pnp//murQ//alsE//waaZ//bioD//hycE//tadA//narH//yeaE//fucO//
LsrR	sgbU//kbaZ//puuB//betA//rsmH//
LysR	ribA//
MalI	yedX//lysC//
MalT-maltotriose-ATP	ilvA//rffH//polA//fadA//iscS//lpxD//
MarA	tnaA//ruvB//frdB//ampC//fes//leuC//ssuD//mhpE//lysC//mraY//rffG//caiA//amn//treC//torA//dadX//prpE//rtcA//nadA//metE//ynfE//glcE//waaY//atoA//
MarR	
MatA	allD//
MazE	nrdE//
MazE-MazF	ynfE//
McbR	
MelR	purD//lldD//
MelR-melibiose	dadX//hcaB//
MetJ-adenosylmethionine	glpB//nirD//fabG//nanK//moeA//cysE//cueO//bioF//ilvI//nemA//
MetR	fucI//gabD//
MetR-L-homocysteine	mhpF//arsC//
MhpR-3HPP	mhpF//ribA//uxaB//phnJ//paaJ//paaH//
Mlc	mltF//malP//cysE//fabB//
MlrA	nadB//
MngR	acnB//sdaA//
MntR-Mn2+	icd//uxaB//
ModE-MoO42-	putA//ilvD//gatD//aroH//tauD//mhpE//cadA//cadA//nrdD//torC//frdB//prs//napB//mhpC//fabZ//tehB//rtcB//
MprA	serC//gudD//rffM//
MqsA	hcaB//lyxK//
MraZ	mhpA//sdhC//dsdA//malY//polB//ugpQ//nemA//ulaE//prpE//araB//
MurR	glxK//aceF//torA//
Nac	pgi//phr//lpd//glmU//ynfF//pgi//nanE//umuC//fruK//ilvI//folA//
NadR	cysM//glpQ//caiC//gcvP//
NagC	gabD//asnB//aspA//appA//tam//psd//alaS//asnA//phnI//ulaD//fabG//nrdF//fadJ//hcaE//mltF//yfdE//moaE//glpX//ubiC//
NanR	prs//glgB//tnaA//metC//napH//citC//
NarL-Phosphorylated	aceA//fucO//frdA//aldA//rsmH//paaJ//gloA//ribA//paaJ//cysD//narG//tdcD//entF//glsA//ychF//tauD//gudD//sgbH//dkgB//waaZ//katE//argE//poxB//leuB//nadA//uxuA//puuC//cysK//ndh//ubiA//uxuB//waaZ//mpaA//dgcZ//malQ//pheS//fadB//nanM//dgcZ//gnd//rhaB//
NarP-Phosphorylated	hcaF//mazG//lyxK//gloA//gcvP//pflB//lpxD//hmp//leuD//phnH//caiA//glxR//glsA//rtcB//murE//
NemR	metH//dhaM//
NhaR-Na+	fbaA//ubiC//sdaA//ppsA//lpd//
NikR-Ni2+	ilvG_1//
NimR	wecB//
NorR	ilvH//
NrdR-Zn2+	frc//murQ//phnG//ndh//
NsrR	trpA//rutE//astE//wecC//glpK//astB//ulaE//dapB//glpC//citG//uvrA//sdaA//epd//paaJ//nanA//ppc//cysC//leuA//ilvI//galE//argF//rtcB//ycjG//truB//pyrC//araA//icd//yeaG//aldA//deoB//mpl//kbaY//mpaA//feaB//dmsC//folA//hycF//phr//gabD//mhpF//
NtrC-Phosphorylated	fumC//frdB//sucC//ftsI//purH//citF//phnI//malP//recB//hyaC//dhaK//nadB//aspC//ldtD//glpQ//fruK//wecE//ilvE//ygeA//rnpB//lldD//
OmpR-Phosphorylated	chbF//gutQ//ftsI//cyoE//argD//alaA//glpA//pheS//
OxyR	ynfH//prpE//mhpD//paaF//prs//argG//ycjG//cysH//glgP//umuD//fadA//metF//astB//ilvG_1//phnG//xylA//gcvT//
PaaX	citF//argA//allD//ilvG_1//ssuE//rtcB//accA//allB//poxB//
PdeL	yeaG//
PdhR	recF//fadB//metK//gcvP//speG//mhpB//allE//pagP//xapA//pflB//gpmM//lsrF//sodB//cysJ//luxS//hcaC//rffH//lsrF//rtcA//ilvC//glnA//trpD//nfsA//betA//betB//
PepA	murI//sodB//
PgrR	nfsA//dadA//
PhoB-Phosphorylated	gcvP//rbsD//glpA//cysG//sdhA//nagB//alaA//lhgO//pck//ugpQ//lsrF//gcvT//sdhB//hcaB//napH//nanM//lsrG//paaI//fes//pdeH//
PhoP-Phosphorylated	phnN//speG//bglB//glpC//glpQ//lacZ//rtcA//glgX//garL//uxaB//murD//yeaG//waaH//ynfG//cysH//ribA//entF//fumC//nrdB//dsdA//glpC//ybjG//ppsA//lpxA//allE//glcB//gabD//hycC//uvrB//sdhC//fruK//cysD//
PrpR-2S3S-2-methylcitrate	araA//lysA//ybjG//tehB//
PspF	nrdD//
PurR-hypoxanthine	aspC//nrfC//rutC//hyaB//tpiA//dkgA//pdeH//kbaZ//serA//waaH//dapD//glpB//ftsI//nagA//paaF//lpxC//polB//dhaM//chbF//ilvD//torC//rnpB//ulaE//bioF//mhpD//hypF//
PutA	fdhF//galM//
PuuR	yeaE//citD//appA//tam//bioC//allC//
QseB-Phosphorylated	
RbsR	entB//argD//udp//argE//ldtC//
RcdA	leuB//
RclR	
RcnR	tdcB//
RcsAB	citE//hemL//caiB//
RcsB-BglJ	trpB//paaZ//
RcsB-Pasp56	araB//tyrA//ilvA//atoB//
RelB	paaE//
RelB-RelE	dapB//
RhaR-alpha-L-rhamnopyranose	
RhaS	pdeL//
RhaS-alpha-L-rhamnopyranose	allA//recF//rffM//ndh//
Rob	metB//glcD//rffC//deoB//rffH//mtlD//paaC//iscS//cynS//gltD//lldD//citE//cynT//allC//pepD//pepD//puuB//dmsC//nirB//
RstA-Phosphorylated	metA//fabZ//pdeR//
RtcR	citF//glpA//
RutR	yfdE//paaZ//entC//umuC//galT//glgX//relA//bioC//gatY//ynfH//gltD//
SdiA	
SgrR	idnK//pdeR//caiB//
SlyA	argF//entD//gnd//ung//kbl//puuE//oxc//gltD//malY//
SoxR	ahpF//nanM//oxc//dgkA//pyrC//deoA//
SoxS	rnpB//cysN//purF//ilvH//arsC//fucI//murC//fucA//araA//phoA//wecB//pgk//sdhC//wzc//nagB//glcF//puuD//trpC//tadA//ubiA//purB//murD//ilvE//nrfD//accA//pnp//fadH//citX//
SrlR	bglB//fabG//mazG//
StpA	ulaD//leuD//recB//
SutR	dadA//fabA//
TdcA	gntK//alsE//rbsD//sdhC//gloA//
TdcR	sgbH//entB//uxuB//sgbE//gloA//
TorR-Phosphorylated	prpE//bioD//amn//prpC//
TorR-TorI	deoA//
TreR	astB//polB//
TrpR-tryptophan	moaD//pgi//gudD//poxB//rutB//glcD//tam//gutQ//arsC//
TyrR	tauD//
TyrR-phenylalanine	nrdE//trpE//
TyrR-tyrosine	rffC//glnA//glpC//hycC//prpE//bioF//alaC//mhpE//
UhpA-Phosphorylated	ldtB//
UidR	gatZ//paaE//
UlaR	lsrK//glgP//rsmH//waaY//guaA//
UvrY-Phosphorylated	dhaK//ycjG//
UxuR	serA//ulaF//glcB//xylB//murI//
XapR-xanthosine	pdeR//nirB//
XylR-xylose	sufS//sodB//galM//
YdeO	pgk//serA//lacZ//
YefM	iscS//
YefM-YoeB	phnH//
YeiL	
YhaJ	
YiaJ	caiD//acnB//paaF//nirD//prpC//cysC//
YjjQ	rfe//carB//
YpdB-Phosphorylated	
YqhC	nrdA//ttdB//
YqjI	chbF//
ZntR-Zn2	aceA//
ZntR-Zn2+	cysG//
ZraR-Phosphorylated	
Zur-Zn2	uidA//
Zur-Zn2+	cdd//
