# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	dapB//dgkA//
GadX	ribA//ilvD//moeA//yeaE//purB//ynfF//carB//ttdB//rimK//edd//frc//lpxC//sgbU//entF//
GalR	hcaD//paaI//purM//astA//hcaF//tdh//
GalR-beta-D-galactose	fadB//yeaG//cdd//tdcD//pspE//
GalS	citD//hycD//acnB//puuA//rtcA//ftnA//
GalS-beta-D-galactose	astE//idnO//yeaE//patD//mpaA//
GatR	nanE//nadA//rutC//
GcvA	ugpQ//chbG//sucA//
GlcC-glycolate	pepD//avtA//sdaA//
GlpR	tdcD//metF//tynA//uxaC//aroA//hcp//allE//
GlrR-Pasp56	
GntR	rbsK//tktB//gadA//narG//sdaA//phnP//gntK//cysH//yeaG//
GutM	ampC//ulaF//metH//
HU	cysG//nadB//murF//phnJ//gcl//nirD//nanA//
HcaR	
HcaR-HCA	purF//carA//
HdfR	
HigA	udp//
HigB-HigA	gutQ//
HipAB	rffH//dkgA//
HipB	aceE//nanA//tnaA//
HprR-Phosphorylated	phnG//pheT//aspA//bioC//
HyfR	prpD//
HypT-Met-oxidized	tyrA//ahpF//chbG//trpE//sufS//pyrD//ynfG//
IclR-pyruvate	paaY//serA//polA//
IdnR-5-ketogluconate	pgi//wzb//cueO//prpE//pdeL//
IlvY	
IlvY-S-2-acetolactate	ynfH//
IscR	carA//frdB//galK//rutD//phr//tynA//
IscR-2Fe-2S	pdeL//glgX//
KdgR	fucI//hycD//
KdpE-Phosphorylated	pgpC//
LacI	leuC//lpd//mltF//
LeuO	fadI//lpxD//fadM//glk//thrS//waaY//
LexA	cdd//hcaC//astB//lsrK//yqjH//lldD//fadE//alkB//oxc//caiA//speB//torC//carA//nrdF//gloA//lpxC//dhaK//mltF//araD//galE//feaB//hcaE//cadA//
LldR	betA//paaZ//
LldR-S-lactate	adhE//fadE//
LrhA	
Lrp	dkgB//sucC//metH//rutD//carB//glgB//truB//ulaD//glpA//rffG//fucU//pgk//wecB//hycF//accD//umpH//purF//poxB//appA//fadM//tynA//paaY//tpiA//mhpC//galM//ilvI//glcB//mltF//cysM//kbl//phnN//
Lrp-leucine	ychF//metB//tyrA//rtcB//galT//purL//hycD//nanM//idnD//carB//nrdD//ydcS//mhpF//moaC//garD//oxc//glpA//
LsrR	ynfF//tyrB//putA//rutA//atoD//
LysR	ynfH//
MalI	ppiA//accC//
MalT-maltotriose-ATP	purA//sucA//phoA//leuC//astE//paaB//
MarA	wecB//araB//mpaA//gcvP//aroA//uxaC//pflB//fruK//entE//lpxA//sodA//ttdB//ugpQ//hycB//entB//lysC//oxc//nadA//murQ//pykF//dmsC//phnP//fabA//fucK//
MarR	
MatA	tadA//
MazE	fadJ//
MazE-MazF	sucC//
McbR	
MelR	nirB//aspA//
MelR-melibiose	astC//rhaB//
MetJ-adenosylmethionine	ddlB//idnK//aroF//yqhD//torA//dmsA//atoA//phnI//ppsA//nfsB//
MetR	prpC//icd//
MetR-L-homocysteine	purD//xylB//
MhpR-3HPP	pck//glsA//hemL//ygeA//phnG//phnI//
Mlc	hycF//purA//guaA//cysK//
MlrA	tdcB//
MngR	tdcD//prpD//
MntR-Mn2+	pyrC//nemA//
ModE-MoO42-	wecB//napG//nrfA//ldtD//nanM//lpxA//gltD//bioA//rutE//tam//prpC//dkgA//yiaK//gudD//glgP//araB//rpiB//
MprA	yedX//paaJ//accD//
MqsA	pgi//lpd//
MraZ	zwf//citE//paaI//alaA//cynS//phoA//pdeL//ulaE//ubiA//frdA//
MurR	zwf//hcaF//oxc//
Nac	fadH//phnH//astA//tadA//paaB//ynfH//malP//ugpQ//atoA//gltD//idnK//
NadR	hycC//gabT//nagB//polA//
NagC	murF//pspE//ilvM//dapB//nrdE//glmU//pheS//idnO//truB//napA//gpmM//sgbE//galT//citF//gnd//hemL//malQ//lsrG//lsrG//
NanR	dgcC//fruK//bioA//citE//trpB//mngB//
NarL-Phosphorylated	glpQ//nrfD//rhaD//hycE//rfe//glgA//recF//tdcE//deoC//mhpC//araA//pgaB//pspE//acnA//mnmG//ruvA//gcvT//fruK//nanE//fadH//sdhB//nagB//umuC//rtcB//gatZ//alaS//glpD//gcvP//rffG//lpd//sbcC//puuD//entD//leuD//fucA//glcF//ilvE//mdh//ygeA//recD//bioC//
NarP-Phosphorylated	glnA//wecE//murI//purC//pykF//glsA//recB//guaA//narI//gdhA//purK//glyA//glpQ//lsrF//aceA//
NemR	paaI//phr//
NhaR-Na+	ftnA//glcE//rffT//fadJ//dhaM//
NikR-Ni2+	pheT//
NimR	metC//
NorR	srkA//
NrdR-Zn2+	citD//nanK//pepD//wecB//
NsrR	murC//fadI//avtA//katE//fadD//astC//dgcN//rhaB//mazG//citX//cadA//citD//phnI//purD//astD//lpxC//napG//ampC//sucC//acnB//dapD//rutC//prs//aceA//argA//paaH//folE//prpD//frdA//idnD//nanK//nrfC//ilvC//hyi//gatZ//ubiC//betA//allD//ulaG//rhaA//
NtrC-Phosphorylated	metF//cysG//astA//pdeR//sucB//dgcC//puuE//ribA//katE//gloA//paaF//ssuD//hcaD//murC//gntK//uxaC//ubiA//murD//deoC//gabD//puuD//
OmpR-Phosphorylated	fdhF//pfkA//sodB//xylB//pdeL//cysH//nrdD//argH//
OxyR	mhpC//puuB//fbaA//glpQ//cysN//phnM//gpmA//citX//pncB//moaD//glyA//pagP//ilvH//dhaL//lpd//ybjG//dapB//
PaaX	mngB//waaY//lysC//argA//uxaA//paaB//garR//udp//galM//
PdeL	fabG//
PdhR	rbsD//rbsD//cysJ//dgcN//uvrC//mdh//umuC//napB//melA//fbaA//sgbU//tdcB//nrdF//cysG//fumB//aceF//asnA//cysD//tnaA//nagA//fbaA//adiA//napG//mhpF//lsrG//
PepA	hyaA//paaK//
PgrR	serC//aldA//
PhoB-Phosphorylated	pncB//citG//hyi//gadB//phnP//narI//uxaA//napB//puuA//metE//paaC//edd//puuA//mraY//hemL//sgbU//trpB//ilvI//deoB//phnI//
PhoP-Phosphorylated	metF//napH//leuD//tyrB//sucA//srlD//atoA//phnL//guaA//pgi//aroF//uxuA//ssuD//amn//ldtC//tdh//sgbU//puuD//argC//argA//caiB//fadH//nemA//accD//pdeH//sucB//rutA//tyrA//hyaC//hycF//glpQ//pnp//
PrpR-2S3S-2-methylcitrate	narG//argH//pncB//mpl//
PspF	tktB//
PurR-hypoxanthine	pck//ulaG//nrfC//purM//cyoE//ampC//srlD//pyrC//cysI//rffH//pspE//rutA//puuE//speB//gatD//asnB//garD//hyaB//pdeL//entA//frdC//wecB//rffT//mdh//lsrF//deoB//
PutA	phnH//rffH//
PuuR	galK//rutE//adiA//ssuD//ddlB//glpB//
QseB-Phosphorylated	
RbsR	metB//hypB//phnL//carB//bacA//
RcdA	entE//
RclR	
RcnR	luxS//
RcsAB	cysH//mngB//argF//
RcsB-BglJ	dsdA//hemL//
RcsB-Pasp56	narI//ldtB//asnA//ttdB//
RelB	hyi//
RelB-RelE	moaC//
RhaR-alpha-L-rhamnopyranose	
RhaS	hycE//
RhaS-alpha-L-rhamnopyranose	phnJ//hyaA//metE//dmsA//
Rob	ygeA//leuB//hemH//garL//mhpC//carB//ynfH//xylB//paaF//yqhD//gltD//moaA//atoB//dmsB//eda//kbaY//trpC//ahpC//tdcB//
RstA-Phosphorylated	paaA//lpd//alkB//
RtcR	ruvB//mngB//
RutR	xylA//trpE//lysU//phnP//pyrD//metA//yiaK//waaY//uidA//galT//aceB//
SdiA	
SgrR	glcF//appA//murD//
SlyA	galM//dmsB//araA//hypF//sdhD//glpQ//mhpD//hyaA//guaA//
SoxR	sufS//purL//rutE//ychF//lpxD//purH//
SoxS	hyaB//poxB//nrdE//metL//metE//uvrC//garL//murG//gpmM//gltD//hemL//atoD//aldA//carA//malQ//tyrB//napH//metF//atoA//phnM//eda//torA//nfsB//pflB//entA//dmsB//mngB//rutA//
SrlR	lyxK//ulaD//pdeR//
StpA	idnO//glxR//mnmG//
SutR	rffG//fadJ//
TdcA	dadX//ybjG//rsmH//ccp//murQ//
TdcR	frdC//frdC//dmsA//hypF//uidA//
TorR-Phosphorylated	hcaE//araA//araA//rtcA//
TorR-TorI	rutD//
TreR	mhpE//betA//
TrpR-tryptophan	fucI//rfe//gatZ//sucA//speB//dgcZ//amn//rhaB//dadA//
TyrR	cdd//
TyrR-phenylalanine	rtcB//yiaK//
TyrR-tyrosine	glpQ//ccp//fbaB//ynfG//lhgO//glgB//rffG//nanK//
UhpA-Phosphorylated	hycC//
UidR	fucA//sdaA//
UlaR	pyrD//gnd//patD//glgA//gadB//
UvrY-Phosphorylated	aspA//ftsI//
UxuR	metB//treC//aldA//cyoE//argF//
XapR-xanthosine	carA//moaC//
XylR-xylose	fucU//pck//atoA//
YdeO	hyaB//araD//cysN//
YefM	ychF//
YefM-YoeB	hcaC//
YeiL	
YhaJ	
YiaJ	cysG//accA//serA//argE//trpE//guaA//
YjjQ	asnB//rbsK//
YpdB-Phosphorylated	
YqhC	nirD//ldtD//
YqjI	gutQ//
ZntR-Zn2	sgbU//
ZntR-Zn2+	nadB//
ZraR-Phosphorylated	
Zur-Zn2	lysC//
Zur-Zn2+	puuA//
