# From /Users/Daniela/Documents/CCG/extended_gus/TFs_RegDB/scripts/all_TRN_enzymes.pl on Mon May 14 12:52:16 2018
# f1 > Enzyme Ecocyc ID
# f2 > Enzyme gene name
# f3 > Reaction Ecocyc ID
EG10016	garL	KDGALDOL-RXN//
EG10398	glpK	GLYCEROL-KIN-RXN//
EG10399	glpQ	RXN-14073//GLYCPDIESTER-RXN//
EG10402	gltA	CITSYN-RXN//
EG10403	gltB	GLUTAMATESYN-RXN//GLUTDEHYD-RXN//GLUTAMIN-RXN//
EG10404	gltD	GLUTAMATESYN-RXN//GLUTDEHYD-RXN//GLUTAMIN-RXN//
EG10408	glyA	RXN-6321//LTAA-RXN//GLYOHMETRANS-RXN//RXN0-5240//RXN0-5234//
EG10411	gnd	RXN-9952//
EG10420	guaA	GMP-SYN-NH3-RXN//GMP-SYN-GLUT-RXN//GLUTAMIN-RXN//
EG10421	guaB	IMP-DEHYDROG-RXN//
EG10427	hemA	GLUTRNAREDUCT-RXN//
EG10432	hemL	GSAAMINOTRANS-RXN//
EG10437	hflX	RXN0-5462//
EG10456	hmp	R621-RXN//1.5.1.34-RXN//
EG10468	hyaA	RXN-16420//
EG10469	hyaB	RXN-16420//
EG10470	hyaC	RXN-16420//
EG10475	hycB	FHLMULTI-RXN//
EG10476	hycC	FHLMULTI-RXN//
EG10477	hycD	FHLMULTI-RXN//
EG10478	hycE	FHLMULTI-RXN//
EG10479	hycF	FHLMULTI-RXN//
EG10480	hycG	FHLMULTI-RXN//
EG10484	hypB	RXN0-5462//
EG10489	icd	RXN-9951//RXN-8642//ISOCITDEH-RXN//
EG10493	ilvA	RXN-15122//THREDEHYD-RXN//
EG10494	ilvB	ACETOOHBUTSYN-RXN//ACETOLACTSYN-RXN//
EG10495	ilvC	ACETOOHBUTREDUCTOISOM-RXN//ACETOLACTREDUCTOISOM-RXN//2-DEHYDROPANTOATE-REDUCT-RXN//
EG10496	ilvD	DIHYDROXYMETVALDEHYDRAT-RXN//DIHYDROXYISOVALDEHYDRAT-RXN//
EG10497	ilvE	PHEAMINOTRANS-RXN//BRANCHED-CHAINAMINOTRANSFERVAL-RXN//BRANCHED-CHAINAMINOTRANSFERLEU-RXN//BRANCHED-CHAINAMINOTRANSFERILEU-RXN//
EG10498	ilvG_2	ACETOOHBUTSYN-RXN//ACETOLACTSYN-RXN//
EG10499	ilvH	ACETOOHBUTSYN-RXN//ACETOLACTSYN-RXN//
EG10500	ilvI	ACETOOHBUTSYN-RXN//ACETOLACTSYN-RXN//
EG10501	ilvM	ACETOOHBUTSYN-RXN//ACETOLACTSYN-RXN//
EG10502	ilvN	ACETOOHBUTSYN-RXN//ACETOLACTSYN-RXN//
EG10509	katE	RXN-8073//CATAL-RXN//
EG10511	katG	RXN-8667//CATAL-RXN//
EG10512	kbl	AKBLIG-RXN//
EG10524	lacA	GALACTOACETYLTRAN-RXN//
EG10527	lacZ	BETAGALACTOSID-RXN//RXN0-5363//
EG10543	lpd	PYRUVDEH-RXN//GCVMULTI-RXN//RXN0-1147//RXN0-1134//RXN0-1133//RXN0-1132//RXN0-1132//RXN-8629//RXN-8629//RXN-7716//RXN-7716//GCVT-RXN//GCVP-RXN//2OXOGLUTDECARB-RXN//1.8.1.4-RXN//2OXOGLUTARATEDEH-RXN//
EG10545	lpxA	UDPNACETYLGLUCOSAMACYLTRANS-RXN//
EG10546	lpxB	LIPIDADISACCHARIDESYNTH-RXN//
EG10549	lysA	DIAMINOPIMDECARB-RXN//
EG10550	lysC	ASPARTATEKIN-RXN//
EG10553	lysU	LYSINE--TRNA-LIGASE-RXN//RXN0-5209//RXN0-5208//
EG10560	malP	RXN-9025//RXN-14286//RXN-14285//RXN-14284//RXN0-5184//RXN0-5182//
EG10561	malQ	RXN-14261//RXN-14260//MALTODEG-RXN//AMYLOMALT-RXN//
EG10564	malY	RXN-15131//RXN-15129//LCYSDESULF-RXN//CYSTATHIONINE-BETA-LYASE-RXN//
EG10565	malZ	RXN-14283//RXN-14282//RXN-14281//MALTODEXGLUCOSID-RXN//RXN0-5183//
EG10566	manA	MANNPISOM-RXN//
EG10576	mdh	MALATE-DEH-RXN//
EG10577	melA	ALPHAGALACTOSID-RXN//
EG10581	metA	HOMSUCTRAN-RXN//
EG10582	metB	RXN-15147//O-SUCCHOMOSERLYASE-RXN//METBALT-RXN//
EG10583	metC	RXN-15131//RXN-15129//LCYSDESULF-RXN//CYSTATHIONINE-BETA-LYASE-RXN//
EG10584	metE	HOMOCYSMET-RXN//
EG10585	metF	1.5.1.20-RXN//
EG10587	metH	HOMOCYSMETB12-RXN//HOMOCYSMET-RXN//
EG10589	metK	S-ADENMETSYN-RXN//
EG10590	metL	HOMOSERDEHYDROG-RXN//ASPARTATEKIN-RXN//
EG10595	miaA	RXN0-6274//
EG10616	mtlD	MANNPDEHYDROG-RXN//
EG10627	mutY	RXN0-2661//
EG10632	nagA	NAG6PDEACET-RXN//
EG10633	nagB	GLUCOSAMINE-6-P-DEAMIN-RXN//
EG10634	umpH	RXN-7609//RXN-7607//RXN-14026//RXN-14025//AMP-DEPHOSPHORYLATION-RXN//5-NUCLEOTID-RXN//
EG10637	nanA	RXN-15313//ACNEULY-RXN//
EG10638	narG	RXN-15119//
EG10639	narH	RXN-15119//
EG10640	narI	RXN-15119//
EG10649	ndh	RXN0-5330//R170-RXN//
EG10653	nirB	RXN-13854//
EG10655	nirD	RXN-13854//
EG10660	nrdA	UDPREDUCT-RXN//GDPREDUCT-RXN//CDPREDUCT-RXN//ADPREDUCT-RXN//
EG10661	nrdB	UDPREDUCT-RXN//GDPREDUCT-RXN//CDPREDUCT-RXN//ADPREDUCT-RXN//
EG10668	ogt	2.1.1.63-RXN//
EG10688	pck	PEPCARBOXYKIN-RXN//
EG10701	pflB	PYRUVFORMLY-RXN//KETOBUTFORMLY-RXN//
EG10703	pgk	PHOSGLYPHOS-RXN//
EG10709	pheS	PHENYLALANINE--TRNA-LIGASE-RXN//
EG10710	pheT	PHENYLALANINE--TRNA-LIGASE-RXN//
EG10716	phnG	RXN0-6732//
EG10717	phnH	RXN0-6732//
EG10718	phnI	RXN0-6732//
EG10719	phnJ	RXN0-6734//
EG10721	phnL	RXN0-6732//
EG10722	phnM	RXN0-6733//
EG10723	phnN	RXN0-1401//
EG10724	phnO	RXN0-7014//
EG10725	phnP	RXN0-6710//
EG10727	phoA	RXN-7948//RXN-7607//RXN-5822//RXN-5647//RXN-15312//RXN-14514//RXN-14513//RXN-14512//RXN-14511//RXN-14510//RXN-14509//RXN-14505//RXN-14181//RXN-14161//RXN-14142//RXN-14126//RXN-14115//RXN-14090//RXN-14026//RXN-14025//PHOSPHOGLYCERATE-PHOSPHATASE-RXN//PHOSPHOENOLPYRUVATE-PHOSPHATASE-RXN//INORGPYROPHOSPHAT-RXN//HISTIDPHOS-RXN//GLYCEROL-2-PHOSPHATASE-RXN//GLUCOSE-6-PHOSPHATASE-RXN//GLUCOSE-1-PHOSPHAT-RXN//F16BDEPHOS-RXN//AMP-DEPHOSPHORYLATION-RXN//ALKAPHOSPHA-RXN//4-NITROPHENYLPHOSPHATASE-RXN//3.1.3.74-RXN//TRIPHOSPHATASE-RXN//RXN66-526//RXN0-5292//RXN0-5187//RXN0-5114//
EG10742	pncB	NICOTINATEPRIBOSYLTRANS-RXN//
EG10743	pnp	RXN0-6479//
EG10746	polA	DNA-DIRECTED-DNA-POLYMERASE-RXN//RXN0-4961//
EG10757	ppiA	PEPTIDYLPROLYL-ISOMERASE-RXN//
EG10774	prs	PRPPSYN-RXN//
EG10775	psd	PHOSPHASERDECARB-RXN//
EG10790	purA	ADENYLOSUCCINATE-SYNTHASE-RXN//
EG10791	purC	SAICARSYN-RXN//
EG10792	purD	GLYRIBONUCSYN-RXN//
EG10793	purE	RXN0-743//
EG10794	purF	PRPPAMIDOTRANS-RXN//
EG10795	purH	IMPCYCLOHYDROLASE-RXN//AICARTRANSFORM-RXN//
EG10796	purK	RXN0-742//
EG10797	purL	FGAMSYN-RXN//
EG10798	purM	AIRS-RXN//
EG10799	purN	GART-RXN//
EG10806	pyrC	DIHYDROOROT-RXN//
EG10807	pyrD	RXN0-6491//
EG10817	rbsD	RXN0-5304//
EG10818	rbsK	RIBOKIN-RXN//
EG10828	recF	RXN0-2606//
EG10921	ftnA	RXN-15293//RXN-15292//RXN-15294//
EG10930	sdaA	RXN-15125//4.3.1.17-RXN//
EG10931	sdhA	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN//
EG10932	sdhB	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN//
EG10933	sdhC	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN//
EG10934	sdhD	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN//
EG10944	serA	RXN-16701//PGLYCDEHYDROG-RXN//KETOGLUTREDUCT-RXN//
EG10946	serC	PSERTRANSAMPYR-RXN//PSERTRANSAM-RXN//SUCCINYLDIAMINOPIMTRANS-RXN//
EG10950	slt	RXN0-5190//
EG10953	sodA	SUPEROX-DISMUT-RXN//
EG10954	sodB	SUPEROX-DISMUT-RXN//
EG10959	speA	ARGDECARBOX-RXN//
EG10960	speB	AGMATIN-RXN//
EG10961	speC	ORNDECARBOX-RXN//
EG10971	srlD	SORB6PDEHYDROG-RXN//
EG10973	gutQ	DARAB5PISOM-RXN//
EG10979	sucA	RXN0-1147//RXN-7716//2OXOGLUTDECARB-RXN//2OXOGLUTDECARB-RXN//2OXOGLUTARATEDEH-RXN//
EG10980	sucB	RXN0-1147//RXN0-1147//RXN-7716//2OXOGLUTDECARB-RXN//2OXOGLUTARATEDEH-RXN//
EG10981	sucC	SUCCCOASYN-RXN//
EG10982	sucD	SUCCCOASYN-RXN//
EG10990	tdcB	RXN-15125//RXN-15122//4.3.1.17-RXN//THREDEHYD-RXN//
EG10993	tdh	RXN-14249//THREODEHYD-RXN//
EG11001	thrS	THREONINE--TRNA-LIGASE-RXN//
EG11005	tnaA	RXN-15578//RXN-15129//LCYSDESULF-RXN//TRYPTOPHAN-RXN//
EG11023	trmD	RXN-12458//
EG11024	trpA	RXN0-2382//RXN0-2381//RXN0-2381//TRYPSYN-RXN//
EG11025	trpB	RXN0-2382//RXN0-2382//RXN0-2381//TRYPSYN-RXN//
EG11026	trpC	PRAISOM-RXN//IGPSYN-RXN//
EG11027	trpD	PRTRANS-RXN//ANTHRANSYN-RXN//
EG11028	trpE	ANTHRANSYN-RXN//
EG11039	tyrA	PREPHENATEDEHYDROG-RXN//CHORISMATEMUT-RXN//
EG11040	tyrB	PHEAMINOTRANS-RXN//BRANCHED-CHAINAMINOTRANSFERLEU-RXN//2.6.1.57-RXN//TYROSINE-AMINOTRANSFERASE-RXN//
EG11044	ubiX	RXN-16937//
EG11045	udp	URPHOS-RXN//
EG11050	ugpQ	RXN-14160//RXN-14136//RXN-14073//GLYCPDIESTER-RXN//
EG11055	uidA	BETA-GLUCURONID-RXN//
EG11058	ung	RXN0-2584//
EG11061	uvrA	RXN0-2621//
EG11065	uxaB	ALTRO-OXIDOREDUCT-RXN//
EG11066	uxuA	MANNONDEHYDRAT-RXN//
EG11074	xylA	XYLISOM-RXN//
EG11075	xylB	XYLULOKIN-RXN//RXN0-382//
EG11105	entH	RXN0-7046//
EG11143	ubiG	DHHB-METHYLTRANSFER-RXN//2-OCTAPRENYL-6-OHPHENOL-METHY-RXN//
EG11158	fau	5-FORMYL-THF-CYCLO-LIGASE-RXN//
EG11172	tdcD	PROPKIN-RXN//
EG11175	garK	GKI-RXN//
EG11176	garR	TSA-REDUCT-RXN//RXN0-5289//
EG11177	truB	RXN-11839//
EG11221	zwf	GLU6PDEHYDROG-RXN//
EG11222	alkA	3.2.2.21-RXN//
EG11223	argH	ARGSUCCINLYA-RXN//
EG11266	waaH	RXN-14361//
EG11281	mutL	RXN0-2625//
EG11284	fabZ	RXN0-2144//RXN-9655//RXN-9557//RXN-9537//RXN-9533//RXN-9520//RXN-11481//RXN-11477//RXN-10660//RXN-10656//4.2.1.61-RXN//4.2.1.59-RXN//4.2.1.58-RXN//3-HYDROXYDECANOYL-ACP-DEHYDR-RXN//
EG11286	argE	ACETYLORNDEACET-RXN//
EG11289	preA	DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN//RXN0-6565//
EG11294	ispE	2.7.1.148-RXN//
EG11311	dusB	RXN0-1281//
EG11314	purB	AMPSYN-RXN//AICARSYN-RXN//
EG11316	malS	RXN0-5181//
EG11325	acnA	RXN-14047//ACONITATEHYDR-RXN//ACONITATEDEHYDR-RXN//
EG11326	codA	CYTDEAM-RXN//RXN0-6708//
EG11329	gabD	SUCCSEMIALDDEHYDROG-RXN//
EG11332	upp	URACIL-PRIBOSYLTRANS-RXN//
EG11369	ubiC	CHORPYRLY-RXN//
EG11370	ubiA	4OHBENZOATE-OCTAPRENYLTRANSFER-RXN//
EG11371	pgpC	PGPPHOSPHA-RXN//
EG11372	tadA	RXN0-1081//
EG11375	folE	GTP-CYCLOHYDRO-I-RXN//
EG11384	ahpC	R4-RXN//
EG11385	ahpF	R4-RXN//
EG11402	treC	TRE6PHYDRO-RXN//
EG11407	dadA	DALADEHYDROG-RXN//
EG11408	dadX	ALARACECAT-RXN//
EG11417	nrdD	RXN0-746//RXN0-745//RXN0-724//RXN0-723//
EG11442	gcvT	GCVMULTI-RXN//RXN-8629//GCVT-RXN//GCVT-RXN//GCVP-RXN//
EG11448	acs	PROPIONATE--COA-LIGASE-RXN//ACETATE--COA-LIGASE-RXN//
EG11490	gadB	GLUTDECARBOX-RXN//
EG11517	glpX	F16BDEPHOS-RXN//
EG11530	fadD	ACYLCOASYN-RXN//
EG11546	nadC	QUINOPRIBOTRANS-RXN//
EG11551	hypF	RXN-14552//
EG11557	caiD	CARNDETRU-RXN//
EG11558	caiC	LCARNCOALIG-RXN//
EG11559	caiB	RXN0-3601//
EG11560	caiA	CROBETREDUCT-RXN//
EG11595	moaA	RXN-8340//
EG11597	moaD	RXN-8342//
EG11598	moaE	RXN-8342//
EG11643	dgcZ	RXN0-5359//
EG11648	dkgB	RXN0-7020//RXN0-5141//RXN0-4281//
EG11665	bacA	UNDECAPRENYL-DIPHOSPHATASE-RXN//
EG11669	atoD	ACETOACETYL-COA-TRANSFER-RXN//
EG11670	atoA	ACETOACETYL-COA-TRANSFER-RXN//
EG11672	atoB	ACETYL-COA-ACETYLTRANSFER-RXN//
EG11698	galM	ALDOSE1EPIM-RXN//
EG11699	gpmA	RXN-15513//RXN-15512//RXN-15511//RXN-15510//RXN-15509//
EG11757	tsaE	RXN-14570//
EG11758	yjeF	RXN-13142//RXN-13141//RXN-12752//RXN0-6727//
EG11781	nrfA	RXN-16564//
EG11797	talA	TRANSALDOL-RXN//
EG11810	gcvP	GCVMULTI-RXN//RXN-8629//GCVT-RXN//GCVP-RXN//GCVP-RXN//
EG11814	torA	RXN0-5264//
EG11815	torC	RXN0-5264//
EG11822	puuB	RXN0-3921//
EG11831	rdoA	PROTEIN-KINASE-RXN//
EG11866	rhaD	RHAMNULPALDOL-RXN//
EG11867	rhaA	RHAMNISOM-RXN//LYXISOM-RXN//
EG11868	rhaB	RHAMNULOKIN-RXN//
EG11884	tehB	RXN0-6576//
EG11945	nrfB	RXN-16564//
EG11946	nrfC	RXN-16564//
EG11947	nrfD	RXN-16564//
EG11963	lldD	L-LACTDEHYDROGFMN-RXN//
EG12060	napC	RXN0-6369//
EG12061	napB	RXN0-6369//
EG12062	napH	RXN0-6369//
EG12064	napG	RXN0-6369//
EG12067	napA	RXN0-6369//
EG12100	tktB	2TRANSKETO-RXN//1TRANSKETO-RXN//
EG12152	idnK	GLUCONOKIN-RXN//
EG12180	pagP	RXN0-1842//
EG12198	chbG	RXN-11313//RXN0-7001//
EG12258	bcsZ	RXN-2043//
EG12259	bcsB	CELLULOSE-SYNTHASE-UDP-FORMING-RXN//
EG12260	bcsA	CELLULOSE-SYNTHASE-UDP-FORMING-RXN//
EG12279	yiaK	RXN0-703//
EG12284	lyxK	LYXK-RXN//RXN0-704//
EG12285	sgbH	RXN0-705//
EG12286	sgbU	LXULRU5P-RXN//
EG12287	sgbE	RIBULPEPIM-RXN//
EG12292	aldB	RXN0-3962//
EG12316	acnB	RXN-14047//ACONITATEHYDR-RXN//ACONITATEDEHYDR-RXN//4.2.1.99-RXN//
EG12318	cueO	RXN0-2945//RXN0-2943//RXN0-1483//
EG12381	nrdF	RXN0-748//RXN0-747//RXN0-722//RIBONUCLEOSIDE-DIP-REDUCTII-RXN//
EG12387	lhgO	RXN0-5364//
EG12417	gatD	1.1.1.251-RXN//
EG12419	gatY	TAGAALDOL-RXN//
EG12423	tauD	RXN0-299//
EG12424	prmC	RXN-14992//
EG12440	mpl	RXN0-2361//
EG12629	gntK	GLUCONOKIN-RXN//
EG12734	uxaA	ALTRODEHYDRAT-RXN//
EG20080	glcB	MALSYN-RXN//
EG20091	gpsA	GLYC3PDEHYDROGBIOSYN-RXN//
EG20098	hpt	HYPOXANPRIBOSYLTRAN-RXN//GUANPRIBOSYLTRAN-RXN//
EG20173	pta	PTAALT-RXN//PHOSACETYLTRANS-RXN//
EG20248	uxuB	MANNONOXIDOREDUCT-RXN//
EG20257	nrdE	RXN0-748//RXN0-747//RXN0-722//RIBONUCLEOSIDE-DIP-REDUCTII-RXN//
EG30069	rnpB	3.1.26.5-RXN//RXN0-6480//
G0-8601	glcF	GLYCOLATEDEHYDRO-RXN//
G36	fadH	DIENOYLCOAREDUCT-RXN//
G6105	fadE	ACYLCOADEHYDROG-RXN//
G6196	prpB	METHYLISOCITRATE-LYASE-RXN//
G6198	prpC	CITSYN-RXN//2-METHYLCITRATE-SYNTHASE-RXN//
G6199	prpD	2-METHYLCITRATE-DEHYDRATASE-RXN//
G6200	prpE	PROPIONATE--COA-LIGASE-RXN//
G6205	mhpE	MHPELY-RXN//
G6284	allE	URUR-RXN//
G6285	allC	ALLANTOATE-DEIMINASE-RXN//
G6286	allD	RXN0-7024//
G6339	citG	2.7.8.25-RXN//
G6340	citX	2.7.7.61-RXN//
G6341	citF	CITLY-RXN//CITTRANS-RXN//CITRYLY-RXN//
G6342	citE	CITLY-RXN//CITTRANS-RXN//CITRYLY-RXN//
G6343	citD	CITLY-RXN//CITTRANS-RXN//CITRYLY-RXN//
G6344	citC	CITC-RXN//
G6422	ldtB	RXN-16665//RXN-16664//
G6439	ybjG	UNDECAPRENYL-DIPHOSPHATASE-RXN//
G6457	hcp	HYDROXYLAMINE-REDUCTASE-RXN//
G6477	ssuD	RXN0-280//RXN-15341//RXN-13418//RXN0-6973//
G6479	ssuE	RXN-12444//
G6519	rutE	RXN-8974//
G6520	rutD	RXN0-6452//
G6521	rutC	RXN0-6461//
