# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	citD//allA//
MetJ-adenosylmethionine_neg	bioB//uvrB//ascB//mhpB//polB//citX//uxaA//lysA//moaC//cysJ//
MetR-L-homocysteine_neg	galK//
MetR-L-homocysteine_pos	ilvC//paaF//
MetR_pos	wzc//asnB//
MhpR-3HPP_pos	hyaA//puuC//srkA//trpA//phnM//dgcN//
Mlc_neg	pgaC//cadA//cysN//eda//
MlrA_pos	tyrA//
MngR_neg	glgA//paaI//
MntR-Mn2_neg	polA//
MntR-Mn2_pos	entC//
ModE-MoO42-_neg	epd//moeB//xapA//cysG//ascB//nagA//wrbA//phnL//
ModE-MoO42-_pos	yqjH//bioA//tehB//carA//moaD//mtlD//gdhA//moeB//eda//
MprA_neg	hycB//dsdA//trpE//
MqsA_neg	asnB//sgbE//
MraZ_neg	mltF//wzb//uxaC//fbaA//cysD//gudD//gloA//edd//metK//glnA//
MurR_neg	hypB//ruvB//astA//
MurR_pos	
Nac_neg	paaE//trpE//uxaA//
Nac_pos	napG//ubiA//napA//guaA//paaE//pgpC//uvrA//napG//
NadR_neg	ugpQ//hycG//rbsK//tehB//
NagC_neg	folE//sbcD//ynfE//moeA//aceE//fadJ//ttdB//fadE//frdB//pgm//sbcD//lyxK//dmsB//eda//rbsD//umuC//pgk//murF//
NagC_pos	bioA//glmU//
NanR_neg	purB//glgA//gcl//katE//caiB//gadB//
NanR_pos	
NarL-Phosphorylated_neg	aldA//galE//argE//ydcS//fabH//napA//fadM//tynA//tynA//folE//uvrC//tdcB//treC//pck//pnp//glcF//glxR//citE//mngB//fucI//purF//glgC//murC//mazG//fumB//fabZ//phnM//galK//
NarL-Phosphorylated_pos	cysD//arsC//aceF//betA//srkA//narG//ppiA//ubiA//tyrA//dmsB//sgbH//torA//glpQ//hemL//ascB//
NarP-Phosphorylated_neg	rffG//bioC//rpiB//lpd//entE//
NarP-Phosphorylated_pos	pgpC//malQ//nemA//tyrA//nrfA//araB//accD//leuD//frdC//umuD//lpxA//garR//phnM//napH//
NemR_neg	gpmM//narG//
NhaR-Na_pos	atoD//glcB//hyaC//sdhC//citF//
NikR-Ni2_neg	yqjH//
NimR_neg	paaF//
NorR_neg	
NorR_pos	argF//
NrdR-Zn2_neg	dmsC//serA//polA//cdd//
NsrR_neg	rutB//fadH//astC//paaI//ahpC//cysN//entA//tdcE//leuD//fau//malS//narH//frc//cynT//uxaB//moaE//citX//uxuA//rffG//uxuA//glnA//ppiA//nadB//argE//xylA//astB//aceB//fumB//entE//yfdE//purF//hyi//pagP//fbaB//hycE//argI//pdeL//fabI//umuD//hyi//
NtrC-Phosphorylated_neg	malY//hmp//
NtrC-Phosphorylated_pos	srkA//pyrD//dmsB//prs//recB//carA//uxaB//aceA//prpE//nrfA//sodA//hypF//hmp//gltD//prpC//phnM//pdeL//pepD//dgcC//napA//alkA//
OmpR-Phosphorylated_neg	prpD//paaY//mpl//rffC//amn//
OmpR-Phosphorylated_pos	trpE//ulaE//sucB//argB//
OxyR_neg	argG//astC//cdd//allB//sbcC//
OxyR_pos	mngB//rfe//nagB//guaA//dhaL//ldtC//ribA//phnM//pheS//acnA//hycF//galK//
PaaX_neg	ssuD//trpA//lysC//frdD//allD//gcvP//mhpD//mtlD//murI//
PdeL_pos	rutB//
PdhR_neg	glyA//ung//carB//gabT//pgaB//ttdB//nadA//atoB//citE//dhaL//ynfE//cysH//fucU//sdhA//nrdF//prpD//fucO//garR//hycC//puuD//uxaB//purK//yeaG//
PdhR_pos	ruvA//rffM//
PepA_neg	tdcE//fadD//
PgrR_neg	malS//nrfD//
PhoB-Phosphorylated_neg	glgX//fadA//rffH//metH//rutA//
PhoB-Phosphorylated_pos	poxB//speG//argG//umuD//acnA//gcl//moaD//glgP//accD//folE//fadE//fadI//ogt//phnP//waaY//glk//recF//
PhoP-Phosphorylated_neg	cysK//rffH//glgX//
PhoP-Phosphorylated_pos	ddlB//rnpB//purM//murG//dapD//fucI//phnH//psd//caiB//nirD//guaA//folE//mhpB//edd//ttdB//mtlD//fau//tyrB//atoD//prpB//bioD//allC//caiA//ttdA//umuC//chbG//idnD//ssuE//hycG//paaH//cysN//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	fdhF//paaH//moeB//lsrG//
PspF_neg	
PspF_pos	ogt//
PurR-hypoxanthine_neg	ftsI//yeaE//nadB//cdd//tam//tdcE//purC//trpB//glxK//alkB//mhpC//ftsI//leuC//katG//hycB//pyrD//speG//tdcG//phnM//bglB//hemH//trpC//glnA//treC//cysK//guaA//
PutA_neg	prpC//grxA//
PuuR_neg	relA//caiD//pykF//amn//pgi//entC//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	prpC//gutQ//alaC//argE//sdhB//
RcdA_neg	
RcdA_pos	speA//
RclR_pos	
RcnR_neg	tktB//
RcsAB_neg	pdeR//
RcsAB_pos	gatZ//phnM//
RcsB-BglJ_pos	nrdB//tdcB//
RcsB-Pasp56_neg	purE//
RcsB-Pasp56_pos	putA//fadH//acnB//
RelB-RelE_neg	tktB//
RelB_neg	glmU//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	phnH//rhaD//dkgB//folE//
Rob_neg	
Rob_pos	wzc//ycjG//metF//waaZ//lyxK//epd//hypF//dacC//fadI//rhaB//glmS//aceB//gutQ//katE//betA//amn//cysD//garL//glpK//
RstA-Phosphorylated_neg	pdeH//gcl//
RstA-Phosphorylated_pos	galE//
RtcR_pos	cysK//bioF//
RutR_neg	fadM//galM//phnP//puuB//serA//hcaC//murE//nadA//mltF//uxuB//
RutR_pos	glk//
SdiA_neg	
SdiA_pos	
SgrR_neg	frdC//
SgrR_pos	hcaE//adhE//
SlyA_neg	
SlyA_pos	luxS//bioF//torA//nadB//waaH//sbcC//entD//guaB//torA//
SoxR_neg	
SoxR_pos	rutC//aroF//speA//acnA//dmsB//rutC//
SoxS_neg	
SoxS_pos	hycC//glpA//uidA//allD//pgk//kbaY//gdhA//napH//malP//carB//chbF//glpQ//rbsK//rnpB//argE//recF//prpE//pyrC//citE//napB//astC//yqhD//polA//narI//sodB//malZ//rtcA//betA//
SrlR_neg	argB//wzc//argD//
StpA_neg	ascB//aceE//sdhD//
SutR_neg	ubiX//fabZ//
SutR_pos	
TdcA_pos	umpH//rsmH//waaZ//murC//wecE//
TdcR_pos	sdhA//phnI//idnK//gabD//ldtD//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	sodA//pgaB//fucU//lsrF//
TorR-TorI_neg	glgP//
TorR-TorI_pos	
TreR_neg	galE//wecC//
TrpR-tryptophan_neg	sbcC//truB//hyaC//allD//speA//sgbU//cadA//ynfF//garL//
TyrR-phenylalanine_neg	trpD//puuE//
TyrR-phenylalanine_pos	polB//
TyrR-tyrosine_neg	purC//hycC//asnA//glpD//gabT//fdhF//
TyrR-tyrosine_pos	nadB//fadE//
TyrR_neg	rfe//
TyrR_pos	guaA//
UhpA-Phosphorylated_pos	umuC//
UidR_neg	kbaZ//allE//
UlaR_neg	glxK//malQ//nagA//uxaC//galE//
UvrY-Phosphorylated_pos	dkgA//moaD//
UxuR_neg	rfe//mhpF//sucA//tnaA//glgP//
XapR-xanthosine_pos	pgaD//rutC//
XylR-xylose_neg	
XylR-xylose_pos	glxK//waaZ//dgcC//
YdeO_neg	
YdeO_pos	carB//bacA//frdD//
YefM-YoeB_neg	waaZ//
YefM_neg	glpD//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	tdcE//glcB//cysN//hypF//dinB//araD//
YjjQ_neg	argA//fadI//
YpdB-Phosphorylated_pos	
YqhC_pos	rffT//ychF//
YqjI_neg	accC//
ZntR-Zn2_pos	fadI//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	glk//
