# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	ubiX//glk//
CusR-Pasp_pos	ppc//sbcC//trpA//tauD//
CynR-cyanate_pos	gcvH//iscS//sdhC//
CynR_neg	
CysB-O-acetyl-L-serine_neg	astA//dapB//phnG//
CysB-O-acetyl-L-serine_pos	tynA//luxS//nagA//hmp//dkgB//cdd//hypB//citF//rutC//puuC//caiC//araB//
CysB_neg	
CysB_pos	tdcB//tnaA//
CytR_neg	tauD//citF//tauD//waaY//argG//yiaK//glyA//ssuD//nrfD//pspE//
Dan-L-tartrate_pos	betB//fucA//
DcuR-Phosphorylated_pos	cysH//glgB//rbsD//lyxK//
DeoR_neg	acnA//cysE//argI//caiD//nadA//kbaZ//
DhaR_neg	
DhaR_pos	mhpC//
DicA_neg	
DinJ-YafQ_neg	ulaF//
DnaA-ATP_neg	umuD//dgcC//mpl//paaH//speA//
DnaA-ATP_pos	gdhA//atoB//dgkA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	sucC//ampC//rbsK//argE//entF//
DsdC-D-serine_neg	
DsdC-D-serine_pos	alaC//dapB//
EbgR_neg	
EnvR_neg	argG//prs//
EnvY_pos	sodB//rbsK//
EvgA-Phosphorylated_pos	napA//hycF//frdD//dapD//ttdA//ilvC//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	nanA//citG//rhaA//paaF//ugpQ//leuA//
FabR_neg	srkA//aceB//pykF//
FadR-acyl-CoA_pos	
FadR_neg	lpxA//fabZ//nrdA//acnB//napH//mhpF//metA//aceB//ubiA//
FadR_pos	metH//cysM//pspE//lsrG//sgbU//trpE//pgk//rffG//caiD//prpD//
FeaR_pos	ynfH//rtcA//
FhlA-formate_pos	bglB//waaY//rffT//aceE//mngB//gntK//phnJ//argH//
FlhDC_neg	rutB//gloA//
FlhDC_pos	accA//argG//cysD//idnO//napG//leuD//fdhF//nrfD//glpA//betB//entB//gatZ//
FliZ_neg	astB//frdD//recD//ulaD//allE//
FucR-L-fuculose-1-P_pos	garK//kbaY//hcaB//glxR//entD//glgC//
Fur-Fe2_neg	tam//rutE//phnG//dhaM//gltD//galE//lacA//glxR//cueO//acnA//polB//paaF//frdB//paaH//idnK//betB//folA//hycF//malZ//ccp//rhaA//dhaL//rhaB//chbF//dgcZ//ynfG//fucU//metE//ulaF//fabZ//murE//patD//pck//pgm//deoB//fadJ//cdd//mhpD//lyxK//citG//argC//rutD//mnmG//tauD//sdhA//torA//pgi//polB//tehB//recF//fumB//tpiA//fau//
Fur-Fe2_pos	hcaC//pspE//alsE//wzb//ssuD//cysM//pyrD//psd//fucI//bioC//dmsB//cysN//phnG//sdhC//hcaC//cysJ//
GadE-RcsB_pos	slt//glpQ//waaZ//hypF//patA//
GadE_pos	mngB//ulaF//mhpD//bglB//mhpF//aceB//pspE//phnN//fucK//hycE//
GadW_neg	putA//cueO//yedX//
GadW_pos	argD//folA//bioF//codA//
GadX_neg	caiB//paaI//ppsA//
GadX_pos	speB//tehB//folA//fucI//lpxC//tpiA//hmp//ynfF//argC//caiC//pgi//
GalR-beta-D-galactose_neg	hycD//hcaF//malQ//garD//murG//
GalR-beta-D-galactose_pos	bioF//hcaE//sdhC//hcaB//
GalR_neg	ahpF//bioF//uvrB//caiD//xylB//tpiA//
GalR_pos	paaY//atoB//napA//fumB//
GalS-beta-D-galactose_neg	citC//argH//tam//atoB//umpH//
GalS-beta-D-galactose_pos	mpl//lacA//speG//ddlB//
GalS_neg	lacA//icd//wecB//mhpB//paaZ//ung//
GalS_pos	citC//tnaA//glpD//phr//
GatR_neg	fruK//dmsC//yeaG//
GcvA_neg	purL//trpB//metK//
GcvA_pos	puuD//accC//ahpC//
GlcC-glycolate_neg	
GlcC-glycolate_pos	paaY//folA//glpX//
GlpR_neg	relA//rbsD//gcvP//glyA//thrS//pnp//garL//
GlrR-Pasp56_pos	
GntR_neg	malP//glpC//dapB//ulaG//dgcZ//rffG//moeB//pgk//paaB//
GutM_pos	leuC//glpB//sbcD//
HU_neg	sgbH//betB//carB//citE//argE//betA//phr//
HU_pos	
HcaR-HCA_pos	rffG//uvrA//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	cysJ//
HigB-HigA_neg	trpE//
HipAB_neg	astA//serA//
HipB_neg	rnpB//alsE//alaS//
HprR-Phosphorylated_neg	paaZ//ccp//
HprR-Phosphorylated_pos	ynfF//uxaA//
HyfR_pos	bioD//
HypT-Met-oxidized_neg	dgcC//dkgB//
HypT-Met-oxidized_pos	mpl//pepD//thrS//napH//puuA//
IclR-pyruvate_neg	pheT//mhpF//umuC//
IdnR-5-ketogluconate_neg	rutC//dsdA//
IdnR-5-ketogluconate_pos	pagP//fabD//fbaA//
IlvY-2-acetolactate_pos	citX//
IlvY_neg	
IscR-2Fe-2S_neg	uvrB//cynS//
IscR_neg	garR//glgC//hycE//thrS//
IscR_pos	citX//garR//
KdgR_neg	mhpF//mdh//
KdpE-Phosphorylated_pos	araA//
LacI_neg	entB//prpD//nanA//
LeuO_neg	
LeuO_pos	pgpC//nrdD//trpC//gcvP//nrdF//leuA//
LexA_neg	metE//sgbH//citD//rutA//tpiA//glgC//leuD//nrdF//nirD//glmS//malS//idnK//malZ//torC//malQ//pgaC//rtcB//hycF//garL//glgC//prpE//gudD//uvrA//
LldR-lactate_neg	nrfA//allC//
LldR-lactate_pos	lyxK//alaS//
LldR_neg	bioA//metL//
LldR_pos	sbcC//rfe//
LrhA_neg	
LrhA_pos	
LsrR_neg	metB//carB//nrfC//psd//malP//
LysR_neg	
LysR_pos	nrdB//
MalI_neg	aceB//phnO//
MalT-maltotriose-ATP_pos	astB//dkgB//recF//citD//rnpB//mhpE//
MarA_neg	paaH//
MarA_pos	mltF//galE//nrfD//ygeA//napG//gutQ//ppc//srkA//ldtD//pgpC//wecC//ahpF//grxA//glgC//allE//uxaA//glcB//ppc//astA//paaZ//rutD//mpaA//iscS//
MarR_neg	
MatA_neg	gdhA//
MatA_pos	
MazE-MazF_neg	sdhA//
MazE_neg	moeB//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	bioC//hcaD//
MelR-melibiose_pos	pdeR//recF//
MelR_neg	fbaA//nfsA//
MelR_pos	astA//bglB//
MetJ-adenosylmethionine_neg	prpD//acnA//argG//eno//fucI//trpC//gabD//ubiX//lsrK//araB//
MetR-L-homocysteine_neg	sucC//
MetR-L-homocysteine_pos	puuB//rutD//
MetR_pos	aspC//glpC//
MhpR-3HPP_pos	yiaK//tauD//appA//ynfH//mdh//mhpA//
Mlc_neg	recB//amn//srlD//rhaA//
MlrA_pos	phr//
MngR_neg	garL//nrfA//
MntR-Mn2_neg	moeA//
MntR-Mn2_pos	pflB//
ModE-MoO42-_neg	rhaA//nrdA//gadB//phoA//argE//gatD//phnM//fabH//
ModE-MoO42-_pos	aldA//uxaC//fumC//dapD//hycD//rutD//murD//rtcB//allC//
MprA_neg	ilvC//gntK//murI//
MqsA_neg	wecB//sucC//
MraZ_neg	fucI//dmsB//fabI//rhaD//ung//astD//pncB//rffG//ppsA//fabZ//
MurR_neg	ulaF//rimK//nagB//
MurR_pos	
Nac_neg	srkA//gcvT//ttdA//
Nac_pos	acnB//glgB//gutQ//pck//rutC//yeaE//arsC//yedX//
NadR_neg	nanE//rffT//hcaB//fbaA//
NagC_neg	ilvC//uxuA//atoA//paaF//alaS//waaZ//glxR//glpQ//paaH//cynS//narI//putA//metH//lyxK//nanE//allA//gatY//glsA//
NagC_pos	ribA//pdeR//
NanR_neg	psd//gabD//psd//rsmH//aceA//hycE//
NanR_pos	
NarL-Phosphorylated_neg	mltF//tdcB//aceA//fbaB//rnpB//gadA//cysN//leuA//puuE//mpl//gutQ//nfsA//glxR//ubiX//metC//gltB//tam//moaC//lpxC//rpiB//phnH//fau//aroG//fadJ//puuD//moeB//nfsA//purB//
NarL-Phosphorylated_pos	dgcC//recB//puuE//speA//leuA//atoA//glpK//frc//garL//hypB//ydcS//zwf//nirB//dmsA//pflB//
NarP-Phosphorylated_neg	entA//astC//metK//fadA//glxK//
NarP-Phosphorylated_pos	ascB//rutB//allC//sucC//gcvP//sbcC//ubiC//allA//argC//ynfH//lyxK//iscS//nanK//galT//
NemR_neg	sdhB//narG//
NhaR-Na_pos	hypF//lysA//phnH//mnmG//polB//
NikR-Ni2_neg	phoA//
NimR_neg	glxK//
NorR_neg	
NorR_pos	waaY//
NrdR-Zn2_neg	yiaK//murD//gpmA//uxuB//
NsrR_neg	napA//fdhF//umuD//caiA//accD//metC//lysC//slt//murF//pgaC//astD//tktB//speA//gcvT//glgB//nagA//puuE//citF//gutQ//speA//allD//ubiC//uvrA//gudD//glcE//glpD//phnL//fes//hcaD//gntK//idnO//metK//metL//mpl//phoA//ttdA//phoA//asnA//allC//gabD//
NtrC-Phosphorylated_neg	mhpD//glcD//
NtrC-Phosphorylated_pos	aceF//atoA//gdhA//galK//phnH//wecC//puuA//pgpC//metB//feaB//hyaC//nanK//mhpF//nagB//polB//ilvC//dapB//srkA//mpaA//feaB//recB//
OmpR-Phosphorylated_neg	ldtB//sdhD//deoD//uvrC//nanM//
OmpR-Phosphorylated_pos	ddlB//glk//hycD//hycD//
OxyR_neg	psd//glmU//gcvP//acnA//rsmH//
OxyR_pos	ahpF//sucC//mpaA//rutB//pyrD//entD//gcl//phoA//gutQ//wzb//hypF//argI//
PaaX_neg	hycC//glpA//ruvB//cynS//metC//ddlB//galM//caiD//murE//
PdeL_pos	mhpD//
PdhR_neg	aceF//lldD//eno//nrfC//tehB//torA//narH//citE//ynfH//cysE//mpaA//cysH//dhaL//paaK//tadA//slt//rbsK//cysM//asnB//ygeA//gatD//murG//gutQ//
PdhR_pos	malP//frdC//
PepA_neg	mpl//ilvC//
PgrR_neg	fucA//polA//
PhoB-Phosphorylated_neg	hycB//araA//fes//speG//ubiC//
PhoB-Phosphorylated_pos	phnI//cyoE//entB//tyrB//gdhA//pgaC//wzc//argD//paaJ//purL//betA//yqhD//yiaK//polA//dhaK//aspA//mtlD//
PhoP-Phosphorylated_neg	yqjH//murC//nagA//
PhoP-Phosphorylated_pos	talA//hcp//fbaA//recD//ynfE//metA//eno//fabA//fucA//astB//rtcA//tam//citE//slt//carA//sgbE//phnM//allA//ssuE//aspA//trpE//glgA//ybjG//allB//idnD//rhaB//eda//rffT//gapA//ahpC//pncB//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	rpiB//alsE//fabI//patA//
PspF_neg	
PspF_pos	rffC//
PurR-hypoxanthine_neg	cadA//pspE//idnD//fabB//mhpB//leuB//ahpC//nfsA//mraY//prs//idnK//entA//purL//dgcZ//metB//lpxC//lpxA//ulaG//ynfF//gntK//purM//ygeA//glgA//dgcZ//ybjG//napA//
PutA_neg	pgaD//entA//
PuuR_neg	lldD//nfsA//glsA//metH//rffM//nanA//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	ydcS//murE//malS//uxaB//purN//
RcdA_neg	
RcdA_pos	uxuA//
RclR_pos	
RcnR_neg	recF//
RcsAB_neg	pgaC//
RcsAB_pos	xapA//purK//
RcsB-BglJ_pos	moaE//araD//
RcsB-Pasp56_neg	moaD//
RcsB-Pasp56_pos	hemL//phr//deoA//
RelB-RelE_neg	leuA//
RelB_neg	moaE//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	glk//fadH//dapB//speA//
Rob_neg	
Rob_pos	bioC//prpC//mpaA//pdeR//prpD//metH//citE//hcp//lyxK//dmsB//yiaK//dkgA//glcF//nirB//arsC//icd//aldA//adiA//deoD//
RstA-Phosphorylated_neg	entD//betA//
RstA-Phosphorylated_pos	rtcB//
RtcR_pos	fadE//sdhD//
RutR_neg	torC//entF//eda//katE//kbaZ//patD//cysM//ynfG//cysG//hypB//
RutR_pos	metH//
SdiA_neg	
SdiA_pos	
SgrR_neg	cysD//
SgrR_pos	nirD//tauD//
SlyA_neg	
SlyA_pos	gatZ//aldA//metE//tyrA//purC//sucC//ddlB//waaY//fruK//
SoxR_neg	
SoxR_pos	pyrD//luxS//tehB//pgaD//nadA//epd//
SoxS_neg	
SoxS_pos	metK//carB//frc//sucA//araB//aroL//wecB//murG//entD//sbcC//dhaK//puuA//fumB//aroF//garR//ubiA//lysA//allA//ulaG//idnK//gnd//tyrA//mhpF//paaK//aceE//hycB//bacA//aceE//
SrlR_neg	frdC//gntK//phnI//
StpA_neg	sgbE//tdcB//ogt//
SutR_neg	metH//putA//
SutR_pos	
TdcA_pos	malQ//puuA//relA//pgm//ndh//
TdcR_pos	yqjH//puuB//ldtC//rutD//cyoE//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	phnL//ulaD//ung//ubiA//
TorR-TorI_neg	galK//
TorR-TorI_pos	
TreR_neg	adiA//astC//
TrpR-tryptophan_neg	argD//caiA//rutC//rffT//fadJ//nrfA//pncB//ydcS//ccp//
TyrR-phenylalanine_neg	cysG//gatZ//
TyrR-phenylalanine_pos	fabA//
TyrR-tyrosine_neg	moaC//hyi//carB//uxuB//malY//recB//
TyrR-tyrosine_pos	asnB//fabG//
TyrR_neg	yeaE//
TyrR_pos	paaY//
UhpA-Phosphorylated_pos	sufS//
UidR_neg	glcF//fabG//
UlaR_neg	aroF//prpC//gnd//wecB//mhpF//
UvrY-Phosphorylated_pos	arsC//mdh//
UxuR_neg	nrfA//gltD//trpA//recB//rhaD//
XapR-xanthosine_pos	glyA//purH//
XylR-xylose_neg	
XylR-xylose_pos	dinB//entB//betB//
YdeO_neg	
YdeO_pos	gltB//paaJ//sodB//
YefM-YoeB_neg	cysJ//
YefM_neg	bglB//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	gcvP//wzb//pgm//alkA//mhpF//argF//
YjjQ_neg	pheS//katG//
YpdB-Phosphorylated_pos	
YqhC_pos	hcaB//yqjH//
YqjI_neg	nagA//
ZntR-Zn2_pos	hcaF//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	phr//
