# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	fabB//argC//
GntR_neg	entA//nadB//nrdA//pheT//pdeH//uxuB//trpA//fadE//hemH//
GutM_pos	lyxK//paaH//asnB//
HU_neg	fucO//ubiX//dmsA//glcB//nanE//dgcZ//frdB//
HU_pos	
HcaR-HCA_pos	fdhF//mpaA//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	trpA//
HigB-HigA_neg	ppsA//
HipAB_neg	kbaY//purE//
HipB_neg	ulaG//purA//nfsB//
HprR-Phosphorylated_neg	paaK//rutC//
HprR-Phosphorylated_pos	nfsA//ulaE//
HyfR_pos	ampC//
HypT-Met-oxidized_neg	argF//metC//
HypT-Met-oxidized_pos	guaA//galM//pspE//argG//dapB//
IclR-pyruvate_neg	deoD//aldA//ada//
IdnR-5-ketogluconate_neg	yeaG//glxR//
IdnR-5-ketogluconate_pos	glcD//eda//nanK//
IlvY-2-acetolactate_pos	dgcZ//
IlvY_neg	
IscR-2Fe-2S_neg	ahpF//tynA//
IscR_neg	lsrF//ychF//tadA//purM//
IscR_pos	sgbH//torC//
KdgR_neg	napG//frdC//
KdpE-Phosphorylated_pos	pdeH//
LacI_neg	pgaB//speB//glpK//
LeuO_neg	
LeuO_pos	allC//leuC//glcD//nagB//dinB//glpB//
LexA_neg	metL//paaJ//wrbA//pdeR//gabD//patA//purA//xylA//nanK//allD//araD//torA//prpB//hcaD//citD//nadB//cyoE//uxuA//allC//rffH//hyaC//galM//hypF//
LldR-lactate_neg	wecB//fabZ//
LldR-lactate_pos	rnpB//tadA//
LldR_neg	glpX//recD//
LldR_pos	deoB//caiA//
LrhA_neg	
LrhA_pos	
LsrR_neg	rfe//cysD//hycF//murI//malY//
LysR_neg	
LysR_pos	nrfD//
MalI_neg	fucA//ynfE//
MalT-maltotriose-ATP_pos	dinB//argH//edd//wrbA//argC//fadH//
MarA_neg	murQ//
MarA_pos	deoC//recB//recD//asnB//glpX//ogt//carA//nagB//caiC//fbaB//ldtD//paaA//fucO//lsrF//murE//hyaA//waaH//gloA//tnaA//nrfC//astA//glmS//accD//
MarR_neg	
MatA_neg	rnpB//
MatA_pos	
MazE-MazF_neg	murF//
MazE_neg	pncB//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	ddlB//puuE//
MelR-melibiose_pos	moaE//metC//
MelR_neg	ampC//rffG//
MelR_pos	aceE//glxK//
MetJ-adenosylmethionine_neg	tdcG//leuB//garR//fabI//rimK//glcE//frdA//nfsA//fadB//moaC//
MetR-L-homocysteine_neg	metA//
MetR-L-homocysteine_pos	phnL//cynS//
MetR_pos	nrfD//ribA//
MhpR-3HPP_pos	slt//allC//alaC//bacA//pfkA//fes//
Mlc_neg	lhgO//pyrD//citE//murE//
MlrA_pos	gabD//
MngR_neg	dgcN//chbF//
MntR-Mn2_neg	rfe//
MntR-Mn2_pos	uvrA//
ModE-MoO42-_neg	guaA//phnI//yeaE//ydcS//hcp//lpxA//wzc//ynfF//
ModE-MoO42-_pos	napB//thrS//pyrC//cysG//mpl//hyaC//fucK//puuA//aceB//
MprA_neg	ahpC//pdeH//phoA//
MqsA_neg	tauD//allE//
MraZ_neg	pdeH//recB//cysN//wecE//purM//sdhA//rffC//yfdE//frdA//mhpE//
MurR_neg	purH//pepD//nrdA//
MurR_pos	
Nac_neg	lyxK//paaA//galE//
Nac_pos	mpl//udp//phnI//cysE//luxS//sucA//cysN//nanA//
NadR_neg	uxaC//astB//hyaA//ada//
NagC_neg	gor//hmp//fadB//ung//guaB//ruvA//dsdA//hcaE//rnpB//ulaE//nrdD//fadD//hcp//murE//hycC//tehB//lpxD//napB//
NagC_pos	glcE//puuD//
NanR_neg	sdhD//iscS//hyi//lpxC//paaF//citC//
NanR_pos	
NarL-Phosphorylated_neg	ssuD//hcp//lpxD//ssuD//sodB//srlD//icd//wzb//kbaY//moaD//citF//ulaG//fadE//hcaB//hycB//glnA//lysC//waaY//glpA//nemA//paaH//slt//sdhA//astD//tdcE//melA//ygeA//hemH//
NarL-Phosphorylated_pos	prpB//purE//ubiA//psd//mdh//metK//hcaF//sgbH//ogt//arsC//guaB//purA//bioF//lysC//metF//
NarP-Phosphorylated_neg	uvrC//arsC//serA//sgbU//sucA//
NarP-Phosphorylated_pos	hyi//lpxD//lsrG//dgcN//pdeL//deoD//dapB//sodB//entF//gpmM//ulaE//glxK//dapB//gloA//
NemR_neg	ychF//glmU//
NhaR-Na_pos	rutE//sucB//aceA//fucI//glcE//
NikR-Ni2_neg	sgbU//
NimR_neg	ynfE//
NorR_neg	
NorR_pos	leuD//
NrdR-Zn2_neg	argB//gatZ//mazG//fadD//
NsrR_neg	alkB//lyxK//nanE//nrdD//ppiA//allE//tdcD//puuB//glpB//ychF//fabA//deoA//speA//deoB//purF//uidA//ugpQ//sdhA//gltB//ubiA//leuB//metF//phnP//nemA//fabI//paaH//gapA//mhpA//speB//hemL//tktB//lacZ//acnA//purH//bioC//sodA//allB//recD//hcaB//cysD//
NtrC-Phosphorylated_neg	tehB//glpK//
NtrC-Phosphorylated_pos	hemL//ubiA//glpA//ulaE//leuA//glxK//ubiC//argH//rffM//ssuE//bioA//gcvH//phnI//araB//cysI//moaA//nrdA//mngB//pfkA//lpd//murE//
OmpR-Phosphorylated_neg	ddlB//sbcD//nrfD//garR//arsC//
OmpR-Phosphorylated_pos	purC//garR//allC//argE//
OxyR_neg	nanM//gatD//araB//deoA//metF//
OxyR_pos	aspC//wecB//entC//tyrA//fadA//entC//umpH//leuA//glcF//dgcN//glk//eno//
PaaX_neg	mpl//gloA//accA//gadA//gpmA//sodA//pyrD//xylA//arsC//
PdeL_pos	ynfE//
PdhR_neg	ynfE//argC//argD//yqhD//gpmM//gor//ndh//ynfG//ttdB//entC//torC//paaY//phnI//ldtC//idnK//glxR//acnA//lpd//accD//aceA//metH//nanA//gcl//
PdhR_pos	pheS//rnpB//
PepA_neg	wecB//citE//
PgrR_neg	ahpF//dgcC//
PhoB-Phosphorylated_neg	sdhA//ampC//gcvP//murE//galM//
PhoB-Phosphorylated_pos	ftsI//hmp//gdhA//gcvT//rfe//dacC//hemL//rfe//purE//ndh//glmU//rutD//nrdB//asnB//pgk//pnp//mpl//
PhoP-Phosphorylated_neg	ada//tyrA//polB//
PhoP-Phosphorylated_pos	garD//dhaK//rutE//glpC//frdA//prpE//sodB//phnN//narI//bioC//uxaB//pck//tehB//umpH//dhaM//atoD//rffC//umuD//lysA//metA//araB//glmU//argG//rffT//speG//argD//wecB//metE//nirB//accD//gpmA//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	gutQ//oxc//lsrF//trpD//
PspF_neg	
PspF_pos	argD//
PurR-hypoxanthine_neg	ldtC//pykF//ahpF//hyaB//leuD//epd//murC//phnI//ulaD//murC//hycD//pheS//glgC//fumC//gpmM//rutA//gpmM//murD//ugpQ//fumB//speA//pflB//ftnA//folA//speB//ulaE//
PutA_neg	rtcB//ldtB//
PuuR_neg	cysM//puuC//araB//ugpQ//patD//uxuB//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	bioA//ttdB//srlD//trpC//fadH//
RcdA_neg	
RcdA_pos	atoD//
RclR_pos	
RcnR_neg	citF//
RcsAB_neg	phnO//
RcsAB_pos	fabI//nemA//
RcsB-BglJ_pos	thrS//carB//
RcsB-Pasp56_neg	atoA//
RcsB-Pasp56_pos	pgk//fadB//phnH//
RelB-RelE_neg	recD//
RelB_neg	srlD//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	glcB//polA//fadA//xylB//
Rob_neg	
Rob_pos	phoA//edd//mazG//ttdA//nrdD//yedX//poxB//moaD//dkgA//malP//paaC//caiA//dkgA//edd//aspC//mhpA//adhE//fabH//pyrC//
RstA-Phosphorylated_neg	cysE//iscS//
RstA-Phosphorylated_pos	rnpB//
RtcR_pos	fes//torA//
RutR_neg	phoA//sucC//tnaA//purF//deoD//recD//poxB//appA//napB//phnN//
RutR_pos	trpE//
SdiA_neg	
SdiA_pos	
SgrR_neg	murC//
SgrR_pos	glgB//malQ//
SlyA_neg	
SlyA_pos	purL//polB//mhpF//argC//phr//pykF//rsmH//paaH//fabH//
SoxR_neg	
SoxR_pos	nirB//alaS//hmp//melA//mpaA//sodA//
SoxS_neg	
SoxS_pos	tehB//mnmG//katE//purF//paaG//feaB//glpC//puuE//srkA//tdcG//icd//lsrF//lacA//kbaZ//garL//puuD//galT//gcl//hemH//galM//hypF//gatY//prpD//idnK//puuE//dapD//sodA//aroL//
SrlR_neg	cysK//rffG//metB//
StpA_neg	trpC//narG//gutQ//
SutR_neg	glcF//rutD//
SutR_pos	
TdcA_pos	pgaB//pgaC//dkgA//glpK//cysJ//
TdcR_pos	rnpB//galM//malY//ribA//appA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	hcaD//ldtD//bacA//phnM//
TorR-TorI_neg	citC//
TorR-TorI_pos	
TreR_neg	galT//lsrK//
TrpR-tryptophan_neg	aceE//uidA//ssuE//sgbE//pheT//pgk//ppsA//ttdA//dgcN//
TyrR-phenylalanine_neg	garK//nirB//
TyrR-phenylalanine_pos	cynT//
TyrR-tyrosine_neg	purE//moaA//paaG//ynfH//purM//carB//
TyrR-tyrosine_pos	slt//uxaA//
TyrR_neg	araD//
TyrR_pos	pgm//
UhpA-Phosphorylated_pos	gnd//
UidR_neg	lpxD//icd//
UlaR_neg	gcvP//entD//carB//lacA//glcF//
UvrY-Phosphorylated_pos	astC//recB//
UxuR_neg	frdA//murF//glpX//glsA//mnmG//
XapR-xanthosine_pos	purM//nrfC//
XylR-xylose_neg	
XylR-xylose_pos	gor//rffM//rhaD//
YdeO_neg	
YdeO_pos	waaY//astE//leuA//
YefM-YoeB_neg	purD//
YefM_neg	lysA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	phnI//patD//cynT//wzb//phnL//hcaF//
YjjQ_neg	nrdD//tdcB//
YpdB-Phosphorylated_pos	
YqhC_pos	ruvB//gutQ//
YqjI_neg	acnB//
ZntR-Zn2_pos	tdcB//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	dsdA//
