# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	fadM//lsrF//
CadC_pos	wzb//relA//caiB//
CaiF-L-carnitine_pos	aroL//alkA//hcaC//uvrB//pyrD//
Cbl_pos	katG//glsA//accD//mhpE//torA//
CdaR_pos	mdh//lacZ//purE//cdd//phnG//caiA//glpK//rtcA//edd//
CecR_neg	dhaK//
ChbR-N-monoacetylchitobiose6-phosphate_neg	glxR//napA//sodA//
ChbR-N-monoacetylchitobiose6-phosphate_pos	moeA//entE//purF//
ChbR_neg	glpX//alaC//sgbH//
ChbR_pos	rutE//cysH//ldtD//
ComR_neg	
CpxR-Phosphorylated_neg	ilvC//glpQ//napB//
CpxR-Phosphorylated_pos	metB//mpl//glmU//astC//ulaD//argB//aroG//fadH//argF//rfe//adhE//yeaE//entF//pgk//entB//cysC//cysI//cysJ//
Cra_neg	bacA//malP//fumC//accA//allB//aroG//fabI//fabA//alkB//citC//folE//yiaK//nrfD//glk//galK//gntK//nagA//psd//serA//gadB//cyoE//speA//fbaA//gpmM//ygeA//appA//ada//nirD//argD//dmsA//treC//uxaA//ahpC//waaY//hypB//puuE//sdhB//rbsD//leuD//paaF//lpxA//bioF//frdB//grxA//rnpB//
Cra_pos	mnmG//alsE//treC//dsdA//narH//dkgA//cueO//hyi//glsA//rutB//caiA//argC//mhpB//nirB//tdcG//alkA//dgcC//
CreB-Phosphorylated_neg	ynfF//
CreB-Phosphorylated_pos	prpD//
CsgD_neg	puuA//acnA//
CsgD_pos	ung//aspA//rffG//
CsiR_neg	uxaA//waaH//citF//yiaK//
CspA_pos	uvrA//
CueR-Cu_neg	polA//prpC//paaK//
CueR-Cu_pos	paaJ//guaB//
CusR-Pasp_pos	tyrA//garD//ubiA//prpD//
CynR-cyanate_pos	tdcG//rhaA//pnp//
CynR_neg	
CysB-O-acetyl-L-serine_neg	xylA//ldtB//prpE//
CysB-O-acetyl-L-serine_pos	fadM//gcl//torC//fucU//pheS//fadE//alaC//mpaA//glcE//fadD//serA//mnmG//
CysB_neg	
CysB_pos	fadB//dsdA//
CytR_neg	gcvP//fadA//aroH//hcaD//mhpC//fbaA//iscS//pdeH//metB//ydcS//
Dan-L-tartrate_pos	yqjH//hcaD//
DcuR-Phosphorylated_pos	sgbE//purN//xylB//nfsA//
DeoR_neg	rutB//kbaY//nrdB//asnA//ftsI//entB//
DhaR_neg	
DhaR_pos	dkgB//
DicA_neg	
DinJ-YafQ_neg	mpl//
DnaA-ATP_neg	cysC//leuA//sdhB//trpD//zwf//
DnaA-ATP_pos	frc//moeA//malZ//
DpiA-Pasp_neg	
DpiA-Pasp_pos	atoD//aspA//fadE//dmsC//accA//
DsdC-D-serine_neg	
DsdC-D-serine_pos	hypF//moaD//
EbgR_neg	
EnvR_neg	zwf//ung//
EnvY_pos	phnN//fbaB//
EvgA-Phosphorylated_pos	aroL//rtcB//sdhA//ynfH//fabD//wecB//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	pgk//dhaM//murE//pagP//fumC//mraY//
FabR_neg	katG//rffC//frdD//
FadR-acyl-CoA_pos	
FadR_neg	polB//aspC//fadM//bioF//nagA//thrS//relA//malQ//bacA//
FadR_pos	dgcN//metC//arsC//cysC//umuC//argH//nrfD//nemA//pdeH//ppiA//
FeaR_pos	dgcC//caiA//
FhlA-formate_pos	tdcB//moaC//adiA//aceB//hcaD//recD//metH//cynT//
FlhDC_neg	ftsI//adhE//
FlhDC_pos	lhgO//rutC//mhpF//ydcS//yqhD//fadI//gloA//zwf//malS//caiA//moaD//ruvB//
FliZ_neg	adhE//astE//ftsI//nemA//trpE//
FucR-L-fuculose-1-P_pos	mhpD//alaC//hyaB//tdcB//gutQ//allB//
Fur-Fe2_neg	codA//bioD//phoA//ssuD//fabH//dapD//kbaZ//waaY//murF//gltB//lpd//idnD//cysI//atoB//nrfD//dkgA//patA//malY//idnO//ddlB//ung//betB//alaS//leuA//gdhA//rffC//glmS//nfsB//frdA//galK//hcaF//ascB//argB//alsE//ribA//nrfC//glsA//eda//rffM//folE//citG//narH//gutQ//putA//fabI//rutD//astE//allA//allC//pdeL//nrdD//aceA//uxuB//
Fur-Fe2_pos	mhpE//gntK//fruK//phnH//chbG//melA//glmU//sufS//malS//pgi//ldtD//dgcC//paaJ//ubiA//luxS//gudD//
GadE-RcsB_pos	epd//glyA//gcl//gcvH//alkB//
GadE_pos	gpmA//gloA//uidA//alaC//sufS//deoB//thrS//thrS//wecB//lacZ//
GadW_neg	rsmH//paaF//rsmH//
GadW_pos	gltB//aspC//arsC//edd//
GadX_neg	accA//ftsI//paaG//
GadX_pos	lpxD//moeA//sucC//dmsA//sbcC//argG//frdB//aceF//ynfG//mpaA//recB//
GalR-beta-D-galactose_neg	mngB//nrdA//wzc//kbaY//galK//
GalR-beta-D-galactose_pos	srlD//gcvP//ppc//umuC//
GalR_neg	truB//ftsI//glpC//trpA//mhpA//rimK//
GalR_pos	bioD//sodB//galK//araA//
GalS-beta-D-galactose_neg	eno//hycE//narH//aroH//metE//
GalS-beta-D-galactose_pos	phnM//gdhA//fdhF//astA//
GalS_neg	torC//ynfG//pgi//yqhD//carA//glxR//
GalS_pos	fadH//purE//ygeA//wecB//
GatR_neg	glsA//glpC//caiD//
GcvA_neg	wrbA//argG//moeA//
GcvA_pos	ogt//malY//tktB//
GlcC-glycolate_neg	
GlcC-glycolate_pos	rutC//dgcN//rtcB//
GlpR_neg	betB//cynS//caiD//metF//gatD//ampC//mhpF//
GlrR-Pasp56_pos	
GntR_neg	chbF//fabZ//napG//narI//moaA//umpH//puuC//purC//garD//
GutM_pos	puuB//aroG//ulaG//
HU_neg	ubiA//gatZ//truB//rutC//hcaD//hcaE//puuD//
HU_pos	
HcaR-HCA_pos	trpA//trpD//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	garL//
HigB-HigA_neg	dmsC//
HipAB_neg	phnN//ybjG//
HipB_neg	mtlD//recF//rsmH//
HprR-Phosphorylated_neg	chbF//adhE//
HprR-Phosphorylated_pos	glgC//moaA//
HyfR_pos	mhpB//
HypT-Met-oxidized_neg	puuD//gapA//
HypT-Met-oxidized_pos	sdhB//garK//nfsB//psd//entC//
IclR-pyruvate_neg	lpd//metL//dgcN//
IdnR-5-ketogluconate_neg	slt//sgbH//
IdnR-5-ketogluconate_pos	idnO//trpA//fucO//
IlvY-2-acetolactate_pos	ybjG//
IlvY_neg	
IscR-2Fe-2S_neg	citF//atoA//
IscR_neg	dhaL//mdh//deoB//leuB//
IscR_pos	yedX//argD//
KdgR_neg	tynA//yiaK//
KdpE-Phosphorylated_pos	glpQ//
LacI_neg	ahpF//recD//iscS//
LeuO_neg	
LeuO_pos	melA//pgaB//pgi//lacZ//recD//aldA//
LexA_neg	chbG//torC//paaK//gabT//tadA//pykF//fes//purB//cysD//mraY//patA//glmS//argD//hycB//yeaG//uxuB//gltB//katE//sucD//ybjG//glyA//hemL//dgcZ//
LldR-lactate_neg	gatY//pdeR//
LldR-lactate_pos	accC//allC//
LldR_neg	purA//rfe//
LldR_pos	trpC//yiaK//
LrhA_neg	
LrhA_pos	
LsrR_neg	puuB//glgB//wzb//dhaK//bioC//
LysR_neg	
LysR_pos	mhpC//
MalI_neg	caiC//narI//
MalT-maltotriose-ATP_pos	dmsC//oxc//dapD//lsrG//glpX//cyoE//
MarA_neg	aceE//
MarA_pos	sodB//paaZ//murI//dgcN//adhE//garR//glcD//mtlD//kbaY//entD//hycE//murI//ssuD//ldtB//nemA//glmS//prpD//entA//dhaM//puuB//purM//yfdE//trpD//
MarR_neg	
MatA_neg	purB//
MatA_pos	
MazE-MazF_neg	leuD//
MazE_neg	atoD//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	hycC//trpC//
MelR-melibiose_pos	chbF//prpE//
MelR_neg	dkgB//frc//
MelR_pos	metL//umuD//
MetJ-adenosylmethionine_neg	leuC//prpE//murC//kbaZ//glnA//ppiA//puuD//wzb//fadB//garL//
MetR-L-homocysteine_neg	lsrF//
MetR-L-homocysteine_pos	mpaA//torA//
MetR_pos	umpH//rutB//
MhpR-3HPP_pos	katG//galT//fabH//sucB//polA//nrdF//
Mlc_neg	pagP//tdcB//moaC//talA//
MlrA_pos	pgi//
MngR_neg	nrfC//ugpQ//
MntR-Mn2_neg	luxS//
MntR-Mn2_pos	rutB//
ModE-MoO42-_neg	speG//nrfD//nrfA//gloA//alaS//aroG//uxuA//idnK//
ModE-MoO42-_pos	recD//dacC//glmS//pagP//citX//paaF//gor//pdeH//fadB//
MprA_neg	caiC//fadJ//metL//
MqsA_neg	phr//galK//
MraZ_neg	pyrC//deoA//treC//sucC//cysG//bglB//rtcB//folA//araD//mngB//
MurR_neg	betA//ulaD//murC//
MurR_pos	
Nac_neg	fdhF//glcB//paaY//
Nac_pos	fucU//ubiX//gatY//nadA//citE//malQ//rutB//glgX//
NadR_neg	murC//puuC//hypB//tauD//
NagC_neg	nrfA//glk//mpl//mhpE//ruvA//dgcC//argB//pgi//glk//pncB//hemH//paaK//bioD//tdcE//cysE//phoA//ynfF//pheT//
NagC_pos	gcvT//nanM//
NanR_neg	mhpD//yqhD//garK//prpC//allA//tyrB//
NanR_pos	
NarL-Phosphorylated_neg	narI//fbaB//allB//tnaA//murE//speB//luxS//dhaK//ppiA//srkA//hycE//glpB//nanK//napG//wecE//alkB//deoD//ychF//sdhD//bioC//pdeR//gntK//murD//hycE//frdC//purN//dmsA//glcF//
NarL-Phosphorylated_pos	caiD//adiA//murQ//codA//ubiA//chbG//eda//paaE//dkgB//mdh//phnN//paaA//moeB//rnpB//glpX//
NarP-Phosphorylated_neg	gpmA//sucA//araA//phnL//metF//
NarP-Phosphorylated_pos	ascB//talA//pheS//sucD//fadB//citG//cysG//mngB//psd//ahpC//phnP//bioD//nanM//fes//
NemR_neg	napB//asnB//
NhaR-Na_pos	acnA//aceE//phr//nagB//ppc//
NikR-Ni2_neg	hycB//
NimR_neg	purB//
NorR_neg	
NorR_pos	carB//
NrdR-Zn2_neg	nemA//waaZ//fdhF//frdC//
NsrR_neg	alsE//ulaE//ulaD//rbsK//grxA//putA//yiaK//fucO//tktB//umpH//pyrC//speG//fabA//nagA//tam//rpiB//tdcG//relA//patA//dhaL//pgaD//garL//sodA//phnJ//nrfD//dgcZ//pgaB//betA//grxA//purL//cueO//sgbE//hycF//rbsK//nrdD//napA//argB//rffM//uxaB//ychF//
NtrC-Phosphorylated_neg	asnB//fucA//
NtrC-Phosphorylated_pos	citC//moaD//ttdA//glcF//fabH//pyrD//tpiA//metB//moaD//fabI//pyrD//glxR//rsmH//ynfH//cysJ//guaA//entC//glmS//rbsK//leuD//phnJ//
OmpR-Phosphorylated_neg	hyaB//eno//frdB//wecC//rhaA//
OmpR-Phosphorylated_pos	ulaG//fabD//paaE//sgbU//
OxyR_neg	kbaZ//caiA//purH//moaE//putA//
OxyR_pos	glsA//fadA//tnaA//gabD//rffH//nadA//gatY//alsE//prpC//zwf//lsrK//uvrC//
PaaX_neg	purM//argG//ycjG//gor//prs//torC//murF//purA//ftnA//
PdeL_pos	allE//
PdhR_neg	hcaD//prpE//yeaE//acnA//tktB//lsrG//recD//caiC//ubiA//eda//galT//paaE//acnB//sgbH//gdhA//fau//rpiB//frdD//aceB//phnN//astB//ubiA//sgbE//
PdhR_pos	fucI//hcaE//
PepA_neg	phoA//galT//
PgrR_neg	murQ//pyrC//
PhoB-Phosphorylated_neg	pheS//bioB//nrdF//lsrG//sbcC//
PhoB-Phosphorylated_pos	relA//gcvT//cysI//metC//fumB//fabZ//dinB//ahpF//hycB//lyxK//malY//hyi//glpX//fucU//alaS//fau//cysC//
PhoP-Phosphorylated_neg	lysC//pgaB//paaA//
PhoP-Phosphorylated_pos	chbF//cynT//rutE//murG//trpE//rimK//gadB//araB//napG//pgaD//metE//bioC//phnO//leuD//gnd//fadD//hypB//gdhA//mdh//pagP//murC//umuC//bioF//waaY//murI//mpl//idnO//entD//napB//rhaA//cdd//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	pgaD//ldtB//nrfC//lysA//
PspF_neg	
PspF_pos	glk//
PurR-hypoxanthine_neg	asnA//accC//prpD//paaH//glcF//lsrF//ulaE//folA//puuE//glnA//pdeH//puuB//mdh//fucK//alkA//rutA//ychF//cysE//gatD//leuC//narG//kbaZ//ldtB//glpX//dkgA//caiA//
PutA_neg	wzc//trpE//
PuuR_neg	hyaA//pnp//mngB//araA//frdB//hycG//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	purC//truB//tyrA//hyi//fadA//
RcdA_neg	
RcdA_pos	prpB//
RclR_pos	
RcnR_neg	narH//
RcsAB_neg	glgX//
RcsAB_pos	dhaK//tauD//
RcsB-BglJ_pos	hycF//purD//
RcsB-Pasp56_neg	aspC//
RcsB-Pasp56_pos	prpB//rffG//malY//
RelB-RelE_neg	alaS//
RelB_neg	dkgA//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	purN//fbaB//pdeH//accA//
Rob_neg	
Rob_pos	recB//appA//rutE//feaB//leuA//ung//rtcA//puuC//phnP//dmsC//ychF//rhaB//bioD//idnO//ygeA//dhaL//tdcD//rtcB//araA//
RstA-Phosphorylated_neg	metK//mhpA//
RstA-Phosphorylated_pos	paaG//
RtcR_pos	fabD//fes//
RutR_neg	feaB//ahpF//glgX//gloA//carA//ugpQ//napA//phnJ//bioA//entC//
RutR_pos	malY//
SdiA_neg	
SdiA_pos	
SgrR_neg	tadA//
SgrR_pos	mpl//murD//
SlyA_neg	
SlyA_pos	galE//glpD//leuA//polB//trpC//fabZ//murQ//glpK//grxA//
SoxR_neg	
SoxR_pos	fadJ//glpK//ychF//napA//rtcB//nrdA//
SoxS_neg	
SoxS_pos	xylA//moaE//pfkA//gapA//citE//katE//murD//dgcN//astB//hycF//purE//mtlD//rpiB//entB//glgX//rutC//narH//fabZ//melA//fadD//nrfA//caiA//cyoE//fadE//pgi//wecE//nrdD//purE//
SrlR_neg	grxA//phnP//dapB//
StpA_neg	fadH//srlD//entF//
SutR_neg	glgP//tdcD//
SutR_pos	
TdcA_pos	cysC//malY//allD//arsC//trpE//
TdcR_pos	icd//glpC//oxc//nemA//gpmM//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	napH//paaC//aceE//yqjH//
TorR-TorI_neg	prs//
TorR-TorI_pos	
TreR_neg	pepD//leuA//
TrpR-tryptophan_neg	puuB//ftnA//citF//kbaY//hypB//prs//nadB//rhaD//gatD//
TyrR-phenylalanine_neg	dkgB//mazG//
TyrR-phenylalanine_pos	folE//
TyrR-tyrosine_neg	ttdA//tam//glcD//mhpF//glcB//wzc//
TyrR-tyrosine_pos	citE//bioC//
TyrR_neg	napH//
TyrR_pos	asnA//
UhpA-Phosphorylated_pos	guaB//
UidR_neg	purM//glpD//
UlaR_neg	sdhA//puuA//hcp//mhpD//pheS//
UvrY-Phosphorylated_pos	ynfG//hycC//
UxuR_neg	uidA//galT//paaB//bioB//malS//
XapR-xanthosine_pos	patA//glpQ//
XylR-xylose_neg	
XylR-xylose_pos	argH//aroG//amn//
YdeO_neg	
YdeO_pos	garK//tadA//ppc//
YefM-YoeB_neg	dkgA//
YefM_neg	ogt//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	grxA//frdB//puuB//gpmA//narI//paaH//
YjjQ_neg	argB//trpE//
YpdB-Phosphorylated_pos	
YqhC_pos	treC//ttdA//
YqjI_neg	ubiA//
ZntR-Zn2_pos	ulaD//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	wrbA//
