# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	caiD//argG//
CreB-Phosphorylated_pos	prpD//
CsgD_neg	yqjH//thrS//
CsgD_pos	mazG//putA//pgpC//
CsiR_neg	allB//mpl//purB//asnA//
CspA_pos	allB//
CueR-Cu_neg	lysC//sdhC//cysJ//
CueR-Cu_pos	torC//mltF//
CusR-Pasp_pos	ulaG//carB//truB//argB//
CynR-cyanate_pos	ldtB//rsmH//mhpE//
CynR_neg	
CysB-O-acetyl-L-serine_neg	ulaD//aldA//poxB//
CysB-O-acetyl-L-serine_pos	frdB//napA//fbaA//rffT//amn//tdcD//waaH//fau//rtcB//dsdA//dhaM//paaE//
CysB_neg	
CysB_pos	hcaB//dkgA//
CytR_neg	bioB//icd//paaG//gutQ//hyi//aroF//ada//murF//gpmM//caiC//
Dan-L-tartrate_pos	alkB//fucA//
DcuR-Phosphorylated_pos	rutE//sodA//rimK//purM//
DeoR_neg	gor//nfsA//purL//yedX//dgcZ//cysN//
DhaR_neg	
DhaR_pos	tynA//
DicA_neg	
DinJ-YafQ_neg	purK//
DnaA-ATP_neg	narH//ulaF//atoB//paaY//lyxK//
DnaA-ATP_pos	pheT//nfsA//dhaL//
DpiA-Pasp_neg	
DpiA-Pasp_pos	nanE//gudD//citG//uxuB//entF//
DsdC-D-serine_neg	
DsdC-D-serine_pos	deoA//mhpD//
EbgR_neg	
EnvR_neg	fucI//allD//
EnvY_pos	galE//hyaA//
EvgA-Phosphorylated_pos	araB//mngB//phnG//umuC//srlD//sdhB//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	rffM//nanE//mhpC//sucA//umpH//fes//
FabR_neg	tyrB//bioA//paaY//
FadR-acyl-CoA_pos	
FadR_neg	pncB//lacZ//frc//malP//murQ//araB//mnmG//paaB//mnmG//
FadR_pos	murE//nfsB//lpd//ung//acnA//aspA//lhgO//srlD//purM//frdC//
FeaR_pos	fabD//paaJ//
FhlA-formate_pos	gabD//fabZ//trpD//phnJ//entF//hycC//mhpF//fadH//
FlhDC_neg	aceA//pepD//
FlhDC_pos	bioA//napA//folE//putA//tam//sodA//gutQ//argH//glmU//phnH//nemA//aldA//
FliZ_neg	speG//ada//purL//leuC//mdh//
FucR-L-fuculose-1-P_pos	dgcZ//dgcC//sodA//lpxA//caiC//sodB//
Fur-Fe2_neg	malS//rutA//waaZ//deoA//tdcD//arsC//trpE//gdhA//srkA//paaJ//garK//metF//phnI//ulaF//glpK//bioB//fabH//melA//araA//glmU//puuC//citD//ilvC//gutQ//frdD//moeB//caiD//glcB//asnA//ppc//nirB//lhgO//speA//puuA//uxuB//tdcD//mhpE//dkgA//accD//yfdE//argH//atoB//speG//polA//waaZ//yeaE//pck//metH//lpd//ubiC//nfsA//cysN//ftnA//
Fur-Fe2_pos	hycD//fabZ//narG//phnL//lpxC//sucC//fadB//prpC//entD//atoB//glpC//rhaB//udp//purD//nadB//gpmA//
GadE-RcsB_pos	ppiA//gadA//grxA//serA//purN//
GadE_pos	ppiA//aroG//allB//argI//hemH//malZ//araB//pgi//bglB//dinB//
GadW_neg	phnO//ugpQ//entH//
GadW_pos	speA//hycB//folE//glcF//
GadX_neg	fadD//glmU//allD//
GadX_pos	hemL//hycC//argF//caiB//ogt//hemL//metB//purD//nanE//paaA//glnA//
GalR-beta-D-galactose_neg	uvrB//rffG//lldD//moaA//pagP//
GalR-beta-D-galactose_pos	deoC//betA//metL//arsC//
GalR_neg	ppc//rutA//purK//ndh//carA//icd//
GalR_pos	pgaB//phnO//paaY//ftsI//
GalS-beta-D-galactose_neg	purE//argD//fabD//srkA//ulaG//
GalS-beta-D-galactose_pos	prpB//rnpB//garK//fruK//
GalS_neg	srkA//fucI//wecE//pflB//speG//argD//
GalS_pos	ascB//nrfA//arsC//ascB//
GatR_neg	dgcN//gcvT//accD//
GcvA_neg	waaZ//glgP//lhgO//
GcvA_pos	aroL//pepD//metF//
GlcC-glycolate_neg	
GlcC-glycolate_pos	caiA//purA//rhaA//
GlpR_neg	fadB//fumB//hemL//tyrB//cysH//uxaB//paaY//
GlrR-Pasp56_pos	
GntR_neg	paaF//alkB//uxaB//ascB//cyoE//acnA//tehB//ccp//allD//
GutM_pos	waaZ//bioF//ydcS//
HU_neg	alaS//rpiB//caiB//eda//sdhA//tam//hyi//
HU_pos	
HcaR-HCA_pos	moeA//uxaA//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	carB//
HigB-HigA_neg	wecE//
HipAB_neg	hycC//ftnA//
HipB_neg	rffH//dsdA//ilvC//
HprR-Phosphorylated_neg	polB//ulaF//
HprR-Phosphorylated_pos	ldtC//nrfD//
HyfR_pos	deoA//
HypT-Met-oxidized_neg	entA//gcvT//
HypT-Met-oxidized_pos	rutC//phnN//bioB//cynS//kbaY//
IclR-pyruvate_neg	metB//leuC//paaI//
IdnR-5-ketogluconate_neg	glgB//eda//
IdnR-5-ketogluconate_pos	rutD//gpmA//citG//
IlvY-2-acetolactate_pos	rtcB//
IlvY_neg	
IscR-2Fe-2S_neg	cadA//ssuE//
IscR_neg	rhaA//nanK//wecC//lsrF//
IscR_pos	edd//ldtC//
KdgR_neg	rtcA//purB//
KdpE-Phosphorylated_pos	ubiC//
LacI_neg	katG//pgpC//pflB//
LeuO_neg	
LeuO_pos	metK//hycC//glxK//mnmG//astE//alkA//
LexA_neg	zwf//recF//frc//ubiX//napA//purF//murI//lpxA//garR//glpQ//allC//purA//pflB//gpmA//guaB//malQ//idnO//nanM//frdB//tktB//cysC//wrbA//aspC//
LldR-lactate_neg	metA//metH//
LldR-lactate_pos	yiaK//moaE//
LldR_neg	cysN//hcaB//
LldR_pos	mltF//nrdD//
LrhA_neg	
LrhA_pos	
LsrR_neg	murI//fadI//poxB//citD//sucA//
LysR_neg	
LysR_pos	paaJ//
MalI_neg	astE//pagP//
MalT-maltotriose-ATP_pos	paaA//kbaY//hcaC//adiA//fadE//recF//
MarA_neg	dacC//
MarA_pos	atoD//fruK//aldA//tauD//entD//hycC//fbaB//waaY//paaA//phnG//glnA//hypB//ahpF//appA//entA//fbaA//narH//ssuD//tdcE//pgaD//paaB//ppc//gnd//
MarR_neg	
MatA_neg	hcaE//
MatA_pos	
MazE-MazF_neg	garL//
MazE_neg	allE//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	uidA//kbaZ//
MelR-melibiose_pos	hycF//glpQ//
MelR_neg	purC//purL//
MelR_pos	mhpD//thrS//
MetJ-adenosylmethionine_neg	cysJ//moaE//deoB//pgpC//puuD//fumC//moaD//metK//argA//aldA//
MetR-L-homocysteine_neg	hyaA//
MetR-L-homocysteine_pos	prpC//murQ//
MetR_pos	uvrA//gloA//
MhpR-3HPP_pos	glcD//hyaC//ahpF//nrdD//pdeR//hcp//
Mlc_neg	dkgB//appA//hcaD//purM//
MlrA_pos	speB//
MngR_neg	psd//ppsA//
MntR-Mn2_neg	uxuA//
MntR-Mn2_pos	sdhD//
ModE-MoO42-_neg	glyA//fumC//bioF//sdhD//dmsB//ddlB//wrbA//alaC//
ModE-MoO42-_pos	argF//slt//wecB//katG//gatZ//folA//paaA//galK//fucO//
MprA_neg	glyA//gnd//alkA//
MqsA_neg	fabD//wecB//
MraZ_neg	gabD//metE//slt//ulaF//dhaL//amn//deoA//fucO//frdA//ynfF//
MurR_neg	melA//epd//cysD//
MurR_pos	
Nac_neg	ynfH//prs//tam//
Nac_pos	sdhA//tam//gadA//entA//glgC//waaZ//uxaC//adiA//
NadR_neg	gltD//mhpA//hycD//hmp//
NagC_neg	fabG//tynA//nrdE//yfdE//ccp//glnA//paaE//cysC//araA//polB//fucK//ubiC//paaJ//ahpC//murI//carB//ulaE//aldA//
NagC_pos	ubiX//adhE//
NanR_neg	aroG//gcvH//entD//tdcB//glpC//pfkA//
NanR_pos	
NarL-Phosphorylated_neg	nrdE//paaK//nadB//uxaA//purN//folA//glpA//tadA//pnp//hycE//cysK//paaK//glcE//cysC//alaC//paaK//phoA//katG//citX//deoA//rnpB//hmp//hcp//purH//fadH//caiC//nadB//kbaZ//
NarL-Phosphorylated_pos	dhaK//ubiA//paaK//nemA//rutC//leuA//glgX//phnL//allA//citE//polB//iscS//prs//lpxC//ycjG//
NarP-Phosphorylated_neg	fadA//rtcA//moeA//fruK//pdeL//
NarP-Phosphorylated_pos	argE//entH//purE//glxK//mngB//purE//ldtB//nirB//phnN//gapA//nanK//lhgO//acnA//dhaL//
NemR_neg	nanM//acnA//
NhaR-Na_pos	accA//lpxA//hcaF//rutD//nanA//
NikR-Ni2_neg	dgcZ//
NimR_neg	hemH//
NorR_neg	
NorR_pos	torA//
NrdR-Zn2_neg	tdcB//rffH//entB//atoA//
NsrR_neg	allA//phnL//idnO//trpB//sdhA//murG//dgkA//ndh//chbG//asnB//pgaB//entC//galE//melA//aroH//murF//asnA//recB//fabG//umpH//wzb//dapB//argI//paaE//sucA//purB//lysC//oxc//rtcB//acnA//metC//ribA//astC//pdeL//fdhF//garK//serA//entB//dhaK//purH//
NtrC-Phosphorylated_neg	yqhD//iscS//
NtrC-Phosphorylated_pos	pyrC//ahpF//wzb//tauD//hycF//entB//rffC//hcp//nrdB//rhaB//tam//fabI//polA//rtcA//araA//mngB//malS//dgcZ//dgcN//sucC//nanA//
OmpR-Phosphorylated_neg	patD//cysM//truB//nadB//prpD//
OmpR-Phosphorylated_pos	entA//waaZ//tpiA//glcE//
OxyR_neg	fucU//lpd//nrdE//metA//guaA//
OxyR_pos	wzb//rtcB//ttdA//gcvP//phoA//umpH//rtcA//argD//ynfE//gcvP//puuA//ttdB//
PaaX_neg	allC//sucB//folA//glmS//glnA//narG//ynfH//araA//sbcD//
PdeL_pos	hycC//
PdhR_neg	puuE//galK//tktB//rffM//tynA//fbaB//umuD//bioF//ftnA//bioB//polA//mtlD//prs//alaS//argC//aroH//murF//lysC//fucI//torC//cysN//adhE//frc//
PdhR_pos	cdd//gnd//
PepA_neg	sdhC//rbsD//
PgrR_neg	waaZ//cysD//
PhoB-Phosphorylated_neg	paaF//hmp//arsC//folE//arsC//
PhoB-Phosphorylated_pos	allE//argF//dsdA//gatZ//asnB//phr//astA//glpA//adhE//sodB//malP//fadE//gatY//allC//deoD//katG//gltB//
PhoP-Phosphorylated_neg	galE//speG//nirB//
PhoP-Phosphorylated_pos	cysM//nfsB//tdcD//lsrG//mhpB//astC//purH//glpQ//cysJ//umpH//sgbE//mazG//fabD//wzc//gcvH//pgm//murE//cysK//murF//puuC//relA//pnp//dmsB//ruvA//astD//speG//iscS//araA//dgkA//araB//sbcD//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	entA//paaC//tyrB//ubiC//
PspF_neg	
PspF_pos	dgcN//
PurR-hypoxanthine_neg	argB//entA//lsrF//pheS//citG//gcvP//uxaC//pgaC//relA//tdcG//nrdD//edd//tdcE//moeA//cadA//lldD//tauD//dapB//psd//gltD//ssuE//phoA//ubiA//mraY//rimK//gcl//
PutA_neg	malS//ldtC//
PuuR_neg	gpmM//hemH//nfsA//fumB//betA//recB//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	pck//gabD//glnA//speG//hycE//
RcdA_neg	
RcdA_pos	leuB//
RclR_pos	
RcnR_neg	cysJ//
RcsAB_neg	hcaB//
RcsAB_pos	wecB//sdhA//
RcsB-BglJ_pos	idnO//rutA//
RcsB-Pasp56_neg	ssuD//
RcsB-Pasp56_pos	mpaA//paaG//metK//
RelB-RelE_neg	glgB//
RelB_neg	entB//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	wrbA//frdA//leuC//cueO//
Rob_neg	
Rob_pos	recD//gpmM//phr//malS//glgX//rffM//puuB//glgC//nadB//fucK//lsrF//accC//alsE//fadA//garR//trpA//accC//cyoE//ahpC//
RstA-Phosphorylated_neg	nanA//frdB//
RstA-Phosphorylated_pos	uxuA//
RtcR_pos	fabB//dapD//
RutR_neg	betA//ilvC//betB//recD//sgbE//relA//glnA//mraY//rfe//narI//
RutR_pos	uxuB//
SdiA_neg	
SdiA_pos	
SgrR_neg	ada//
SgrR_pos	ubiX//gloA//
SlyA_neg	
SlyA_pos	entA//tehB//polA//chbF//glpX//ulaE//argG//fucU//murQ//
SoxR_neg	
SoxR_pos	hyaB//wzc//asnA//cysG//ribA//mhpC//
SoxS_neg	
SoxS_pos	bioA//sdhB//tyrB//ssuE//ynfF//dgcN//recD//paaK//mhpA//gpmM//srkA//sdhD//astC//codA//alkB//dacC//hycG//ldtD//puuD//bglB//uvrA//rbsK//sgbU//rutE//rtcB//gntK//ulaG//gatD//
SrlR_neg	tyrA//napB//uxuA//
StpA_neg	metL//ldtC//hyaA//
SutR_neg	lsrG//citX//
SutR_pos	
TdcA_pos	puuB//idnD//aroL//cysM//pyrC//
TdcR_pos	grxA//pdeL//allE//melA//gdhA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	talA//glcD//betB//grxA//
TorR-TorI_neg	galE//
TorR-TorI_pos	
TreR_neg	deoA//epd//
TrpR-tryptophan_neg	ascB//nrdB//napB//gloA//dsdA//lsrG//citG//astE//polB//
TyrR-phenylalanine_neg	allE//nanM//
TyrR-phenylalanine_pos	glpD//
TyrR-tyrosine_neg	prpD//phnO//hycB//nirB//sucA//entB//
TyrR-tyrosine_pos	astE//yedX//
TyrR_neg	guaB//
TyrR_pos	aldA//
UhpA-Phosphorylated_pos	paaC//
UidR_neg	fucA//galE//
UlaR_neg	glmU//pyrC//malY//mhpA//glpX//
UvrY-Phosphorylated_pos	pepD//purM//
UxuR_neg	lysC//fucU//gltD//hyi//nrdE//
XapR-xanthosine_pos	fucU//tauD//
XylR-xylose_neg	
XylR-xylose_pos	aceB//speG//ssuE//
YdeO_neg	
YdeO_pos	trpE//recF//fabD//
YefM-YoeB_neg	cysI//
YefM_neg	nagB//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	purN//rutD//mpl//alaS//fbaA//hcaB//
YjjQ_neg	phnP//tpiA//
YpdB-Phosphorylated_pos	
YqhC_pos	murF//rutD//
YqjI_neg	aspC//
ZntR-Zn2_pos	napB//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	dhaK//
