# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	glmU//sufS//
GadW_pos	ubiA//sufS//xapA//udp//
GadX_neg	sbcD//argG//moaE//
GadX_pos	tpiA//putA//gdhA//phnO//lsrK//rhaB//kbaZ//mpl//tdcE//nadA//asnA//
GalR-beta-D-galactose_neg	cysG//bglB//fabD//araA//phnM//
GalR-beta-D-galactose_pos	gcvP//allC//gcvP//tyrA//
GalR_neg	leuB//glpX//phoA//lacA//mltF//pagP//
GalR_pos	ynfG//pepD//rhaD//glk//
GalS-beta-D-galactose_neg	rtcB//ahpC//cysC//dmsC//phr//
GalS-beta-D-galactose_pos	pdeL//ftsI//hmp//napH//
GalS_neg	ygeA//katG//frdD//frc//ubiC//tynA//
GalS_pos	pheS//waaH//lpxD//fabH//
GatR_neg	phoA//ilvC//glgA//
GcvA_neg	fadM//phnH//ada//
GcvA_pos	ogt//lsrK//paaG//
GlcC-glycolate_neg	
GlcC-glycolate_pos	mhpF//icd//kbaZ//
GlpR_neg	ubiX//napB//recB//garR//fabZ//gcvT//ldtC//
GlrR-Pasp56_pos	
GntR_neg	acnB//ppiA//fucO//rffH//ssuD//prpE//icd//cysD//nrdB//
GutM_pos	prpE//rffM//pdeL//
HU_neg	codA//phoA//rtcB//leuA//puuA//edd//ydcS//
HU_pos	
HcaR-HCA_pos	gltD//sbcC//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	ldtD//
HigB-HigA_neg	lpxD//
HipAB_neg	cynT//cdd//
HipB_neg	lacA//murF//tadA//
HprR-Phosphorylated_neg	nirB//gdhA//
HprR-Phosphorylated_pos	kbaZ//dinB//
HyfR_pos	slt//
HypT-Met-oxidized_neg	metC//citG//
HypT-Met-oxidized_pos	deoB//gntK//ascB//rpiB//rhaB//
IclR-pyruvate_neg	entF//asnB//ubiA//
IdnR-5-ketogluconate_neg	ppsA//cysC//
IdnR-5-ketogluconate_pos	ribA//cysH//aceB//
IlvY-2-acetolactate_pos	moaD//
IlvY_neg	
IscR-2Fe-2S_neg	deoB//fbaA//
IscR_neg	hemL//rutB//chbF//napB//
IscR_pos	rnpB//phoA//
KdgR_neg	cysK//paaB//
KdpE-Phosphorylated_pos	cyoE//
LacI_neg	cysH//rpiB//metK//
LeuO_neg	
LeuO_pos	rimK//malS//argI//purK//nrfD//rimK//
LexA_neg	citX//yedX//puuA//paaJ//treC//hemL//citX//ldtC//fucK//rhaA//nrfA//purH//allC//leuC//citE//lpd//mraY//hycC//glpQ//pheT//metB//cysH//fadE//
LldR-lactate_neg	fruK//entD//
LldR-lactate_pos	pgpC//nrdD//
LldR_neg	wzb//nanA//
LldR_pos	glgC//wecB//
LrhA_neg	
LrhA_pos	
LsrR_neg	rffH//paaF//murQ//slt//glpK//
LysR_neg	
LysR_pos	moaC//
MalI_neg	speG//purC//
MalT-maltotriose-ATP_pos	ndh//moaC//glyA//folA//psd//rutB//
MarA_neg	caiB//
MarA_pos	fruK//pncB//aldA//kbaY//uxaB//accD//guaA//metB//adiA//narI//paaZ//ybjG//pnp//rutE//deoA//tauD//bioC//uidA//dacC//tadA//rtcB//uvrB//mpaA//
MarR_neg	
MatA_neg	kbaY//
MatA_pos	
MazE-MazF_neg	slt//
MazE_neg	aroL//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	aceA//garR//
MelR-melibiose_pos	uxuA//pnp//
MelR_neg	wzb//fumC//
MelR_pos	sodA//nrfD//
MetJ-adenosylmethionine_neg	yfdE//tehB//metC//pdeR//argE//ugpQ//metL//bglB//cysH//lpxA//
MetR-L-homocysteine_neg	malQ//
MetR-L-homocysteine_pos	pgaD//argH//
MetR_pos	phnM//cueO//
MhpR-3HPP_pos	allC//fabI//speA//pykF//paaG//ynfH//
Mlc_neg	citC//trpC//pck//cysN//
MlrA_pos	mhpF//
MngR_neg	dmsA//nrfC//
MntR-Mn2_neg	dapB//
MntR-Mn2_pos	rutB//
ModE-MoO42-_neg	ppsA//lsrG//atoD//cysG//sbcD//pgaB//glpC//fucK//
ModE-MoO42-_pos	rimK//ribA//feaB//trpB//glcB//purD//metA//dmsA//ubiX//
MprA_neg	icd//hcaF//dacC//
MqsA_neg	malY//mhpE//
MraZ_neg	dgcN//wecE//moaC//gatZ//iscS//ilvC//aceE//argE//frdA//pgaB//
MurR_neg	guaA//lldD//prpD//
MurR_pos	
Nac_neg	phnM//leuC//adiA//
Nac_pos	kbaZ//aroF//cyoE//carB//rffM//hycE//wzc//lyxK//
NadR_neg	ttdA//fau//purH//entF//
NagC_neg	narG//ynfH//puuB//trpD//rffM//truB//rnpB//pdeH//deoB//ndh//umuD//astB//dgkA//dkgA//rffG//ynfF//pgk//ychF//
NagC_pos	gabT//bioD//
NanR_neg	yqhD//tauD//nirB//katG//serA//eno//
NanR_pos	
NarL-Phosphorylated_neg	folA//pgm//fucU//glgA//sucC//deoA//dmsB//ahpC//citG//dhaM//gltB//fadD//malS//trpA//nrdB//hypF//hcaF//purB//truB//hyaB//pgi//pgi//glnA//fucO//ydcS//frc//alkA//entB//
NarL-Phosphorylated_pos	paaG//bioA//glcF//melA//glmS//rffG//pnp//appA//glgP//lpxD//ribA//glpC//trpA//hycD//tauD//
NarP-Phosphorylated_neg	murQ//lpxA//glpQ//pflB//napH//
NarP-Phosphorylated_pos	paaC//wrbA//fdhF//aroH//aceE//leuB//dhaK//puuD//hycC//argH//astA//wzb//pgi//sodA//
NemR_neg	cueO//pflB//
NhaR-Na_pos	pflB//lsrF//paaK//bioF//cueO//
NikR-Ni2_neg	tdcG//
NimR_neg	puuD//
NorR_neg	
NorR_pos	rutA//
NrdR-Zn2_neg	acnB//ilvC//bioC//dmsC//
NsrR_neg	argI//prpD//speG//nrfC//pfkA//rutB//hemL//appA//uvrC//wecC//malY//lpd//torC//alkB//pgm//edd//fumB//dhaM//patA//sodB//nrdF//araB//hcaE//speB//dhaM//araA//fabZ//leuD//napA//bglB//ribA//leuC//metE//allC//lpxC//bacA//purC//rhaA//ahpF//gcvT//
NtrC-Phosphorylated_neg	allA//hypB//
NtrC-Phosphorylated_pos	ndh//malZ//nrdE//fadD//rfe//gnd//cysK//iscS//glgB//uxaC//astC//gltB//folA//dgcC//fabH//slt//rffH//cysN//wrbA//frdA//moaA//
OmpR-Phosphorylated_neg	citF//waaH//ubiC//treC//citC//
OmpR-Phosphorylated_pos	rsmH//garL//murF//ahpF//
OxyR_neg	gcvH//fadM//bacA//gltD//purA//
OxyR_pos	pck//gnd//murF//astA//cadA//paaJ//metH//murD//uxuB//hemL//gcvT//poxB//
PaaX_neg	sucD//waaH//caiC//leuD//ilvC//purC//dgcN//pdeL//ada//
PdeL_pos	rtcA//
PdhR_neg	fes//argC//fbaB//astA//sdhB//wrbA//ruvA//ndh//entC//yedX//paaB//caiB//aroL//aspC//mngB//ssuE//fabB//phnP//ilvC//udp//ahpF//recB//glgC//
PdhR_pos	hycE//moeA//
PepA_neg	deoD//rsmH//
PgrR_neg	adiA//ulaF//
PhoB-Phosphorylated_neg	glpQ//rutA//gabT//nrdA//napB//
PhoB-Phosphorylated_pos	recB//ppsA//fucU//leuD//fucO//dhaM//pgk//prpD//mnmG//uxaC//pck//pgm//gpmM//galK//patA//hemL//ssuE//
PhoP-Phosphorylated_neg	rpiB//hcaF//murF//
PhoP-Phosphorylated_pos	fadJ//metL//dgcZ//aroG//gpmA//idnO//tpiA//tktB//aroH//ogt//metC//mtlD//gcvT//gatD//rpiB//pykF//astC//murE//pdeH//ugpQ//rbsD//paaY//hycC//frdA//speG//entH//cysI//galM//fabB//poxB//eno//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	accA//pepD//pspE//hycG//
PspF_neg	
PspF_pos	pgi//
PurR-hypoxanthine_neg	rutC//glpA//rnpB//purF//pdeL//idnD//yedX//paaK//puuC//phnH//gltB//murD//lpxD//argD//cueO//paaG//moaC//recB//fabD//yqjH//citE//chbF//ftsI//atoB//sucD//gor//
PutA_neg	mhpF//fabH//
PuuR_neg	recD//acnA//accD//bglB//aceE//glmS//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	moaA//mpl//ygeA//glpA//katG//
RcdA_neg	
RcdA_pos	prpB//
RclR_pos	
RcnR_neg	allA//
RcsAB_neg	purE//
RcsAB_pos	paaZ//glk//
RcsB-BglJ_pos	pepD//nanK//
RcsB-Pasp56_neg	feaB//
RcsB-Pasp56_pos	dacC//pheS//phnI//
RelB-RelE_neg	rimK//
RelB_neg	polB//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	ldtB//pgk//kbaY//leuA//
Rob_neg	
Rob_pos	argG//pgaB//fdhF//dgcZ//nfsB//sbcD//glpA//cdd//ndh//allD//moaC//feaB//aceF//guaA//citE//purK//cysD//ftsI//leuB//
RstA-Phosphorylated_neg	trpB//aceF//
RstA-Phosphorylated_pos	rffC//
RtcR_pos	uvrC//fadB//
RutR_neg	ttdB//dhaL//glcE//argA//mhpA//bacA//betA//cysC//allE//ahpF//
RutR_pos	phr//
SdiA_neg	
SdiA_pos	
SgrR_neg	astE//
SgrR_pos	deoC//cdd//
SlyA_neg	
SlyA_pos	cysK//tehB//slt//phoA//hcp//allA//trpB//hmp//dmsB//
SoxR_neg	
SoxR_pos	glk//hycC//epd//prpC//asnB//ygeA//
SoxS_neg	
SoxS_pos	chbG//ftnA//fau//ddlB//lpd//cysN//waaY//hemL//ldtC//purB//narH//glcD//lsrF//phr//uxuB//entF//deoA//phoA//trpD//garD//cysK//citX//rimK//aldA//idnD//puuC//sucB//mdh//
SrlR_neg	aroG//ulaF//rffC//
StpA_neg	ppc//putA//caiB//
SutR_neg	hcaD//ldtC//
SutR_pos	
TdcA_pos	gcvT//dgcZ//narG//cadA//mdh//
TdcR_pos	bioA//nanA//dapB//dhaK//pgi//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	pdeH//idnK//purE//nagA//
TorR-TorI_neg	nrdB//
TorR-TorI_pos	
TreR_neg	relA//paaJ//
TrpR-tryptophan_neg	alaC//metE//purA//nfsB//ldtD//uxaA//ftnA//glxK//cysG//
TyrR-phenylalanine_neg	glsA//purC//
TyrR-phenylalanine_pos	deoB//
TyrR-tyrosine_neg	fadM//nrdE//pfkA//hcaC//fabZ//napH//
TyrR-tyrosine_pos	gltD//gltD//
TyrR_neg	feaB//
TyrR_pos	garR//
UhpA-Phosphorylated_pos	ubiC//
UidR_neg	icd//lpd//
UlaR_neg	patD//paaK//dhaL//deoA//glpD//
UvrY-Phosphorylated_pos	pdeH//narG//
UxuR_neg	trpB//srkA//aspC//rimK//ubiX//
XapR-xanthosine_pos	gntK//glpQ//
XylR-xylose_neg	
XylR-xylose_pos	pykF//glpA//ulaD//
YdeO_neg	
YdeO_pos	icd//fbaA//uxaB//
YefM-YoeB_neg	pgi//
YefM_neg	mpaA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	pheT//slt//lyxK//phnN//araB//rfe//
YjjQ_neg	umuC//ruvB//
YpdB-Phosphorylated_pos	
YqhC_pos	nfsB//glpX//
YqjI_neg	pgi//
ZntR-Zn2_pos	ampC//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	pyrC//
