# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	rbsD//nrdE//
Cra_neg	metE//rpiB//nemA//pspE//betA//pgaB//argH//paaE//glxR//sbcD//sucA//lldD//fdhF//argF//citD//aroF//pspE//glk//puuA//glpD//caiB//mpl//allC//mhpD//napH//ulaE//ynfH//mhpD//puuC//frdB//wzb//astD//fadH//napA//dkgB//fadE//dinB//codA//frdA//dgcZ//fucO//paaH//alkB//lyxK//dkgA//
Cra_pos	pgi//ynfF//galT//napG//mhpE//cysE//hycB//fumB//glpQ//argI//chbG//purF//phoA//hycD//uxaC//glnA//dacC//
CreB-Phosphorylated_neg	paaE//
CreB-Phosphorylated_pos	mdh//
CsgD_neg	dmsA//cysI//
CsgD_pos	tyrB//metC//folA//
CsiR_neg	caiD//tyrB//nanM//trpB//
CspA_pos	gdhA//
CueR-Cu_neg	hycF//hypF//tauD//
CueR-Cu_pos	hyaB//fabG//
CusR-Pasp_pos	chbG//moeB//rutB//tdcB//
CynR-cyanate_pos	garR//yeaG//tdcB//
CynR_neg	
CysB-O-acetyl-L-serine_neg	lacZ//rffH//polA//
CysB-O-acetyl-L-serine_pos	deoA//citC//pflB//dgcN//eno//idnK//mhpF//gcl//lsrG//entD//ldtD//yqjH//
CysB_neg	
CysB_pos	lpd//entF//
CytR_neg	frdB//purM//mhpF//argE//garR//cysN//argC//glcD//wzb//entC//
Dan-L-tartrate_pos	alsE//cysN//
DcuR-Phosphorylated_pos	phnI//cysG//citD//pepD//
DeoR_neg	tehB//pfkA//ppiA//fabB//paaH//yeaE//
DhaR_neg	
DhaR_pos	rhaB//
DicA_neg	
DinJ-YafQ_neg	gnd//
DnaA-ATP_neg	nagB//puuC//uvrB//purH//fabH//
DnaA-ATP_pos	hyaC//galM//pgk//
DpiA-Pasp_neg	
DpiA-Pasp_pos	deoA//araD//hycD//cysH//rhaB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	moaC//garD//
EbgR_neg	
EnvR_neg	recF//murE//
EnvY_pos	adiA//sgbU//
EvgA-Phosphorylated_pos	dgcN//gntK//gpmM//metK//ygeA//moaD//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	iscS//gadB//moaA//ynfE//mnmG//glk//
FabR_neg	uxuB//argH//lpxC//
FadR-acyl-CoA_pos	
FadR_neg	dmsA//tdcE//allC//fadB//purD//gcl//pdeH//glxR//rnpB//
FadR_pos	recD//yedX//phnI//ldtC//hyaB//sdhA//fau//acnA//ruvA//murI//
FeaR_pos	glsA//fumC//
FhlA-formate_pos	patA//astE//rutE//hcaE//allD//fabI//sbcD//galK//
FlhDC_neg	nirB//aceE//
FlhDC_pos	sufS//ldtD//entB//glpD//malP//amn//mdh//hcaB//patA//fadD//ttdB//lpxD//
FliZ_neg	hyi//hyaB//allE//hycG//torA//
FucR-L-fuculose-1-P_pos	thrS//aceB//leuB//gor//phnL//cysJ//
Fur-Fe2_neg	chbF//glcF//caiD//bioF//torA//phnP//umuD//aspC//rtcA//sgbE//lysC//nrdD//puuC//tam//sbcC//moaE//malS//prs//phnO//pncB//dgcC//phnN//tyrB//leuD//xapA//prpB//argC//paaG//rnpB//fes//phnG//aceE//pncB//glpK//hcaB//gapA//glk//tadA//grxA//ogt//citX//ogt//yiaK//narI//purK//nanK//atoB//waaH//uvrA//malZ//kbaY//hcaC//araA//
Fur-Fe2_pos	rhaB//glsA//caiA//caiA//trpD//fumC//cysE//fumC//glpC//putA//metK//folE//uvrA//nadB//pgi//napB//
GadE-RcsB_pos	talA//trpA//hycF//ung//pheS//
GadE_pos	pykF//moaC//murE//nemA//epd//dhaM//glpD//gor//speB//narG//
GadW_neg	purM//ampC//narH//
GadW_pos	hycB//ftnA//galM//poxB//
GadX_neg	gabT//speA//galE//
GadX_pos	glpC//ada//garK//pdeH//sucB//acnB//gcvP//srkA//caiB//pepD//pgpC//
GalR-beta-D-galactose_neg	cysI//tpiA//recD//tktB//rutB//
GalR-beta-D-galactose_pos	astC//fabG//mltF//ftsI//
GalR_neg	hcaC//chbG//narI//deoD//phnL//gnd//
GalR_pos	pykF//hycD//galE//uvrC//
GalS-beta-D-galactose_neg	astE//argF//glxK//astC//moaD//
GalS-beta-D-galactose_pos	tpiA//lysA//gutQ//cysE//
GalS_neg	paaE//adiA//galT//katE//trpB//cadA//
GalS_pos	tadA//polB//fabA//ubiC//
GatR_neg	purE//ugpQ//lysC//
GcvA_neg	entA//ynfE//cysJ//
GcvA_pos	pnp//caiA//bioF//
GlcC-glycolate_neg	
GlcC-glycolate_pos	tam//murI//dgcC//
GlpR_neg	astA//sdhA//sodB//ascB//ruvA//paaG//cdd//
GlrR-Pasp56_pos	
GntR_neg	leuB//pncB//sgbH//murC//phnO//atoA//lsrF//ssuD//narH//
GutM_pos	ruvA//nanK//metF//
HU_neg	narG//rpiB//paaY//codA//cadA//cdd//aceB//
HU_pos	
HcaR-HCA_pos	ulaF//hcaE//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	cysH//
HigB-HigA_neg	puuD//
HipAB_neg	sdhD//aroL//
HipB_neg	icd//purH//fabB//
HprR-Phosphorylated_neg	phnH//amn//
HprR-Phosphorylated_pos	deoA//sgbU//
HyfR_pos	sdhB//
HypT-Met-oxidized_neg	ddlB//frc//
HypT-Met-oxidized_pos	lsrK//rbsD//mraY//yqhD//cynT//
IclR-pyruvate_neg	ascB//dhaM//alkB//
IdnR-5-ketogluconate_neg	appA//ahpC//
IdnR-5-ketogluconate_pos	ada//fucA//sdhC//
IlvY-2-acetolactate_pos	glxK//
IlvY_neg	
IscR-2Fe-2S_neg	ynfG//hmp//
IscR_neg	zwf//dhaM//moaC//cysE//
IscR_pos	mazG//cysE//
KdgR_neg	leuA//napG//
KdpE-Phosphorylated_pos	malS//
LacI_neg	xapA//arsC//cysC//
LeuO_neg	
LeuO_pos	patA//pepD//mhpA//trpD//mhpD//citX//
LexA_neg	fabA//ruvB//glpX//aspA//fabA//nanM//melA//phnN//entC//ssuE//ttdA//rutE//astD//cysH//glcB//glgB//citE//trpD//ddlB//astA//aspA//tadA//fau//
LldR-lactate_neg	nrdA//bioA//
LldR-lactate_pos	talA//ccp//
LldR_neg	pdeR//uxaA//
LldR_pos	gltD//mhpD//
LrhA_neg	
LrhA_pos	
LsrR_neg	nrdB//lldD//cynT//yedX//rhaA//
LysR_neg	
LysR_pos	dinB//
MalI_neg	uxuA//malS//
MalT-maltotriose-ATP_pos	speA//purL//pspE//pgk//purH//garL//
MarA_neg	deoA//
MarA_pos	hycG//glpA//nrdF//torC//napA//accA//purM//patA//alsE//wecB//caiD//mnmG//allB//gltB//waaZ//allD//gcvP//ascB//puuE//murE//malZ//yeaE//purF//
MarR_neg	
MatA_neg	uvrB//
MatA_pos	
MazE-MazF_neg	aceA//
MazE_neg	argF//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	entC//asnA//
MelR-melibiose_pos	aroF//murF//
MelR_neg	prpD//rutB//
MelR_pos	srlD//slt//
MetJ-adenosylmethionine_neg	ampC//rffC//phnL//dsdA//cysD//folA//uvrB//speG//fadB//pgpC//
MetR-L-homocysteine_neg	ybjG//
MetR-L-homocysteine_pos	tehB//ftsI//
MetR_pos	entC//nfsA//
MhpR-3HPP_pos	carA//sbcC//fadJ//nanE//paaH//glpK//
Mlc_neg	uxuB//napA//pdeL//gapA//
MlrA_pos	gutQ//
MngR_neg	glgX//luxS//
MntR-Mn2_neg	edd//
MntR-Mn2_pos	eda//
ModE-MoO42-_neg	frdD//hycF//hcaE//moaA//oxc//yfdE//thrS//gltB//
ModE-MoO42-_pos	truB//frdA//rtcB//yedX//grxA//dapD//asnA//tauD//paaI//
MprA_neg	metB//tyrB//puuC//
MqsA_neg	hycE//fumC//
MraZ_neg	glpA//glpX//bacA//hemH//pepD//cysH//frdD//atoB//arsC//glgA//
MurR_neg	galT//pheT//gadA//
MurR_pos	
Nac_neg	waaH//ndh//nirB//
Nac_pos	pheT//uvrA//grxA//pck//fadA//garD//uxaA//wecB//
NadR_neg	accA//gltB//phnM//lpd//
NagC_neg	galM//wecE//gutQ//ycjG//glcB//nanK//aceB//wrbA//paaI//gcvH//rutE//mazG//rutA//gapA//paaY//paaA//pgpC//deoD//
NagC_pos	allD//nanK//
NanR_neg	glgC//hcaD//sufS//cysN//iscS//recD//
NanR_pos	
NarL-Phosphorylated_neg	ulaF//hycB//deoD//leuB//pflB//murF//pdeL//zwf//fabH//mhpB//tam//tehB//ynfE//ddlB//glcF//argC//glcE//citC//paaA//fabD//ung//citF//gdhA//caiD//uxuB//aceA//caiA//purL//
NarL-Phosphorylated_pos	guaA//recB//torC//tadA//caiB//ppsA//hemL//purF//sgbE//fbaA//ubiX//wrbA//fabZ//arsC//poxB//
NarP-Phosphorylated_neg	asnA//poxB//ada//hcaB//lsrG//
NarP-Phosphorylated_pos	gltD//dhaL//citX//uidA//katG//sufS//trpE//ttdB//nanM//pgk//pdeL//mdh//betA//mhpE//
NemR_neg	napH//cysE//
NhaR-Na_pos	argD//ruvB//nfsB//ulaE//poxB//
NikR-Ni2_neg	garL//
NimR_neg	patD//
NorR_neg	
NorR_pos	hcaE//
NrdR-Zn2_neg	allB//metC//lpxC//gnd//
NsrR_neg	wecC//sufS//aroH//phnO//ynfE//fes//dgcC//pncB//gcvT//paaJ//murC//rbsK//hycE//ubiC//napB//aroH//caiD//cynT//hcaD//gatY//allB//gatY//paaG//paaB//hmp//mhpD//frdD//glsA//mhpF//malS//gapA//mraY//lhgO//galE//allD//deoA//wecB//fabA//aroF//paaE//
NtrC-Phosphorylated_neg	purE//paaG//
NtrC-Phosphorylated_pos	bglB//galK//pgk//rhaD//purC//sucC//ndh//glpC//pgaD//ubiC//murQ//alaC//mpl//narI//yedX//glpC//hycF//argC//patA//mdh//mhpB//
OmpR-Phosphorylated_neg	nanM//malQ//rnpB//purK//pdeR//
OmpR-Phosphorylated_pos	tpiA//mhpD//tdcE//lpxD//
OxyR_neg	dgcZ//ynfH//fadH//nanM//uxuA//
OxyR_pos	malS//ubiA//frdC//rffM//epd//phnI//tyrB//glpB//tpiA//fumC//aspA//bioB//
PaaX_neg	gapA//purL//adhE//malZ//iscS//nadB//gadB//fadE//glpB//
PdeL_pos	ugpQ//
PdhR_neg	mltF//thrS//cysN//dhaM//frdC//pagP//bioB//mhpB//lysC//ybjG//argI//lhgO//glyA//accC//gadA//ppc//gatZ//sdhC//nrdF//argG//sbcD//poxB//ruvB//
PdhR_pos	entF//deoA//
PepA_neg	ubiX//mhpE//
PgrR_neg	lacZ//rhaA//
PhoB-Phosphorylated_neg	kbaZ//prpB//fabI//ulaE//argF//
PhoB-Phosphorylated_pos	glpK//gcvT//glxK//alaC//glyA//glgC//psd//murC//aroH//prs//alaC//argB//tdcG//ada//yqjH//fabA//torA//
PhoP-Phosphorylated_neg	rnpB//entD//gatZ//
PhoP-Phosphorylated_pos	icd//caiB//bioA//purL//astA//fabG//speA//prpE//gdhA//leuB//ycjG//lldD//mdh//fabA//rtcA//uidA//garD//hycF//rimK//trpC//fabG//cyoE//metH//glcD//chbG//grxA//astD//citG//dhaL//alkB//galT//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	hycE//metB//alaC//fadI//
PspF_neg	
PspF_pos	gadB//
PurR-hypoxanthine_neg	hycG//glnA//aceA//asnA//ung//argA//rhaB//puuD//trpA//hcaB//torC//uxuB//xylB//rhaD//glk//glgC//galT//pgm//sodA//hyaC//lysA//murQ//mltF//ftnA//accA//glpA//
PutA_neg	feaB//bioD//
PuuR_neg	sdhC//pgaB//napB//lpxC//pepD//fruK//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	caiB//fdhF//yeaG//glpB//ychF//
RcdA_neg	
RcdA_pos	dmsB//
RclR_pos	
RcnR_neg	ahpC//
RcsAB_neg	sgbH//
RcsAB_pos	aceF//moaA//
RcsB-BglJ_pos	tdcB//aroF//
RcsB-Pasp56_neg	pflB//
RcsB-Pasp56_pos	allE//edd//uvrA//
RelB-RelE_neg	glk//
RelB_neg	ubiC//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	nemA//gltB//moaA//paaC//
Rob_neg	
Rob_pos	rffH//narH//phnP//murD//paaI//glpX//srlD//nanM//nfsB//lpd//fabA//lldD//hmp//fabB//gcvH//uxaC//ldtB//aceB//hemH//
RstA-Phosphorylated_neg	moeB//glcD//
RstA-Phosphorylated_pos	sbcC//
RtcR_pos	katE//sufS//
RutR_neg	acnB//ybjG//sdhB//paaG//malP//prpE//pheS//sucC//gntK//uxuB//
RutR_pos	nrfC//
SdiA_neg	
SdiA_pos	
SgrR_neg	moaA//
SgrR_pos	argH//murF//
SlyA_neg	
SlyA_pos	sucD//sdhB//gor//paaJ//melA//xylB//cysH//hycF//glgC//
SoxR_neg	
SoxR_pos	mhpB//paaA//garL//garK//nrdA//acnB//
SoxS_neg	
SoxS_pos	pgpC//fruK//fucK//aceF//prpB//betB//rimK//glpK//galT//tyrB//bglB//murF//allE//nanA//araB//argH//murC//glmU//garL//hyaA//gatY//phnO//glmU//purM//frdC//frc//malS//trpE//
SrlR_neg	serA//allE//fabG//
StpA_neg	ftsI//carA//dinB//
SutR_neg	uvrA//paaF//
SutR_pos	
TdcA_pos	mraY//accD//napH//hcaE//pgaB//
TdcR_pos	astA//narI//glcD//cysG//argA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	chbG//yiaK//tyrB//trpD//
TorR-TorI_neg	hemH//
TorR-TorI_pos	
TreR_neg	lacZ//paaF//
TrpR-tryptophan_neg	lldD//hycC//purK//frc//garK//psd//murQ//puuE//mazG//
TyrR-phenylalanine_neg	polB//pdeH//
TyrR-phenylalanine_pos	leuC//
TyrR-tyrosine_neg	fes//hcaC//cysN//yeaG//astC//ulaG//
TyrR-tyrosine_pos	aceB//pgaC//
TyrR_neg	atoD//
TyrR_pos	garL//
UhpA-Phosphorylated_pos	phnG//
UidR_neg	alaS//sbcD//
UlaR_neg	caiB//dmsB//araD//glgP//glgC//
UvrY-Phosphorylated_pos	fucI//purA//
UxuR_neg	uidA//luxS//ampC//nanA//truB//
XapR-xanthosine_pos	luxS//caiB//
XylR-xylose_neg	
XylR-xylose_pos	gabT//metB//rbsK//
YdeO_neg	
YdeO_pos	rffM//melA//ldtD//
YefM-YoeB_neg	lhgO//
YefM_neg	cueO//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	phnH//waaY//fbaB//waaZ//uidA//glgX//
YjjQ_neg	dmsC//accA//
YpdB-Phosphorylated_pos	
YqhC_pos	alaS//murQ//
YqjI_neg	cysJ//
ZntR-Zn2_pos	ilvC//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	ydcS//
