# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	bglB//astE//
IclR-pyruvate_neg	gutQ//cyoE//murF//
IdnR-5-ketogluconate_neg	rffH//cysI//
IdnR-5-ketogluconate_pos	gadA//gltD//hycF//
IlvY-2-acetolactate_pos	betA//
IlvY_neg	
IscR-2Fe-2S_neg	allB//trpC//
IscR_neg	moeA//puuD//rffG//aroG//
IscR_pos	fabZ//ycjG//
KdgR_neg	fabI//pdeH//
KdpE-Phosphorylated_pos	sodA//
LacI_neg	lpd//fabA//ydcS//
LeuO_neg	
LeuO_pos	frdC//recB//gntK//dhaM//tyrA//gor//
LexA_neg	ychF//rffG//tktB//nagB//dinB//ribA//entH//gutQ//kbaZ//galE//cyoE//deoA//hypF//hcp//hcaF//puuB//glxR//dgcN//fucU//prs//moaE//pncB//lpxC//
LldR-lactate_neg	katE//glcB//
LldR-lactate_pos	nirB//phnI//
LldR_neg	nirB//paaA//
LldR_pos	rtcB//ldtB//
LrhA_neg	
LrhA_pos	
LsrR_neg	fucK//glgB//purC//fau//paaC//
LysR_neg	
LysR_pos	moeB//
MalI_neg	paaE//mhpA//
MalT-maltotriose-ATP_pos	fucK//nrfA//nanM//uvrC//dsdA//nanM//
MarA_neg	metC//
MarA_pos	argH//eda//lysC//hemH//gadB//dmsC//dmsC//gatD//ilvC//astA//yqjH//araD//uxuA//glgA//yeaE//talA//murI//lacA//carB//rffT//aceA//ubiA//ybjG//
MarR_neg	
MatA_neg	gadB//
MatA_pos	
MazE-MazF_neg	rhaB//
MazE_neg	sdhB//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	napA//wrbA//
MelR-melibiose_pos	frdA//atoD//
MelR_neg	folE//idnK//
MelR_pos	garD//fadB//
MetJ-adenosylmethionine_neg	metA//rnpB//dhaK//fucU//gpmA//paaY//malQ//nanE//glpD//malZ//
MetR-L-homocysteine_neg	entB//
MetR-L-homocysteine_pos	metA//yfdE//
MetR_pos	leuB//araD//
MhpR-3HPP_pos	hcaE//cysG//cysI//mhpC//hmp//dapD//
Mlc_neg	paaA//edd//mhpE//murI//
MlrA_pos	idnD//
MngR_neg	sbcD//fumC//
MntR-Mn2_neg	dgcZ//
MntR-Mn2_pos	sufS//
ModE-MoO42-_neg	garR//rffG//fabH//ldtC//caiA//citD//pgi//ruvA//
ModE-MoO42-_pos	prpB//murC//hcaC//wrbA//glpK//aroG//katG//dinB//atoD//
MprA_neg	metC//gapA//fadJ//
MqsA_neg	glxK//fadI//
MraZ_neg	fadI//pgk//ssuE//hyaA//recB//relA//pflB//metF//glgX//lacA//
MurR_neg	grxA//mtlD//pgpC//
MurR_pos	
Nac_neg	sdhA//wecC//glcB//
Nac_pos	rbsD//purK//nfsA//gapA//polB//rhaA//phoA//pgk//
NadR_neg	rhaB//murI//sodA//luxS//
NagC_neg	wecC//dapB//wzb//napG//ahpC//entA//glcB//prpB//gor//gadA//trpE//argE//napH//paaZ//rsmH//rutA//ssuD//napB//
NagC_pos	entF//mhpD//
NanR_neg	prpC//talA//glmU//rutA//ldtB//sucB//
NanR_pos	
NarL-Phosphorylated_neg	folE//metL//fadA//leuC//hemH//nrfC//acnB//ppc//talA//glxK//nrdB//yfdE//gltD//gcvH//fau//nanK//astE//wrbA//treC//sdhA//nadB//atoA//prs//paaZ//yqjH//mhpE//murD//fumB//
NarL-Phosphorylated_pos	ppsA//hemL//paaY//yedX//paaZ//mhpE//puuD//pykF//dgcC//paaE//garD//sodA//murE//garL//yeaG//
NarP-Phosphorylated_neg	gcvP//arsC//nrdD//pflB//entA//
NarP-Phosphorylated_pos	astA//umpH//paaB//edd//tynA//glgA//fruK//alsE//rnpB//glpD//dapB//bioA//wecE//uxuB//
NemR_neg	sucA//leuC//
NhaR-Na_pos	ulaD//malQ//phnN//sucC//fucK//
NikR-Ni2_neg	phnN//
NimR_neg	ulaF//
NorR_neg	
NorR_pos	metF//
NrdR-Zn2_neg	pdeH//polA//galK//rffC//
NsrR_neg	ynfE//glmS//mhpA//fabB//moaD//gltD//ada//nrdE//ulaE//moaC//glcB//phoA//lsrK//gabD//metE//tdcB//slt//fadH//cysG//mngB//hycF//pgaB//mtlD//cueO//nrdF//purE//fucK//fabB//gutQ//paaJ//alkB//deoB//aroF//allB//phnM//ydcS//amn//argE//betB//nfsB//
NtrC-Phosphorylated_neg	cysM//rutD//
NtrC-Phosphorylated_pos	aceF//mhpC//trpD//gcl//slt//epd//argC//alsE//moeA//nanA//hycG//caiD//ldtC//narG//argG//atoD//caiA//galT//allE//lpxA//glpC//
OmpR-Phosphorylated_neg	accC//fumB//rsmH//glpA//pgk//
OmpR-Phosphorylated_pos	caiA//gltB//alaS//ynfE//
OxyR_neg	carA//hycF//phnI//gabD//bacA//
OxyR_pos	aspC//bioA//rhaB//nfsA//caiB//ulaE//cynS//mpaA//argI//cysI//fucI//tdcB//
PaaX_neg	uxaB//ttdA//malZ//pgm//rffG//glcB//purH//moeA//accC//
PdeL_pos	hypB//
PdhR_neg	ugpQ//deoB//puuB//argC//hcaD//napA//astD//tyrA//speB//tam//nfsB//metB//luxS//glpB//galM//acnB//ldtC//sucC//katG//rhaB//fumC//mhpB//pheT//
PdhR_pos	hcaE//glpX//
PepA_neg	alaS//puuA//
PgrR_neg	glxK//yqjH//
PhoB-Phosphorylated_neg	guaA//glmS//nagB//rimK//kbaZ//
PhoB-Phosphorylated_pos	rutC//speB//recD//tpiA//fadE//trpD//hcaC//ung//argH//moaE//sucB//cysH//dmsA//paaI//atoB//murC//rpiB//
PhoP-Phosphorylated_neg	cyoE//nfsA//trpD//
PhoP-Phosphorylated_pos	wecB//dapB//relA//tpiA//citC//moaA//ccp//cysI//ddlB//mhpE//pnp//lacA//atoA//truB//hcaF//araD//alsE//putA//ampC//citC//cysI//cadA//talA//tnaA//phoA//tynA//paaH//murQ//allE//adhE//ttdB//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	entD//epd//entB//yqhD//
PspF_neg	
PspF_pos	deoA//
PurR-hypoxanthine_neg	pgm//gatY//patA//tnaA//yeaE//mtlD//fabG//tehB//cysC//astE//hypB//cynT//yiaK//ldtB//ftnA//betA//citE//nrdB//hypB//phnL//paaA//malZ//amn//phnN//allD//paaJ//
PutA_neg	dgcC//fadD//
PuuR_neg	xylB//phnG//frc//galE//purC//galE//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	fes//ulaE//frdB//ldtC//patD//
RcdA_neg	
RcdA_pos	hyi//
RclR_pos	
RcnR_neg	gnd//
RcsAB_neg	argF//
RcsAB_pos	glpQ//torC//
RcsB-BglJ_pos	allA//glpA//
RcsB-Pasp56_neg	araB//
RcsB-Pasp56_pos	dkgA//sucC//puuA//
RelB-RelE_neg	gcl//
RelB_neg	lysA//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	sbcC//rbsK//rimK//rutC//
Rob_neg	
Rob_pos	cysC//fadB//nfsA//gdhA//allC//hemH//alkB//udp//trpE//frdA//acnB//yeaG//gntK//glpD//fadH//rhaD//lysA//xylB//idnO//
RstA-Phosphorylated_neg	zwf//purA//
RstA-Phosphorylated_pos	fadB//
RtcR_pos	argI//glcB//
RutR_neg	glpD//pncB//fabA//yfdE//pdeH//pgaD//bioB//glpA//cysI//srkA//
RutR_pos	alkA//
SdiA_neg	
SdiA_pos	
SgrR_neg	gnd//
SgrR_pos	folE//puuD//
SlyA_neg	
SlyA_pos	murI//puuD//purE//tktB//citE//idnD//ruvA//serA//nrdA//
SoxR_neg	
SoxR_pos	alsE//amn//chbG//relA//pdeL//gudD//
SoxS_neg	
SoxS_pos	uxuB//tadA//tam//uxaC//accA//pyrD//glxR//fabA//eda//hyi//acnA//cysG//purB//gdhA//moaC//lsrF//fadD//ulaG//narG//nanK//nrdB//puuA//hcaD//hyaB//recB//nadA//gnd//recF//
SrlR_neg	hycE//ssuE//galK//
StpA_neg	atoB//kbaZ//rhaB//
SutR_neg	pyrC//sdhA//
SutR_pos	
TdcA_pos	puuE//bioB//lpd//mngB//pgk//
TdcR_pos	aldA//mhpF//yedX//wecC//paaJ//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	wzb//rpiB//hypF//ynfG//
TorR-TorI_neg	trpE//
TorR-TorI_pos	
TreR_neg	gpmA//aspC//
TrpR-tryptophan_neg	pspE//truB//sdhA//ahpF//lyxK//paaJ//lpxA//thrS//iscS//
TyrR-phenylalanine_neg	puuB//sgbH//
TyrR-phenylalanine_pos	prpB//
TyrR-tyrosine_neg	ssuE//tktB//moaC//tynA//rfe//rffH//
TyrR-tyrosine_pos	entH//gadB//
TyrR_neg	galE//
TyrR_pos	glyA//
UhpA-Phosphorylated_pos	pgm//
UidR_neg	aceF//ftnA//
UlaR_neg	oxc//fumC//gpmA//malY//frdB//
UvrY-Phosphorylated_pos	citE//napH//
UxuR_neg	uxuA//phnL//oxc//speG//rffC//
XapR-xanthosine_pos	waaH//purC//
XylR-xylose_neg	
XylR-xylose_pos	ydcS//paaZ//chbF//
YdeO_neg	
YdeO_pos	sucC//ubiC//dkgB//
YefM-YoeB_neg	galK//
YefM_neg	tyrB//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	fucI//napH//gloA//purM//wecB//pdeR//
YjjQ_neg	icd//hmp//
YpdB-Phosphorylated_pos	
YqhC_pos	glcB//gatY//
YqjI_neg	wzb//
ZntR-Zn2_pos	glgC//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	glpK//
