# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	frdB//fabD//
FeaR_pos	ssuE//mltF//
FhlA-formate_pos	melA//malZ//serA//garD//allD//yedX//nrfD//nanM//
FlhDC_neg	purF//aceA//
FlhDC_pos	aceE//dmsA//hcaC//paaK//araB//puuD//puuE//gudD//dgcC//ldtB//truB//hmp//
FliZ_neg	fucO//rhaD//xapA//moaD//pheT//
FucR-L-fuculose-1-P_pos	mhpA//narG//murG//aldA//napB//metK//
Fur-Fe2_neg	dgkA//cysH//xylB//accD//rutC//phnP//dhaL//lpxC//accC//nirB//nrfD//gudD//dapB//bacA//entC//iscS//pyrD//ldtD//ynfF//bioD//metK//glpD//tnaA//putA//dkgB//trpD//alkA//araB//nrfD//fabI//betB//fucA//ubiC//metF//kbaZ//gor//fumC//cysI//caiC//ldtD//glk//ulaG//rffM//ugpQ//argG//napB//murF//waaY//hcp//araA//alkA//rtcA//melA//
Fur-Fe2_pos	napB//ilvC//asnB//prs//caiB//grxA//fabZ//citG//mhpD//malY//narI//cdd//murI//gapA//mhpE//prpB//
GadE-RcsB_pos	glcD//polA//uvrC//tehB//ttdA//
GadE_pos	carB//ldtB//citF//glsA//rhaD//uxaA//icd//nrdF//glgB//hcp//
GadW_neg	nrdF//gatZ//glgP//
GadW_pos	lpxD//glmU//gdhA//nirB//
GadX_neg	lsrF//moaC//fumC//
GadX_pos	argB//lpxA//gpmM//dgcN//pagP//trpD//deoB//pheS//phnL//gcvT//ribA//
GalR-beta-D-galactose_neg	mhpD//phr//purN//ubiC//aspC//
GalR-beta-D-galactose_pos	glgB//gpmM//purN//tyrA//
GalR_neg	gatY//hcp//glmU//pdeR//fadB//serA//
GalR_pos	ubiA//phnP//nanK//uxaC//
GalS-beta-D-galactose_neg	malS//nrfC//yeaE//nanM//malZ//
GalS-beta-D-galactose_pos	gadA//mhpE//psd//astE//
GalS_neg	umuD//gabT//frdB//lldD//rtcB//appA//
GalS_pos	ttdB//eno//yiaK//argH//
GatR_neg	wecC//rhaD//frdC//
GcvA_neg	uxaA//leuB//tdcG//
GcvA_pos	moeA//recB//ulaF//
GlcC-glycolate_neg	
GlcC-glycolate_pos	aceE//aroF//pdeL//
GlpR_neg	sdhD//allB//glcF//ugpQ//katG//malY//poxB//
GlrR-Pasp56_pos	
GntR_neg	dhaK//xylA//phnH//umuC//tpiA//tdcE//ada//astC//yedX//
GutM_pos	poxB//atoB//gntK//
HU_neg	nagB//uxaB//phnM//purE//pheT//hcaC//glcB//
HU_pos	
HcaR-HCA_pos	ybjG//polA//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	ynfE//
HigB-HigA_neg	icd//
HipAB_neg	folE//nanE//
HipB_neg	glpX//dapB//recB//
HprR-Phosphorylated_neg	fabZ//hypB//
HprR-Phosphorylated_pos	talA//leuB//
HyfR_pos	prpD//
HypT-Met-oxidized_neg	dapD//gcvP//
HypT-Met-oxidized_pos	rffT//mazG//tadA//murQ//puuA//
IclR-pyruvate_neg	pdeL//pgpC//prs//
IdnR-5-ketogluconate_neg	nadA//gntK//
IdnR-5-ketogluconate_pos	psd//gpmA//mhpD//
IlvY-2-acetolactate_pos	cysG//
IlvY_neg	
IscR-2Fe-2S_neg	mhpF//puuC//
IscR_neg	frdB//ldtD//argC//entE//
IscR_pos	sgbE//paaG//
KdgR_neg	argF//glmS//
KdpE-Phosphorylated_pos	hcp//
LacI_neg	codA//paaY//cynS//
LeuO_neg	
LeuO_pos	betA//patA//mhpD//moaC//ynfH//malQ//
LexA_neg	murQ//argB//hycC//lldD//ddlB//mhpB//garR//fadB//recB//ychF//fabD//argG//entB//hcaF//idnK//ygeA//fucO//mnmG//hcaF//paaB//betB//citC//srkA//
LldR-lactate_neg	phnG//pflB//
LldR-lactate_pos	tktB//srlD//
LldR_neg	wecB//mhpF//
LldR_pos	idnD//bioA//
LrhA_neg	
LrhA_pos	
LsrR_neg	ada//rutE//lsrF//entH//zwf//
LysR_neg	
LysR_pos	ynfF//
MalI_neg	guaA//frdA//
MalT-maltotriose-ATP_pos	rffG//appA//fabB//astA//fbaB//aroL//
MarA_neg	ybjG//
MarA_pos	rbsK//garK//glpX//glmU//eno//fadA//glcF//fes//tktB//glcF//glnA//murI//leuD//recB//aroH//fadI//tadA//accA//nanK//speG//ldtD//mpl//tauD//
MarR_neg	
MatA_neg	ahpF//
MatA_pos	
MazE-MazF_neg	metF//
MazE_neg	eno//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	ttdA//dgcZ//
MelR-melibiose_pos	mhpB//fumC//
MelR_neg	aspA//tktB//
MelR_pos	glcE//argI//
MetJ-adenosylmethionine_neg	nanM//betA//allB//phnP//fruK//pgm//phnO//mraY//gpmM//fabG//
MetR-L-homocysteine_neg	kbaZ//
MetR-L-homocysteine_pos	trpD//caiD//
MetR_pos	mngB//lsrF//
MhpR-3HPP_pos	glpB//hcp//hcaB//aceA//poxB//aldA//
Mlc_neg	metL//iscS//entD//entA//
MlrA_pos	aroF//
MngR_neg	fbaB//uvrB//
MntR-Mn2_neg	deoD//
MntR-Mn2_pos	guaA//
ModE-MoO42-_neg	oxc//acnA//rffT//accD//ssuE//kbaZ//narG//murG//
ModE-MoO42-_pos	paaY//entF//bioA//rimK//fabD//uxuA//gpmA//rhaB//dacC//
MprA_neg	tnaA//tehB//gabD//
MqsA_neg	cysI//argC//
MraZ_neg	gor//pnp//ugpQ//ppc//tadA//pspE//folE//tpiA//uxuA//rsmH//
MurR_neg	talA//ubiC//ulaF//
MurR_pos	
Nac_neg	folE//lsrG//xapA//
Nac_pos	chbF//epd//citE//malY//leuC//mhpE//citC//hycE//
NadR_neg	srlD//aroH//hycD//nanM//
NagC_neg	lacA//sdhC//trpD//frdD//puuA//slt//metA//lpd//glgC//tdcG//alsE//nagA//aroL//tyrA//astE//moaC//hyaC//asnB//
NagC_pos	uxuB//aldA//
NanR_neg	gltD//argB//purN//moaD//narG//fucA//
NanR_pos	
NarL-Phosphorylated_neg	galK//pagP//ulaE//codA//rtcA//putA//cdd//fadJ//ddlB//srkA//fadJ//umuC//gatZ//tdcB//ynfG//lacA//mngB//deoD//xapA//hyi//hycE//nemA//tadA//treC//hycB//torA//bioA//ssuE//
NarL-Phosphorylated_pos	murD//citD//hemH//garK//leuD//speA//araA//narH//caiD//rutE//entE//atoA//paaG//speG//fabG//
NarP-Phosphorylated_neg	trpB//purM//fes//argA//fucI//
NarP-Phosphorylated_pos	nanA//deoB//gcvP//rhaD//luxS//puuE//puuB//ugpQ//deoC//hycC//feaB//ubiC//putA//purK//
NemR_neg	fucO//ldtD//
NhaR-Na_pos	bioC//gcvP//fabZ//murE//fadI//
NikR-Ni2_neg	ppsA//
NimR_neg	torC//
NorR_neg	
NorR_pos	lhgO//
NrdR-Zn2_neg	nirD//rtcA//uvrC//deoD//
NsrR_neg	lpxD//lysA//deoB//ampC//fadM//leuB//ppc//murG//umuC//nagA//umuD//fadJ//ynfH//gcvH//glcB//murG//paaJ//nrdD//galT//moaE//torC//paaZ//pgaC//nrdF//glxK//hycC//purF//tktB//polB//prs//recD//pyrC//relA//rpiB//ulaG//adiA//hycE//iscS//narI//lysA//
NtrC-Phosphorylated_neg	pncB//hyaA//
NtrC-Phosphorylated_pos	argG//wrbA//glpX//dhaL//aroG//uidA//mhpF//sbcD//yfdE//phr//melA//gltD//dmsA//hycD//lacA//rbsK//paaE//astD//psd//dhaM//oxc//
OmpR-Phosphorylated_neg	xylA//rffT//pncB//dhaM//aspC//
OmpR-Phosphorylated_pos	fabB//prpE//trpD//uidA//
OxyR_neg	tdcB//aceF//ldtC//ahpF//iscS//
OxyR_pos	gadB//alkB//sdhB//uxaB//torA//dapD//ubiA//alkB//glmU//dsdA//narH//tnaA//
PaaX_neg	deoD//citX//caiC//waaY//rnpB//mhpB//gadA//lpd//ulaF//
PdeL_pos	ndh//
PdhR_neg	hycG//hcaF//appA//ulaE//pncB//aroF//napB//moaD//purE//rutB//hycF//gabD//glxK//galM//phnO//alkA//sgbE//ynfH//malS//pck//lyxK//paaE//glpD//
PdhR_pos	icd//mhpE//
PepA_neg	ftsI//lldD//
PgrR_neg	yfdE//sufS//
PhoB-Phosphorylated_neg	frc//betB//metE//gcl//hcaE//
PhoB-Phosphorylated_pos	ribA//purL//mpl//trpD//glmU//yeaE//ttdB//mpl//moeB//astA//bacA//fumB//astD//garL//ilvC//hyaC//gpmA//
PhoP-Phosphorylated_neg	gpmM//hcaD//truB//
PhoP-Phosphorylated_pos	entC//dgcN//recD//pepD//metA//sdhB//paaE//trpC//bioF//ruvA//trpD//ftnA//paaZ//metL//napH//mdh//rffC//dgkA//tynA//ynfF//pspE//gltD//argI//bglB//murI//gudD//bioC//metH//nirD//napA//udp//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	hcaE//pdeR//murD//sodB//
PspF_neg	
PspF_pos	argI//
PurR-hypoxanthine_neg	mltF//moaE//murQ//uidA//deoC//thrS//leuD//galE//aroH//mngB//zwf//prpC//galT//polA//glcD//lysC//waaZ//glpC//eda//atoA//mhpB//citC//lacA//folA//allB//alkA//
PutA_neg	mhpC//nrfC//
PuuR_neg	tdcG//cysE//uvrA//fucK//phnG//ulaD//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	lysC//aldA//tdcB//allE//tyrA//
RcdA_neg	
RcdA_pos	sbcC//
RclR_pos	
RcnR_neg	murD//
RcsAB_neg	fes//
RcsAB_pos	glpK//rutC//
RcsB-BglJ_pos	uvrB//ynfF//
RcsB-Pasp56_neg	carA//
RcsB-Pasp56_pos	slt//frdB//aldA//
RelB-RelE_neg	icd//
RelB_neg	tpiA//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	gcl//zwf//katE//gcvP//
Rob_neg	
Rob_pos	uvrA//folA//folA//dacC//pheT//phnG//trpC//ulaE//fadE//mraY//purE//glpD//dmsC//ugpQ//garK//argG//citX//astC//rutA//
RstA-Phosphorylated_neg	citF//rbsD//
RstA-Phosphorylated_pos	purL//
RtcR_pos	entB//fucI//
RutR_neg	cysE//cysK//hcaC//mpl//aceA//pck//feaB//tnaA//cysI//astE//
RutR_pos	sdhA//
SdiA_neg	
SdiA_pos	
SgrR_neg	wzc//
SgrR_pos	chbF//pgm//
SlyA_neg	
SlyA_pos	glcB//allC//glpA//rhaA//carA//mpaA//ogt//murI//ybjG//
SoxR_neg	
SoxR_pos	ydcS//aspC//glpD//moaD//bioA//ribA//
SoxS_neg	
SoxS_pos	leuC//acnB//katG//argC//oxc//allA//ynfH//cdd//rpiB//entE//napG//pyrD//argB//nanE//pgk//ruvA//metL//cysJ//aspC//adhE//sgbU//fdhF//tnaA//entH//purD//hycE//betB//yiaK//
SrlR_neg	citG//alaS//ssuE//
StpA_neg	nanA//argE//nfsA//
SutR_neg	fucU//bacA//
SutR_pos	
TdcA_pos	ung//cueO//ppc//dgcZ//phnN//
TdcR_pos	yqjH//nrfD//yqjH//gutQ//talA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	cysM//wrbA//lpd//pspE//
TorR-TorI_neg	deoD//
TorR-TorI_pos	
TreR_neg	gcvT//ttdA//
TrpR-tryptophan_neg	tpiA//lsrK//napA//phnL//phnG//lpxA//gltB//cysH//tdcE//
TyrR-phenylalanine_neg	murI//fumC//
TyrR-phenylalanine_pos	malS//
TyrR-tyrosine_neg	paaB//sgbE//paaA//glyA//mnmG//acnB//
TyrR-tyrosine_pos	acnB//cysN//
TyrR_neg	fes//
TyrR_pos	ahpF//
UhpA-Phosphorylated_pos	aldA//
UidR_neg	recD//idnK//
UlaR_neg	talA//glcB//allD//fadH//pgi//
UvrY-Phosphorylated_pos	glgB//zwf//
UxuR_neg	cysH//amn//paaG//idnK//chbG//
XapR-xanthosine_pos	phnL//ddlB//
XylR-xylose_neg	
XylR-xylose_pos	garD//astC//cynT//
YdeO_neg	
YdeO_pos	uvrC//pheT//poxB//
YefM-YoeB_neg	ygeA//
YefM_neg	purB//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	waaH//pyrC//nanA//mhpC//napA//fabG//
YjjQ_neg	mpl//accC//
YpdB-Phosphorylated_pos	
YqhC_pos	yedX//pncB//
YqjI_neg	fbaA//
ZntR-Zn2_pos	citE//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	aroL//
