# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	sucA//paaZ//
CadC_pos	pdeL//polA//leuA//
CaiF-L-carnitine_pos	sdhC//bioB//gabD//gudD//gutQ//
Cbl_pos	fruK//uxaB//pspE//glpK//hemL//
CdaR_pos	hypB//rffH//alsE//cadA//uxaC//purC//pncB//galM//purH//
CecR_neg	aceF//
ChbR-N-monoacetylchitobiose6-phosphate_neg	fucA//galE//fes//
ChbR-N-monoacetylchitobiose6-phosphate_pos	srlD//pagP//fabB//
ChbR_neg	cysG//araA//bglB//
ChbR_pos	malY//rffT//caiC//
ComR_neg	
CpxR-Phosphorylated_neg	sdhA//nagA//glgX//
CpxR-Phosphorylated_pos	entA//astB//tktB//mhpC//mhpE//gabT//phnP//entH//tadA//moeA//pdeR//dmsA//galK//fbaA//melA//ahpC//paaY//garK//
Cra_neg	moaA//lsrK//psd//rfe//araB//ftnA//gabT//malY//purF//nanK//pgaB//argB//cadA//rtcA//leuC//gdhA//sdhD//astA//fadM//sufS//rnpB//frc//oxc//dkgA//narI//leuC//cysN//paaF//ubiC//ssuD//yfdE//dgcN//glcE//oxc//argA//mraY//purH//pepD//fadJ//rsmH//lacA//fdhF//aroG//allC//glcE//
Cra_pos	citC//tauD//bioD//lpxC//napG//lpxA//napA//aroG//pgaB//yiaK//glmU//fau//purA//sgbH//betB//tehB//metK//
CreB-Phosphorylated_neg	fumB//
CreB-Phosphorylated_pos	ynfG//
CsgD_neg	hycB//moaA//
CsgD_pos	citD//bioB//citG//
CsiR_neg	atoB//appA//phr//trpB//
CspA_pos	ogt//
CueR-Cu_neg	argB//ruvB//dkgA//
CueR-Cu_pos	truB//ulaF//
CusR-Pasp_pos	purD//hcaE//puuA//katE//
CynR-cyanate_pos	mazG//tehB//astD//
CynR_neg	
CysB-O-acetyl-L-serine_neg	glpB//fes//ulaD//
CysB-O-acetyl-L-serine_pos	araD//caiA//araD//nrdA//aceF//dacC//glgC//fadI//pflB//fadE//nanM//citX//
CysB_neg	
CysB_pos	metB//argE//
CytR_neg	ddlB//uxaA//lhgO//rbsD//argF//ppc//polA//glpD//hcaF//aroF//
Dan-L-tartrate_pos	napB//hypB//
DcuR-Phosphorylated_pos	hyaC//garR//slt//fucA//
DeoR_neg	hycC//adhE//poxB//srkA//mltF//udp//
DhaR_neg	
DhaR_pos	allE//
DicA_neg	
DinJ-YafQ_neg	moeA//
DnaA-ATP_neg	ubiA//folE//phr//cueO//murD//
DnaA-ATP_pos	dkgA//feaB//ndh//
DpiA-Pasp_neg	
DpiA-Pasp_pos	gatZ//mnmG//dgcC//malZ//rutC//
DsdC-D-serine_neg	
DsdC-D-serine_pos	fabZ//frdB//
EbgR_neg	
EnvR_neg	entA//pykF//
EnvY_pos	entF//rhaD//
EvgA-Phosphorylated_pos	ruvA//ttdB//ung//mhpF//dkgB//paaH//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	paaF//ascB//idnO//dmsC//nrdD//moaE//
FabR_neg	garD//sucC//alaS//
FadR-acyl-CoA_pos	
FadR_neg	pspE//ychF//pyrC//mnmG//hypB//ruvA//fucI//yeaE//glpB//
FadR_pos	aroH//uxuA//rutB//glcE//gnd//chbG//fbaB//citF//glsA//accA//
FeaR_pos	fabA//hyaA//
FhlA-formate_pos	cysE//cyoE//paaK//uxaB//rffC//aceB//pgi//ilvC//
FlhDC_neg	recB//ttdB//
FlhDC_pos	purN//paaH//cysI//bioA//glpA//glmU//paaC//leuC//dgcN//ftsI//glcB//ttdA//
FliZ_neg	ynfG//cueO//dgcZ//citG//aceE//
FucR-L-fuculose-1-P_pos	pagP//ubiA//dmsB//pncB//alsE//cysC//
Fur-Fe2_neg	glk//lysC//codA//aldA//glyA//wrbA//sucB//lpxA//galE//dgcN//entF//cueO//galM//ldtC//garR//cysI//phoA//bioF//mhpD//poxB//nanM//wzb//waaH//trpC//cysN//adhE//dgcC//mnmG//lsrK//purL//mhpB//yiaK//patD//uxuA//napG//sucB//fucI//recF//phnJ//araA//gapA//ygeA//citX//pflB//sgbU//dmsB//edd//fadE//dhaK//yeaE//rnpB//argC//eda//
Fur-Fe2_pos	entE//dgcN//pgi//entC//galK//paaE//rhaA//fadB//nrdF//asnB//patA//glpB//dapB//fadM//hcaD//mhpA//
GadE-RcsB_pos	xylA//frdD//murC//arsC//nrdA//
GadE_pos	pgi//moeA//guaB//nanE//hyaB//entE//pgi//ynfH//uvrC//idnK//
GadW_neg	paaE//trpC//dgkA//
GadW_pos	pnp//bioB//waaY//tauD//
GadX_neg	dmsB//lpd//rhaD//
GadX_pos	tauD//narG//bioB//accC//citC//fadA//dapB//nanK//dgkA//asnB//metB//
GalR-beta-D-galactose_neg	nagB//hcaF//gudD//fbaA//ruvB//
GalR-beta-D-galactose_pos	metE//napG//codA//nrfC//
GalR_neg	pgaD//paaY//srlD//phnG//betB//citE//
GalR_pos	rhaB//fucU//gadA//astB//
GalS-beta-D-galactose_neg	trpC//hypF//murC//mhpD//rutE//
GalS-beta-D-galactose_pos	aroH//purL//bioD//waaZ//
GalS_neg	citX//ydcS//entD//lsrG//lacZ//allC//
GalS_pos	xapA//mltF//amn//rffM//
GatR_neg	ttdA//gntK//glpC//
GcvA_neg	luxS//sbcC//glpA//
GcvA_pos	fabH//patD//fdhF//
GlcC-glycolate_neg	
GlcC-glycolate_pos	hycF//phnH//lldD//
GlpR_neg	edd//gcvT//tpiA//dhaK//hycD//kbaZ//ribA//
GlrR-Pasp56_pos	
GntR_neg	yiaK//phr//purC//argB//oxc//speG//sbcD//purM//mhpA//
GutM_pos	tdcG//gadB//putA//
HU_neg	pflB//napG//recD//eno//frdA//lacA//ynfH//
HU_pos	
HcaR-HCA_pos	aceE//nanK//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	yqjH//
HigB-HigA_neg	moaD//
HipAB_neg	nanK//eno//
HipB_neg	rhaD//recD//argC//
HprR-Phosphorylated_neg	sgbE//lacZ//
HprR-Phosphorylated_pos	metK//rhaB//
HyfR_pos	accC//
HypT-Met-oxidized_neg	katG//tdcG//
HypT-Met-oxidized_pos	ruvA//astE//hyaA//cysJ//tnaA//
IclR-pyruvate_neg	wzb//speA//asnA//
IdnR-5-ketogluconate_neg	astA//uvrA//
IdnR-5-ketogluconate_pos	entH//trpE//glyA//
IlvY-2-acetolactate_pos	glgX//
IlvY_neg	
IscR-2Fe-2S_neg	waaH//glcF//
IscR_neg	recF//trpD//sdhA//fadH//
IscR_pos	deoC//mhpE//
KdgR_neg	cysH//grxA//
KdpE-Phosphorylated_pos	tynA//
LacI_neg	hypB//amn//phnM//
LeuO_neg	
LeuO_pos	lyxK//puuA//feaB//betB//paaG//mngB//
LexA_neg	entC//phnL//prpD//galK//astD//srlD//purK//tdcG//katE//citD//citF//lpxD//nirB//folA//grxA//folE//aroG//astE//citD//aceF//adhE//galK//treC//
LldR-lactate_neg	rutB//nirD//
LldR-lactate_pos	phoA//hycE//
LldR_neg	astB//mdh//
LldR_pos	pheS//yfdE//
LrhA_neg	
LrhA_pos	
LsrR_neg	gcvP//carB//galT//ugpQ//cyoE//
LysR_neg	
LysR_pos	iscS//
MalI_neg	bioC//pdeR//
MalT-maltotriose-ATP_pos	polB//tyrA//paaA//paaY//metC//nanK//
MarA_neg	frdA//
MarA_pos	ldtB//tam//rbsD//mhpB//moaE//purL//waaY//eda//purK//relA//polA//truB//mhpC//metF//xylB//sgbU//betB//garD//ssuE//atoA//pgk//ybjG//alaC//
MarR_neg	
MatA_neg	purM//
MatA_pos	
MazE-MazF_neg	argI//
MazE_neg	napB//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	paaY//hemL//
MelR-melibiose_pos	iscS//xylB//
MelR_neg	torA//tynA//
MelR_pos	murC//phnI//
MetJ-adenosylmethionine_neg	puuE//entC//ttdA//hypB//pgm//aroH//purE//patA//ahpF//luxS//
MetR-L-homocysteine_neg	gcl//
MetR-L-homocysteine_pos	adiA//moeB//
MetR_pos	purF//araD//
MhpR-3HPP_pos	serA//gdhA//fucO//puuB//allC//nanE//
Mlc_neg	yqhD//rsmH//gltB//speA//
MlrA_pos	ssuE//
MngR_neg	nirD//gabD//
MntR-Mn2_neg	rffC//
MntR-Mn2_pos	nagA//
ModE-MoO42-_neg	glcB//dgkA//mngB//citC//phoA//pgm//dinB//gltD//
ModE-MoO42-_pos	accD//gnd//purB//dapB//nagB//gcvH//nirD//metB//ahpF//
MprA_neg	polB//dkgB//rhaD//
MqsA_neg	argB//puuA//
MraZ_neg	paaC//putA//metK//cysD//phnM//rutC//umuC//trpD//accC//rutB//
MurR_neg	kbaY//hcaD//nirD//
MurR_pos	
Nac_neg	dmsA//purA//cadA//
Nac_pos	ttdB//dmsB//mnmG//asnA//fbaA//purK//sbcD//glgX//
NadR_neg	nrfA//gpmM//guaA//aroF//
NagC_neg	citX//cysG//nrdE//srlD//hycF//speB//phnI//phnH//deoD//deoC//eno//murF//oxc//asnA//frc//uvrB//dkgB//pncB//
NagC_pos	sdhD//nrfC//
NanR_neg	moaA//rimK//purA//pgk//mhpF//glpK//
NanR_pos	
NarL-Phosphorylated_neg	dgkA//bioB//pgaC//argB//astD//fumC//lsrK//ascB//bioD//deoB//ribA//gabD//sgbE//mpl//ssuE//citX//sucD//glgB//fabD//frdA//nanE//lsrK//lpxA//fadI//moeB//metL//galK//rhaD//
NarL-Phosphorylated_pos	moeA//betA//pfkA//entB//guaB//mhpB//luxS//hycF//argC//alaC//dacC//araB//dkgB//glpK//ychF//
NarP-Phosphorylated_neg	tynA//pfkA//cysN//ycjG//hemL//
NarP-Phosphorylated_pos	nrfD//paaG//sufS//yfdE//hemL//patA//treC//ddlB//argF//astB//pyrC//galT//nadB//bglB//
NemR_neg	caiC//ubiX//
NhaR-Na_pos	allC//sucC//betA//hcaC//dmsA//
NikR-Ni2_neg	malQ//
NimR_neg	uxuB//
NorR_neg	
NorR_pos	fau//
NrdR-Zn2_neg	cysC//cysD//aroL//cysJ//
NsrR_neg	dinB//narH//tnaA//tynA//fumC//glxK//ugpQ//guaA//gcvP//atoB//glpB//cynS//gcl//speG//pck//yqhD//metE//glk//glpX//malQ//murG//citG//cysI//fumB//accC//ynfE//ahpF//entA//wrbA//ynfE//dmsB//grxA//pyrC//cueO//murC//aceA//napB//uxaC//deoC//katG//
NtrC-Phosphorylated_neg	mhpA//uxuB//
NtrC-Phosphorylated_pos	argE//ynfG//frc//ttdA//oxc//paaA//purN//leuD//leuB//glmS//sucA//umuC//paaE//phnL//hcaF//uvrA//nanM//aroL//ruvB//alaC//aldA//
OmpR-Phosphorylated_neg	nanE//phnJ//gatZ//argI//hmp//
OmpR-Phosphorylated_pos	tyrB//paaE//accA//rtcB//
OxyR_neg	purE//nirD//ahpC//cynT//bioC//
OxyR_pos	garD//patA//nagB//caiD//tauD//bioC//tadA//lacA//purE//cynS//uxuA//ahpC//
PaaX_neg	argC//dacC//idnK//cysG//astC//ugpQ//codA//leuD//cysK//
PdeL_pos	serA//
PdhR_neg	galE//cysD//rpiB//glgP//moaD//uxaA//pfkA//phnL//kbaZ//fadB//ndh//katG//nadB//nadB//asnA//argD//fabZ//purL//pncB//gcvT//gutQ//ssuD//epd//
PdhR_pos	pheS//fabZ//
PepA_neg	fabI//hcaF//
PgrR_neg	rffG//gor//
PhoB-Phosphorylated_neg	uxaA//rsmH//pheS//ugpQ//pflB//
PhoB-Phosphorylated_pos	ahpC//glpX//trpA//nrdE//puuC//trpC//caiB//mhpE//hycC//allC//hycD//purF//citC//mhpC//narI//tam//alkB//
PhoP-Phosphorylated_neg	gltB//rffG//nrdA//
PhoP-Phosphorylated_pos	gor//argD//sgbU//puuE//citD//galK//pagP//umpH//melA//citE//lpxC//ampC//patA//pgpC//rpiB//fucO//allA//leuC//murI//ubiX//ulaD//psd//tehB//mnmG//alkB//astB//caiC//kbaZ//codA//rhaB//bioD//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	dgkA//alaS//mpaA//tauD//
PspF_neg	
PspF_pos	citG//
PurR-hypoxanthine_neg	ycjG//nanK//alaS//icd//pdeL//sdhD//dhaM//dsdA//mazG//tyrB//ulaG//malS//chbF//trpD//glpK//cdd//citD//gutQ//murE//ubiX//purD//dinB//cysM//adhE//katG//rtcA//
PutA_neg	hycD//ulaD//
PuuR_neg	purM//trpE//alkA//argC//lpd//cynS//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	purH//tehB//adiA//murG//citD//
RcdA_neg	
RcdA_pos	phnO//
RclR_pos	
RcnR_neg	trpB//
RcsAB_neg	pheS//
RcsAB_pos	hemL//metE//
RcsB-BglJ_pos	moaA//napH//
RcsB-Pasp56_neg	gntK//
RcsB-Pasp56_pos	mngB//ndh//xylA//
RelB-RelE_neg	moaE//
RelB_neg	patA//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	rtcB//hycF//hycC//patD//
Rob_neg	
Rob_pos	yedX//phnO//psd//gadB//puuC//sgbU//ftnA//murI//malS//purE//nrdD//citF//feaB//fabA//rffM//metE//sodB//frdD//phnP//
RstA-Phosphorylated_neg	purA//garR//
RstA-Phosphorylated_pos	tyrA//
RtcR_pos	dhaL//argI//
RutR_neg	fabG//purD//pspE//ynfG//ogt//pgaB//mhpC//paaK//nadA//hypF//
RutR_pos	galT//
SdiA_neg	
SdiA_pos	
SgrR_neg	carB//
SgrR_pos	deoD//murC//
SlyA_neg	
SlyA_pos	gcl//ttdB//mdh//paaK//thrS//entD//lpxC//pgaC//glgB//
SoxR_neg	
SoxR_pos	gadB//folA//nrfD//sdhC//ldtC//dapB//
SoxS_neg	
SoxS_pos	aspA//betA//dapB//betB//sbcC//eda//bioF//hmp//rutE//nanA//frc//tktB//rimK//hyaC//lpxA//hmp//ulaE//hmp//metB//hycD//ppc//entH//galE//ung//fadJ//zwf//caiD//murC//
SrlR_neg	xylB//hypB//glxK//
StpA_neg	ldtB//edd//fucU//
SutR_neg	uxaB//cdd//
SutR_pos	
TdcA_pos	aspA//carA//iscS//ychF//recD//
TdcR_pos	malQ//uidA//aceE//nrdD//mhpC//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	waaY//fucK//grxA//rffT//
TorR-TorI_neg	allB//
TorR-TorI_pos	
TreR_neg	purN//dhaK//
TrpR-tryptophan_neg	glgX//nirB//atoD//rsmH//aceB//gpmA//argE//fucU//uxuB//
TyrR-phenylalanine_neg	dmsB//frc//
TyrR-phenylalanine_pos	alaS//
TyrR-tyrosine_neg	udp//recF//astC//fucU//tehB//rutB//
TyrR-tyrosine_pos	gltB//deoC//
TyrR_neg	argH//
TyrR_pos	uxuB//
UhpA-Phosphorylated_pos	nrdD//
UidR_neg	ugpQ//hcaF//
UlaR_neg	dmsA//mnmG//sodA//aspA//prpE//
UvrY-Phosphorylated_pos	mhpB//patD//
UxuR_neg	mhpC//pflB//ssuD//ung//glpA//
XapR-xanthosine_pos	patD//entA//
XylR-xylose_neg	
XylR-xylose_pos	uxuA//serA//ubiA//
YdeO_neg	
YdeO_pos	mpaA//moaE//metB//
YefM-YoeB_neg	lpxD//
YefM_neg	trpA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	lpxD//gadB//gadB//gpmM//cynS//cynS//
YjjQ_neg	rffH//glgC//
YpdB-Phosphorylated_pos	
YqhC_pos	murD//fadM//
YqjI_neg	argI//
ZntR-Zn2_pos	sucB//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	hypF//
