# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	gltD//folA//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	wzb//leuA//idnK//phnM//wzb//mhpB//
FabR_neg	deoA//gcvH//betA//
FadR-acyl-CoA_pos	
FadR_neg	mltF//paaA//paaH//hcaC//tyrB//trpB//hypB//citD//nagA//
FadR_pos	carB//gapA//glcD//speB//yqhD//pepD//cyoE//fabB//hypF//gcl//
FeaR_pos	frdD//ubiX//
FhlA-formate_pos	gnd//araA//mngB//ccp//idnD//tdcD//astA//hypF//
FlhDC_neg	dgcN//leuC//
FlhDC_pos	hyi//araD//phnH//glmS//caiD//dmsA//tktB//purA//glgB//fdhF//lyxK//sgbU//
FliZ_neg	allD//argD//glgX//ssuE//ung//
FucR-L-fuculose-1-P_pos	ygeA//araD//wzc//pdeH//astE//trpE//
Fur-Fe2_neg	gapA//bioA//hypF//glpK//aceE//murF//rutC//atoD//polB//gntK//trpA//feaB//trpD//purF//tdcG//allB//amn//wzc//ppsA//hyi//cueO//argD//dhaK//araA//galE//adiA//ynfF//glpB//mhpB//ftnA//mltF//citD//caiC//sucC//gabD//hcaD//trpB//uxaB//betB//oxc//dgcN//phnN//zwf//ldtD//lpxA//truB//glcF//folA//ascB//murI//pdeR//hypB//sucD//
Fur-Fe2_pos	ccp//wecE//garR//dsdA//prpD//fadJ//sgbE//pflB//sucD//dapD//fabH//tdcG//adiA//lpxA//uvrC//purD//
GadE-RcsB_pos	araD//paaE//xylB//mhpB//moaA//
GadE_pos	prpE//argF//ynfF//cysJ//hycE//prpC//nfsA//araA//ulaD//paaA//
GadW_neg	nrdD//betB//hycE//
GadW_pos	garL//uvrB//ycjG//pgaD//
GadX_neg	lpxC//glcB//puuA//
GadX_pos	relA//mazG//hcaB//dapB//xapA//dmsB//citF//sdhB//nrdE//ulaD//pfkA//
GalR-beta-D-galactose_neg	ahpC//aceB//nanM//trpA//argC//
GalR-beta-D-galactose_pos	fumC//yeaE//hemL//nadA//
GalR_neg	murQ//gdhA//fabH//galE//atoD//speG//
GalR_pos	gcvT//metC//pflB//purA//
GalS-beta-D-galactose_neg	glgB//mpl//rffC//glpX//waaY//
GalS-beta-D-galactose_pos	mhpB//ilvC//ogt//yedX//
GalS_neg	phnJ//frdA//glgB//galT//entC//cysK//
GalS_pos	mtlD//narH//kbaZ//nagA//
GatR_neg	fabZ//lyxK//caiC//
GcvA_neg	astB//murI//hypF//
GcvA_pos	leuC//citF//pdeR//
GlcC-glycolate_neg	
GlcC-glycolate_pos	lhgO//rutB//rffT//
GlpR_neg	mngB//bioA//rhaB//epd//napB//paaZ//puuB//
GlrR-Pasp56_pos	
GntR_neg	moeA//ruvA//cysG//fadE//ribA//ynfF//fes//phnL//pgi//
GutM_pos	aceA//lsrG//entD//
HU_neg	aspC//alaC//metB//waaZ//pflB//uvrB//rsmH//
HU_pos	
HcaR-HCA_pos	lpxD//carA//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	lhgO//
HigB-HigA_neg	fabG//
HipAB_neg	cysG//uvrB//
HipB_neg	phnM//trpB//zwf//
HprR-Phosphorylated_neg	sdhA//glcF//
HprR-Phosphorylated_pos	uxaA//gcvP//
HyfR_pos	patD//
HypT-Met-oxidized_neg	yeaE//argE//
HypT-Met-oxidized_pos	nrfC//xapA//entH//ppiA//patD//
IclR-pyruvate_neg	hypF//glpD//poxB//
IdnR-5-ketogluconate_neg	lsrF//murC//
IdnR-5-ketogluconate_pos	mpl//tnaA//fadA//
IlvY-2-acetolactate_pos	tynA//
IlvY_neg	
IscR-2Fe-2S_neg	torC//sbcC//
IscR_neg	folE//hypF//hypB//nrdD//
IscR_pos	frdD//uxaA//
KdgR_neg	gutQ//folA//
KdpE-Phosphorylated_pos	umuC//
LacI_neg	nrfA//ttdA//ppiA//
LeuO_neg	
LeuO_pos	ybjG//cueO//tauD//entC//lsrG//entH//
LexA_neg	metK//cysJ//ruvB//ppsA//fumC//tyrA//hemH//atoB//iscS//moaA//murF//fabG//fabB//pagP//malZ//yqhD//nirD//rhaB//citX//xylA//ycjG//aroF//phnM//
LldR-lactate_neg	gntK//ynfE//
LldR-lactate_pos	pck//ubiC//
LldR_neg	iscS//fabA//
LldR_pos	adhE//argC//
LrhA_neg	
LrhA_pos	
LsrR_neg	dkgA//gpmA//cynT//glmS//argC//
LysR_neg	
LysR_pos	gpmM//
MalI_neg	aceF//ilvC//
MalT-maltotriose-ATP_pos	tnaA//argC//frdD//dgcZ//malS//citX//
MarA_neg	glk//
MarA_pos	argF//tehB//uvrC//cysE//yeaG//poxB//aceA//tdcB//nanE//mpl//nirB//citX//purL//ulaG//acnA//nadA//glxR//icd//malY//sodB//ynfG//metF//pykF//
MarR_neg	
MatA_neg	dapD//
MatA_pos	
MazE-MazF_neg	torA//
MazE_neg	folA//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	purA//waaZ//
MelR-melibiose_pos	ssuD//paaE//
MelR_neg	entC//pnp//
MelR_pos	hyaA//argC//
MetJ-adenosylmethionine_neg	nagB//mazG//entB//glpQ//fadJ//pykF//pncB//dkgB//trpE//dsdA//
MetR-L-homocysteine_neg	lsrG//
MetR-L-homocysteine_pos	waaH//tdcD//
MetR_pos	gatZ//citG//
MhpR-3HPP_pos	glmU//gatZ//paaJ//phr//glgX//gabD//
Mlc_neg	tktB//caiA//argF//recB//
MlrA_pos	hycD//
MngR_neg	sdhA//cynT//
MntR-Mn2_neg	gcl//
MntR-Mn2_pos	kbaY//
ModE-MoO42-_neg	rimK//eno//deoC//aspC//trpA//argB//araD//allA//
ModE-MoO42-_pos	hyaC//glgB//tauD//paaE//paaA//pnp//gntK//paaC//prpB//
MprA_neg	polB//lpxD//rffT//
MqsA_neg	sucA//moaA//
MraZ_neg	argB//sbcD//patD//prpD//frdA//grxA//yqjH//xapA//cyoE//allB//
MurR_neg	hcaE//uidA//ppiA//
MurR_pos	
Nac_neg	hyaA//prpC//moaA//
Nac_pos	patA//asnB//accA//uxaC//puuA//trpB//hemH//rimK//
NadR_neg	alaC//pgaD//luxS//gudD//
NagC_neg	argC//rffT//nagA//sdhB//sbcC//eno//pgaB//tpiA//nrdE//icd//ydcS//guaB//tdcD//glnA//folE//katE//metA//entF//
NagC_pos	cysE//malZ//
NanR_neg	cynT//ascB//paaG//glpC//cysM//bioA//
NanR_pos	
NarL-Phosphorylated_neg	glmS//lysA//napG//rbsK//malS//entA//ugpQ//dhaK//argF//trpE//lpxC//sucB//leuB//wecC//nemA//pgm//sucB//deoA//sucB//wzc//hycB//gadA//citC//pagP//pgaD//serA//astD//ahpC//
NarL-Phosphorylated_pos	sucC//astB//phnN//codA//dkgA//paaF//moaC//hcaC//glpX//nrdE//paaH//alkA//mtlD//napG//cynT//
NarP-Phosphorylated_neg	gudD//ada//cysI//ppc//garR//
NarP-Phosphorylated_pos	metK//ftsI//glpB//deoC//deoD//aspA//dinB//wecE//mhpB//glgP//fucU//ppiA//metH//amn//
NemR_neg	ndh//galE//
NhaR-Na_pos	malZ//nrfC//glgX//guaB//fucK//
NikR-Ni2_neg	mhpA//
NimR_neg	ldtB//
NorR_neg	
NorR_pos	glgA//
NrdR-Zn2_neg	napB//appA//lacA//sbcD//
NsrR_neg	fucU//argI//lsrF//mtlD//purF//metC//galK//puuB//sgbH//idnO//cadA//ygeA//allA//icd//fdhF//uvrA//metA//rbsK//ampC//hyi//argB//deoA//nanM//moaA//uxaA//paaB//alsE//garL//sbcD//deoA//nagB//gcl//prpC//narG//gabD//ygeA//glpA//deoB//fabH//allC//
NtrC-Phosphorylated_neg	pagP//uvrC//
NtrC-Phosphorylated_pos	wrbA//ssuE//purB//ynfH//paaZ//entB//hyi//dkgA//phnM//astA//ubiX//ygeA//atoD//rutE//dgkA//feaB//sbcC//fadI//murI//aceE//pykF//
OmpR-Phosphorylated_neg	gabD//tdcG//arsC//caiA//yqhD//
OmpR-Phosphorylated_pos	accD//nirD//astB//mltF//
OxyR_neg	murC//tdcE//ynfF//phnM//sucB//
OxyR_pos	caiC//deoA//purC//rutD//guaB//umuD//katG//tdcE//sbcD//dinB//nagB//malS//
PaaX_neg	poxB//aroF//ppsA//psd//atoD//ugpQ//allE//dkgB//eda//
PdeL_pos	aldA//
PdhR_neg	melA//atoA//dgkA//mraY//sdhC//umuC//sgbE//nemA//deoB//sgbU//yiaK//entF//frdC//nemA//ndh//polA//gdhA//cynT//metB//fucO//sufS//metE//gadA//
PdhR_pos	prpB//gpmA//
PepA_neg	trpA//metC//
PgrR_neg	sodB//glpX//
PhoB-Phosphorylated_neg	rhaD//frdB//feaB//ubiC//adhE//
PhoB-Phosphorylated_pos	gatD//recD//fucI//amn//paaH//sbcD//arsC//hypF//ldtB//gcvH//paaE//aroG//narG//lpxA//hcaB//ung//gpmA//
PhoP-Phosphorylated_neg	pnp//hcaD//hemL//
PhoP-Phosphorylated_pos	nanM//gpmA//araD//tam//caiC//patD//fbaA//tadA//uxaC//gntK//rffM//puuB//nrfA//waaY//entH//moaA//dkgB//ubiA//cysK//malY//wzb//ruvA//hyaB//trpC//cysH//ycjG//xylA//fadB//sdhA//hcaF//phnI//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	ynfE//rbsD//cysC//eno//
PspF_neg	
PspF_pos	puuB//
PurR-hypoxanthine_neg	phnL//rutD//pgk//carB//cysH//aceB//yqjH//entD//uxuB//grxA//prpB//glcF//garR//alaS//ada//pheS//galK//pheS//fabH//pnp//pdeR//hcaC//dacC//bglB//asnB//murG//
PutA_neg	aspC//feaB//
PuuR_neg	fadH//adhE//nemA//entD//tam//phnN//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	pnp//adiA//paaA//purH//metH//
RcdA_neg	
RcdA_pos	cysH//
RclR_pos	
RcnR_neg	sdhD//
RcsAB_neg	cysE//
RcsAB_pos	pncB//alsE//
RcsB-BglJ_pos	hemH//acnA//
RcsB-Pasp56_neg	rimK//
RcsB-Pasp56_pos	napG//tktB//murF//
RelB-RelE_neg	cysJ//
RelB_neg	ubiC//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	hycD//argD//gatY//allD//
Rob_neg	
Rob_pos	paaB//fbaA//gatY//arsC//ulaE//cynT//nirB//asnA//fruK//fabZ//cysK//glxK//yeaG//ycjG//amn//lyxK//dacC//mhpA//moaA//
RstA-Phosphorylated_neg	murF//argE//
RstA-Phosphorylated_pos	wrbA//
RtcR_pos	paaA//glk//
RutR_neg	gcvH//phnH//gloA//paaG//putA//fbaB//ftsI//recF//betA//srkA//
RutR_pos	moaC//
SdiA_neg	
SdiA_pos	
SgrR_neg	cysH//
SgrR_pos	wecC//nanA//
SlyA_neg	
SlyA_pos	hycD//nrdD//narG//tdcG//carA//napA//slt//aspC//lyxK//
SoxR_neg	
SoxR_pos	paaB//metH//speG//idnO//fabI//pdeH//
SoxS_neg	
SoxS_pos	phnP//araD//gatD//fadE//dmsB//phnN//sgbH//allC//hcaC//purD//fumB//purA//fadH//allC//ugpQ//fabZ//rbsK//bacA//phnG//pgpC//fucA//folA//glmU//narG//sbcC//alkA//paaZ//purD//
SrlR_neg	uxuB//waaZ//mtlD//
StpA_neg	murF//glpX//glgC//
SutR_neg	accA//serA//
SutR_pos	
TdcA_pos	cysD//cysI//deoD//frc//moaD//
TdcR_pos	wecC//mraY//malZ//nrdB//allB//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	rutB//galT//gcvH//fabH//
TorR-TorI_neg	bioF//
TorR-TorI_pos	
TreR_neg	wecC//glpD//
TrpR-tryptophan_neg	fadE//folA//argH//wecE//aspA//purB//gatY//sodB//rutC//
TyrR-phenylalanine_neg	sodB//glgB//
TyrR-phenylalanine_pos	sodB//
TyrR-tyrosine_neg	sgbU//idnO//umuC//dapD//fucA//nemA//
TyrR-tyrosine_pos	uxuA//frdD//
TyrR_neg	chbF//
TyrR_pos	uxuB//
UhpA-Phosphorylated_pos	metC//
UidR_neg	prpB//mhpC//
UlaR_neg	phnP//lpxC//yfdE//napB//citC//
UvrY-Phosphorylated_pos	katE//idnD//
UxuR_neg	nanE//aspA//purD//mraY//pgaB//
XapR-xanthosine_pos	gpmA//uxuB//
XylR-xylose_neg	
XylR-xylose_pos	fes//pflB//nagB//
YdeO_neg	
YdeO_pos	pgpC//pspE//murQ//
YefM-YoeB_neg	fabA//
YefM_neg	ribA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	yiaK//torC//alaC//nirB//rutC//fadE//
YjjQ_neg	lyxK//alaS//
YpdB-Phosphorylated_pos	
YqhC_pos	tdcG//tam//
YqjI_neg	garR//
ZntR-Zn2_pos	patA//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	araB//
