# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	hcaD//mdh//
EnvR_neg	fadD//moaE//
EnvY_pos	gadA//codA//
EvgA-Phosphorylated_pos	rffC//glcF//ynfH//glpQ//bioB//nrdD//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	cynS//wecC//ahpF//folE//alaC//patA//
FabR_neg	hyi//lpxA//paaB//
FadR-acyl-CoA_pos	
FadR_neg	hycD//paaA//fdhF//dgcN//allB//pgk//rhaA//guaA//alkA//
FadR_pos	pgk//nanA//carB//galK//aspA//ung//trpA//allB//argG//mltF//
FeaR_pos	cadA//purN//
FhlA-formate_pos	udp//ubiC//hcaC//dgkA//pykF//allE//phr//rutD//
FlhDC_neg	citE//moaA//
FlhDC_pos	prpE//mhpA//ygeA//lsrF//fruK//hcp//hemL//patD//ndh//lyxK//nadA//cysJ//
FliZ_neg	dkgB//talA//malP//glgX//yqhD//
FucR-L-fuculose-1-P_pos	cysC//dmsC//araA//xapA//cynS//cysH//
Fur-Fe2_neg	araD//ascB//wzb//fadI//prs//alkB//lysA//entF//fabB//tynA//appA//cyoE//torA//betA//nrdA//phnO//ynfE//dmsA//nanE//ogt//murE//rhaD//phoA//moaD//leuB//fabI//wzc//deoD//uvrC//glcB//sucA//chbG//gcl//dhaL//rhaD//entD//fabD//aceE//murG//idnD//moeB//aspC//umpH//icd//nanM//ycjG//glpQ//lpxC//nagB//tam//ampC//acnA//metA//
Fur-Fe2_pos	ynfE//ssuD//rutB//ftnA//cysD//caiD//puuA//gudD//metC//fadM//fucU//argG//uxaC//uxuB//ychF//ftsI//
GadE-RcsB_pos	purN//hyi//malS//purH//nadB//
GadE_pos	slt//glcE//tynA//dgkA//mhpF//lyxK//phnJ//gor//pgi//pck//
GadW_neg	moaD//nadB//puuB//
GadW_pos	garR//patD//astA//speG//
GadX_neg	atoD//sdhA//fes//
GadX_pos	tdcD//ppc//fes//purA//pgaB//malZ//fucU//oxc//dacC//araA//wzc//
GalR-beta-D-galactose_neg	citX//idnO//speB//ascB//murF//
GalR-beta-D-galactose_pos	galM//phnG//rtcA//rffC//
GalR_neg	waaH//malY//ahpC//hcaD//phnO//argI//
GalR_pos	fbaB//deoC//gcvH//rpiB//
GalS-beta-D-galactose_neg	srkA//speG//ndh//ddlB//amn//
GalS-beta-D-galactose_pos	mraY//pspE//pdeH//glpC//
GalS_neg	moaD//garK//dhaK//speG//purH//fucK//
GalS_pos	ttdB//lpxC//epd//pgpC//
GatR_neg	xylB//sdhB//dapD//
GcvA_neg	ubiX//betB//citX//
GcvA_pos	mhpF//araA//phoA//
GlcC-glycolate_neg	
GlcC-glycolate_pos	argB//mhpD//rtcA//
GlpR_neg	entF//prpC//mhpC//fabD//pdeR//purE//pdeL//
GlrR-Pasp56_pos	
GntR_neg	napA//uxaA//rfe//fabI//cynT//recD//wecB//hycB//narH//
GutM_pos	waaY//mhpE//aroL//
HU_neg	cysD//citC//rutA//dhaL//lacA//codA//lsrK//
HU_pos	
HcaR-HCA_pos	tynA//frdB//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	cysM//
HigB-HigA_neg	hcaF//
HipAB_neg	adhE//narI//
HipB_neg	citE//hypF//dkgA//
HprR-Phosphorylated_neg	citC//atoB//
HprR-Phosphorylated_pos	tadA//mpl//
HyfR_pos	metK//
HypT-Met-oxidized_neg	frdC//epd//
HypT-Met-oxidized_pos	uxuA//tam//aceF//wzb//paaE//
IclR-pyruvate_neg	dsdA//metB//allD//
IdnR-5-ketogluconate_neg	adiA//malZ//
IdnR-5-ketogluconate_pos	trpD//purN//accA//
IlvY-2-acetolactate_pos	iscS//
IlvY_neg	
IscR-2Fe-2S_neg	tpiA//phnG//
IscR_neg	caiD//gcvH//entD//garD//
IscR_pos	moeA//fadI//
KdgR_neg	bioA//bioD//
KdpE-Phosphorylated_pos	accD//
LacI_neg	deoD//purN//murE//
LeuO_neg	
LeuO_pos	metF//dkgB//mpaA//rhaB//ynfE//melA//
LexA_neg	napH//tauD//dinB//trpD//hcaD//argA//phnG//phoA//pspE//nemA//speA//galK//metC//entH//fabD//glsA//mdh//bglB//ldtC//hycG//glmS//tnaA//cysJ//
LldR-lactate_neg	ynfE//nrdE//
LldR-lactate_pos	purK//thrS//
LldR_neg	nanA//sdhA//
LldR_pos	aspA//gpmM//
LrhA_neg	
LrhA_pos	
LsrR_neg	pgaD//hyi//fadH//entB//bioF//
LysR_neg	
LysR_pos	bioD//
MalI_neg	hypF//galM//
MalT-maltotriose-ATP_pos	yedX//yedX//putA//garL//ynfF//cadA//
MarA_neg	moeB//
MarA_pos	bacA//gcvT//argI//puuB//hypB//metB//araB//rfe//ulaD//ldtD//nanM//ddlB//paaG//mpl//atoA//cysD//garL//carB//eno//paaI//mtlD//murQ//metF//
MarR_neg	
MatA_neg	gloA//
MatA_pos	
MazE-MazF_neg	lpxD//
MazE_neg	pdeH//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	hyaA//gnd//
MelR-melibiose_pos	waaH//rsmH//
MelR_neg	fabG//glxR//
MelR_pos	sufS//recD//
MetJ-adenosylmethionine_neg	hcaB//glpQ//garL//purD//putA//gntK//paaF//tehB//ubiX//argC//
MetR-L-homocysteine_neg	katG//
MetR-L-homocysteine_pos	hycF//cysM//
MetR_pos	fadJ//ubiC//
MhpR-3HPP_pos	ynfH//glpQ//moaE//rhaD//pagP//lacA//
Mlc_neg	ogt//fumB//uxaA//murC//
MlrA_pos	trpD//
MngR_neg	accC//srlD//
MntR-Mn2_neg	garR//
MntR-Mn2_pos	argH//
ModE-MoO42-_neg	galE//dsdA//gapA//rutB//purN//pgaC//rtcB//torA//
ModE-MoO42-_pos	pyrD//entC//idnO//trpC//pykF//thrS//alkB//argC//mhpF//
MprA_neg	melA//fabG//glyA//
MqsA_neg	iscS//rffM//
MraZ_neg	nrdB//fabD//tdcD//gntK//murF//aroG//argD//patD//tyrA//fabH//
MurR_neg	gabD//lysA//purA//
MurR_pos	
Nac_neg	glpB//yqhD//purM//
Nac_pos	entH//purM//prpE//ttdA//lsrF//ubiC//nagB//fes//
NadR_neg	uidA//purH//asnB//ppsA//
NagC_neg	puuE//glxR//nfsB//gdhA//carA//hyaB//pyrD//grxA//gntK//dgcN//nanA//wecB//frdD//lpxC//moeA//hypF//polA//astA//
NagC_pos	rffG//glyA//
NanR_neg	napH//rhaD//rtcB//phnP//lpxC//ccp//
NanR_pos	
NarL-Phosphorylated_neg	mdh//dsdA//paaF//uxaC//gabD//narH//sucC//mpaA//glgP//glgP//nrfA//tdcB//cdd//sgbE//dapB//hyi//argB//acnB//ulaF//aroL//dgcC//astB//argG//fau//betB//amn//glpD//atoB//
NarL-Phosphorylated_pos	ldtC//leuD//recF//aceB//dmsB//paaJ//ulaE//dgcC//mnmG//citG//fabB//fabZ//frdD//galK//narH//
NarP-Phosphorylated_neg	nemA//pgi//wzb//accA//tdcE//
NarP-Phosphorylated_pos	glpK//moaE//cdd//trpA//appA//glpA//sdhD//glpB//mhpF//aceB//ndh//dkgB//murQ//sdhB//
NemR_neg	cysK//tpiA//
NhaR-Na_pos	dmsC//luxS//pgaC//astB//cysN//
NikR-Ni2_neg	paaF//
NimR_neg	metB//
NorR_neg	
NorR_pos	ppsA//
NrdR-Zn2_neg	lpd//wecB//dgkA//bacA//
NsrR_neg	nanM//gadA//ynfH//rbsD//napA//rhaB//dhaK//relA//rutD//guaA//gcvP//tdcG//purA//dgcZ//argD//rimK//dkgB//sbcD//lldD//gadB//pgi//accA//entC//hcaD//folA//aroH//carB//citX//epd//amn//atoA//murG//cysM//nirB//acnB//fucA//fabI//recD//rbsK//ttdA//
NtrC-Phosphorylated_neg	pnp//hycB//
NtrC-Phosphorylated_pos	glpK//ftnA//fabZ//glcD//metK//fdhF//nrdA//hycF//srlD//ugpQ//sdhA//pykF//ldtC//tyrB//glpX//tdcD//murE//fes//uvrC//lsrG//wrbA//
OmpR-Phosphorylated_neg	ychF//rtcA//atoD//nrdF//hycG//
OmpR-Phosphorylated_pos	phnN//metK//chbF//nrfA//
OxyR_neg	fbaA//pgm//narG//deoC//gltB//
OxyR_pos	yeaE//nagB//tpiA//yeaE//mnmG//uvrB//galM//nadA//srkA//metH//umpH//rfe//
PaaX_neg	hyaA//lacA//hycD//sucD//caiD//thrS//mhpF//cysM//gatD//
PdeL_pos	metK//
PdhR_neg	asnB//umuC//gadA//moaD//fadA//aroF//pyrD//lpxA//hcaE//rtcA//asnA//sufS//gapA//glgB//nrdB//galK//ulaG//ulaD//yiaK//nrdE//xapA//srkA//edd//
PdhR_pos	phnG//sdhA//
PepA_neg	carA//udp//
PgrR_neg	alaC//argA//
PhoB-Phosphorylated_neg	fucA//bioD//cysN//fruK//rffG//
PhoB-Phosphorylated_pos	rffH//tadA//puuD//citG//nagB//torC//amn//sucA//mhpC//rfe//puuC//appA//frdD//fabA//rimK//paaK//astB//
PhoP-Phosphorylated_neg	fadB//eno//ubiX//
PhoP-Phosphorylated_pos	ddlB//tadA//sufS//hycC//ulaE//galM//fau//eno//hcaF//glgC//fucA//murI//prpB//cadA//paaZ//yiaK//nagB//frdA//entA//nfsB//cynS//paaC//dmsB//paaK//garK//deoD//acnA//yedX//fabH//rutD//cysI//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	lacA//purD//mdh//ydcS//
PspF_neg	
PspF_pos	wzb//
PurR-hypoxanthine_neg	hcaC//glmS//yiaK//nirD//appA//metE//glpD//citC//tdcG//bioD//galM//fabI//murD//deoD//lacA//rbsD//dhaM//leuB//cysH//epd//fucA//glcF//tpiA//argI//gcvH//torC//
PutA_neg	eda//ssuE//
PuuR_neg	rhaD//adiA//allE//ulaF//purK//hcaB//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	nanA//malS//glnA//dinB//waaY//
RcdA_neg	
RcdA_pos	lacA//
RclR_pos	
RcnR_neg	fadB//
RcsAB_neg	rffT//
RcsAB_pos	rffM//rsmH//
RcsB-BglJ_pos	alaC//torC//
RcsB-Pasp56_neg	fadA//
RcsB-Pasp56_pos	hcaB//allA//nrfD//
RelB-RelE_neg	trpC//
RelB_neg	fadE//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	amn//srlD//rffG//napA//
Rob_neg	
Rob_pos	wrbA//malQ//rtcB//tam//tehB//icd//rpiB//aspA//aroF//napG//arsC//nadA//hcaD//glcF//phnH//entB//paaC//gudD//gatD//
RstA-Phosphorylated_neg	carB//recF//
RstA-Phosphorylated_pos	sufS//
RtcR_pos	mhpC//fabB//
RutR_neg	accC//ugpQ//argI//ahpF//ppc//narH//prpB//sufS//speG//leuB//
RutR_pos	dmsB//
SdiA_neg	
SdiA_pos	
SgrR_neg	glmS//
SgrR_pos	wzc//sodB//
SlyA_neg	
SlyA_pos	lacZ//pnp//appA//galT//malS//fbaB//chbF//lhgO//murF//
SoxR_neg	
SoxR_pos	purB//accD//gabD//yqhD//acnA//lldD//
SoxS_neg	
SoxS_pos	mdh//dgcC//argB//phnN//leuC//dgcZ//malY//lpxD//dgcC//ftnA//alaS//tdcB//garL//amn//rtcA//serA//fucO//yedX//cysC//nagA//puuC//phr//pgm//uxuA//hypB//wecB//purE//hemL//
SrlR_neg	dgkA//srlD//glpX//
StpA_neg	melA//nirB//ulaE//
SutR_neg	pheT//puuE//
SutR_pos	
TdcA_pos	paaY//glpX//nadA//pepD//pgi//
TdcR_pos	atoA//moeA//allE//recB//pgi//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	sdhD//lpxA//atoA//prpB//
TorR-TorI_neg	prpD//
TorR-TorI_pos	
TreR_neg	pheT//betA//
TrpR-tryptophan_neg	aspA//moaA//idnK//ppsA//citF//paaY//cysE//bioF//moaE//
TyrR-phenylalanine_neg	speA//cueO//
TyrR-phenylalanine_pos	ttdB//
TyrR-tyrosine_neg	hycB//waaH//poxB//pflB//glxR//wzb//
TyrR-tyrosine_pos	betB//entB//
TyrR_neg	frc//
TyrR_pos	yeaG//
UhpA-Phosphorylated_pos	murI//
UidR_neg	puuE//ada//
UlaR_neg	pgaC//dmsA//puuE//fabH//tktB//
UvrY-Phosphorylated_pos	kbaY//pgpC//
UxuR_neg	purC//yqjH//aroF//phnI//dapB//
XapR-xanthosine_pos	dgkA//cadA//
XylR-xylose_neg	
XylR-xylose_pos	napB//malZ//yqjH//
YdeO_neg	
YdeO_pos	lpxA//glxR//idnO//
YefM-YoeB_neg	ilvC//
YefM_neg	gadB//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	ynfH//adhE//pheS//cysD//sucC//pncB//
YjjQ_neg	fadJ//argG//
YpdB-Phosphorylated_pos	
YqhC_pos	nirD//ulaF//
YqjI_neg	nrdD//
ZntR-Zn2_pos	ynfH//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	epd//
