# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	nrdB//uxaA//
NarL-Phosphorylated_neg	argI//paaK//moeB//bioF//luxS//citC//mazG//malS//tynA//srlD//aldA//uvrA//astE//murG//fucA//trpB//gpmM//gcvT//hyi//alkB//phnN//argG//ogt//epd//paaC//metH//fumB//ftnA//
NarL-Phosphorylated_pos	entC//fadD//fadH//dgcZ//bioB//argH//rffH//ulaF//fabI//speA//fadE//tdcE//phnH//uxaB//yedX//
NarP-Phosphorylated_neg	ndh//carB//gloA//metF//purM//
NarP-Phosphorylated_pos	mhpA//citG//lsrG//ppsA//paaZ//atoB//aldA//aroH//rutC//murD//asnB//cysE//mltF//metF//
NemR_neg	xylA//citF//
NhaR-Na_pos	cdd//entD//leuB//patD//hyaB//
NikR-Ni2_neg	ubiX//
NimR_neg	frdA//
NorR_neg	
NorR_pos	umuC//
NrdR-Zn2_neg	epd//nagA//ccp//nadB//
NsrR_neg	mpl//rutB//yeaE//gabD//nagB//malP//frc//feaB//sgbE//argA//entH//ccp//glk//sgbE//trpB//bacA//moaA//cueO//bioB//bioF//nrdF//hyaB//atoA//dmsB//ynfG//polB//aroH//fadH//atoB//astB//ynfH//glmU//yeaG//glgA//patD//metB//glcB//betB//speA//purH//
NtrC-Phosphorylated_neg	argD//metE//
NtrC-Phosphorylated_pos	glxR//moaD//pdeR//tadA//pgk//fabH//srlD//allA//speA//aceB//fucI//hyaC//purE//paaI//argI//rimK//aceE//rnpB//waaY//dmsC//recD//
OmpR-Phosphorylated_neg	leuC//waaY//tdcB//trpA//uxuB//
OmpR-Phosphorylated_pos	sucD//citF//slt//torA//
OxyR_neg	dsdA//citF//xapA//sbcC//araB//
OxyR_pos	ribA//glpA//pykF//paaJ//xylB//lsrG//xylB//rffT//wecC//glpQ//murQ//tktB//
PaaX_neg	lacA//murQ//hyaA//xylA//fabH//sgbU//deoD//nrfD//purE//
PdeL_pos	ftnA//
PdhR_neg	moaD//glgB//eda//trpA//ftnA//pgk//pheS//ndh//metL//trpA//aspA//araB//frdA//glpD//garL//prpE//yqjH//lyxK//cysM//katE//fes//bioA//nirB//
PdhR_pos	murG//feaB//
PepA_neg	aceB//eda//
PgrR_neg	glsA//relA//
PhoB-Phosphorylated_neg	bioF//rtcA//deoC//aspA//glgP//
PhoB-Phosphorylated_pos	nagB//ulaE//deoB//ldtB//asnA//argF//phnP//astD//wzb//argA//phoA//uxaC//rhaA//nanM//ygeA//uvrC//mpaA//
PhoP-Phosphorylated_neg	gudD//astB//nadA//
PhoP-Phosphorylated_pos	murG//puuB//phnG//entF//ychF//nrfC//sucC//leuA//srlD//glk//chbF//phnL//udp//phnO//hycC//paaH//glxR//uxaC//idnD//paaH//lsrK//bioD//nrdB//kbaZ//aroL//nagB//gcvT//dgcN//aroF//xylB//fadE//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	garK//kbaY//leuD//mdh//
PspF_neg	
PspF_pos	citF//
PurR-hypoxanthine_neg	gltD//cyoE//gatZ//ynfG//aldA//lsrF//murQ//ulaG//srkA//pgpC//entA//purH//umpH//speG//ulaE//yeaG//polB//murI//malP//aceE//mhpC//gnd//glgC//entD//phnP//idnK//
PutA_neg	dmsA//glgX//
PuuR_neg	slt//puuE//paaG//fadB//nrdA//bioB//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	allD//narH//uxuB//mhpF//lysC//
RcdA_neg	
RcdA_pos	paaF//
RclR_pos	
RcnR_neg	katE//
RcsAB_neg	rbsK//
RcsAB_pos	paaB//hycB//
RcsB-BglJ_pos	waaZ//melA//
RcsB-Pasp56_neg	wecE//
RcsB-Pasp56_pos	nrdD//eno//sucC//
RelB-RelE_neg	rhaA//
RelB_neg	fadM//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	napH//dkgA//asnB//yedX//
Rob_neg	
Rob_pos	ppiA//waaZ//astC//patD//sucD//paaH//glcB//paaZ//frdC//fadB//gpmM//gabT//uxaC//argB//paaK//cyoE//gcvH//fes//asnB//
RstA-Phosphorylated_neg	purA//leuD//
RstA-Phosphorylated_pos	metF//
RtcR_pos	gcl//puuA//
RutR_neg	aroF//purE//sucB//ribA//poxB//araA//cysG//ydcS//ubiA//alaS//
RutR_pos	entE//
SdiA_neg	
SdiA_pos	
SgrR_neg	fumB//
SgrR_pos	torA//prs//
SlyA_neg	
SlyA_pos	pyrC//sdhB//mhpB//citX//lpxA//truB//rpiB//pgm//adhE//
SoxR_neg	
SoxR_pos	frdB//cysK//allA//yqhD//asnA//dmsA//
SoxS_neg	
SoxS_pos	nrfD//metH//sdhC//gnd//truB//grxA//aroG//ppiA//mhpB//tdcG//citC//fruK//sdhB//phnN//alaC//bioB//glgP//ycjG//galE//galT//araB//rffC//chbF//serA//hcaD//aspA//rpiB//nrfD//
SrlR_neg	astA//uvrA//dacC//
StpA_neg	dgcN//hypF//metC//
SutR_neg	aceA//bioB//
SutR_pos	
TdcA_pos	phnH//yqhD//napH//narH//citD//
TdcR_pos	nanA//cynS//trpA//glpQ//allB//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	murC//speB//purM//uvrB//
TorR-TorI_neg	cysC//
TorR-TorI_pos	
TreR_neg	acnA//sdhD//
TrpR-tryptophan_neg	mhpC//nemA//ruvB//entE//dgcZ//sucA//eno//hyaA//treC//
TyrR-phenylalanine_neg	frc//cdd//
TyrR-phenylalanine_pos	aceE//
TyrR-tyrosine_neg	fadE//entC//caiB//frdC//phr//tadA//
TyrR-tyrosine_pos	malP//mltF//
TyrR_neg	argF//
TyrR_pos	entC//
UhpA-Phosphorylated_pos	iscS//
UidR_neg	gltD//nrdF//
UlaR_neg	araB//fes//eda//entC//sgbE//
UvrY-Phosphorylated_pos	napB//ybjG//
UxuR_neg	luxS//yeaE//prpB//ybjG//srkA//
XapR-xanthosine_pos	uxuA//phnM//
XylR-xylose_neg	
XylR-xylose_pos	metC//ribA//mhpB//
YdeO_neg	
YdeO_pos	aspA//fucK//ccp//
YefM-YoeB_neg	tauD//
YefM_neg	phnI//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	pfkA//moeB//hemH//nrdF//pncB//cynT//
YjjQ_neg	fumB//glpQ//
YpdB-Phosphorylated_pos	
YqhC_pos	ubiX//thrS//
YqjI_neg	aroL//
ZntR-Zn2_pos	fadD//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	tdcG//
