# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	ppc//eno//
FadR_pos	uxaB//fadD//hypF//metA//malQ//ahpC//purK//poxB//glxR//ulaG//
FeaR_pos	caiA//dacC//
FhlA-formate_pos	entE//cueO//rutD//deoC//cysG//nfsB//katE//uvrC//
FlhDC_neg	gabT//allE//
FlhDC_pos	ppc//mhpD//phnJ//fbaB//ung//dkgB//mdh//nrdB//ynfH//cyoE//aspA//nanA//
FliZ_neg	katE//purN//acnB//purH//ynfG//
FucR-L-fuculose-1-P_pos	cyoE//rutA//yeaG//umpH//ulaE//waaZ//
Fur-Fe2_neg	eda//citD//argD//cysN//deoD//mnmG//napG//ampC//sdhA//dgcC//ynfH//aldA//rffT//oxc//garK//ppc//sbcD//ribA//patA//nrfA//tdcG//talA//sucD//frdC//leuA//rsmH//sgbH//lysC//amn//rnpB//ynfH//alsE//ulaE//nemA//dgcZ//mpaA//pnp//puuE//citD//ldtC//phnO//paaB//murE//gabT//cysJ//cysC//gcvT//ycjG//accA//rutE//leuC//purN//uvrC//
Fur-Fe2_pos	fabI//sdhA//metC//sdhD//asnA//phr//bacA//gcl//entB//wecB//paaK//speB//wecE//gabD//hcaF//ttdB//
GadE-RcsB_pos	gutQ//uxaB//mtlD//lsrF//poxB//
GadE_pos	treC//bioA//paaB//srlD//ynfF//entA//ruvB//sucA//allE//phnL//
GadW_neg	glyA//xylB//asnA//
GadW_pos	ftsI//cysJ//aceA//lsrG//
GadX_neg	acnB//dkgB//gor//
GadX_pos	moeB//argE//entC//dgcZ//fabH//murQ//napA//recF//gntK//tnaA//aspA//
GalR-beta-D-galactose_neg	appA//frdC//puuB//nrdD//hycB//
GalR-beta-D-galactose_pos	lyxK//murE//ampC//malY//
GalR_neg	fau//purC//metB//pyrD//rutD//bglB//
GalR_pos	sdhB//wecE//cyoE//astD//
GalS-beta-D-galactose_neg	hypB//ldtC//aroG//gor//dgcZ//
GalS-beta-D-galactose_pos	glcE//trpA//tehB//argD//
GalS_neg	phnJ//waaH//mnmG//ahpF//sucD//garK//
GalS_pos	codA//moaE//cysE//katG//
GatR_neg	paaA//lldD//hmp//
GcvA_neg	pykF//wecB//pflB//
GcvA_pos	astB//glpK//prpB//
GlcC-glycolate_neg	
GlcC-glycolate_pos	araA//glgC//acnB//
GlpR_neg	purA//gcl//malZ//glmU//bacA//mhpD//poxB//
GlrR-Pasp56_pos	
GntR_neg	narI//metK//rtcA//argI//aroH//dapB//murD//speB//nrdB//
GutM_pos	aceA//tdcB//recB//
HU_neg	mnmG//cysN//phnO//uvrA//murD//leuB//asnB//
HU_pos	
HcaR-HCA_pos	icd//fucK//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	frdA//
HigB-HigA_neg	yfdE//
HipAB_neg	dkgA//gatD//
HipB_neg	fadJ//dgkA//dkgA//
HprR-Phosphorylated_neg	amn//napA//
HprR-Phosphorylated_pos	ldtC//metK//
HyfR_pos	citG//
HypT-Met-oxidized_neg	tnaA//malS//
HypT-Met-oxidized_pos	gabT//ldtD//rutA//paaF//fruK//
IclR-pyruvate_neg	ycjG//umuC//mltF//
IdnR-5-ketogluconate_neg	glpX//cynS//
IdnR-5-ketogluconate_pos	sodB//glpX//sucD//
IlvY-2-acetolactate_pos	mhpF//
IlvY_neg	
IscR-2Fe-2S_neg	melA//rbsK//
IscR_neg	hypB//purK//glpB//fabZ//
IscR_pos	uvrB//dacC//
KdgR_neg	fumB//fadE//
KdpE-Phosphorylated_pos	adiA//
LacI_neg	dmsC//tdcG//pflB//
LeuO_neg	
LeuO_pos	nadB//rbsK//glgX//thrS//cadA//uvrB//
LexA_neg	malQ//napA//gapA//recB//fumB//sufS//idnO//thrS//purE//deoA//lpxD//napG//hcaC//rutB//gcvH//entH//fucI//malZ//ldtD//narH//waaZ//cysK//cysC//
LldR-lactate_neg	phnP//lysA//
LldR-lactate_pos	argE//napB//
LldR_neg	glxK//ssuD//
LldR_pos	gor//glyA//
LrhA_neg	
LrhA_pos	
LsrR_neg	rtcA//hyaB//tdcG//gadA//eno//
LysR_neg	
LysR_pos	paaF//
MalI_neg	garD//nadB//
MalT-maltotriose-ATP_pos	moeA//chbG//glgP//ftsI//pyrD//relA//
MarA_neg	rimK//
MarA_pos	gloA//bioB//moeA//fumC//lyxK//ldtB//adiA//uvrC//prpD//iscS//astB//uvrB//entC//paaY//asnA//phnM//hyaA//fucA//nrdF//sucA//rimK//glgA//gpmM//
MarR_neg	
MatA_neg	cysI//
MatA_pos	
MazE-MazF_neg	relA//
MazE_neg	gudD//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	xapA//frdD//
MelR-melibiose_pos	cadA//chbG//
MelR_neg	malQ//ftnA//
MelR_pos	adhE//rffM//
MetJ-adenosylmethionine_neg	pgaC//nemA//adhE//entB//fadH//frdC//sodB//udp//edd//cueO//
MetR-L-homocysteine_neg	hcaB//
MetR-L-homocysteine_pos	argI//sucD//
MetR_pos	lpd//yqhD//
MhpR-3HPP_pos	pyrC//aroL//leuB//trpA//alaS//allC//
Mlc_neg	bioC//wecB//allC//sdhD//
MlrA_pos	tehB//
MngR_neg	prpE//ppc//
MntR-Mn2_neg	metB//
MntR-Mn2_pos	lysC//
ModE-MoO42-_neg	grxA//gor//astC//metL//dhaM//glpQ//ftsI//ppc//
ModE-MoO42-_pos	napB//tauD//wrbA//argC//araB//entF//caiA//dinB//recB//
MprA_neg	malQ//purA//rfe//
MqsA_neg	caiC//hycB//
MraZ_neg	mraY//cueO//uxaC//fadI//frdA//metH//puuC//napG//patD//murF//
MurR_neg	lysA//uvrC//gor//
MurR_pos	
Nac_neg	dgcC//sbcC//ynfF//
Nac_pos	mhpB//rutA//sucD//folA//acnA//pspE//uvrC//paaF//
NadR_neg	eda//ynfH//accC//allE//
NagC_neg	poxB//polA//sufS//astD//garK//rbsD//icd//rtcA//cueO//xylA//ybjG//trpD//rtcB//gor//uxaC//ulaD//citF//srlD//
NagC_pos	glpD//wecB//
NanR_neg	allA//garD//recD//paaI//metA//accC//
NanR_pos	
NarL-Phosphorylated_neg	truB//wrbA//nanM//sucA//glxR//metC//chbF//uvrA//recD//yeaE//ydcS//cadA//moaE//ygeA//metF//paaF//pgi//purK//phnG//aceF//cysN//nirB//murI//fabI//lldD//lacZ//metA//ccp//
NarL-Phosphorylated_pos	gcvT//ldtD//gabD//hypB//caiD//purL//alaC//caiB//dapB//trpA//cysC//talA//accD//bioD//uvrC//
NarP-Phosphorylated_neg	betA//murI//ada//tyrB//oxc//
NarP-Phosphorylated_pos	fadE//hycD//fadB//aceE//sdhA//melA//tadA//luxS//waaZ//ahpC//glgB//leuD//alaC//purK//
NemR_neg	rutD//hcaD//
NhaR-Na_pos	dhaL//iscS//lpxA//rffM//nrdE//
NikR-Ni2_neg	purL//
NimR_neg	nirD//
NorR_neg	
NorR_pos	betA//
NrdR-Zn2_neg	ilvC//pheS//entA//cyoE//
NsrR_neg	sucA//fadM//frdC//mhpE//mpl//lpxC//murQ//gabD//melA//glmU//acnA//ynfF//glpD//chbF//phnL//accD//tktB//astD//rutC//rutE//malZ//uvrB//ftsI//aspA//carA//ldtC//hypB//ulaD//fdhF//rbsD//cysM//entH//aroG//uxaA//idnD//astB//guaA//xylB//ftsI//fruK//
NtrC-Phosphorylated_neg	uvrC//trpB//
NtrC-Phosphorylated_pos	fadI//frdA//torA//aceA//metL//trpC//mnmG//aceF//leuB//glpB//paaG//adiA//hcaB//bioD//entB//allE//yqhD//argA//napA//ttdA//dkgB//
OmpR-Phosphorylated_neg	rpiB//glpQ//argD//ruvB//ubiX//
OmpR-Phosphorylated_pos	cysI//murI//citD//cysE//
OxyR_neg	nemA//nfsA//galE//malP//lhgO//
OxyR_pos	tam//rutD//alsE//ynfG//murI//ilvC//dapB//dmsC//gutQ//purE//bioC//allA//
PaaX_neg	purN//deoC//sodB//yqjH//pdeR//ulaG//phr//fdhF//garK//
PdeL_pos	ribA//
PdhR_neg	rffM//ubiC//sufS//ribA//uvrB//glpB//gcvP//prpD//fadH//rhaB//leuB//pyrD//ddlB//serA//glcD//pykF//metE//tadA//hycC//cysH//metH//leuD//argH//
PdhR_pos	glcD//glpA//
PepA_neg	prpC//metF//
PgrR_neg	glpB//moaD//
PhoB-Phosphorylated_neg	purA//truB//accD//fadB//gltD//
PhoB-Phosphorylated_pos	ppsA//hycE//ydcS//citG//fabA//adiA//nrdA//adiA//hemL//gltD//uvrB//ygeA//gutQ//alaS//alsE//ssuD//ndh//
PhoP-Phosphorylated_neg	idnO//epd//bglB//
PhoP-Phosphorylated_pos	recD//dgkA//gatZ//cysH//prpD//gabT//caiA//metC//hycB//dhaK//torC//fadJ//speG//argI//glyA//ppc//entB//cysH//amn//zwf//rutD//entE//ssuE//purH//hycG//tpiA//deoA//deoD//hycC//sodA//nrfA//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	ubiX//fadM//cysJ//chbF//
PspF_neg	
PspF_pos	fruK//
PurR-hypoxanthine_neg	feaB//purB//ada//tdcG//gadA//moeB//sbcC//poxB//lhgO//lpxC//sdhC//hypB//napA//trpE//malS//ftnA//kbaY//mngB//fbaB//melA//nrdA//dmsC//gcvP//pagP//accD//argD//
PutA_neg	nrfC//waaY//
PuuR_neg	fabG//trpA//purK//trpD//rfe//gapA//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	folE//mpaA//pgm//yqjH//glgA//
RcdA_neg	
RcdA_pos	gpmA//
RclR_pos	
RcnR_neg	nirB//
RcsAB_neg	argD//
RcsAB_pos	alsE//sgbH//
RcsB-BglJ_pos	pgk//citC//
RcsB-Pasp56_neg	ppsA//
RcsB-Pasp56_pos	aspC//hcaB//sucA//
RelB-RelE_neg	sodB//
RelB_neg	glcF//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	prpB//glmS//trpC//aceE//
Rob_neg	
Rob_pos	tynA//pgaD//nrfD//gatY//argA//icd//araB//speG//ftnA//frdA//mhpC//mraY//glpA//lacA//aroF//glsA//argF//caiB//bglB//
RstA-Phosphorylated_neg	wecC//citF//
RstA-Phosphorylated_pos	trpE//
RtcR_pos	serA//rbsK//
RutR_neg	ahpF//ftsI//pagP//rsmH//citF//prpB//recF//patD//trpC//lysA//
RutR_pos	sgbH//
SdiA_neg	
SdiA_pos	
SgrR_neg	accA//
SgrR_pos	metC//aroF//
SlyA_neg	
SlyA_pos	tnaA//ychF//wecB//galT//rtcA//folE//entA//bioB//ybjG//
SoxR_neg	
SoxR_pos	appA//nrdB//fadJ//glpC//ahpC//dhaK//
SoxS_neg	
SoxS_pos	gcl//grxA//aroL//idnO//paaZ//accA//rsmH//murQ//entE//astE//purK//mhpC//gpmM//malQ//lpxA//dgcZ//pepD//argB//ssuE//speA//recB//aspC//gltD//sodB//waaH//entB//hcaB//argI//
SrlR_neg	murD//aroH//dhaK//
StpA_neg	metK//yiaK//nirB//
SutR_neg	caiA//glgA//
SutR_pos	
TdcA_pos	frdA//adhE//pheS//gnd//purE//
TdcR_pos	puuA//fadI//paaZ//yqjH//narG//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	torA//gcl//araA//paaG//
TorR-TorI_neg	argA//
TorR-TorI_pos	
TreR_neg	gcl//rffH//
TrpR-tryptophan_neg	entD//citX//garR//mhpA//hycD//glnA//sbcD//trpE//glgX//
TyrR-phenylalanine_neg	glgA//garL//
TyrR-phenylalanine_pos	gadA//
TyrR-tyrosine_neg	phr//astA//napH//glgC//purL//tyrB//
TyrR-tyrosine_pos	sucB//paaH//
TyrR_neg	aspC//
TyrR_pos	murD//
UhpA-Phosphorylated_pos	wecC//
UidR_neg	araA//sdhA//
UlaR_neg	fdhF//ppsA//purA//astC//pdeL//
UvrY-Phosphorylated_pos	argF//rbsD//
UxuR_neg	hycB//torC//nfsB//mdh//umuC//
XapR-xanthosine_pos	citD//bioF//
XylR-xylose_neg	
XylR-xylose_pos	entH//puuD//tehB//
YdeO_neg	
YdeO_pos	sucA//trpA//sgbU//
YefM-YoeB_neg	pykF//
YefM_neg	codA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	glnA//lpxD//nadB//aroL//dgcC//phnL//
YjjQ_neg	pepD//patA//
YpdB-Phosphorylated_pos	
YqhC_pos	ppiA//lacZ//
YqjI_neg	ppsA//
ZntR-Zn2_pos	tdcD//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	trpB//
