# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	phr//araB//
EnvR_neg	chbG//mltF//
EnvY_pos	uxuA//ppsA//
EvgA-Phosphorylated_pos	recF//garL//ulaE//cadA//tauD//nrdF//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	cysK//ascB//fucO//sgbE//fadJ//ssuD//
FabR_neg	ynfF//uvrC//ldtC//
FadR-acyl-CoA_pos	
FadR_neg	purF//speB//sodA//cdd//metF//glcD//rhaA//murQ//fabH//
FadR_pos	waaZ//torC//paaJ//ubiX//iscS//cyoE//entA//rpiB//umuC//ndh//
FeaR_pos	phnI//pspE//
FhlA-formate_pos	metL//cysI//zwf//speB//entD//caiC//pgaB//accC//
FlhDC_neg	ybjG//malS//
FlhDC_pos	slt//poxB//ascB//idnK//cysJ//dhaM//glgX//gabD//ulaD//tdcD//prpE//citF//
FliZ_neg	ttdB//glmU//glxK//srlD//ygeA//
FucR-L-fuculose-1-P_pos	yqhD//glpA//dsdA//rtcA//argF//puuE//
Fur-Fe2_neg	aceE//fdhF//entH//folA//pyrD//rhaD//metC//glpC//lpxA//betA//murD//hyi//rhaA//chbG//recD//nanK//moeA//aceA//purC//puuA//galE//pyrC//paaB//luxS//glxR//cynS//lpxD//metB//ascB//phnJ//rimK//moaC//ynfH//moaA//galE//katG//murF//ynfF//lhgO//glpK//ssuD//rimK//aceA//rutB//argI//dinB//dacC//alkA//uvrA//glyA//asnB//carA//cynS//
Fur-Fe2_pos	paaY//icd//nrfD//purM//sgbH//cysD//putA//ygeA//wzb//nrdA//napA//puuA//speA//purE//hycC//sgbH//
GadE-RcsB_pos	ogt//aroF//dacC//alsE//purM//
GadE_pos	aceE//cadA//glcF//tadA//rtcA//ruvB//cysD//nanA//pgm//rutB//
GadW_neg	galT//puuB//tpiA//
GadW_pos	ftsI//dgcN//fadB//cyoE//
GadX_neg	gpmA//napG//fabG//
GadX_pos	yedX//metA//waaY//tdcD//rimK//fucK//rfe//entH//aroF//srlD//hyaA//
GalR-beta-D-galactose_neg	citD//dinB//bglB//fabZ//pncB//
GalR-beta-D-galactose_pos	ftsI//folE//garK//gltD//
GalR_neg	ulaE//citD//astD//folA//allC//fdhF//
GalR_pos	malZ//fucI//ulaF//lyxK//
GalS-beta-D-galactose_neg	glcF//bioD//hycD//tehB//speG//
GalS-beta-D-galactose_pos	cysH//sucA//mdh//argA//
GalS_neg	murF//leuB//galT//rbsK//sbcC//recD//
GalS_pos	tyrA//malY//deoD//yiaK//
GatR_neg	metK//metF//argD//
GcvA_neg	ynfG//fabA//ruvB//
GcvA_pos	argE//ppiA//purM//
GlcC-glycolate_neg	
GlcC-glycolate_pos	edd//glyA//entE//
GlpR_neg	narG//mazG//moaE//wecB//ydcS//caiA//mraY//
GlrR-Pasp56_pos	
GntR_neg	patA//gadB//ubiC//entA//atoB//rpiB//mhpA//luxS//hcaE//
GutM_pos	gadA//cysE//ugpQ//
HU_neg	tam//psd//metL//deoD//dgcZ//mraY//glxK//
HU_pos	
HcaR-HCA_pos	icd//bacA//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	betB//
HigB-HigA_neg	ldtC//
HipAB_neg	fabA//rffH//
HipB_neg	metL//hyaA//hyi//
HprR-Phosphorylated_neg	murG//atoA//
HprR-Phosphorylated_pos	metC//alaS//
HyfR_pos	gltD//
HypT-Met-oxidized_neg	trpD//moaA//
HypT-Met-oxidized_pos	rhaB//ttdB//fabA//idnD//yqhD//
IclR-pyruvate_neg	patD//metF//ydcS//
IdnR-5-ketogluconate_neg	hcp//pgi//
IdnR-5-ketogluconate_pos	phr//hcaF//dgkA//
IlvY-2-acetolactate_pos	phnN//
IlvY_neg	
IscR-2Fe-2S_neg	torA//entB//
IscR_neg	glsA//phnI//allD//pnp//
IscR_pos	cdd//uvrC//
KdgR_neg	glpB//gpmM//
KdpE-Phosphorylated_pos	deoD//
LacI_neg	trpA//mazG//appA//
LeuO_neg	
LeuO_pos	dgcN//pykF//hcp//luxS//caiB//sdhC//
LexA_neg	phoA//acnA//gabT//metA//entE//fadB//narH//glnA//argE//nanE//atoA//pgaB//asnB//sucD//ogt//acnB//garK//fabB//pagP//lacA//tyrB//narI//cadA//
LldR-lactate_neg	fucU//yeaE//
LldR-lactate_pos	cysI//codA//
LldR_neg	ynfG//lyxK//
LldR_pos	slt//moaC//
LrhA_neg	
LrhA_pos	
LsrR_neg	sucC//paaK//gpmM//hycB//betA//
LysR_neg	
LysR_pos	ldtD//
MalI_neg	moaA//gpmA//
MalT-maltotriose-ATP_pos	sbcC//yfdE//acnB//dapD//napH//betA//
MarA_neg	folE//
MarA_pos	nanK//tdcB//mdh//mazG//malQ//udp//fabA//mhpA//dkgA//melA//glgC//hycC//rnpB//gadB//allC//phnP//psd//allE//araD//fabH//pspE//phnM//sucC//
MarR_neg	
MatA_neg	pck//
MatA_pos	
MazE-MazF_neg	murQ//
MazE_neg	prpD//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	astB//ahpC//
MelR-melibiose_pos	gcvP//gcvT//
MelR_neg	ycjG//napH//
MelR_pos	argB//nadA//
MetJ-adenosylmethionine_neg	tyrB//glgA//ddlB//pheS//accC//lpxA//phnG//pheS//ssuE//mdh//
MetR-L-homocysteine_neg	murC//
MetR-L-homocysteine_pos	ruvB//ung//
MetR_pos	lyxK//argC//
MhpR-3HPP_pos	srkA//slt//mazG//nirD//aroH//araA//
Mlc_neg	fabH//aspA//glpB//xapA//
MlrA_pos	mazG//
MngR_neg	patA//rfe//
MntR-Mn2_neg	araA//
MntR-Mn2_pos	hycB//
ModE-MoO42-_neg	purH//ribA//deoD//fadJ//glyA//hmp//glcB//gpmA//
ModE-MoO42-_pos	recF//garL//asnA//pflB//hycG//cysD//tynA//aroL//allB//
MprA_neg	acnB//purD//moaC//
MqsA_neg	rhaA//relA//
MraZ_neg	feaB//trpA//gadA//fabA//pgi//hemL//murG//lacZ//paaZ//yqhD//
MurR_neg	tyrB//fucA//mpaA//
MurR_pos	
Nac_neg	mhpB//tauD//rimK//
Nac_pos	uxuB//sodB//aceF//pyrD//torA//mdh//dsdA//phnN//
NadR_neg	citG//prpB//uxaA//ubiX//
NagC_neg	puuB//pdeR//metF//acnA//treC//fadE//dsdA//guaB//paaY//astD//rutE//pspE//glpQ//metK//xapA//citE//uxaA//waaZ//
NagC_pos	gdhA//rpiB//
NanR_neg	mngB//sbcD//paaJ//ubiX//glgX//malP//
NanR_pos	
NarL-Phosphorylated_neg	aceF//entA//nanM//hypB//ung//dgcC//ulaD//metC//rutC//gcvH//prpE//aroF//uxaB//napG//tyrB//dkgA//garR//phnH//metF//rutA//paaY//sucD//ddlB//hemL//folA//lhgO//murF//melA//
NarL-Phosphorylated_pos	mtlD//nrdD//phnG//deoB//lldD//paaI//betA//bioF//atoA//betA//purH//rutC//galK//purB//mhpA//
NarP-Phosphorylated_neg	deoD//hemH//leuC//rhaD//accD//
NarP-Phosphorylated_pos	garD//allD//purD//murQ//entH//puuA//yeaG//garR//paaC//glgP//hycF//prpC//murE//tnaA//
NemR_neg	eda//oxc//
NhaR-Na_pos	gpmM//carA//icd//nrfA//cdd//
NikR-Ni2_neg	ulaG//
NimR_neg	fabA//
NorR_neg	
NorR_pos	phnO//
NrdR-Zn2_neg	argI//gabT//yfdE//bacA//
NsrR_neg	pgk//waaH//gatD//caiA//cysD//icd//ruvA//argD//chbG//nrdB//ppsA//patD//ung//mtlD//aceB//ttdA//puuD//argD//purL//hycD//guaA//uvrA//nrdD//citX//tauD//hypB//phr//metC//mraY//nrdA//dmsA//lhgO//rffM//ubiX//uxaB//glpB//torA//murQ//recD//waaH//
NtrC-Phosphorylated_neg	sufS//galE//
NtrC-Phosphorylated_pos	astE//tdcD//caiA//folA//fadH//mhpE//aldA//ilvC//cysG//uxuB//ahpF//fbaB//sgbH//accA//folA//fdhF//betA//prpD//lpd//udp//cysE//
OmpR-Phosphorylated_neg	malY//idnO//leuD//gabT//recD//
OmpR-Phosphorylated_pos	polB//ynfF//nrfC//waaY//
OxyR_neg	purH//entH//deoC//tpiA//nrdD//
OxyR_pos	appA//caiC//leuD//acnA//glcB//purH//ascB//mazG//entH//iscS//gnd//feaB//
PaaX_neg	yeaE//astA//aspA//rfe//glpK//rutB//puuC//pheT//hyaC//
PdeL_pos	moaD//
PdhR_neg	rhaB//pyrC//purC//pyrD//mhpA//purC//aroF//sbcC//gabD//pheT//ftnA//purC//ttdB//dkgB//aroF//appA//guaB//fdhF//cysH//fau//frdB//ssuE//mdh//
PdhR_pos	aspA//aspC//
PepA_neg	gatD//dapB//
PgrR_neg	glcF//yedX//
PhoB-Phosphorylated_neg	dhaK//pspE//fdhF//bacA//tdcG//
PhoB-Phosphorylated_pos	purL//wrbA//ftsI//malY//ldtB//torA//tdcG//garK//hcaB//cdd//garD//nanA//citE//malZ//glgB//ftnA//idnD//
PhoP-Phosphorylated_neg	talA//puuC//allD//
PhoP-Phosphorylated_pos	aceF//pdeR//malP//lysA//bioB//murD//wecB//fruK//uvrC//zwf//napB//glxR//sgbE//yqhD//paaI//ruvA//gabT//gnd//rbsD//entD//mazG//hycC//allB//mraY//rffC//yeaG//uxaA//ada//ubiA//puuE//dmsB//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	glmS//nrdA//murQ//glgP//
PspF_neg	
PspF_pos	accD//
PurR-hypoxanthine_neg	ftsI//tdcB//paaH//argI//uvrC//mhpD//mpaA//pyrC//hcaF//argG//frdB//hemH//ribA//fdhF//citF//pepD//sucC//lpxA//serA//edd//dgcN//ugpQ//glgP//pfkA//ahpC//gor//
PutA_neg	rpiB//wrbA//
PuuR_neg	ugpQ//paaK//fadA//purB//rbsK//mhpD//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	pagP//purD//accD//deoC//nemA//
RcdA_neg	
RcdA_pos	nagA//
RclR_pos	
RcnR_neg	rbsD//
RcsAB_neg	uvrC//
RcsAB_pos	cynS//arsC//
RcsB-BglJ_pos	hycC//truB//
RcsB-Pasp56_neg	glgC//
RcsB-Pasp56_pos	galE//ogt//cyoE//
RelB-RelE_neg	hycG//
RelB_neg	atoD//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	wrbA//aspA//alaC//recF//
Rob_neg	
Rob_pos	betB//hemL//phnG//gcvT//gpmA//pgk//glnA//astB//fadB//glk//nrdD//aroL//hycG//fucI//rutE//xylB//hyaB//glmS//murC//
RstA-Phosphorylated_neg	eno//wecC//
RstA-Phosphorylated_pos	pyrD//
RtcR_pos	fucA//dmsB//
RutR_neg	glxR//lsrF//yqhD//ychF//argD//sbcD//gpmM//aspC//glnA//epd//
RutR_pos	mhpD//
SdiA_neg	
SdiA_pos	
SgrR_neg	puuB//
SgrR_pos	uxaC//lacA//
SlyA_neg	
SlyA_pos	hyaA//purK//aceE//aceB//argH//glcD//tam//poxB//puuE//
SoxR_neg	
SoxR_pos	fabG//ldtD//glk//glcB//yiaK//glpD//
SoxS_neg	
SoxS_pos	umpH//edd//tauD//gatZ//hyaA//wzc//trpB//puuA//guaA//srkA//hyaC//serA//ybjG//tdcE//prs//aroH//paaC//astA//cysE//phnO//uvrA//lsrF//hcaD//glcE//glpB//ycjG//fumB//puuE//
SrlR_neg	bioA//prpB//rhaD//
StpA_neg	glpA//deoB//ynfE//
SutR_neg	trpB//yeaE//
SutR_pos	
TdcA_pos	fadB//ubiC//lsrF//guaB//moeA//
TdcR_pos	fabG//prs//glpX//fabB//glgB//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	fadD//gapA//gcvP//pdeL//
TorR-TorI_neg	leuC//
TorR-TorI_pos	
TreR_neg	lyxK//umpH//
TrpR-tryptophan_neg	purA//ampC//umuC//nanM//sgbH//deoC//phnH//acnB//entH//
TyrR-phenylalanine_neg	hcaB//rutB//
TyrR-phenylalanine_pos	polA//
TyrR-tyrosine_neg	bioB//fadI//tdcG//fumC//lacZ//fabA//
TyrR-tyrosine_pos	gor//gloA//
TyrR_neg	gntK//
TyrR_pos	ndh//
UhpA-Phosphorylated_pos	argA//
UidR_neg	nrfD//sucA//
UlaR_neg	gadA//cynT//rffT//bioF//nadA//
UvrY-Phosphorylated_pos	cynS//fau//
UxuR_neg	ldtD//rffG//argH//hycE//epd//
XapR-xanthosine_pos	nagB//dkgA//
XylR-xylose_neg	
XylR-xylose_pos	malZ//tktB//aceB//
YdeO_neg	
YdeO_pos	citC//pykF//folA//
YefM-YoeB_neg	aceA//
YefM_neg	prpC//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	nadA//srkA//ttdB//frdD//ygeA//folA//
YjjQ_neg	ascB//trpD//
YpdB-Phosphorylated_pos	
YqhC_pos	araD//glpX//
YqjI_neg	uvrB//
ZntR-Zn2_pos	fadJ//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	ung//
