# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	epd//alkA//
CreB-Phosphorylated_pos	folA//
CsgD_neg	nrdE//ssuD//
CsgD_pos	aroL//sucA//fucA//
CsiR_neg	astC//mnmG//hcaE//hcaC//
CspA_pos	pflB//
CueR-Cu_neg	ynfF//glnA//uxaC//
CueR-Cu_pos	aceA//gdhA//
CusR-Pasp_pos	aldA//katE//dmsA//codA//
CynR-cyanate_pos	pdeH//ribA//srkA//
CynR_neg	
CysB-O-acetyl-L-serine_neg	xapA//napH//deoA//
CysB-O-acetyl-L-serine_pos	glgX//phnP//glnA//cysH//pgpC//rimK//garR//iscS//sdhB//lysC//kbaY//pnp//
CysB_neg	
CysB_pos	accA//fucU//
CytR_neg	ruvB//ynfG//purH//bioF//rnpB//hyaA//allE//oxc//fdhF//allB//
Dan-L-tartrate_pos	purE//glyA//
DcuR-Phosphorylated_pos	moaD//garD//wzb//ftnA//
DeoR_neg	cysI//pyrC//garD//xylB//murF//purC//
DhaR_neg	
DhaR_pos	polB//
DicA_neg	
DinJ-YafQ_neg	ldtD//
DnaA-ATP_neg	mhpB//tam//purN//nanE//moeA//
DnaA-ATP_pos	glxK//puuE//paaH//
DpiA-Pasp_neg	
DpiA-Pasp_pos	glpC//phnN//torA//grxA//astD//
DsdC-D-serine_neg	
DsdC-D-serine_pos	rfe//aldA//
EbgR_neg	
EnvR_neg	alkA//wzc//
EnvY_pos	truB//ubiX//
EvgA-Phosphorylated_pos	argD//fumB//nanE//paaZ//recB//moeA//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	tpiA//deoC//narI//nagB//mngB//rsmH//
FabR_neg	rnpB//puuD//nanK//
FadR-acyl-CoA_pos	
FadR_neg	astA//fucU//hypF//alsE//prpC//malZ//purF//nanK//prpE//
FadR_pos	waaY//malZ//alaC//ahpF//malZ//recB//citF//pgaD//fadA//dacC//
FeaR_pos	puuE//uvrB//
FhlA-formate_pos	argH//uvrA//purH//atoB//ubiX//umuD//ada//relA//
FlhDC_neg	purL//ahpC//
FlhDC_pos	epd//adhE//phnJ//ruvB//pgaC//tynA//fumC//yeaG//napH//cynT//acnB//cysI//
FliZ_neg	aroG//hycB//purB//tam//ubiC//
FucR-L-fuculose-1-P_pos	nadB//hmp//luxS//lsrF//glyA//mtlD//
Fur-Fe2_neg	xapA//gltB//trpC//sufS//torA//prpC//gabT//ssuE//nanE//rffG//puuD//hcaF//hycC//bioC//dmsA//fau//murI//hypB//pgpC//lpxD//fes//citC//glcE//ubiC//galE//prpD//napB//caiB//lacA//hcaD//nirD//polA//phnH//atoB//phr//pyrD//prpB//ruvA//dmsA//sodB//cysE//ribA//hyaC//entC//purB//ribA//yiaK//ppiA//fadA//ubiA//glsA//guaB//frc//
Fur-Fe2_pos	tyrB//tdcD//purA//dgcZ//rsmH//frdB//uidA//paaC//sodA//nrfC//sucB//ccp//mdh//pfkA//astB//allC//
GadE-RcsB_pos	gabT//leuA//gltD//cadA//ulaG//
GadE_pos	fadB//phnO//hycC//eda//gltD//mazG//rsmH//dapB//yedX//lyxK//
GadW_neg	nanA//glpC//sufS//
GadW_pos	wrbA//napA//prpB//entD//
GadX_neg	aceE//fadI//dhaM//
GadX_pos	uvrC//mhpD//ampC//murE//argG//pfkA//dkgB//phoA//carB//nadA//paaI//
GalR-beta-D-galactose_neg	rutC//tauD//gcl//paaI//fabI//
GalR-beta-D-galactose_pos	dmsB//entF//prpB//pgaD//
GalR_neg	mnmG//nadB//rffG//tpiA//astD//fadB//
GalR_pos	glxK//astE//ycjG//lysC//
GalS-beta-D-galactose_neg	atoD//glcD//aldA//yqjH//polA//
GalS-beta-D-galactose_pos	fabD//nanA//lpxA//uidA//
GalS_neg	epd//rtcB//sodA//sbcD//galE//xylB//
GalS_pos	eno//trpE//tdcD//rffH//
GatR_neg	truB//rfe//wzb//
GcvA_neg	gdhA//entB//purD//
GcvA_pos	pgm//yiaK//cysD//
GlcC-glycolate_neg	
GlcC-glycolate_pos	hycF//alkA//paaZ//
GlpR_neg	pyrC//rutB//glgX//alaC//cysE//glpK//glgA//
GlrR-Pasp56_pos	
GntR_neg	murC//cysH//idnO//aceE//hyi//narI//bioD//dinB//lpd//
GutM_pos	wecB//speB//chbF//
HU_neg	astC//lysC//ynfG//sdhB//treC//cueO//ssuE//
HU_pos	
HcaR-HCA_pos	astE//metC//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	pfkA//
HigB-HigA_neg	phnL//
HipAB_neg	pspE//napG//
HipB_neg	cynS//leuC//ybjG//
HprR-Phosphorylated_neg	speB//asnB//
HprR-Phosphorylated_pos	galT//pgaC//
HyfR_pos	dmsC//
HypT-Met-oxidized_neg	galT//melA//
HypT-Met-oxidized_pos	gpmM//yedX//galK//argG//araB//
IclR-pyruvate_neg	fadJ//sodA//malZ//
IdnR-5-ketogluconate_neg	kbaY//pgaB//
IdnR-5-ketogluconate_pos	hycC//lacA//idnD//
IlvY-2-acetolactate_pos	dgcZ//
IlvY_neg	
IscR-2Fe-2S_neg	galE//pnp//
IscR_neg	gutQ//metL//yiaK//napH//
IscR_pos	mngB//psd//
KdgR_neg	tdcE//rbsK//
KdpE-Phosphorylated_pos	hycB//
LacI_neg	bacA//argH//aceF//
LeuO_neg	
LeuO_pos	serA//paaF//allC//patA//aspC//phnG//
LexA_neg	gcvH//ddlB//tyrB//tyrB//glpX//tdcD//trpE//hycB//umpH//prpD//glpB//mtlD//hycD//lysC//citF//arsC//moaE//pspE//atoA//mpl//leuB//pheT//hyi//
LldR-lactate_neg	trpD//aceA//
LldR-lactate_pos	hemH//mnmG//
LldR_neg	udp//wecE//
LldR_pos	recB//chbF//
LrhA_neg	
LrhA_pos	
LsrR_neg	ulaF//sdhB//astA//fbaA//hypF//
LysR_neg	
LysR_pos	mhpB//
MalI_neg	gatD//wecE//
MalT-maltotriose-ATP_pos	fucO//allD//trpD//ssuE//katE//rutB//
MarA_neg	nfsB//
MarA_pos	napB//hypF//rutA//deoB//aspC//lsrG//tdcD//mhpA//dapB//sdhD//hycE//kbaZ//ampC//rutC//bacA//speG//metB//kbaZ//sucD//cysK//metH//cynT//malS//
MarR_neg	
MatA_neg	mltF//
MatA_pos	
MazE-MazF_neg	yeaE//
MazE_neg	napH//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	citG//dhaL//
MelR-melibiose_pos	speB//udp//
MelR_neg	metF//lsrK//
MelR_pos	uidA//cdd//
MetJ-adenosylmethionine_neg	ung//katG//hycC//argE//phoA//mhpA//wzb//rffG//pheS//ubiX//
MetR-L-homocysteine_neg	rffC//
MetR-L-homocysteine_pos	aceA//pncB//
MetR_pos	idnK//moeB//
MhpR-3HPP_pos	relA//fabI//phnH//pagP//alkB//leuC//
Mlc_neg	lldD//gnd//dsdA//purA//
MlrA_pos	phnN//
MngR_neg	trpE//rtcB//
MntR-Mn2_neg	sucB//
MntR-Mn2_pos	leuB//
ModE-MoO42-_neg	icd//allB//paaB//fabH//fbaA//pdeL//dgkA//phnO//
ModE-MoO42-_pos	dkgA//fdhF//purB//chbF//feaB//betB//gadA//leuD//ychF//
MprA_neg	gatD//dgcZ//dgcN//
MqsA_neg	nfsA//dhaM//
MraZ_neg	rutE//deoD//gadB//aceA//ybjG//cyoE//argC//murC//hycD//glk//
MurR_neg	citE//aspC//gadB//
MurR_pos	
Nac_neg	paaE//nrfA//ynfG//
Nac_pos	purM//paaH//sdhC//fabB//hemL//sucD//melA//paaC//
NadR_neg	murD//accD//idnK//puuA//
NagC_neg	dinB//phr//gcvH//moaE//argB//accA//bioC//ybjG//nrdF//glmS//mhpF//argA//citG//gltD//deoB//gatZ//psd//hcaF//
NagC_pos	malP//purH//
NanR_neg	fabH//epd//srlD//ppsA//dmsC//polB//
NanR_pos	
NarL-Phosphorylated_neg	uvrA//caiA//nfsA//pagP//ppiA//puuD//paaK//fau//napB//dsdA//patD//dhaM//caiB//atoA//lyxK//xapA//nagA//uxaC//hypF//thrS//ynfH//glpA//putA//gcvH//betA//wecB//gntK//glxK//
NarL-Phosphorylated_pos	glmS//argE//phnI//nadB//rnpB//dhaL//nanE//wrbA//fabD//yeaE//mraY//atoD//rbsK//nrdA//codA//
NarP-Phosphorylated_neg	fadD//cysC//wecB//sgbH//hcp//
NarP-Phosphorylated_pos	lacA//lpxA//nrfA//rhaD//pyrD//metF//glxR//paaK//zwf//murE//pgaD//fadD//trpA//galM//
NemR_neg	paaJ//rffH//
NhaR-Na_pos	wecE//garL//mhpD//sbcC//hyaB//
NikR-Ni2_neg	murD//
NimR_neg	entC//
NorR_neg	
NorR_pos	argD//
NrdR-Zn2_neg	aceE//lsrG//paaC//pgaC//
NsrR_neg	frc//caiB//nanA//pheT//srkA//fucK//hycD//pgpC//ynfH//oxc//phnH//bioD//sgbE//glgC//hycF//dkgB//lsrK//sgbH//nagA//aceE//citC//fabA//hmp//murC//idnK//dgcN//speB//entH//relA//aceE//gabT//gnd//uxuB//fumC//ccp//glcF//hycC//lpxD//tyrA//waaZ//
NtrC-Phosphorylated_neg	murE//fadA//
NtrC-Phosphorylated_pos	malQ//galE//nfsA//glcD//nanA//gatD//purA//cysJ//tdcD//ynfE//adhE//ribA//malZ//gcl//polB//moaD//ulaG//araA//fucA//allE//hcaD//
OmpR-Phosphorylated_neg	umpH//truB//entC//cysD//bioF//
OmpR-Phosphorylated_pos	idnK//iscS//tam//fabA//
OxyR_neg	galM//treC//napB//umuD//bioF//
OxyR_pos	tauD//bioB//fadD//pgm//nanA//glgA//ttdB//ilvC//glgP//xylA//bioB//speB//
PaaX_neg	puuC//ribA//galK//lyxK//aceA//rutD//puuA//chbG//gnd//
PdeL_pos	tktB//
PdhR_neg	aspA//patD//ilvC//pnp//mpl//malS//rpiB//entA//garL//moeA//pdeR//paaB//cueO//cynT//allB//paaY//cysM//araB//acnB//fes//gutQ//paaK//speG//
PdhR_pos	prs//rtcA//
PepA_neg	tktB//wzc//
PgrR_neg	moeA//ppsA//
PhoB-Phosphorylated_neg	umuD//tpiA//fbaB//waaY//pepD//
PhoB-Phosphorylated_pos	mraY//ogt//ychF//cysM//katG//gdhA//rffG//mdh//gabT//serA//wzc//garD//serA//aroF//aceF//caiA//tynA//
PhoP-Phosphorylated_neg	caiC//trpB//gapA//
PhoP-Phosphorylated_pos	purE//nanM//bioC//cysM//cysD//poxB//paaK//chbG//glsA//frdA//entA//pgaC//ppsA//rimK//sdhC//ulaG//gltB//purB//moeA//hmp//chbG//dmsC//rffG//caiB//caiB//sucC//malP//caiA//recF//purE//polA//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	narG//mhpB//tyrA//fabA//
PspF_neg	
PspF_pos	citE//
PurR-hypoxanthine_neg	gor//sucD//uvrA//lsrG//idnK//gatY//aceF//glgA//ynfF//aspA//phnN//tynA//bioB//betA//dgcC//fadJ//glcF//astB//araA//pagP//nrdF//chbG//alaC//idnK//frdC//tyrA//
PutA_neg	uxaC//alaC//
PuuR_neg	glcF//puuE//dgkA//pgaB//lpxD//sufS//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	truB//ruvB//ttdA//murC//cdd//
RcdA_neg	
RcdA_pos	murQ//
RclR_pos	
RcnR_neg	malY//
RcsAB_neg	cyoE//
RcsAB_pos	idnO//prpB//
RcsB-BglJ_pos	cueO//nemA//
RcsB-Pasp56_neg	thrS//
RcsB-Pasp56_pos	napB//ppsA//pgk//
RelB-RelE_neg	gcl//
RelB_neg	hemL//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	murE//fumC//hypF//fadE//
Rob_neg	
Rob_pos	metH//lldD//acnA//murC//metE//argF//gloA//fabA//prpD//fadJ//gatY//mtlD//ada//tyrB//gltB//mhpF//trpD//prpB//ascB//
RstA-Phosphorylated_neg	allB//alaC//
RstA-Phosphorylated_pos	sucD//
RtcR_pos	tpiA//alkB//
RutR_neg	nrdE//uxuA//nadA//nrfA//aldA//pnp//frdC//ppc//paaB//yqjH//
RutR_pos	murF//
SdiA_neg	
SdiA_pos	
SgrR_neg	polB//
SgrR_pos	dmsA//mpaA//
SlyA_neg	
SlyA_pos	dinB//hycD//rutC//srlD//nemA//hyaA//melA//hycB//kbaY//
SoxR_neg	
SoxR_pos	purC//phnM//murE//fabB//phnG//ldtC//
SoxS_neg	
SoxS_pos	tdcB//murF//hcp//dmsB//amn//phnJ//fumC//ubiC//bioF//fabH//treC//fadH//nrfC//leuA//hcaC//tam//purH//ubiX//srkA//ynfE//purF//sucD//recB//nanM//paaB//cysG//gabT//murE//
SrlR_neg	ygeA//phnH//uxaC//
StpA_neg	fruK//pck//dkgA//
SutR_neg	wzb//pheS//
SutR_pos	
TdcA_pos	carA//narG//tauD//mtlD//lysA//
TdcR_pos	sodB//glpK//napH//caiA//entA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	glk//kbaZ//ssuE//srlD//
TorR-TorI_neg	purK//
TorR-TorI_pos	
TreR_neg	glpX//paaE//
TrpR-tryptophan_neg	pdeH//astB//ubiA//rimK//ung//pncB//nirD//katE//moaE//
TyrR-phenylalanine_neg	hcaF//ccp//
TyrR-phenylalanine_pos	oxc//
TyrR-tyrosine_neg	hcaF//aldA//dmsC//xapA//alaS//citG//
TyrR-tyrosine_pos	glk//sdhB//
TyrR_neg	ada//
TyrR_pos	malQ//
UhpA-Phosphorylated_pos	cysN//
UidR_neg	tpiA//gcvH//
UlaR_neg	guaA//paaZ//pagP//tam//ygeA//
UvrY-Phosphorylated_pos	araA//hyaC//
UxuR_neg	fabZ//pncB//ybjG//prpB//mtlD//
XapR-xanthosine_pos	nanM//tam//
XylR-xylose_neg	
XylR-xylose_pos	cysG//frc//rffT//
YdeO_neg	
YdeO_pos	purF//nfsB//dinB//
YefM-YoeB_neg	pgaC//
YefM_neg	sucA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	putA//folA//citF//nrdA//yiaK//fabA//
YjjQ_neg	entC//argD//
YpdB-Phosphorylated_pos	
YqhC_pos	ftsI//amn//
YqjI_neg	fucA//
ZntR-Zn2_pos	uidA//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	rpiB//
