# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	fadA//yiaK//
GadX_neg	ulaG//poxB//recD//
GadX_pos	iscS//ddlB//dmsA//moeA//phnL//lpxA//aroL//nrfC//aroG//iscS//malQ//
GalR-beta-D-galactose_neg	entF//recB//paaE//caiC//fabB//
GalR-beta-D-galactose_pos	ada//wzb//hmp//napG//
GalR_neg	argF//argH//sdhC//phnP//fabH//edd//
GalR_pos	atoA//rutA//trpC//glpK//
GalS-beta-D-galactose_neg	ttdB//araD//murD//atoA//phnM//
GalS-beta-D-galactose_pos	srkA//polA//gpmA//hyaA//
GalS_neg	metC//treC//argH//fucU//aceB//purK//
GalS_pos	pfkA//amn//hemL//tynA//
GatR_neg	aceB//wzc//araB//
GcvA_neg	amn//pheT//gadA//
GcvA_pos	pnp//glgC//dapD//
GlcC-glycolate_neg	
GlcC-glycolate_pos	ddlB//srkA//hycC//
GlpR_neg	ndh//tpiA//glcF//gadB//pdeH//rhaA//leuB//
GlrR-Pasp56_pos	
GntR_neg	gor//caiC//murD//cysD//astB//tyrB//glgC//narH//fumC//
GutM_pos	pheT//entH//aroF//
HU_neg	paaJ//frdB//sbcC//cyoE//idnO//nanM//uxuA//
HU_pos	
HcaR-HCA_pos	galM//atoD//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	accC//
HigB-HigA_neg	rfe//
HipAB_neg	lysC//rffH//
HipB_neg	cysE//glxR//hemL//
HprR-Phosphorylated_neg	mhpC//frdD//
HprR-Phosphorylated_pos	gor//rffC//
HyfR_pos	pyrC//
HypT-Met-oxidized_neg	fadH//deoC//
HypT-Met-oxidized_pos	speG//pgk//dgcC//leuA//pgk//
IclR-pyruvate_neg	pagP//idnD//prpB//
IdnR-5-ketogluconate_neg	bacA//ascB//
IdnR-5-ketogluconate_pos	carA//purB//gpmA//
IlvY-2-acetolactate_pos	ychF//
IlvY_neg	
IscR-2Fe-2S_neg	malQ//alaC//
IscR_neg	metF//accA//citG//paaY//
IscR_pos	dmsB//lsrG//
KdgR_neg	pyrD//glnA//
KdpE-Phosphorylated_pos	yqjH//
LacI_neg	argF//sbcC//pyrD//
LeuO_neg	
LeuO_pos	entC//paaI//paaB//prpE//lsrG//gatD//
LexA_neg	nanM//napA//metE//fadI//idnO//paaB//cysD//gatD//ftnA//galT//tdcB//rhaB//leuB//nanM//murG//rhaD//hmp//phnM//galE//ldtC//metA//aspA//torA//
LldR-lactate_neg	tnaA//katE//
LldR-lactate_pos	wzc//bglB//
LldR_neg	sbcC//caiB//
LldR_pos	hemL//aceB//
LrhA_neg	
LrhA_pos	
LsrR_neg	ogt//murI//mltF//bioB//adiA//
LysR_neg	
LysR_pos	zwf//
MalI_neg	astA//cysK//
MalT-maltotriose-ATP_pos	glnA//lysA//pykF//torC//sucD//rnpB//
MarA_neg	polB//
MarA_pos	pgaD//metA//citG//paaK//idnD//sgbH//frdC//ruvB//napG//hycG//xapA//ftnA//rnpB//gadA//hycC//caiD//idnK//dgkA//bioB//allA//entH//prpC//fdhF//
MarR_neg	
MatA_neg	ynfG//
MatA_pos	
MazE-MazF_neg	sdhD//
MazE_neg	entC//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	feaB//ynfF//
MelR-melibiose_pos	fabD//ugpQ//
MelR_neg	paaI//purN//
MelR_pos	fabA//lhgO//
MetJ-adenosylmethionine_neg	phnP//mhpF//phnI//yeaE//umuD//talA//gadA//fumC//paaZ//metL//
MetR-L-homocysteine_neg	purM//
MetR-L-homocysteine_pos	leuC//leuB//
MetR_pos	nrdB//fabA//
MhpR-3HPP_pos	ssuD//malS//phnL//mngB//sucB//galK//
Mlc_neg	araD//napG//aceB//tehB//
MlrA_pos	tnaA//
MngR_neg	nrfC//fucO//
MntR-Mn2_neg	fabZ//
MntR-Mn2_pos	purA//
ModE-MoO42-_neg	uxaA//eno//truB//phnI//rutB//malP//dmsA//serA//
ModE-MoO42-_pos	tyrA//narI//sbcD//ahpC//rutE//araA//appA//alsE//tpiA//
MprA_neg	hcaC//phnN//narI//
MqsA_neg	gadA//mltF//
MraZ_neg	trpB//thrS//katG//fabH//pgaD//metC//alaC//pgk//nrfA//argI//
MurR_neg	uxaC//pgi//prpC//
MurR_pos	
Nac_neg	hypF//entB//cysI//
Nac_pos	fadH//lsrF//astD//rutB//paaG//hycD//atoD//mtlD//
NadR_neg	sufS//sbcD//araA//mhpD//
NagC_neg	uxaA//dhaL//sdhC//fadD//gadB//pfkA//yedX//hemL//guaB//metK//mhpE//gadB//nrfD//glgB//tdcG//gatZ//feaB//fabH//
NagC_pos	tauD//uvrB//
NanR_neg	rutE//pgaC//ruvA//sdhD//tdcE//xylB//
NanR_pos	
NarL-Phosphorylated_neg	ldtD//tktB//cysN//ubiC//folE//umuC//dapD//guaA//ttdA//melA//argB//araB//dhaM//patA//wrbA//gpmA//citD//ogt//yqjH//malZ//gnd//yiaK//citF//tyrA//rhaB//dkgA//allE//psd//
NarL-Phosphorylated_pos	ccp//mnmG//ldtC//garR//nadA//pdeH//fabB//rpiB//patA//carA//aroH//accD//atoD//rtcB//metB//
NarP-Phosphorylated_neg	hypB//sgbE//waaY//pgi//ynfE//
NarP-Phosphorylated_pos	paaF//slt//mraY//katE//carB//leuB//purD//fucK//carA//glpA//nrfD//glnA//glxK//sufS//
NemR_neg	phnP//ddlB//
NhaR-Na_pos	amn//prpB//alaC//ybjG//ldtC//
NikR-Ni2_neg	psd//
NimR_neg	prpE//
NorR_neg	
NorR_pos	uxuB//
NrdR-Zn2_neg	glmU//galK//ahpC//ascB//
NsrR_neg	cysM//umpH//rbsD//sgbU//nanA//pspE//pdeH//astB//umpH//moaD//hyaB//fabZ//aspA//prpD//trpA//bioB//gatY//rimK//waaH//hcaC//ilvC//frdC//uvrB//ydcS//dgkA//fbaA//uxuA//pgk//araD//alaC//pykF//dkgB//arsC//trpD//recF//mltF//dkgA//fadJ//fbaA//citD//
NtrC-Phosphorylated_neg	pgi//waaY//
NtrC-Phosphorylated_pos	ndh//folE//ynfG//speB//fes//moaA//carB//mhpC//yeaG//puuC//dhaM//pgk//pdeH//murC//phr//leuA//ttdA//pck//cysN//ogt//speB//
OmpR-Phosphorylated_neg	alsE//grxA//citF//deoD//bioB//
OmpR-Phosphorylated_pos	yfdE//mraY//kbaY//lysA//
OxyR_neg	mngB//napG//astA//folA//ppsA//
OxyR_pos	ttdB//rhaA//citC//mhpB//astA//ubiX//pheS//waaY//nagB//ynfH//pgaB//fdhF//
PaaX_neg	paaF//patA//ldtC//astA//mhpF//speA//polA//narH//pspE//
PdeL_pos	uvrC//
PdhR_neg	katE//narH//ppsA//ilvC//ada//ulaF//metA//narG//wecE//glgX//pdeR//uvrB//rtcA//ynfG//xylB//pepD//relA//hyaC//allA//adhE//poxB//cadA//deoB//
PdhR_pos	lacA//gatY//
PepA_neg	nirD//frc//
PgrR_neg	hycC//ycjG//
PhoB-Phosphorylated_neg	yqhD//fucI//ftnA//bioD//entD//
PhoB-Phosphorylated_pos	ynfE//aceA//caiD//argA//citF//fucU//mltF//moaC//aspC//alkB//arsC//purF//cdd//hycG//hycC//napA//mhpC//
PhoP-Phosphorylated_neg	nfsB//mhpA//mhpB//
PhoP-Phosphorylated_pos	entA//moaE//frdA//tynA//gapA//murI//uxaC//aroG//allC//bioF//paaE//idnK//appA//ampC//purA//pflB//alaC//rffH//narI//tyrB//ynfF//lsrF//murG//rbsD//entB//nagB//tktB//glpA//ulaF//melA//deoD//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	pnp//aroH//galE//pck//
PspF_neg	
PspF_pos	argD//
PurR-hypoxanthine_neg	gltB//wecC//caiB//malZ//aspC//umuC//tyrA//lpxD//phoA//murD//mtlD//murI//entB//hyaA//dmsB//araB//rhaA//entA//umpH//metB//atoB//hyi//bioA//sodA//yeaE//chbG//
PutA_neg	gcvT//citD//
PuuR_neg	entC//yedX//udp//putA//astD//pgaB//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	xapA//rbsK//frdB//ldtB//glpX//
RcdA_neg	
RcdA_pos	rtcB//
RclR_pos	
RcnR_neg	prs//
RcsAB_neg	ribA//
RcsAB_pos	fadH//pspE//
RcsB-BglJ_pos	tdcD//bacA//
RcsB-Pasp56_neg	gcvP//
RcsB-Pasp56_pos	pgaB//patD//acnB//
RelB-RelE_neg	paaC//
RelB_neg	torC//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	tdcB//trpB//hyaA//araD//
Rob_neg	
Rob_pos	prpD//paaH//caiD//patA//hmp//dhaM//ulaD//moeB//nagA//trpC//hyi//ccp//truB//grxA//fadM//fruK//sbcD//ulaD//allD//
RstA-Phosphorylated_neg	wecB//garR//
RstA-Phosphorylated_pos	aldA//
RtcR_pos	dhaL//xapA//
RutR_neg	ccp//metC//tadA//hycB//caiC//trpB//glgX//purC//frc//recB//
RutR_pos	srlD//
SdiA_neg	
SdiA_pos	
SgrR_neg	dgcZ//
SgrR_pos	tam//fabZ//
SlyA_neg	
SlyA_pos	aldA//bioA//dgcZ//fabZ//pgpC//putA//sodA//ynfG//fucI//
SoxR_neg	
SoxR_pos	srkA//gabD//hcaE//astE//glpQ//mnmG//
SoxS_neg	
SoxS_pos	ygeA//glpK//citG//entB//codA//pdeL//rutE//citF//glcD//fbaB//uidA//kbaY//nrdB//putA//adhE//nanE//hyaC//fabG//argC//nagB//bacA//tdcD//allC//phnH//ogt//argI//idnK//dkgA//
SrlR_neg	fabD//ada//cysM//
StpA_neg	mhpA//fau//sgbH//
SutR_neg	cyoE//rhaB//
SutR_pos	
TdcA_pos	nrdB//kbaY//hyaB//katG//murG//
TdcR_pos	gcvP//lacZ//fucU//gor//fadI//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	arsC//citX//gltD//caiB//
TorR-TorI_neg	cysE//
TorR-TorI_pos	
TreR_neg	tnaA//ada//
TrpR-tryptophan_neg	amn//pgi//allA//cysG//argA//pnp//ppsA//araD//fadB//
TyrR-phenylalanine_neg	rtcB//pgaB//
TyrR-phenylalanine_pos	hcp//
TyrR-tyrosine_neg	galK//gltB//hycC//cysJ//dkgA//lysC//
TyrR-tyrosine_pos	tdcD//gdhA//
TyrR_neg	nadA//
TyrR_pos	icd//
UhpA-Phosphorylated_pos	purE//
UidR_neg	moaE//fumC//
UlaR_neg	tauD//fadI//alaC//metB//araD//
UvrY-Phosphorylated_pos	argB//purB//
UxuR_neg	ahpF//talA//cadA//ynfG//umpH//
XapR-xanthosine_pos	guaB//argF//
XylR-xylose_neg	
XylR-xylose_pos	cdd//fumB//pepD//
YdeO_neg	
YdeO_pos	xylB//sodB//allC//
YefM-YoeB_neg	ugpQ//
YefM_neg	metB//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	fau//cysC//wecE//sdhB//frdC//sbcC//
YjjQ_neg	astC//srkA//
YpdB-Phosphorylated_pos	
YqhC_pos	nemA//moeB//
YqjI_neg	glcB//
ZntR-Zn2_pos	mhpB//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	waaZ//
