# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	katE//cysH//
DnaA-ATP_neg	pdeL//glpQ//lsrG//yqhD//fucI//
DnaA-ATP_pos	garR//ilvC//gadB//
DpiA-Pasp_neg	
DpiA-Pasp_pos	narI//kbaZ//ftsI//talA//speB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	pgaD//rhaD//
EbgR_neg	
EnvR_neg	alkB//fabD//
EnvY_pos	glgA//poxB//
EvgA-Phosphorylated_pos	argF//caiB//bioB//galE//pncB//metK//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	fadD//yeaG//cysD//hycF//hcaC//nrfD//
FabR_neg	torA//pheS//metA//
FadR-acyl-CoA_pos	
FadR_neg	rtcA//dmsC//nrdA//trpB//yeaG//adhE//allA//cysE//feaB//
FadR_pos	torC//hycF//gnd//gpmM//psd//nanK//adiA//treC//nrdF//pncB//
FeaR_pos	hyaC//glcF//
FhlA-formate_pos	rpiB//gutQ//allD//ldtD//ycjG//astC//tnaA//aroH//
FlhDC_neg	phnL//moaD//
FlhDC_pos	gpmA//torC//moeB//chbG//allC//argE//murI//pykF//galT//guaA//fadH//sucD//
FliZ_neg	cyoE//sbcC//uvrC//tnaA//hcaB//
FucR-L-fuculose-1-P_pos	nirD//hemL//thrS//psd//aceF//rffT//
Fur-Fe2_neg	narI//rsmH//sucB//betA//hyaB//yqjH//metA//appA//aroH//codA//aroH//rtcA//cysE//gabT//citD//citX//ftsI//paaA//cysG//gadA//pfkA//fabH//idnD//nrfA//argF//tehB//idnK//glpD//folE//purD//ppsA//gntK//purM//caiC//fadM//aceE//betB//metE//slt//katG//cyoE//psd//mhpF//rbsK//ftnA//bacA//ahpC//glpD//nrdB//allA//bioB//nrfC//glnA//
Fur-Fe2_pos	mhpE//lpxC//citD//alkA//pgm//fumC//pyrD//rpiB//ssuD//dhaL//sucC//fucA//moaD//sucC//mhpD//ybjG//
GadE-RcsB_pos	gadA//glcD//galK//alsE//ribA//
GadE_pos	lhgO//moaD//accD//fbaA//frdC//frdD//ppsA//katE//cysD//napH//
GadW_neg	ddlB//astB//sucD//
GadW_pos	astB//puuE//rsmH//entF//
GadX_neg	ttdB//oxc//glgB//
GadX_pos	cysN//pgm//rtcA//yiaK//pncB//ahpC//aroF//murC//glmS//edd//rhaA//
GalR-beta-D-galactose_neg	aspC//purL//relA//mraY//cysC//
GalR-beta-D-galactose_pos	lacA//hmp//hcaB//aroH//
GalR_neg	hyi//ppc//purL//phnP//tpiA//argG//
GalR_pos	pgaB//rffH//argA//citX//
GalS-beta-D-galactose_neg	astB//katE//purE//hcaC//phnI//
GalS-beta-D-galactose_pos	deoA//fadH//sbcC//purB//
GalS_neg	argD//glcB//fadE//pgpC//wecE//ccp//
GalS_pos	phnI//citG//phnJ//ygeA//
GatR_neg	uxaC//cadA//melA//
GcvA_neg	eda//hycG//speG//
GcvA_pos	wecC//caiD//speA//
GlcC-glycolate_neg	
GlcC-glycolate_pos	fdhF//aceB//entD//
GlpR_neg	yeaE//hcaF//glxR//rutA//ybjG//icd//tpiA//
GlrR-Pasp56_pos	
GntR_neg	frdD//allB//argE//wecC//cyoE//glyA//aceB//cysD//uvrA//
GutM_pos	edd//aroG//yeaE//
HU_neg	phnL//atoD//aldA//prs//pheT//dgcN//fumC//
HU_pos	
HcaR-HCA_pos	tyrA//lpxC//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	sucB//
HigB-HigA_neg	dhaM//
HipAB_neg	argC//kbaY//
HipB_neg	cyoE//psd//prpD//
HprR-Phosphorylated_neg	purA//rutE//
HprR-Phosphorylated_pos	gpmA//idnK//
HyfR_pos	phnM//
HypT-Met-oxidized_neg	metB//ttdB//
HypT-Met-oxidized_pos	glxK//hycG//wzb//yfdE//nirD//
IclR-pyruvate_neg	citD//tdcG//cysG//
IdnR-5-ketogluconate_neg	ppiA//sdhD//
IdnR-5-ketogluconate_pos	hyaC//nrdE//purD//
IlvY-2-acetolactate_pos	frdA//
IlvY_neg	
IscR-2Fe-2S_neg	rbsD//garL//
IscR_neg	asnA//yqjH//purB//umuC//
IscR_pos	murC//ttdB//
KdgR_neg	entH//cdd//
KdpE-Phosphorylated_pos	udp//
LacI_neg	eda//caiA//garK//
LeuO_neg	
LeuO_pos	napH//rutC//metE//allB//garK//sodA//
LexA_neg	garR//katG//frc//lpxA//paaE//puuB//yfdE//adhE//puuB//sucC//lldD//cysH//wzb//ssuE//argI//accD//hycC//pgaD//hyaB//gltB//argI//moaA//adiA//
LldR-lactate_neg	metA//uxaA//
LldR-lactate_pos	ttdA//yedX//
LldR_neg	cysM//uvrA//
LldR_pos	glcE//katG//
LrhA_neg	
LrhA_pos	
LsrR_neg	murQ//gudD//glsA//pyrD//tadA//
LysR_neg	
LysR_pos	nrdE//
MalI_neg	argH//hcaE//
MalT-maltotriose-ATP_pos	garK//metF//amn//glgC//fadM//puuA//
MarA_neg	glnA//
MarA_pos	pgm//malY//pgi//paaI//sucB//sgbU//murD//hcaD//purE//hypF//glpA//glgX//betA//cysH//fadE//tktB//sucB//nfsA//uxaB//pspE//yiaK//ruvA//fadJ//
MarR_neg	
MatA_neg	rtcA//
MatA_pos	
MazE-MazF_neg	cyoE//
MazE_neg	deoD//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	lpd//mtlD//
MelR-melibiose_pos	hypB//glmS//
MelR_neg	fadE//ynfF//
MelR_pos	cysM//trpA//
MetJ-adenosylmethionine_neg	xapA//leuC//deoA//deoB//metB//wzc//pgm//bioD//murQ//ascB//
MetR-L-homocysteine_neg	hyaC//
MetR-L-homocysteine_pos	katG//melA//
MetR_pos	rffC//citG//
MhpR-3HPP_pos	prs//ribA//rhaD//citD//ada//nrfA//
Mlc_neg	tnaA//metF//sgbH//katE//
MlrA_pos	bacA//
MngR_neg	hycE//guaB//
MntR-Mn2_neg	tdcG//
MntR-Mn2_pos	rnpB//
ModE-MoO42-_neg	gutQ//mpaA//poxB//aroH//tktB//gatD//ruvA//hycD//
ModE-MoO42-_pos	cysE//paaF//rhaD//prpE//fadD//metK//glgP//citG//glpA//
MprA_neg	rtcA//accD//glxR//
MqsA_neg	hycE//glgX//
MraZ_neg	ynfE//glcE//lyxK//kbaY//lpd//hemH//trpB//cueO//cadA//moaC//
MurR_neg	gcvP//glxR//lsrK//
MurR_pos	
Nac_neg	uidA//luxS//cynS//
Nac_pos	asnA//mraY//rffC//astB//betA//tynA//poxB//sbcD//
NadR_neg	speB//lhgO//ampC//sufS//
NagC_neg	argH//carA//rpiB//astB//hycF//sdhC//ppsA//pspE//paaG//hyaA//lpxD//ruvA//fdhF//trpA//wzc//garK//hyaC//cysK//
NagC_pos	ppiA//mpaA//
NanR_neg	aspC//purB//nemA//argH//hycE//iscS//
NanR_pos	
NarL-Phosphorylated_neg	yedX//tyrB//trpE//argA//patD//betA//ftsI//dhaL//entB//frdC//tadA//sbcD//umuC//fabD//glnA//gltD//ydcS//lacZ//fucK//hypB//ybjG//aceE//leuC//tynA//rnpB//gatZ//purF//mhpD//
NarL-Phosphorylated_pos	hycD//allC//lacZ//dapD//fdhF//ampC//pgaC//uxuB//glk//uvrA//purA//frdB//purC//phnN//lhgO//
NarP-Phosphorylated_neg	idnD//mnmG//ribA//ldtC//srkA//
NarP-Phosphorylated_pos	ynfF//chbF//nemA//entA//metK//narI//ynfG//udp//fucI//fumB//nrfA//lysC//yeaG//allB//
NemR_neg	fes//rffT//
NhaR-Na_pos	gadA//glmS//ygeA//fucI//glmU//
NikR-Ni2_neg	ubiC//
NimR_neg	umuD//
NorR_neg	
NorR_pos	phnL//
NrdR-Zn2_neg	udp//ampC//dgcZ//umuD//
NsrR_neg	puuC//argC//ydcS//puuD//hcaD//ydcS//kbaY//polA//nadB//rsmH//gudD//purL//entC//argA//metH//iscS//mazG//ftsI//frdD//cysE//hycF//citD//adhE//aroL//uidA//aceF//cysN//argG//kbaZ//murC//araB//ynfG//hypF//fucA//carB//citE//glpX//speB//napA//nirD//
NtrC-Phosphorylated_neg	hypB//lsrK//
NtrC-Phosphorylated_pos	fucK//caiB//hycF//gcl//fadB//katG//luxS//guaB//gltB//citG//phnL//napG//mhpC//cysJ//pck//fadJ//caiD//hcaB//wrbA//ynfE//allE//
OmpR-Phosphorylated_neg	argG//entC//rutB//argI//nrdD//
OmpR-Phosphorylated_pos	torC//cysM//chbF//tam//
OxyR_neg	murG//moaD//glpD//cdd//purE//
OxyR_pos	ubiX//sdhB//entB//xapA//glpX//recD//astE//bioB//cysM//gadA//nirB//asnA//
PaaX_neg	gltD//entE//hcp//hcaE//mhpF//aceE//caiB//fucK//fruK//
PdeL_pos	rhaD//
PdhR_neg	rpiB//ynfH//rffM//sdhB//malP//citE//gpmA//nemA//thrS//rnpB//deoB//fabB//cysK//waaH//pyrD//tehB//moaE//purB//fabA//ndh//cysM//fabZ//paaE//
PdhR_pos	yfdE//mhpD//
PepA_neg	nemA//iscS//
PgrR_neg	gcvP//icd//
PhoB-Phosphorylated_neg	astB//iscS//ung//paaG//gdhA//
PhoB-Phosphorylated_pos	glgB//hypB//cysJ//fabG//srkA//eno//ubiX//garL//metK//patA//tyrB//moaC//narI//dapB//mhpF//dmsA//argA//
PhoP-Phosphorylated_neg	ubiA//uxuA//talA//
PhoP-Phosphorylated_pos	umpH//ppc//garD//lsrG//hypB//cynT//entC//alaC//atoA//aspC//fabI//yiaK//sgbU//araD//narI//cdd//rpiB//purC//metE//poxB//phr//umuD//cynT//fabD//prs//rffC//fadI//yqjH//srkA//uvrC//phr//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	gutQ//guaB//sgbU//alkA//
PspF_neg	
PspF_pos	pgi//
PurR-hypoxanthine_neg	ubiA//glgB//gabT//mpaA//entE//glmU//aceE//sucA//gcvP//iscS//metF//sufS//idnO//putA//tktB//iscS//deoC//gutQ//ilvC//dgcN//grxA//aceA//dacC//ubiX//aceB//purE//
PutA_neg	pgi//nrfA//
PuuR_neg	ynfG//fadM//folA//paaI//sucA//prpD//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	rpiB//hcaD//putA//pheT//garK//
RcdA_neg	
RcdA_pos	pspE//
RclR_pos	
RcnR_neg	rhaA//
RcsAB_neg	mpl//
RcsAB_pos	aceE//tynA//
RcsB-BglJ_pos	yqjH//dgkA//
RcsB-Pasp56_neg	murC//
RcsB-Pasp56_pos	puuC//hyi//tauD//
RelB-RelE_neg	betB//
RelB_neg	fes//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	betA//metK//narG//malY//
Rob_neg	
Rob_pos	ahpF//purN//paaB//nadB//glpD//rutD//metE//tdcG//arsC//hemL//ynfG//pck//glxR//torC//astB//nfsB//ynfF//glgX//tdcD//
RstA-Phosphorylated_neg	tyrA//galT//
RstA-Phosphorylated_pos	glsA//
RtcR_pos	hemL//gapA//
RutR_neg	hycD//lacZ//phnH//aceA//xapA//bioC//waaY//cynS//mtlD//metL//
RutR_pos	dapD//
SdiA_neg	
SdiA_pos	
SgrR_neg	purK//
SgrR_pos	tdcB//ppsA//
SlyA_neg	
SlyA_pos	glgA//gapA//ugpQ//polA//idnK//ldtB//moeB//cyoE//zwf//
SoxR_neg	
SoxR_pos	lsrK//carA//nrfA//ilvC//napA//pgk//
SoxS_neg	
SoxS_pos	ribA//pnp//sgbE//napH//wzb//entF//glpQ//fadB//hcaB//argA//slt//allB//polB//frdA//recD//uxaC//dapD//aroH//ldtB//hcaC//tdcB//fabA//araB//paaI//fes//moaE//glpA//gltD//
SrlR_neg	cysG//tauD//purL//
StpA_neg	hcaD//pagP//cysD//
SutR_neg	slt//polB//
SutR_pos	
TdcA_pos	yeaE//tdcG//garK//metF//betA//
TdcR_pos	pnp//aceE//glpB//waaY//glpK//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	gcvT//tdcB//trpA//allE//
TorR-TorI_neg	chbF//
TorR-TorI_pos	
TreR_neg	metL//fabG//
TrpR-tryptophan_neg	ddlB//ahpF//uxaA//argG//glgC//cysE//paaC//kbaY//frdB//
TyrR-phenylalanine_neg	rffG//sucB//
TyrR-phenylalanine_pos	bglB//
TyrR-tyrosine_neg	citF//rffM//folE//hypB//atoB//dsdA//
TyrR-tyrosine_pos	hycG//araA//
TyrR_neg	pykF//
TyrR_pos	phnN//
UhpA-Phosphorylated_pos	recD//
UidR_neg	puuB//gcvP//
UlaR_neg	gabT//glyA//aspC//melA//aldA//
UvrY-Phosphorylated_pos	glcF//sgbU//
UxuR_neg	hcaE//hyaA//relA//phnJ//wzc//
XapR-xanthosine_pos	lysC//glpQ//
XylR-xylose_neg	
XylR-xylose_pos	purK//gpmM//glgA//
YdeO_neg	
YdeO_pos	moaA//murI//fucU//
YefM-YoeB_neg	mhpA//
YefM_neg	glcE//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	eno//pheT//glyA//trpE//paaJ//rffH//
YjjQ_neg	pykF//hypF//
YpdB-Phosphorylated_pos	
YqhC_pos	uvrA//uxaB//
YqjI_neg	purK//
ZntR-Zn2_pos	aceF//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	glgP//
