# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	fruK//dacC//
CytR_neg	moeB//citF//entA//dgcC//ftsI//fabA//alaC//glyA//sgbE//glcD//
Dan-L-tartrate_pos	murI//sdhB//
DcuR-Phosphorylated_pos	hmp//fbaA//fadD//lysA//
DeoR_neg	iscS//paaE//fabI//glpC//slt//allC//
DhaR_neg	
DhaR_pos	tdcE//
DicA_neg	
DinJ-YafQ_neg	carA//
DnaA-ATP_neg	ubiA//nadA//tauD//moaC//poxB//
DnaA-ATP_pos	rfe//pheS//ada//
DpiA-Pasp_neg	
DpiA-Pasp_pos	napG//dgcN//pagP//nadA//dapB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	hycG//lsrF//
EbgR_neg	
EnvR_neg	fes//rutE//
EnvY_pos	sdhB//yiaK//
EvgA-Phosphorylated_pos	dhaK//allD//dhaM//ynfE//phnN//katG//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	asnA//dkgB//nirD//garL//serA//cysJ//
FabR_neg	guaA//ycjG//gcvP//
FadR-acyl-CoA_pos	
FadR_neg	gcvT//idnO//accA//cysC//phnL//purE//lysA//lyxK//nrdD//
FadR_pos	nrfC//hyi//tdcG//metH//lacZ//recD//citE//feaB//sdhD//rutB//
FeaR_pos	mtlD//bioB//
FhlA-formate_pos	edd//sgbU//phnH//prpC//nanE//deoD//speA//rnpB//
FlhDC_neg	ulaG//asnB//
FlhDC_pos	argD//citF//yfdE//asnB//pgpC//tdcB//hyi//dgkA//glxR//aceF//mnmG//trpA//
FliZ_neg	yqjH//ygeA//puuB//fadH//metA//
FucR-L-fuculose-1-P_pos	phnM//phnI//idnD//ascB//prpB//sdhA//
Fur-Fe2_neg	dmsA//ogt//hycG//hcaB//ogt//allB//bioA//pyrC//fabB//umuD//guaA//lysA//pyrC//purH//pyrD//hyaC//fabZ//argB//phnG//lyxK//mngB//dapD//rhaA//galK//ahpC//hypF//gcl//murD//tktB//nrdB//galT//moaC//astA//fruK//cysN//puuE//frdC//argI//gadB//mhpF//gltB//pepD//gor//hemL//mazG//asnA//icd//mdh//entE//entE//leuD//sucB//glpB//
Fur-Fe2_pos	alaS//caiD//hcaD//wecB//epd//fucK//torC//glmS//ppc//purA//galM//paaG//adhE//paaC//puuA//mhpA//
GadE-RcsB_pos	ssuD//aroG//aceF//tdcE//acnB//
GadE_pos	nagB//caiB//fruK//puuC//fes//uxuA//fumC//pdeR//moaE//gcvT//
GadW_neg	murD//oxc//hyaB//
GadW_pos	mdh//lpd//cysM//asnB//
GadX_neg	glcB//speA//leuC//
GadX_pos	deoC//pfkA//frc//aceE//entD//purN//ddlB//nanE//gcvT//pdeL//aceB//
GalR-beta-D-galactose_neg	argH//tpiA//cysJ//astB//fadE//
GalR-beta-D-galactose_pos	citX//torC//pdeH//ilvC//
GalR_neg	psd//ynfE//pheS//argD//glxR//cyoE//
GalR_pos	accA//dsdA//rtcA//bioF//
GalS-beta-D-galactose_neg	ruvB//nadB//sucB//glcB//purD//
GalS-beta-D-galactose_pos	rimK//fadM//lpd//ruvA//
GalS_neg	nanE//uxaA//gcl//araD//gapA//purA//
GalS_pos	gntK//nanE//ldtC//katE//
GatR_neg	entF//fucK//ilvC//
GcvA_neg	rutD//nagB//ogt//
GcvA_pos	thrS//cysG//napB//
GlcC-glycolate_neg	
GlcC-glycolate_pos	sdhA//phnP//tdcG//
GlpR_neg	trpE//paaF//grxA//hcaF//gabT//gabD//hcp//
GlrR-Pasp56_pos	
GntR_neg	dmsA//fruK//caiC//caiD//astB//galT//leuB//purD//narG//
GutM_pos	nanE//ydcS//kbaZ//
HU_neg	frdA//ppc//pgpC//phnL//gpmM//paaF//mdh//
HU_pos	
HcaR-HCA_pos	yedX//entD//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	aceF//
HigB-HigA_neg	dacC//
HipAB_neg	puuB//grxA//
HipB_neg	hyaB//poxB//fabD//
HprR-Phosphorylated_neg	alsE//pfkA//
HprR-Phosphorylated_pos	fadJ//uvrA//
HyfR_pos	galK//
HypT-Met-oxidized_neg	glpB//gapA//
HypT-Met-oxidized_pos	fadJ//leuC//mhpC//edd//sbcD//
IclR-pyruvate_neg	pgaC//entA//metA//
IdnR-5-ketogluconate_neg	bioB//bioB//
IdnR-5-ketogluconate_pos	garK//phnI//mngB//
IlvY-2-acetolactate_pos	wecB//
IlvY_neg	
IscR-2Fe-2S_neg	gltD//paaC//
IscR_neg	tdcD//aroG//rffT//paaF//
IscR_pos	phnP//aceF//
KdgR_neg	gudD//asnA//
KdpE-Phosphorylated_pos	paaF//
LacI_neg	prpC//fadI//phnL//
LeuO_neg	
LeuO_pos	ubiC//uvrB//astE//nanM//rbsD//ubiX//
LexA_neg	trpD//gcl//ruvA//aspC//moaD//nanA//glpQ//nirD//gltD//asnA//mhpB//metF//fadM//chbG//dmsC//pheT//phnG//rutC//glcE//galM//wecB//fadE//hemL//
LldR-lactate_neg	deoB//araB//
LldR-lactate_pos	fadH//ynfE//
LldR_neg	pspE//galT//
LldR_pos	lldD//pheT//
LrhA_neg	
LrhA_pos	
LsrR_neg	rutB//bioA//ygeA//ppsA//glpA//
LysR_neg	
LysR_pos	fucA//
MalI_neg	rffT//gnd//
MalT-maltotriose-ATP_pos	luxS//katE//dmsC//ahpC//gloA//nrdE//
MarA_neg	tdcB//
MarA_pos	purB//moeB//phnO//tdcD//pdeR//yqjH//fabA//galK//pykF//rutC//murG//bioD//phnH//pykF//citX//pgaC//entF//lsrK//gadA//glcB//argH//ychF//ttdB//
MarR_neg	
MatA_neg	hyaA//
MatA_pos	
MazE-MazF_neg	betA//
MazE_neg	bioF//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	argC//trpC//
MelR-melibiose_pos	ruvB//metA//
MelR_neg	fadM//argE//
MelR_pos	murG//cadA//
MetJ-adenosylmethionine_neg	hyi//sgbE//nrfD//pgaC//fes//rhaB//adiA//idnO//dgkA//idnO//
MetR-L-homocysteine_neg	cysE//
MetR-L-homocysteine_pos	trpD//entD//
MetR_pos	narI//lpxC//
MhpR-3HPP_pos	pdeL//purA//tehB//phoA//glmU//ldtC//
Mlc_neg	melA//puuC//pdeR//nirB//
MlrA_pos	prs//
MngR_neg	idnO//pflB//
MntR-Mn2_neg	gnd//
MntR-Mn2_pos	phnM//
ModE-MoO42-_neg	glgC//rhaD//citE//adhE//hypB//araD//ydcS//mpl//
ModE-MoO42-_pos	paaY//ilvC//purA//cysC//hycC//gabD//dhaL//gloA//entA//
MprA_neg	sdhA//glk//guaB//
MqsA_neg	glgC//gpmM//
MraZ_neg	codA//mnmG//ahpC//fumB//nagB//fbaB//ppsA//fadH//glk//glgX//
MurR_neg	mpaA//cadA//prpB//
MurR_pos	
Nac_neg	metA//gpmM//aldA//
Nac_pos	cysI//moeB//gadB//nadA//uvrC//tdcG//hypB//puuC//
NadR_neg	galK//alaC//ubiX//uxaC//
NagC_neg	hemL//mnmG//entC//ampC//fabB//aspA//purB//hemL//rutC//aroL//truB//chbG//prpD//ubiC//fabA//polA//ddlB//kbaZ//
NagC_pos	bioB//cysC//
NanR_neg	fabA//ulaG//leuA//fucA//argB//hycC//
NanR_pos	
NarL-Phosphorylated_neg	aceB//puuA//phnP//adhE//fucA//caiC//uxuA//prpE//wecC//atoA//astD//lacA//grxA//rfe//sdhC//yqhD//wzb//garR//hycC//hcaB//astA//phnI//paaH//rutC//phnM//ascB//treC//uidA//
NarL-Phosphorylated_pos	fes//ribA//yqjH//waaY//ahpC//trpD//carA//bglB//cysG//pfkA//rffT//ampC//ugpQ//eda//astD//
NarP-Phosphorylated_neg	gltB//phnH//rtcB//trpE//pyrD//
NarP-Phosphorylated_pos	nrdF//xapA//metK//rbsD//trpB//sbcC//mnmG//fabZ//rffG//acnB//sgbU//paaA//tadA//lpxD//
NemR_neg	gcl//rffH//
NhaR-Na_pos	gatZ//hyaC//glmS//melA//tyrA//
NikR-Ni2_neg	nanK//
NimR_neg	glpC//
NorR_neg	
NorR_pos	glk//
NrdR-Zn2_neg	truB//arsC//moeB//puuD//
NsrR_neg	yqhD//caiC//ahpF//paaE//sgbH//ycjG//ldtB//cysI//nirB//murD//citX//ahpC//yedX//betA//dmsC//mazG//carB//glmS//cysK//edd//dgcC//murD//glxR//glmS//phnP//fabZ//katG//hyaC//purC//malS//pncB//waaY//citG//narI//purK//pgaB//accD//mhpB//glpA//glpB//
NtrC-Phosphorylated_neg	ynfH//aroG//
NtrC-Phosphorylated_pos	astB//atoA//lsrF//rbsK//cysJ//uxaC//phnL//lldD//pdeH//purF//bioC//tdcG//recB//phoA//katE//relA//cysN//caiC//metL//allB//nrdF//
OmpR-Phosphorylated_neg	prpE//tnaA//wrbA//ftsI//bioA//
OmpR-Phosphorylated_pos	moaA//wecC//citC//glmU//
OxyR_neg	dapD//narG//bioA//dapB//polB//
OxyR_pos	astE//entD//grxA//waaZ//xylA//napA//frdB//speA//sgbH//nrfD//dhaL//cysM//
PaaX_neg	gpmM//purH//glpB//fadI//mazG//moeB//amn//truB//tadA//
PdeL_pos	sodB//
PdhR_neg	purK//fbaA//mltF//chbG//pgi//waaZ//lpxC//rsmH//moeA//murF//gadA//fadD//fabH//ygeA//mngB//ccp//tdcE//caiC//hycD//murQ//polB//pdeL//nanA//
PdhR_pos	rffC//poxB//
PepA_neg	phnG//hemH//
PgrR_neg	torC//ssuD//
PhoB-Phosphorylated_neg	ynfF//glcF//pnp//sucD//rtcA//
PhoB-Phosphorylated_pos	ubiX//hycF//zwf//leuD//speA//pgaC//pyrD//purC//acnB//wrbA//speG//dgcZ//betB//bglB//tdcG//fadB//rhaD//
PhoP-Phosphorylated_neg	citF//rpiB//waaZ//
PhoP-Phosphorylated_pos	adhE//hcaB//mhpA//murF//aceA//phnL//eda//phnG//polB//glpB//deoC//ynfH//wecC//ribA//truB//hypF//cynS//thrS//fabG//entA//yedX//mpl//aroF//sodB//paaY//puuB//pyrD//garK//ddlB//pdeR//purK//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	cysD//folA//fadJ//gloA//
PspF_neg	
PspF_pos	tauD//
PurR-hypoxanthine_neg	ynfG//sodB//tktB//paaE//glyA//ulaG//srkA//cysM//tam//carA//ssuE//pck//deoA//nanE//gpmA//melA//rutA//putA//murG//caiD//nrdD//bacA//uxaB//carA//astB//sdhD//
PutA_neg	udp//ppiA//
PuuR_neg	ldtC//cysM//rsmH//gapA//cdd//patA//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	idnO//murQ//hcaC//fucO//trpE//
RcdA_neg	
RcdA_pos	pgm//
RclR_pos	
RcnR_neg	adhE//
RcsAB_neg	hycE//
RcsAB_pos	nagA//mnmG//
RcsB-BglJ_pos	ftsI//mhpB//
RcsB-Pasp56_neg	hyaB//
RcsB-Pasp56_pos	sucC//nfsA//cysH//
RelB-RelE_neg	garD//
RelB_neg	pepD//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	mhpF//puuC//citD//pnp//
Rob_neg	
Rob_pos	astA//hypB//yeaE//napG//gabD//pgaD//kbaY//mhpE//glxK//argC//glyA//waaY//lyxK//phnG//lyxK//argA//sgbE//murC//dapB//
RstA-Phosphorylated_neg	purA//iscS//
RstA-Phosphorylated_pos	citC//
RtcR_pos	umuC//rtcA//
RutR_neg	glnA//gadA//fucU//mhpA//phoA//uvrB//frdD//dkgB//galE//fucO//
RutR_pos	purC//
SdiA_neg	
SdiA_pos	
SgrR_neg	carB//
SgrR_pos	pagP//citX//
SlyA_neg	
SlyA_pos	katE//allD//folA//thrS//pdeL//pagP//glmS//aldA//frc//
SoxR_neg	
SoxR_pos	dacC//pgk//tnaA//sbcC//treC//dhaL//
SoxS_neg	
SoxS_pos	mhpD//ulaG//uxuA//astD//nrdD//argG//uxaB//phnM//hcaF//sbcC//ulaD//metF//katE//metE//sodB//fbaB//purA//glgP//nemA//fbaA//frdA//hycG//tyrA//fadJ//rsmH//rutA//moaC//luxS//
SrlR_neg	dapD//amn//gpmM//
StpA_neg	accA//glgA//cysE//
SutR_neg	astD//bioC//
SutR_pos	
TdcA_pos	nrfC//paaJ//purN//lpd//deoB//
TdcR_pos	leuB//umuD//narI//sodB//fadM//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	nagB//rhaA//allE//hcaD//
TorR-TorI_neg	pdeH//
TorR-TorI_pos	
TreR_neg	gapA//pdeH//
TrpR-tryptophan_neg	metE//ppsA//glpX//treC//cyoE//phr//pgk//hycD//metF//
TyrR-phenylalanine_neg	nrfA//accA//
TyrR-phenylalanine_pos	glgC//
TyrR-tyrosine_neg	cysG//rutA//rtcB//hypF//hycD//hycD//
TyrR-tyrosine_pos	asnB//hyaA//
TyrR_neg	argG//
TyrR_pos	purL//
UhpA-Phosphorylated_pos	feaB//
UidR_neg	metA//hcaE//
UlaR_neg	lpd//glgB//mdh//narH//tktB//
UvrY-Phosphorylated_pos	umpH//fadH//
UxuR_neg	rpiB//paaY//gcvP//citC//metK//
XapR-xanthosine_pos	hyaB//ampC//
XylR-xylose_neg	
XylR-xylose_pos	paaK//sdhB//ybjG//
YdeO_neg	
YdeO_pos	uvrB//hcaE//bioA//
YefM-YoeB_neg	fucI//
YefM_neg	glgX//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	purM//cysK//leuD//dacC//lpd//adhE//
YjjQ_neg	ftsI//folE//
YpdB-Phosphorylated_pos	
YqhC_pos	hcaB//mhpE//
YqjI_neg	yfdE//
ZntR-Zn2_pos	glcD//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	glgP//
