# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	guaA//deoC//
CecR_neg	tdcD//
ChbR-N-monoacetylchitobiose6-phosphate_neg	entC//fadI//rutE//
ChbR-N-monoacetylchitobiose6-phosphate_pos	tyrB//metE//glgC//
ChbR_neg	ddlB//purD//rhaB//
ChbR_pos	ddlB//frdD//paaJ//
ComR_neg	
CpxR-Phosphorylated_neg	narG//fadB//ulaG//
CpxR-Phosphorylated_pos	wrbA//mdh//speA//prpB//lyxK//glgP//metF//fbaA//glcD//hcaB//fucI//dinB//hemH//ulaF//hyi//poxB//murG//citE//
Cra_neg	nirB//moeA//ynfG//pspE//cysD//wecB//xylA//rutE//gltB//gpmA//lsrK//lpxD//sgbH//tnaA//ubiA//gpmA//icd//xapA//cdd//nadB//metK//purD//rnpB//aceF//nanK//sbcD//prpD//ttdB//katE//ldtD//metC//gadA//entF//puuD//treC//nanE//fabG//leuD//mhpD//metF//glgB//uxuB//ycjG//mhpF//malS//
Cra_pos	lacZ//entC//leuC//malY//aroH//sgbU//dhaM//tdcB//dacC//phnL//dkgA//rffM//lpxC//nadA//uvrB//gor//moeB//
CreB-Phosphorylated_neg	yfdE//
CreB-Phosphorylated_pos	pflB//
CsgD_neg	argB//speA//
CsgD_pos	bacA//argB//wecC//
CsiR_neg	umuC//speG//pgm//leuB//
CspA_pos	nrdE//
CueR-Cu_neg	pheT//dgcN//luxS//
CueR-Cu_pos	moaD//sdhC//
CusR-Pasp_pos	patD//wecC//gntK//bacA//
CynR-cyanate_pos	tdcE//bioF//fadJ//
CynR_neg	
CysB-O-acetyl-L-serine_neg	napB//moaD//speA//
CysB-O-acetyl-L-serine_pos	frdC//citE//dmsC//fumC//prpC//uidA//codA//uxaB//ssuD//fes//ilvC//mhpB//
CysB_neg	
CysB_pos	polB//mhpA//
CytR_neg	lysA//ssuE//purM//cysE//tdcB//trpB//fadB//galK//citC//eno//
Dan-L-tartrate_pos	nanM//lsrK//
DcuR-Phosphorylated_pos	srlD//ftnA//paaI//cysN//
DeoR_neg	pgaD//mhpF//paaF//hyaB//ldtB//ilvC//
DhaR_neg	
DhaR_pos	nirD//
DicA_neg	
DinJ-YafQ_neg	pspE//
DnaA-ATP_neg	gcvT//folE//fbaB//murC//asnB//
DnaA-ATP_pos	feaB//gltB//bglB//
DpiA-Pasp_neg	
DpiA-Pasp_pos	ynfH//tehB//bioF//mraY//narI//
DsdC-D-serine_neg	
DsdC-D-serine_pos	ahpF//pgi//
EbgR_neg	
EnvR_neg	gadA//ycjG//
EnvY_pos	hmp//pheT//
EvgA-Phosphorylated_pos	pncB//hemL//glgA//gcvT//fumB//trpB//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	ahpF//hcaC//feaB//sufS//dkgB//cdd//
FabR_neg	uxaC//pflB//nrdE//
FadR-acyl-CoA_pos	
FadR_neg	glgB//glmS//wecC//cysG//napG//adhE//murG//phnG//murQ//
FadR_pos	mltF//phnM//gapA//puuC//phnH//fumC//mhpE//pgaD//talA//napH//
FeaR_pos	psd//cysG//
FhlA-formate_pos	dgkA//sodA//relA//dapB//amn//malP//xapA//ynfH//
FlhDC_neg	purM//nemA//
FlhDC_pos	frdA//rffC//uvrB//pdeL//fau//tdcB//dmsB//glxK//fadE//arsC//phoA//ssuD//
FliZ_neg	prpC//ruvA//bioD//uxuA//mhpD//
FucR-L-fuculose-1-P_pos	nrdE//galE//fabG//trpC//trpC//rtcA//
Fur-Fe2_neg	tdcD//paaC//guaB//entH//metB//treC//aroL//treC//fabG//lpxD//entB//patA//hycF//serA//caiC//sucC//xylA//cysN//metK//patA//dhaM//aceA//fabA//nanK//sbcC//dkgA//psd//rhaA//uxaC//gadA//phnO//citG//aspA//purL//glpX//purK//ppc//gpmM//deoD//cynS//moeA//argB//argG//rpiB//mhpC//moeA//rtcA//dmsA//entA//psd//ulaE//nfsB//pgpC//
Fur-Fe2_pos	tdcE//katE//astD//glpA//phnM//ugpQ//dgcZ//cysM//puuE//cysN//metL//asnB//xylB//lysA//murF//alkB//
GadE-RcsB_pos	aceF//cysK//nadA//gntK//puuE//
GadE_pos	ydcS//patD//paaZ//ccp//araD//wecC//fruK//pagP//aroF//pncB//
GadW_neg	gadB//glk//rfe//
GadW_pos	purH//accD//atoA//fadJ//
GadX_neg	murC//pyrD//uvrC//
GadX_pos	cysG//pepD//cysE//patD//fumB//cysH//tdcB//argH//dmsC//rffC//leuC//
GalR-beta-D-galactose_neg	ndh//pyrC//paaJ//gabD//yeaG//
GalR-beta-D-galactose_pos	purE//ubiX//folE//hycF//
GalR_neg	waaZ//rpiB//ldtC//glcE//dacC//aceE//
GalR_pos	sgbE//ddlB//fabB//srkA//
GalS-beta-D-galactose_neg	pgaC//metA//epd//fucI//phnP//
GalS-beta-D-galactose_pos	relA//ldtC//pheT//ulaF//
GalS_neg	pgpC//frc//pagP//xapA//ycjG//patA//
GalS_pos	glyA//ndh//pgk//cysE//
GatR_neg	paaK//pgi//fucK//
GcvA_neg	rffH//gatZ//dmsB//
GcvA_pos	aroL//aceA//pagP//
GlcC-glycolate_neg	
GlcC-glycolate_pos	tehB//ndh//ttdA//
GlpR_neg	gatZ//purM//pgaC//slt//glpK//rpiB//deoA//
GlrR-Pasp56_pos	
GntR_neg	fadI//iscS//dmsA//ruvA//recD//patA//pheT//frdB//garD//
GutM_pos	ycjG//frdC//citX//
HU_neg	katG//fabB//yfdE//lpxC//moaA//arsC//glpA//
HU_pos	
HcaR-HCA_pos	pyrC//ycjG//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	galT//
HigB-HigA_neg	phoA//
HipAB_neg	fucA//murC//
HipB_neg	ahpF//citC//uxaA//
HprR-Phosphorylated_neg	cysE//hcaD//
HprR-Phosphorylated_pos	deoA//ldtD//
HyfR_pos	ulaD//
HypT-Met-oxidized_neg	paaB//sufS//
HypT-Met-oxidized_pos	gltD//mhpE//ssuE//allC//yeaE//
IclR-pyruvate_neg	guaA//melA//sdhA//
IdnR-5-ketogluconate_neg	relA//sucC//
IdnR-5-ketogluconate_pos	frc//sdhD//tpiA//
IlvY-2-acetolactate_pos	mltF//
IlvY_neg	
IscR-2Fe-2S_neg	rbsK//hyaA//
IscR_neg	cysM//tktB//fadD//entH//
IscR_pos	glpX//ybjG//
KdgR_neg	dapD//hycC//
KdpE-Phosphorylated_pos	pflB//
LacI_neg	gcl//allC//glcB//
LeuO_neg	
LeuO_pos	allA//argD//aceE//ynfF//cysH//purE//
LexA_neg	bioA//lsrG//entC//tynA//cysM//lsrG//sdhB//phnJ//trpE//truB//paaC//hycC//amn//fumC//yedX//ftnA//uvrB//dapD//glpA//trpE//alkB//paaJ//kbaY//
LldR-lactate_neg	rnpB//pgm//
LldR-lactate_pos	gudD//leuC//
LldR_neg	frdA//dgcC//
LldR_pos	dapB//hcaF//
LrhA_neg	
LrhA_pos	
LsrR_neg	yqjH//aceE//metK//moeA//glgX//
LysR_neg	
LysR_pos	ttdB//
MalI_neg	purM//glpQ//
MalT-maltotriose-ATP_pos	phr//bglB//hyaB//yiaK//dmsB//pgpC//
MarA_neg	sbcC//
MarA_pos	asnA//hycF//idnO//gnd//leuC//rimK//metH//gnd//mpl//mpaA//purB//phnH//ilvC//nrfA//sodB//atoB//mltF//uvrB//gabD//recF//moeB//paaI//purE//
MarR_neg	
MatA_neg	adiA//
MatA_pos	
MazE-MazF_neg	astC//
MazE_neg	cysG//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	caiA//gor//
MelR-melibiose_pos	polB//thrS//
MelR_neg	mhpD//patA//
MelR_pos	narG//sodB//
MetJ-adenosylmethionine_neg	dgcC//rffH//argE//paaA//lyxK//leuD//ruvA//fabG//rffH//uvrA//
MetR-L-homocysteine_neg	carA//
MetR-L-homocysteine_pos	fadI//nrfD//
MetR_pos	prs//recD//
MhpR-3HPP_pos	ulaE//ddlB//aceA//phnP//umuC//aroL//
Mlc_neg	glgB//eda//ascB//aroF//
MlrA_pos	glgP//
MngR_neg	mdh//nagB//
MntR-Mn2_neg	trpA//
MntR-Mn2_pos	deoD//
ModE-MoO42-_neg	melA//tdcE//gdhA//argE//glpX//lysA//galT//entH//
ModE-MoO42-_pos	hycE//prpE//rhaA//gatZ//recD//guaB//ftsI//moaE//trpB//
MprA_neg	glxK//prpB//fumC//
MqsA_neg	leuC//cysD//
MraZ_neg	moaC//gcvP//murG//cysI//asnA//wecB//mhpE//ynfH//murI//lpxD//
MurR_neg	gudD//murQ//lsrG//
MurR_pos	
Nac_neg	glgC//glmU//argA//
Nac_pos	murD//fabH//caiD//moaC//dgcZ//paaY//trpE//gcl//
NadR_neg	rnpB//purL//sodA//betA//
NagC_neg	dapB//malP//phnH//codA//ahpF//accD//rhaA//citC//wzb//purF//cynT//cysK//gdhA//phnG//hycG//rbsK//nrdE//glnA//
NagC_pos	torA//cysI//
NanR_neg	mraY//nadB//bioF//fucU//hmp//fadD//
NanR_pos	
NarL-Phosphorylated_neg	fadA//mraY//argB//aceF//accD//glsA//gabD//umuC//cynS//allE//tpiA//mhpF//kbaZ//sgbH//pck//phnL//acnA//ribA//lpd//sdhD//betB//murD//fabZ//prpB//rutB//ruvB//moeA//fadI//
NarL-Phosphorylated_pos	astE//paaA//accC//lsrK//cysH//lhgO//uxaC//ulaD//wecB//kbaZ//speB//hypB//prpD//polA//pykF//
NarP-Phosphorylated_neg	ppc//torA//pheS//cysE//purH//
NarP-Phosphorylated_pos	ppc//uidA//fbaB//ruvB//ahpC//ulaD//malQ//lpxC//wecB//napA//hyi//gcvP//tyrB//deoC//
NemR_neg	nfsB//hcp//
NhaR-Na_pos	araA//uvrB//gltB//astC//nagB//
NikR-Ni2_neg	astE//
NimR_neg	aceF//
NorR_neg	
NorR_pos	rutC//
NrdR-Zn2_neg	narH//pgk//xylA//lsrF//
NsrR_neg	fadM//metK//hmp//udp//rutA//katE//allB//rnpB//pgaC//ugpQ//paaY//puuB//nanK//pyrC//gadA//fbaA//paaY//patA//paaA//hypF//alkB//sucD//pagP//putA//glmU//relA//xylB//entF//asnB//lacA//sdhA//argB//fabD//hcaD//astA//argI//purE//argE//frc//purC//
NtrC-Phosphorylated_neg	frdA//paaJ//
NtrC-Phosphorylated_pos	purM//icd//pgm//uxaB//uidA//gcvH//dapD//ulaG//carA//nrdD//nrdD//leuC//araB//dinB//talA//pdeR//uvrA//wecB//ppiA//sucC//phr//
OmpR-Phosphorylated_neg	rtcA//polB//gatZ//allE//rsmH//
OmpR-Phosphorylated_pos	tehB//glnA//uvrC//ulaG//
OxyR_neg	mhpA//gloA//ssuE//argD//astD//
OxyR_pos	atoA//trpC//grxA//fadE//dmsA//entH//entA//hyi//patA//lpxA//entC//gltB//
PaaX_neg	gutQ//yedX//paaE//dmsC//malZ//glpK//gcvP//mhpB//yeaG//
PdeL_pos	uvrA//
PdhR_neg	cadA//hcaE//idnO//hycF//dhaM//paaC//sucD//speB//metL//purC//allC//hycF//leuD//glpC//nanA//murC//hemH//ttdB//gadA//slt//nanA//sgbU//malS//
PdhR_pos	citD//bioD//
PepA_neg	folA//rutB//
PgrR_neg	lacA//moaC//
PhoB-Phosphorylated_neg	hycD//leuD//codA//mhpA//trpB//
PhoB-Phosphorylated_pos	udp//paaJ//pnp//alaS//hyaC//glpB//moaD//metB//guaB//purK//hypB//cysI//murF//pgaB//tdcE//astD//rbsK//
PhoP-Phosphorylated_neg	betB//betA//sufS//
PhoP-Phosphorylated_pos	pgaB//glmS//dgkA//fadI//murF//galK//fdhF//trpA//ddlB//rutE//aroH//puuA//leuC//paaZ//ahpF//ubiA//pdeH//ychF//malP//uxaC//murE//cynS//moaC//pgpC//idnO//trpE//argE//katE//tdcD//mpl//ruvB//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	tyrB//malP//fdhF//fadD//
PspF_neg	
PspF_pos	prpB//
PurR-hypoxanthine_neg	pgaC//purF//fadA//malP//fadB//cysC//paaG//entB//purB//rbsK//narI//aspA//ubiA//ldtB//paaK//ada//ynfE//frc//ddlB//luxS//sodA//tadA//nadA//fadI//ndh//allB//
PutA_neg	caiD//rutB//
PuuR_neg	wzc//phnI//sgbU//betA//murF//rffC//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	ssuD//tadA//tnaA//yqhD//kbaZ//
RcdA_neg	
RcdA_pos	ftsI//
RclR_pos	
RcnR_neg	speA//
RcsAB_neg	frc//
RcsAB_pos	nrfC//citD//
RcsB-BglJ_pos	citX//ppsA//
RcsB-Pasp56_neg	hcaE//
RcsB-Pasp56_pos	glpK//rutD//aceF//
RelB-RelE_neg	hyaC//
RelB_neg	paaF//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	glcF//pdeL//sdhB//gltB//
Rob_neg	
Rob_pos	gatD//tadA//dkgB//fucI//gcvH//entA//ulaD//glmU//hcaD//argA//pgm//murF//ssuD//serA//fbaB//paaB//gatD//ddlB//cysI//
RstA-Phosphorylated_neg	tdcB//sucD//
RstA-Phosphorylated_pos	umpH//
RtcR_pos	lpxA//bioA//
RutR_neg	rtcB//ubiX//paaZ//fabD//wzc//polB//tyrA//pflB//chbF//malQ//
RutR_pos	galM//
SdiA_neg	
SdiA_pos	
SgrR_neg	pykF//
SgrR_pos	gatZ//melA//
SlyA_neg	
SlyA_pos	allD//sucD//rfe//caiB//yeaG//fruK//aldA//prpC//malP//
SoxR_neg	
SoxR_pos	sucD//sdhC//dapD//murI//paaJ//mazG//
SoxS_neg	
SoxS_pos	fucU//accA//pdeR//paaC//wecC//entC//argB//fadE//paaI//murD//hcaC//chbF//frdD//rutB//tdcG//waaH//gabD//dhaK//aldA//fucI//mhpF//fabA//entA//hyaB//garL//rbsK//uxaB//fabI//
SrlR_neg	pheS//mraY//fumB//
StpA_neg	nadA//serA//rnpB//
SutR_neg	uxuA//fadB//
SutR_pos	
TdcA_pos	paaF//pheS//metB//srlD//phoA//
TdcR_pos	entA//asnB//paaJ//oxc//alaC//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	poxB//napA//bioB//bioA//
TorR-TorI_neg	puuB//
TorR-TorI_pos	
TreR_neg	gloA//frdD//
TrpR-tryptophan_neg	recD//argI//glcE//melA//dhaK//phnN//entH//nagA//phnN//
TyrR-phenylalanine_neg	pykF//nemA//
TyrR-phenylalanine_pos	ydcS//
TyrR-tyrosine_neg	gabD//lyxK//gpmM//dmsB//yeaG//iscS//
TyrR-tyrosine_pos	leuC//sdhA//
TyrR_neg	katE//
TyrR_pos	purL//
UhpA-Phosphorylated_pos	trpA//
UidR_neg	gntK//cysM//
UlaR_neg	napH//dgcC//sgbU//nfsB//glmU//
UvrY-Phosphorylated_pos	fadJ//glgB//
UxuR_neg	tdcB//murF//ogt//bioF//aroL//
XapR-xanthosine_pos	ttdB//metH//
XylR-xylose_neg	
XylR-xylose_pos	hycG//fucA//speB//
YdeO_neg	
YdeO_pos	metL//dhaM//dgcN//
YefM-YoeB_neg	citF//
YefM_neg	ugpQ//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	purA//ulaG//ttdA//trpC//tynA//chbF//
YjjQ_neg	atoD//citD//
YpdB-Phosphorylated_pos	
YqhC_pos	guaB//glgA//
YqjI_neg	deoC//
ZntR-Zn2_pos	uvrC//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	rtcA//
