# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	ddlB//uxaA//
ComR_neg	
CpxR-Phosphorylated_neg	phnJ//gdhA//galK//
CpxR-Phosphorylated_pos	tdcB//glk//ubiC//tam//leuB//rffH//acnA//nagA//ribA//moeB//napH//polA//patA//mnmG//pck//xylB//ubiX//paaZ//
Cra_neg	gabT//cynT//nanE//appA//glcB//hycF//ung//pheT//mdh//argE//prpB//purC//prs//pdeH//mhpB//paaK//lpxD//tehB//alaC//narI//ldtB//umuC//glgC//araD//cyoE//ydcS//torA//pdeR//glnA//tynA//tadA//hyaB//idnD//frc//gabD//fabB//ttdA//allE//lysA//fumC//napB//ppsA//talA//fbaA//yqjH//
Cra_pos	sgbE//glxR//mraY//folE//rtcB//paaI//gcvH//glgB//lsrK//tauD//fadA//cueO//hemL//ldtD//pncB//fabG//purL//
CreB-Phosphorylated_neg	phoA//
CreB-Phosphorylated_pos	phoA//
CsgD_neg	nrdF//murI//
CsgD_pos	purN//dkgB//galE//
CsiR_neg	paaK//prpD//tktB//dapD//
CspA_pos	phr//
CueR-Cu_neg	ulaF//rsmH//fabG//
CueR-Cu_pos	argF//glgB//
CusR-Pasp_pos	fadA//moaE//aroL//prpB//
CynR-cyanate_pos	katG//glcD//metB//
CynR_neg	
CysB-O-acetyl-L-serine_neg	leuB//sodA//galM//
CysB-O-acetyl-L-serine_pos	pgaB//sodA//dapD//hcaB//glmU//leuC//glcE//aceB//tnaA//gadA//frdA//polA//
CysB_neg	
CysB_pos	fdhF//fucO//
CytR_neg	folE//rsmH//ynfE//paaY//argE//astD//ftnA//citG//aroL//citE//
Dan-L-tartrate_pos	feaB//moeB//
DcuR-Phosphorylated_pos	gpmM//thrS//dgcZ//purF//
DeoR_neg	ppsA//tdcG//nrfA//pflB//tdcG//phnP//
DhaR_neg	
DhaR_pos	nadB//
DicA_neg	
DinJ-YafQ_neg	nadA//
DnaA-ATP_neg	argH//acnB//rbsK//garK//sdhC//
DnaA-ATP_pos	glmS//prpC//speG//
DpiA-Pasp_neg	
DpiA-Pasp_pos	sdhD//lyxK//ynfF//speB//entF//
DsdC-D-serine_neg	
DsdC-D-serine_pos	entD//garD//
EbgR_neg	
EnvR_neg	idnD//pagP//
EnvY_pos	lpxA//zwf//
EvgA-Phosphorylated_pos	recF//wzc//lsrG//glgX//putA//aceA//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	pgi//lhgO//leuC//gdhA//pgaB//gor//
FabR_neg	ftsI//puuA//phnN//
FadR-acyl-CoA_pos	
FadR_neg	umpH//malY//caiA//rffT//rffH//glmS//xapA//ynfE//bioF//
FadR_pos	recD//astA//gltD//mraY//malQ//nfsA//sdhD//rutB//udp//kbaY//
FeaR_pos	ulaG//cueO//
FhlA-formate_pos	fadA//dhaL//gatY//gpmA//prpB//tehB//leuC//tdcB//
FlhDC_neg	fdhF//lhgO//
FlhDC_pos	idnK//rffG//glgC//alkB//serA//caiD//ybjG//srkA//speB//entB//patD//guaA//
FliZ_neg	citD//ung//mhpB//malP//nrdB//
FucR-L-fuculose-1-P_pos	ynfH//nirB//ulaD//metL//caiB//nagA//
Fur-Fe2_neg	nrfA//glcE//umuC//uxuB//lsrK//hycF//gcl//glgP//rffT//ung//metL//pdeH//carA//trpA//tpiA//glk//pepD//fadD//aceA//hycE//tdcE//pgm//moeB//chbF//moaD//pagP//tdcG//pck//caiD//astE//dapB//moaE//lysA//narI//nrdF//napA//gadB//ascB//narI//paaZ//uxaC//sgbU//sbcD//tdcD//trpB//aroL//allC//mpl//murE//luxS//fumB//oxc//lsrF//
Fur-Fe2_pos	bioB//lyxK//ahpC//mpl//lacA//iscS//yiaK//citX//hyaB//ycjG//ubiC//kbaY//galM//malS//rhaA//astB//
GadE-RcsB_pos	rffT//ttdA//glcE//allA//gpmA//
GadE_pos	phoA//hypF//yqhD//sgbH//purH//sdhB//garD//araB//bioB//tdcE//
GadW_neg	amn//nrfD//acnA//
GadW_pos	tktB//dmsC//caiB//phnO//
GadX_neg	ruvA//rfe//hyi//
GadX_pos	pck//eda//fumC//leuC//dmsC//malZ//pgpC//sucC//citC//psd//murC//
GalR-beta-D-galactose_neg	galK//rffT//rhaB//nanA//narI//
GalR-beta-D-galactose_pos	nrdB//frdC//accA//puuD//
GalR_neg	hycC//caiB//zwf//sdhB//phoA//aroF//
GalR_pos	speG//nanM//hcaE//rffC//
GalS-beta-D-galactose_neg	pdeR//mhpE//umuC//allD//chbF//
GalS-beta-D-galactose_pos	nfsB//ruvB//gadB//ynfF//
GalS_neg	mdh//argB//atoD//bioB//sdhC//ahpF//
GalS_pos	ydcS//ppiA//dkgB//wzc//
GatR_neg	cysK//dmsB//asnB//
GcvA_neg	ada//cysH//napA//
GcvA_pos	tpiA//hcaB//rutD//
GlcC-glycolate_neg	
GlcC-glycolate_pos	treC//trpC//rfe//
GlpR_neg	mnmG//argC//leuD//bacA//galE//pykF//rfe//
GlrR-Pasp56_pos	
GntR_neg	ulaD//pfkA//wecB//accA//hycE//citC//fadM//malY//allB//
GutM_pos	pgaC//patD//talA//
HU_neg	tynA//rhaB//rffC//garL//fadA//cysH//citD//
HU_pos	
HcaR-HCA_pos	uidA//ccp//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	glxR//
HigB-HigA_neg	rutD//
HipAB_neg	ldtB//pdeR//
HipB_neg	prpC//glgA//acnA//
HprR-Phosphorylated_neg	gnd//gabD//
HprR-Phosphorylated_pos	fadA//galT//
HyfR_pos	phnG//
HypT-Met-oxidized_neg	rhaB//lysC//
HypT-Met-oxidized_pos	paaH//speG//folE//wzb//nanA//
IclR-pyruvate_neg	dgcC//cysK//relA//
IdnR-5-ketogluconate_neg	pgaD//puuD//
IdnR-5-ketogluconate_pos	citC//hycD//luxS//
IlvY-2-acetolactate_pos	fabB//
IlvY_neg	
IscR-2Fe-2S_neg	fadJ//purB//
IscR_neg	caiA//malZ//gor//fucK//
IscR_pos	pgaC//nrdA//
KdgR_neg	ldtC//ssuE//
KdpE-Phosphorylated_pos	allD//
LacI_neg	aspA//lpd//uxaC//
LeuO_neg	
LeuO_pos	bioC//tynA//entB//glgA//pdeL//pdeR//
LexA_neg	paaI//murC//trpB//cysJ//eno//tauD//paaI//hyaB//allE//gdhA//polB//sdhC//xylA//srlD//nrfC//fbaB//lyxK//katG//glxK//prpC//pagP//glcD//polA//
LldR-lactate_neg	galT//oxc//
LldR-lactate_pos	dhaK//recF//
LldR_neg	yqhD//gdhA//
LldR_pos	tnaA//hcaD//
LrhA_neg	
LrhA_pos	
LsrR_neg	ulaG//rffH//paaA//tadA//pepD//
LysR_neg	
LysR_pos	speA//
MalI_neg	ubiX//cysH//
MalT-maltotriose-ATP_pos	nrdF//ulaG//truB//gdhA//ppc//mhpC//
MarA_neg	prpB//
MarA_pos	metF//adhE//pykF//chbG//lpd//gabD//galK//paaA//purL//aceB//ada//lacA//cysH//tam//gdhA//chbF//gadA//fes//umpH//dgcC//tam//fucO//ygeA//
MarR_neg	
MatA_neg	rsmH//
MatA_pos	
MazE-MazF_neg	bioC//
MazE_neg	prpD//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	ttdB//udp//
MelR-melibiose_pos	paaE//fau//
MelR_neg	umpH//accA//
MelR_pos	dmsB//leuA//
MetJ-adenosylmethionine_neg	lyxK//pdeL//yqhD//frdD//grxA//mhpE//cueO//recB//sucC//fucK//
MetR-L-homocysteine_neg	aspC//
MetR-L-homocysteine_pos	appA//yqhD//
MetR_pos	sgbU//ubiC//
MhpR-3HPP_pos	sucB//garL//arsC//pgk//ccp//yeaG//
Mlc_neg	purD//folA//glcD//ppsA//
MlrA_pos	ulaG//
MngR_neg	cadA//hyi//
MntR-Mn2_neg	ydcS//
MntR-Mn2_pos	dmsB//
ModE-MoO42-_neg	dsdA//rhaD//dkgB//glpD//uxaC//citX//pykF//uvrC//
ModE-MoO42-_pos	dmsB//sgbE//metF//caiB//allE//fadH//dmsC//argD//lhgO//
MprA_neg	glxR//metK//cueO//
MqsA_neg	ogt//gltD//
MraZ_neg	tnaA//speG//fabA//speG//nfsB//fabA//entC//entD//puuE//nanM//
MurR_neg	uxaC//fdhF//rutE//
MurR_pos	
Nac_neg	tyrB//gutQ//citF//
Nac_pos	tynA//ynfH//gntK//pfkA//hcaE//pgaC//tam//hycG//
NadR_neg	mraY//eda//moaE//uvrA//
NagC_neg	phoA//mpaA//pagP//ycjG//idnO//atoB//uxaC//garD//lacA//nemA//rutC//ubiC//purB//rpiB//chbF//accD//xylB//sodA//
NagC_pos	poxB//puuB//
NanR_neg	gatD//treC//pheS//fadI//glnA//hycC//
NanR_pos	
NarL-Phosphorylated_neg	argA//gadA//ogt//iscS//rbsD//prpC//entF//hemL//idnO//moaC//gor//feaB//prs//cysD//glyA//ascB//mdh//dhaM//phnL//guaB//paaF//lldD//edd//aroF//glpA//argG//fadJ//slt//
NarL-Phosphorylated_pos	polB//nrdB//sbcD//frdC//pgaB//dgcN//carA//fdhF//nagA//nirD//mtlD//eno//phoA//icd//grxA//
NarP-Phosphorylated_neg	polB//ugpQ//talA//accA//paaA//
NarP-Phosphorylated_pos	uvrB//paaH//ycjG//nrfD//paaZ//prpE//frdA//nadB//mhpE//ldtD//gcvH//dgcZ//araA//prs//
NemR_neg	sodA//glgX//
NhaR-Na_pos	pspE//alkB//gltB//xapA//kbaY//
NikR-Ni2_neg	gadA//
NimR_neg	speG//
NorR_neg	
NorR_pos	fabI//
NrdR-Zn2_neg	umuC//fadD//nrdA//fabB//
NsrR_neg	trpE//metL//fabH//malZ//gcvH//rffC//allB//gnd//galE//mtlD//garR//moaA//fabD//nemA//rhaB//fabI//speA//paaE//idnO//lpxD//waaZ//uxuA//ydcS//mhpF//carB//aceE//nfsB//phnG//ulaE//murG//metF//hemL//wzc//gdhA//ulaG//paaE//guaB//uidA//purH//hypB//
NtrC-Phosphorylated_neg	dgcN//astB//
NtrC-Phosphorylated_pos	ubiC//speA//gapA//rffC//sbcC//purE//sdhC//ung//dmsB//garK//ubiX//ycjG//lpxA//recB//prpC//entC//entA//uxuA//nagB//frdD//ulaD//
OmpR-Phosphorylated_neg	nrdB//phnN//frdC//glxK//glyA//
OmpR-Phosphorylated_pos	trpB//cyoE//leuC//alkA//
OxyR_neg	citX//tyrA//purD//murG//glpK//
OxyR_pos	lsrG//yedX//ldtD//glgA//dgcC//rbsK//rsmH//purE//uidA//pgk//mazG//gcvP//
PaaX_neg	aspC//polB//tdcD//ybjG//sufS//fabG//malY//ribA//fucA//
PdeL_pos	narH//
PdhR_neg	murC//citG//fucA//hcaB//ahpF//sucC//purE//ftsI//dmsC//narG//malP//napB//glpC//narI//fbaA//iscS//glpQ//ruvA//puuB//dacC//napH//wecB//idnO//
PdhR_pos	pgpC//wzb//
PepA_neg	rhaA//hycC//
PgrR_neg	ftnA//pagP//
PhoB-Phosphorylated_neg	pyrC//pflB//pepD//malZ//atoA//
PhoB-Phosphorylated_pos	yfdE//pheT//argG//pheT//ppc//paaI//hycD//lacA//fucA//ahpC//puuD//fucK//ribA//fabH//sodB//ynfF//entA//
PhoP-Phosphorylated_neg	ftnA//cynS//yfdE//
PhoP-Phosphorylated_pos	glpC//melA//cynT//pdeH//hcp//aceA//argI//pdeH//patA//rhaD//fabG//mngB//pheT//mhpE//nagB//puuD//pfkA//pgaD//mhpF//sbcD//ppiA//fadI//cysG//ssuE//rtcA//ulaG//phnP//dkgA//pncB//accD//metH//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	edd//purM//argB//serA//
PspF_neg	
PspF_pos	hemH//
PurR-hypoxanthine_neg	nirB//cysD//glmU//paaA//malY//bacA//ilvC//gcvT//fabI//acnB//leuD//frdD//gapA//metC//gcvH//tpiA//cueO//ftnA//gatZ//aceA//napG//talA//betA//cadA//fabD//hyi//
PutA_neg	hypF//aceE//
PuuR_neg	argH//rhaD//rhaB//citE//moeB//fruK//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	entD//rtcB//mtlD//paaG//murG//
RcdA_neg	
RcdA_pos	sdhA//
RclR_pos	
RcnR_neg	ccp//
RcsAB_neg	sbcC//
RcsAB_pos	fbaB//purB//
RcsB-BglJ_pos	aspA//alkB//
RcsB-Pasp56_neg	astC//
RcsB-Pasp56_pos	sucD//astE//dmsA//
RelB-RelE_neg	malP//
RelB_neg	allD//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	napG//polB//gudD//sdhC//
Rob_neg	
Rob_pos	rutD//katE//torC//fucU//prpE//yeaE//amn//paaB//fabI//cysD//kbaZ//nirB//pgaB//pepD//napG//entA//codA//ulaG//pdeR//
RstA-Phosphorylated_neg	ynfE//fes//
RstA-Phosphorylated_pos	gadB//
RtcR_pos	fabZ//paaH//
RutR_neg	aspA//hmp//hyi//ftnA//glgX//mhpC//argE//dinB//nagB//glgB//
RutR_pos	yqhD//
SdiA_neg	
SdiA_pos	
SgrR_neg	hemH//
SgrR_pos	tdcE//pgaD//
SlyA_neg	
SlyA_pos	citF//fadE//purM//nirB//aroF//trpB//dmsA//gabT//accA//
SoxR_neg	
SoxR_pos	gutQ//uxaB//bacA//glpK//uvrC//citC//
SoxS_neg	
SoxS_pos	paaE//patA//folE//ulaE//phoA//arsC//nanA//mhpE//aldA//lsrG//deoA//argF//fucA//fucI//ldtB//hcaD//ynfF//fbaA//recF//fabI//deoD//ldtD//rfe//wecB//glgA//ycjG//frdC//uxuA//
SrlR_neg	mhpA//rtcB//frc//
StpA_neg	nanA//allD//pykF//
SutR_neg	rutB//gcvP//
SutR_pos	
TdcA_pos	ugpQ//glyA//nrfD//uxaA//ynfE//
TdcR_pos	dhaK//galK//lhgO//slt//dinB//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	fbaB//gloA//speG//yiaK//
TorR-TorI_neg	entC//
TorR-TorI_pos	
TreR_neg	nrdF//dmsA//
TrpR-tryptophan_neg	speA//uidA//trpD//chbG//phoA//atoA//speG//slt//citC//
TyrR-phenylalanine_neg	carB//ppiA//
TyrR-phenylalanine_pos	citC//
TyrR-tyrosine_neg	malZ//fadA//ilvC//aroH//paaE//uxaC//
TyrR-tyrosine_pos	pnp//purK//
TyrR_neg	arsC//
TyrR_pos	gapA//
UhpA-Phosphorylated_pos	citX//
UidR_neg	metA//metB//
UlaR_neg	sucB//frdD//nrdA//argG//paaB//
UvrY-Phosphorylated_pos	ccp//hemH//
UxuR_neg	murF//argG//rffT//phnP//narH//
XapR-xanthosine_pos	rsmH//poxB//
XylR-xylose_neg	
XylR-xylose_pos	dgcC//ilvC//sucA//
YdeO_neg	
YdeO_pos	mhpB//lsrG//hcaD//
YefM-YoeB_neg	amn//
YefM_neg	paaG//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	paaF//astB//purL//yiaK//phnO//psd//
YjjQ_neg	metE//fadE//
YpdB-Phosphorylated_pos	
YqhC_pos	ygeA//wzb//
YqjI_neg	ruvB//
ZntR-Zn2_pos	lysA//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	hypF//
