# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	hycB//rtcB//
OxyR_neg	glyA//chbF//cysN//entA//pyrC//
OxyR_pos	mltF//hycF//purF//edd//prpE//citE//frc//srkA//fruK//entC//ruvB//alaC//
PaaX_neg	araB//alaC//uxaC//ung//ychF//sufS//gadB//gatZ//paaZ//
PdeL_pos	nrdB//
PdhR_neg	metK//nagB//glcE//lpxA//fucK//argE//waaY//wzb//torA//ldtD//speA//betB//phnJ//hyaB//xylB//pfkA//sgbH//metL//hemH//rbsD//nemA//aceB//prpE//
PdhR_pos	ung//nemA//
PepA_neg	glpA//allA//
PgrR_neg	gabT//ldtB//
PhoB-Phosphorylated_neg	nanM//ldtD//sucD//nanM//cysE//
PhoB-Phosphorylated_pos	nrdE//ycjG//carB//dmsC//gltD//tauD//fruK//dgcZ//ycjG//bioB//mhpF//luxS//wecB//ycjG//lsrG//pfkA//mpaA//
PhoP-Phosphorylated_neg	hypB//ddlB//yqjH//
PhoP-Phosphorylated_pos	adhE//trpE//hycC//napG//phnI//purB//argB//accA//purM//pheS//betA//pheT//hycG//glk//moaD//aceF//dapB//pgk//hypB//dmsA//alkB//tyrB//dgcN//leuD//rbsK//betA//leuA//argA//nanK//hycD//hycB//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	glsA//galM//metE//malY//
PspF_neg	
PspF_pos	rffC//
PurR-hypoxanthine_neg	yiaK//tdcE//cynS//dgcN//alkA//paaK//hycE//leuC//araD//pagP//frdB//ynfH//fadA//glgP//mhpC//kbaY//pgaC//ubiC//araB//hycF//ttdB//betA//rffH//rfe//pyrD//astA//
PutA_neg	gltB//paaZ//
PuuR_neg	nagA//dkgB//ppsA//luxS//ahpC//ndh//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	ldtC//purC//citF//citD//atoD//
RcdA_neg	
RcdA_pos	ogt//
RclR_pos	
RcnR_neg	dinB//
RcsAB_neg	bioB//
RcsAB_pos	tyrB//prpD//
RcsB-BglJ_pos	nirB//dhaK//
RcsB-Pasp56_neg	rffH//
RcsB-Pasp56_pos	nadA//entF//fabG//
RelB-RelE_neg	hcaF//
RelB_neg	codA//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	trpC//mdh//prpD//glyA//
Rob_neg	
Rob_pos	waaZ//chbG//purN//moaD//yedX//galK//yiaK//cynS//dinB//ldtC//pnp//entF//phnN//bacA//gltB//nagA//leuA//argD//fucA//
RstA-Phosphorylated_neg	glgB//nirD//
RstA-Phosphorylated_pos	lsrK//
RtcR_pos	wzc//cysJ//
RutR_neg	uxuA//fabZ//pepD//sucB//lysA//idnD//glgC//gcvH//speG//torC//
RutR_pos	phnG//
SdiA_neg	
SdiA_pos	
SgrR_neg	trpC//
SgrR_pos	pgi//mazG//
SlyA_neg	
SlyA_pos	uxaC//bioC//fadM//metL//lpxC//ybjG//nrfD//uvrA//nagA//
SoxR_neg	
SoxR_pos	tktB//glcD//wrbA//napB//fes//bioC//
SoxS_neg	
SoxS_pos	tdcD//dmsC//betB//malP//galT//gadB//argE//sodA//dgcN//glmS//caiC//uxaA//carA//paaK//ldtB//tdcE//wecE//psd//dapD//glpQ//frdA//yqhD//tpiA//fau//thrS//umuC//ldtB//srlD//
SrlR_neg	nrdA//accD//nanA//
StpA_neg	pheS//appA//paaY//
SutR_neg	mtlD//pykF//
SutR_pos	
TdcA_pos	rutE//entH//edd//nrdD//gor//
TdcR_pos	pgaB//sbcC//hycG//phnP//umuD//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	oxc//tktB//phnN//metH//
TorR-TorI_neg	tyrB//
TorR-TorI_pos	
TreR_neg	betB//frdD//
TrpR-tryptophan_neg	sucC//trpE//fdhF//umuD//lpxD//gabT//argF//yiaK//metF//
TyrR-phenylalanine_neg	xapA//dmsB//
TyrR-phenylalanine_pos	aceB//
TyrR-tyrosine_neg	treC//puuB//garK//fdhF//ycjG//moaE//
TyrR-tyrosine_pos	ycjG//hcaC//
TyrR_neg	moeB//
TyrR_pos	gabT//
UhpA-Phosphorylated_pos	rffT//
UidR_neg	tdcB//entH//
UlaR_neg	ada//yqjH//dhaK//rhaB//umuD//
UvrY-Phosphorylated_pos	ubiC//paaG//
UxuR_neg	fruK//lpxD//gltB//murQ//mazG//
XapR-xanthosine_pos	dhaK//puuA//
XylR-xylose_neg	
XylR-xylose_pos	ssuD//gcvT//hcaB//
YdeO_neg	
YdeO_pos	cadA//dapB//udp//
YefM-YoeB_neg	dapB//
YefM_neg	phnN//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	allE//astB//allA//hcaE//putA//mpaA//
YjjQ_neg	pdeL//gltB//
YpdB-Phosphorylated_pos	
YqhC_pos	argD//bioA//
YqjI_neg	recB//
ZntR-Zn2_pos	nadA//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	entA//
