# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	ssuD//cysI//
ChbR_pos	dmsA//dinB//nanA//
ComR_neg	
CpxR-Phosphorylated_neg	accC//purA//psd//
CpxR-Phosphorylated_pos	mhpE//cysI//moeA//yqjH//ampC//carB//rutC//gutQ//hypB//moaC//ynfE//eno//murD//galK//metH//murG//mpaA//mtlD//
Cra_neg	nagB//fadA//waaY//mazG//moaC//aspC//bacA//dhaM//aroG//rhaA//dhaL//alkB//betB//phnM//polA//rpiB//kbaZ//moeA//nanA//mhpB//glxR//epd//ppc//atoB//metB//rutD//rhaA//gapA//glcE//ccp//glmS//nrdD//prpB//mpaA//oxc//paaZ//moaD//fucA//purN//purA//umuC//entD//rutB//cysJ//ynfE//
Cra_pos	fabG//cysE//fadJ//metB//fdhF//cysM//hcaC//mhpF//fadM//ldtD//umuD//gcvT//mdh//aceB//fadI//frdA//dhaL//
CreB-Phosphorylated_neg	nagB//
CreB-Phosphorylated_pos	gudD//
CsgD_neg	hycF//ycjG//
CsgD_pos	dapD//tauD//hcaD//
CsiR_neg	nagB//yqhD//sdhC//nrfA//
CspA_pos	tyrB//
CueR-Cu_neg	bioA//rhaD//tyrA//
CueR-Cu_pos	pagP//argA//
CusR-Pasp_pos	phnM//nrdD//cysJ//rutD//
CynR-cyanate_pos	gcvP//feaB//lsrF//
CynR_neg	
CysB-O-acetyl-L-serine_neg	hypB//nagB//allD//
CysB-O-acetyl-L-serine_pos	glpA//glpB//prs//cynS//sdhB//glpQ//dhaM//pyrD//thrS//gpmM//prpD//uidA//
CysB_neg	
CysB_pos	nrfD//hcaB//
CytR_neg	araB//glyA//mpl//hyaC//hycD//pgk//mhpE//guaB//paaF//bglB//
Dan-L-tartrate_pos	mhpE//ssuD//
DcuR-Phosphorylated_pos	frdD//accA//hemH//truB//
DeoR_neg	paaZ//mhpB//torA//leuC//cueO//pdeR//
DhaR_neg	
DhaR_pos	narH//
DicA_neg	
DinJ-YafQ_neg	dmsC//
DnaA-ATP_neg	moeA//moeA//mhpD//recD//fabH//
DnaA-ATP_pos	carB//xylA//hypB//
DpiA-Pasp_neg	
DpiA-Pasp_pos	yeaE//uidA//lsrF//entA//phnP//
DsdC-D-serine_neg	
DsdC-D-serine_pos	kbaZ//yqhD//
EbgR_neg	
EnvR_neg	putA//rtcB//
EnvY_pos	sucB//atoA//
EvgA-Phosphorylated_pos	argH//folE//metC//adiA//carB//garK//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	napA//metA//alsE//cadA//metF//cysE//
FabR_neg	grxA//gudD//pyrD//
FadR-acyl-CoA_pos	
FadR_neg	hmp//pagP//pykF//galM//entH//ahpF//nanA//cysN//accC//
FadR_pos	fadE//astB//ynfF//rffC//glcE//glcD//rnpB//glmS//metF//fbaB//
FeaR_pos	carB//atoB//
FhlA-formate_pos	dgcN//ssuD//xylB//torC//rbsD//ssuE//entF//fes//
FlhDC_neg	phnL//gabT//
FlhDC_pos	nrfA//fbaA//hcaE//alaS//hypB//phnN//fbaB//ccp//putA//fabB//carA//prpC//
FliZ_neg	tktB//metB//paaA//feaB//fabD//
FucR-L-fuculose-1-P_pos	sodA//ynfF//aspA//araA//rutB//fbaA//
Fur-Fe2_neg	rutB//pnp//paaK//cysE//nanM//glxR//garL//prpB//dhaK//ttdA//frdD//phnG//sdhC//waaH//phnO//phoA//rsmH//atoA//caiD//cysM//tadA//purK//uvrC//sgbE//paaH//melA//rnpB//patD//narG//cysH//metF//ynfG//glpK//rutC//eda//fucA//gadB//entC//ubiX//deoB//hemH//sdhA//cysD//cysE//pykF//hycG//rutD//putA//ldtC//recD//pykF//glyA//narG//
Fur-Fe2_pos	purD//wecB//glpB//glpK//nagB//araB//cysE//fabG//glpA//metC//srkA//paaC//phnG//glpC//chbF//metK//
GadE-RcsB_pos	sucB//lsrG//murG//bioC//dmsC//
GadE_pos	glgC//rutC//pdeL//hcaC//argG//gnd//gatD//glcD//tdcB//ybjG//
GadW_neg	oxc//cysJ//murI//
GadW_pos	poxB//gcvH//malS//accA//
GadX_neg	phnM//fucU//ubiA//
GadX_pos	pgaB//phnJ//polA//purF//hyaA//glgP//wecE//poxB//malP//glgP//adhE//
GalR-beta-D-galactose_neg	napG//ruvB//allC//rffH//nrdE//
GalR-beta-D-galactose_pos	nrfD//nrdF//waaZ//lacA//
GalR_neg	pgpC//mhpB//glpD//metH//gatD//paaC//
GalR_pos	glpK//moaD//pheS//adiA//
GalS-beta-D-galactose_neg	ubiA//cynT//glpC//ldtD//gcvP//
GalS-beta-D-galactose_pos	pheT//uidA//yqjH//hcaD//
GalS_neg	dhaM//dmsB//ascB//mdh//alaC//allA//
GalS_pos	glgX//purE//rhaA//nrfC//
GatR_neg	wecB//idnK//hycE//
GcvA_neg	malP//udp//amn//
GcvA_pos	mltF//metL//ydcS//
GlcC-glycolate_neg	
GlcC-glycolate_pos	dacC//guaB//argA//
GlpR_neg	mltF//paaJ//astA//gatY//tam//fadH//gatY//
GlrR-Pasp56_pos	
GntR_neg	moaE//pgaD//phnL//paaH//argH//hcaC//nirB//dapD//nanA//
GutM_pos	cynS//ruvB//pyrD//
HU_neg	gcl//carB//rhaD//sufS//accC//murE//citC//
HU_pos	
HcaR-HCA_pos	mhpD//cysG//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	uxaC//
HigB-HigA_neg	sgbH//
HipAB_neg	dkgA//sbcD//
HipB_neg	hycE//waaY//wecB//
HprR-Phosphorylated_neg	uxaB//rffC//
HprR-Phosphorylated_pos	wecB//entE//
HyfR_pos	pheT//
HypT-Met-oxidized_neg	chbG//argC//
HypT-Met-oxidized_pos	hemL//bioB//polA//ada//aspA//
IclR-pyruvate_neg	ugpQ//nrdA//lpxC//
IdnR-5-ketogluconate_neg	idnO//guaA//
IdnR-5-ketogluconate_pos	phnN//citC//sdhD//
IlvY-2-acetolactate_pos	ung//
IlvY_neg	
IscR-2Fe-2S_neg	nagA//lyxK//
IscR_neg	cysI//frdD//argI//araB//
IscR_pos	hycE//malP//
KdgR_neg	polA//paaJ//
KdpE-Phosphorylated_pos	dgcN//
LacI_neg	trpB//alaC//nemA//
LeuO_neg	
LeuO_pos	gntK//bioC//uxaA//yiaK//glgP//wecC//
LexA_neg	mngB//purM//metF//hyi//glnA//nanA//napB//citG//argE//glk//betB//hcaF//entD//sodB//gatZ//gltD//paaK//yeaG//cysD//lhgO//sucC//codA//fadB//
LldR-lactate_neg	dapB//purD//
LldR-lactate_pos	zwf//ugpQ//
LldR_neg	nfsA//ulaF//
LldR_pos	eno//lysC//
LrhA_neg	
LrhA_pos	
LsrR_neg	hcaB//treC//serA//purN//argH//
LysR_neg	
LysR_pos	glsA//
MalI_neg	accC//cdd//
MalT-maltotriose-ATP_pos	galT//glmU//betB//deoB//fadA//argF//
MarA_neg	tdcB//
MarA_pos	phnO//ndh//pgm//aroG//alsE//gnd//dgcZ//mltF//alkA//dapD//rsmH//idnK//murG//ruvB//ccp//deoC//argE//pgaB//mhpE//aroG//fbaA//fabI//dinB//
MarR_neg	
MatA_neg	rtcA//
MatA_pos	
MazE-MazF_neg	slt//
MazE_neg	paaB//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	metK//glpX//
MelR-melibiose_pos	pncB//hyaC//
MelR_neg	narI//oxc//
MelR_pos	fumC//allA//
MetJ-adenosylmethionine_neg	ogt//galM//puuA//rfe//ruvA//fbaA//hcaB//pheS//sodA//dmsC//
MetR-L-homocysteine_neg	codA//
MetR-L-homocysteine_pos	umuC//sodB//
MetR_pos	bioD//ung//
MhpR-3HPP_pos	yeaE//folA//allB//paaZ//hypB//acnA//
Mlc_neg	galE//allC//mazG//gor//
MlrA_pos	ung//
MngR_neg	puuB//mraY//
MntR-Mn2_neg	asnA//
MntR-Mn2_pos	narH//
ModE-MoO42-_neg	moaD//phnN//sdhC//ulaE//sdhB//ung//glcD//hycC//
ModE-MoO42-_pos	fucK//moaE//fabD//purD//fes//phnP//waaY//gpmM//betB//
MprA_neg	cysN//ascB//umuD//
MqsA_neg	ada//pykF//
MraZ_neg	glmS//katG//cynT//paaG//dapB//trpD//ubiX//paaK//pflB//mnmG//
MurR_neg	caiA//puuE//cysM//
MurR_pos	
Nac_neg	pflB//hcaC//ulaE//
Nac_pos	cysD//murG//cysI//gabD//yedX//metL//umuD//hyaB//
NadR_neg	dacC//waaZ//iscS//glk//
NagC_neg	murG//purF//tdcB//argA//ppsA//uxaB//atoA//galK//wrbA//cysE//moaE//hcaB//entE//hcaC//nrfD//cysI//rtcA//rimK//
NagC_pos	glk//nrfA//
NanR_neg	purM//dhaL//alkA//ulaD//rutC//frdC//
NanR_pos	
NarL-Phosphorylated_neg	lldD//ddlB//fadI//appA//pgaD//trpA//ftnA//tktB//pdeH//paaJ//yqhD//ldtC//paaH//rbsK//nanM//accC//rhaB//mhpE//gor//fadH//yqjH//epd//pfkA//ulaE//lsrF//glnA//cysI//hemL//
NarL-Phosphorylated_pos	kbaY//citD//nrdF//talA//rsmH//mhpA//recD//narI//garR//citE//trpA//rffC//sucC//wzc//ldtB//
NarP-Phosphorylated_neg	leuB//ldtC//rffH//rhaB//uvrB//
NarP-Phosphorylated_pos	paaI//glyA//citF//dhaL//lsrG//nirB//murD//dgcN//glcD//sdhB//dgcZ//rffC//frdD//arsC//
NemR_neg	eda//tynA//
NhaR-Na_pos	frdC//glmS//cysI//frdB//uxuA//
NikR-Ni2_neg	trpC//
NimR_neg	lyxK//
NorR_neg	
NorR_pos	slt//
NrdR-Zn2_neg	ycjG//argE//rfe//galK//
NsrR_neg	cysN//tnaA//murC//polB//napH//purA//cysI//sodB//nrdE//xylB//mnmG//deoC//lpxC//cadA//aceF//hmp//lacZ//argD//idnK//hyaB//fadA//cysG//torA//prpC//fadD//rtcA//yqjH//pgm//cdd//frdA//phnL//phnP//srlD//folE//gltB//umuC//dapD//yeaE//yeaE//iscS//
NtrC-Phosphorylated_neg	aroG//lpxC//
NtrC-Phosphorylated_pos	folE//feaB//serA//fabH//cdd//mhpF//malS//sgbE//phnI//sodA//uvrB//glpB//dapD//torA//hycG//murI//ttdA//betA//murC//ftsI//sufS//
OmpR-Phosphorylated_neg	yeaG//fucK//purF//lpxA//aldA//
OmpR-Phosphorylated_pos	nrfD//dmsA//sbcD//glxK//
OxyR_neg	caiB//rutE//araB//acnB//ynfH//
OxyR_pos	glpD//gor//dgcC//ubiA//pepD//recD//caiA//murQ//eno//wecC//entB//fadH//
PaaX_neg	putA//nfsB//dacC//mhpE//purM//garD//bglB//glk//poxB//
PdeL_pos	mhpE//
PdhR_neg	tam//murD//umuD//araB//pyrC//wzb//malQ//udp//metF//recF//mltF//glgA//gutQ//malQ//gudD//oxc//aceB//cadA//hypF//ahpC//allC//ulaF//hcaC//
PdhR_pos	mhpB//dgkA//
PepA_neg	gutQ//rimK//
PgrR_neg	gnd//napA//
PhoB-Phosphorylated_neg	pgm//arsC//wecE//oxc//nfsA//
PhoB-Phosphorylated_pos	hypF//yiaK//metB//ccp//astC//rffC//moaC//putA//uxaA//ddlB//pncB//argH//rffH//lacA//sodA//speG//araA//
PhoP-Phosphorylated_neg	narI//puuC//paaH//
PhoP-Phosphorylated_pos	atoA//ndh//yedX//ldtC//hypF//purN//uidA//fabD//glpC//aroL//glgB//puuD//xylB//grxA//pgpC//dgcN//hyaC//katG//dgkA//guaA//fau//patA//glmS//wecB//astE//citD//cadA//glxR//galE//paaB//ulaG//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	purA//caiC//rffH//alkA//
PspF_neg	
PspF_pos	sgbH//
PurR-hypoxanthine_neg	citF//mhpE//argA//asnB//nrdD//ccp//adhE//paaY//tauD//sdhD//cynS//entD//phnM//sgbU//polA//paaE//pepD//pfkA//patD//cysH//nadB//alsE//treC//cynS//lysA//citX//
PutA_neg	sucC//ldtD//
PuuR_neg	rsmH//hyaA//cysC//tyrA//tdcD//leuC//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	nfsB//hypB//purH//pspE//tdcB//
RcdA_neg	
RcdA_pos	dhaM//
RclR_pos	
RcnR_neg	puuD//
RcsAB_neg	recB//
RcsAB_pos	rbsK//uidA//
RcsB-BglJ_pos	sodA//eda//
RcsB-Pasp56_neg	torC//
RcsB-Pasp56_pos	lhgO//metF//argF//
RelB-RelE_neg	mraY//
RelB_neg	frc//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	dgcZ//mhpA//paaF//ychF//
Rob_neg	
Rob_pos	mltF//ycjG//pfkA//hycC//deoA//fadH//guaA//metE//nanA//rffH//murI//pheS//pncB//ttdA//sbcC//ycjG//nrdF//bacA//purH//
RstA-Phosphorylated_neg	gabD//xapA//
RstA-Phosphorylated_pos	gcvT//
RtcR_pos	accD//frdA//
RutR_neg	rffM//nrdB//sgbE//argE//cysG//glpC//ycjG//galM//entH//moaC//
RutR_pos	purB//
SdiA_neg	
SdiA_pos	
SgrR_neg	allA//
SgrR_pos	melA//galE//
SlyA_neg	
SlyA_pos	deoC//sucA//fabZ//purM//aroL//purD//aceA//tktB//puuE//
SoxR_neg	
SoxR_pos	hyi//narH//moaD//ascB//iscS//tktB//
SoxS_neg	
SoxS_pos	trpC//glmU//polB//gatZ//aroL//leuB//tam//purM//slt//glk//leuB//garL//purK//glpC//appA//oxc//patD//paaA//torC//folA//nanM//purD//gcvH//rffG//pykF//ccp//phnG//ychF//
SrlR_neg	purA//nirD//eda//
StpA_neg	glk//gdhA//metF//
SutR_neg	polA//araB//
SutR_pos	
TdcA_pos	dkgA//sgbH//gor//moeA//purL//
TdcR_pos	paaY//murQ//hycC//argG//gadA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	pgpC//gpmM//icd//alsE//
TorR-TorI_neg	fumC//
TorR-TorI_pos	
TreR_neg	purM//betB//
TrpR-tryptophan_neg	mhpB//rffM//sodB//aceA//metL//fdhF//grxA//tktB//recB//
TyrR-phenylalanine_neg	narI//araD//
TyrR-phenylalanine_pos	hemL//
TyrR-tyrosine_neg	araB//caiA//entD//metF//gor//uxaA//
TyrR-tyrosine_pos	eda//ada//
TyrR_neg	glpX//
TyrR_pos	fruK//
UhpA-Phosphorylated_pos	glpB//
UidR_neg	betA//gloA//
UlaR_neg	rbsK//glgB//frdB//grxA//leuA//
UvrY-Phosphorylated_pos	sdhB//metL//
UxuR_neg	nagB//adhE//murF//nadA//uxaC//
XapR-xanthosine_pos	hycC//pyrD//
XylR-xylose_neg	
XylR-xylose_pos	pheS//phnI//glxK//
YdeO_neg	
YdeO_pos	hycF//dgkA//ldtD//
YefM-YoeB_neg	feaB//
YefM_neg	malZ//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	fucU//frdD//phnG//tnaA//dacC//hyaA//
YjjQ_neg	glmS//gadB//
YpdB-Phosphorylated_pos	
YqhC_pos	purC//garR//
YqjI_neg	pagP//
ZntR-Zn2_pos	hycD//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	nagA//
