# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	frdA//lpxD//
FlhDC_pos	waaZ//malQ//bioB//atoD//tyrB//galT//carA//tyrA//pgpC//cysM//torC//glcD//
FliZ_neg	gapA//ttdB//sdhD//phoA//bacA//
FucR-L-fuculose-1-P_pos	ynfF//murD//trpD//appA//gatZ//napG//
Fur-Fe2_neg	lpxD//tdcE//purL//leuA//yqhD//narH//dgcZ//sucB//tyrB//speG//ldtC//ung//entF//allB//mltF//aspA//fadE//tynA//ftsI//entA//cysJ//phnM//eda//ulaG//rutA//murD//lsrK//patA//hycC//chbF//tktB//moeB//hyaC//metE//ddlB//lsrF//dkgB//pdeR//speG//hyaA//galE//fabH//feaB//ubiX//tehB//frdC//ulaF//dkgA//pgm//rffM//purL//gdhA//yedX//
Fur-Fe2_pos	lysC//aceA//cysD//rffH//sgbH//hcaC//ppsA//polB//astB//yqhD//dmsB//waaZ//rhaA//ynfH//hyaA//putA//
GadE-RcsB_pos	gabD//leuA//purN//rpiB//phnO//
GadE_pos	betA//cysH//citE//fucA//dmsC//citX//paaH//luxS//nirD//ttdA//
GadW_neg	sdhC//deoB//pck//
GadW_pos	wecE//kbaY//puuB//atoB//
GadX_neg	prpD//rffH//caiA//
GadX_pos	moeA//pflB//patD//araD//speG//purD//lldD//nadA//betB//fucK//murD//
GalR-beta-D-galactose_neg	chbG//hypF//lpxD//fabA//ttdB//
GalR-beta-D-galactose_pos	bioD//dinB//polA//galT//
GalR_neg	pgaB//ulaF//moeB//allB//melA//glpB//
GalR_pos	sdhC//paaJ//fadD//deoA//
GalS-beta-D-galactose_neg	accA//wecE//glsA//phnH//nanE//
GalS-beta-D-galactose_pos	nrdE//purD//citF//gabD//
GalS_neg	glpK//leuD//puuE//sucB//cueO//glsA//
GalS_pos	rffH//metH//nirD//entC//
GatR_neg	rutD//gcl//entC//
GcvA_neg	caiC//sbcD//purC//
GcvA_pos	sdhB//fucO//murD//
GlcC-glycolate_neg	
GlcC-glycolate_pos	pyrC//aceB//dgkA//
GlpR_neg	gadB//ydcS//hemL//eno//mhpC//puuC//purB//
GlrR-Pasp56_pos	
GntR_neg	tynA//hycE//glpX//ppc//nanE//bglB//waaH//thrS//aspC//
GutM_pos	murQ//ppiA//folA//
HU_neg	fabA//tauD//puuE//astE//rhaA//citE//ahpF//
HU_pos	
HcaR-HCA_pos	gloA//fucA//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	pfkA//
HigB-HigA_neg	tdcB//
HipAB_neg	treC//fadH//
HipB_neg	dkgA//pgaC//ppsA//
HprR-Phosphorylated_neg	pykF//prpB//
HprR-Phosphorylated_pos	pfkA//hycG//
HyfR_pos	leuD//
HypT-Met-oxidized_neg	dhaL//cysH//
HypT-Met-oxidized_pos	rffM//glgB//malY//trpC//ubiC//
IclR-pyruvate_neg	fadM//wecC//dgcC//
IdnR-5-ketogluconate_neg	dhaK//mngB//
IdnR-5-ketogluconate_pos	leuD//rutB//zwf//
IlvY-2-acetolactate_pos	gloA//
IlvY_neg	
IscR-2Fe-2S_neg	sufS//mazG//
IscR_neg	pflB//fabB//ynfF//purK//
IscR_pos	glgX//paaK//
KdgR_neg	phnO//uxaC//
KdpE-Phosphorylated_pos	codA//
LacI_neg	metF//mdh//paaC//
LeuO_neg	
LeuO_pos	ndh//oxc//pgk//xapA//fucA//betA//
LexA_neg	ribA//pgaC//pgk//argB//uxuA//sgbH//lhgO//ogt//phnL//glgP//kbaZ//gcvP//ynfE//wzb//hemH//gutQ//gabT//ddlB//eda//cynS//paaY//cysJ//purF//
LldR-lactate_neg	tdcB//leuD//
LldR-lactate_pos	ldtD//ada//
LldR_neg	phnH//carB//
LldR_pos	pgaB//sgbU//
LrhA_neg	
LrhA_pos	
LsrR_neg	nrdE//nfsB//recB//purB//hyaC//
LysR_neg	
LysR_pos	metA//
MalI_neg	ynfE//purH//
MalT-maltotriose-ATP_pos	metB//ssuD//uxuB//dacC//deoA//ada//
MarA_neg	lyxK//
MarA_pos	garD//truB//trpB//cysN//waaH//sgbE//glgA//relA//uvrB//puuA//astC//pnp//pgi//folA//aceF//glnA//narG//sucB//ubiA//moaD//tynA//leuA//cysJ//
MarR_neg	
MatA_neg	aroG//
MatA_pos	
MazE-MazF_neg	ugpQ//
MazE_neg	lysA//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	fadJ//waaY//
MelR-melibiose_pos	tauD//murD//
MelR_neg	aceB//folE//
MelR_pos	tam//citC//
MetJ-adenosylmethionine_neg	sgbH//bacA//ahpC//paaK//narH//nanE//metA//rutD//kbaY//wzb//
MetR-L-homocysteine_neg	cdd//
MetR-L-homocysteine_pos	nrfA//phnL//
MetR_pos	mngB//amn//
MhpR-3HPP_pos	udp//mhpA//yeaG//ppiA//nirB//allD//
Mlc_neg	paaG//fucK//sdhA//ldtD//
MlrA_pos	ubiA//
MngR_neg	narI//hcp//
MntR-Mn2_neg	purD//
MntR-Mn2_pos	leuD//
ModE-MoO42-_neg	sufS//umuD//uidA//napH//lsrK//astA//yedX//aceB//
ModE-MoO42-_pos	phnN//mhpA//purD//astA//appA//leuC//lsrK//sgbU//cyoE//
MprA_neg	fabA//nanM//dkgA//
MqsA_neg	folE//fadH//
MraZ_neg	astC//gatZ//katE//cysN//ahpC//phnH//citF//gadA//glsA//allA//
MurR_neg	mhpE//allD//bioD//
MurR_pos	
Nac_neg	dhaL//carB//pncB//
Nac_pos	wzb//narI//dmsC//entH//fumB//tynA//gatY//pflB//
NadR_neg	dinB//glmU//cysK//paaI//
NagC_neg	lsrG//astA//glpD//arsC//argD//accA//fumC//garR//prs//tehB//grxA//fabH//glgX//atoB//fadE//fabH//fumB//pagP//
NagC_pos	hemL//frdD//
NanR_neg	fau//gutQ//betB//trpC//melA//cysJ//
NanR_pos	
NarL-Phosphorylated_neg	glpX//putA//arsC//pgaC//glgB//pepD//dhaM//entA//hcaB//gutQ//arsC//dmsB//gabT//tdcG//napB//moaA//deoC//purE//pepD//umuC//paaF//fumC//hycD//hycE//mhpC//bioD//pepD//moeB//
NarL-Phosphorylated_pos	lacZ//carB//allD//argI//rffG//pykF//murF//chbG//bioD//lpxD//nrfD//gnd//tdcB//ruvA//sbcD//
NarP-Phosphorylated_neg	tdcB//allC//cyoE//sucD//waaH//
NarP-Phosphorylated_pos	hycB//pgpC//rnpB//talA//ruvA//gloA//sdhC//guaA//mraY//accD//citF//ychF//gcl//rbsD//
NemR_neg	rnpB//lpxA//
NhaR-Na_pos	aroL//glpA//ahpF//leuD//cysG//
NikR-Ni2_neg	nirD//
NimR_neg	idnD//
NorR_neg	
NorR_pos	umpH//
NrdR-Zn2_neg	hcaD//lsrF//lyxK//mdh//
NsrR_neg	paaG//fumB//pdeH//lacZ//metF//ppiA//murD//metE//malP//cynS//caiD//malS//trpA//argE//fadA//caiA//patA//umuD//sucB//glxR//bacA//thrS//uvrB//asnA//dinB//nagB//argA//rfe//thrS//pykF//malZ//sucC//leuD//carB//purD//paaE//trpE//acnB//gapA//cysK//
NtrC-Phosphorylated_neg	sdhD//adhE//
NtrC-Phosphorylated_pos	mhpC//glgP//chbF//alaC//pfkA//rhaD//deoA//cysI//mnmG//phnL//tdcB//fadH//mraY//fabZ//rffM//phnN//fadA//tehB//deoD//hyi//deoC//
OmpR-Phosphorylated_neg	allC//dkgB//fabH//dhaK//leuB//
OmpR-Phosphorylated_pos	rbsK//fadA//malS//paaC//
OxyR_neg	ndh//torC//metL//dgcC//glk//
OxyR_pos	frc//katE//lpxA//glpK//nagB//nagB//galM//purH//uxuB//ogt//gcvT//narI//
PaaX_neg	phnN//uxuA//cueO//bioC//nfsA//ynfH//astC//tauD//zwf//
PdeL_pos	hycB//
PdhR_neg	cueO//rhaA//bioF//accD//arsC//pagP//frdA//gabD//rtcB//narI//sucB//phnL//citX//ppc//folA//murD//treC//edd//eno//torC//napH//galK//aroG//
PdhR_pos	pgi//torC//
PepA_neg	torA//hycE//
PgrR_neg	recB//relA//
PhoB-Phosphorylated_neg	galT//ttdB//glpK//uxaA//folA//
PhoB-Phosphorylated_pos	gabD//caiB//mdh//purK//sucA//entH//citF//alkA//kbaY//wecB//hyaA//yqhD//dhaM//narI//hypB//allB//fucK//
PhoP-Phosphorylated_neg	glsA//paaC//argE//
PhoP-Phosphorylated_pos	patA//poxB//fbaA//mtlD//aceF//fucU//ulaG//fabD//rpiB//ynfF//glpD//fucU//yeaG//paaH//rhaD//alsE//phnM//phr//puuE//glk//pyrC//epd//mraY//fabI//galE//ppiA//torA//hemL//argG//entE//metF//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	deoB//bacA//tauD//glmU//
PspF_neg	
PspF_pos	entE//
PurR-hypoxanthine_neg	moeA//galM//nrdF//ulaD//ung//atoB//prs//pdeR//feaB//dsdA//rffG//entB//speG//dgcN//mhpF//prpE//tadA//umuC//torA//pgaD//xylA//ndh//ycjG//moaE//ppiA//purM//
PutA_neg	lysA//astC//
PuuR_neg	cysI//eda//argI//cysK//pyrD//pck//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	gapA//narI//alkB//dhaM//malZ//
RcdA_neg	
RcdA_pos	astC//
RclR_pos	
RcnR_neg	pdeH//
RcsAB_neg	caiC//
RcsAB_pos	rbsD//fabI//
RcsB-BglJ_pos	paaH//caiC//
RcsB-Pasp56_neg	gatZ//
RcsB-Pasp56_pos	phnP//nagB//frdA//
RelB-RelE_neg	caiB//
RelB_neg	allC//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	fabA//idnD//citG//caiB//
Rob_neg	
Rob_pos	katG//rimK//fabH//glsA//lpxC//sucC//dhaL//rhaA//atoB//leuA//tnaA//nirD//bioB//patD//sdhC//pgi//malZ//rpiB//ppsA//
RstA-Phosphorylated_neg	citE//paaA//
RstA-Phosphorylated_pos	waaH//
RtcR_pos	ppsA//glpC//
RutR_neg	sdhC//ldtC//napG//entF//uvrB//lsrG//hypB//fabZ//folA//codA//
RutR_pos	fadB//
SdiA_neg	
SdiA_pos	
SgrR_neg	srlD//
SgrR_pos	rutC//tnaA//
SlyA_neg	
SlyA_pos	cysK//malZ//fau//nirD//fumB//wecB//yedX//galK//glmS//
SoxR_neg	
SoxR_pos	ygeA//nagB//moeB//metL//dgcZ//dgcC//
SoxS_neg	
SoxS_pos	dhaK//paaZ//alaC//trpE//iscS//gutQ//hyaC//tadA//hyaC//nirD//garD//sgbU//fbaA//nadB//pnp//frdA//lldD//glpA//glgB//garL//trpD//folE//gadA//amn//dhaK//rbsD//murF//rffH//
SrlR_neg	dmsB//umuC//gabT//
StpA_neg	gdhA//ybjG//ydcS//
SutR_neg	gcl//hycE//
SutR_pos	
TdcA_pos	rutC//waaZ//metC//nirD//fucK//
TdcR_pos	gcvP//nagA//rfe//ppiA//torC//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	waaZ//trpD//deoD//yeaG//
TorR-TorI_neg	murQ//
TorR-TorI_pos	
TreR_neg	waaZ//feaB//
TrpR-tryptophan_neg	rhaA//fucI//pdeH//tam//gdhA//uxaA//poxB//purE//purF//
TyrR-phenylalanine_neg	rutA//truB//
TyrR-phenylalanine_pos	wzc//
TyrR-tyrosine_neg	wzb//hypF//glyA//astB//rnpB//wzb//
TyrR-tyrosine_pos	allD//dhaM//
TyrR_neg	accD//
TyrR_pos	glpC//
UhpA-Phosphorylated_pos	leuA//
UidR_neg	glgB//nemA//
UlaR_neg	astA//gapA//puuD//deoD//ftnA//
UvrY-Phosphorylated_pos	argI//ogt//
UxuR_neg	pgk//entH//bioD//leuB//melA//
XapR-xanthosine_pos	ahpC//garL//
XylR-xylose_neg	
XylR-xylose_pos	katG//rutD//purK//
YdeO_neg	
YdeO_pos	frc//phnI//folE//
YefM-YoeB_neg	leuD//
YefM_neg	ubiA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	nirD//leuA//purN//citE//astE//wzc//
YjjQ_neg	hyi//acnA//
YpdB-Phosphorylated_pos	
YqhC_pos	citG//phnL//
YqjI_neg	argI//
ZntR-Zn2_pos	pspE//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	folA//
