# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	frdD//glpD//
ChbR_pos	ftsI//idnO//nfsA//
ComR_neg	
CpxR-Phosphorylated_neg	patA//glpQ//ubiA//
CpxR-Phosphorylated_pos	garD//trpC//recB//cynT//pgpC//galK//nagA//hmp//kbaZ//prpC//mpaA//napB//fadM//fadA//pdeL//puuE//gcvT//allA//
Cra_neg	xapA//thrS//ppc//rutE//pspE//ruvA//rimK//pyrD//ubiA//gadA//paaH//napB//garL//bglB//araD//caiC//rffG//accA//ddlB//dgcC//glxK//sdhB//leuC//pgk//wecE//citX//slt//serA//allC//yeaE//adiA//fabI//puuE//napG//purL//metB//glpB//yedX//sucD//arsC//malQ//pykF//uvrC//nrdE//nrfA//
Cra_pos	deoB//mngB//ascB//fdhF//pfkA//dmsB//fadD//fadH//fabG//ynfH//ubiA//glpA//poxB//frdC//lysA//entH//gdhA//
CreB-Phosphorylated_neg	ldtB//
CreB-Phosphorylated_pos	pgpC//
CsgD_neg	fabI//paaY//
CsgD_pos	fabI//lsrF//ada//
CsiR_neg	hycE//glxK//glgB//melA//
CspA_pos	rfe//
CueR-Cu_neg	paaE//lsrF//ahpC//
CueR-Cu_pos	dhaL//ruvA//
CusR-Pasp_pos	chbG//murQ//pyrD//dkgB//
CynR-cyanate_pos	rutC//dinB//prs//
CynR_neg	
CysB-O-acetyl-L-serine_neg	paaF//glpD//nirB//
CysB-O-acetyl-L-serine_pos	ynfF//cysC//nfsA//lhgO//nrdB//recB//narH//glcF//nadA//umuC//murE//lpd//
CysB_neg	
CysB_pos	ahpF//citD//
CytR_neg	treC//fabA//phnH//malS//umuD//hcaD//mnmG//malQ//gadA//ychF//
Dan-L-tartrate_pos	carA//hyaA//
DcuR-Phosphorylated_pos	gcvH//glgP//ubiX//fabG//
DeoR_neg	glyA//cueO//aroF//argF//glpB//hcaF//
DhaR_neg	
DhaR_pos	mnmG//
DicA_neg	
DinJ-YafQ_neg	rhaB//
DnaA-ATP_neg	ubiC//fadM//galK//chbG//gutQ//
DnaA-ATP_pos	accA//prpD//dmsC//
DpiA-Pasp_neg	
DpiA-Pasp_pos	phnN//pnp//ulaE//gcvH//paaY//
DsdC-D-serine_neg	
DsdC-D-serine_pos	entA//fucU//
EbgR_neg	
EnvR_neg	alkB//cysD//
EnvY_pos	purF//ssuD//
EvgA-Phosphorylated_pos	mpaA//cysM//moeB//argF//fdhF//galE//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	ubiX//pflB//lpd//gpmM//tpiA//argC//
FabR_neg	lysA//ascB//ulaF//
FadR-acyl-CoA_pos	
FadR_neg	trpC//garD//fadI//ppc//accA//astC//pgaD//ada//sgbH//
FadR_pos	fucO//metH//frdC//wecB//asnB//rffT//ldtD//narG//caiC//araD//
FeaR_pos	paaF//yedX//
FhlA-formate_pos	nrdA//aroL//ppsA//mdh//moeA//dgcZ//xylA//rhaD//
FlhDC_neg	phnN//speA//
FlhDC_pos	hemH//idnD//sodB//phnP//phnO//hcaF//aceF//grxA//alaS//lpxA//epd//hcaD//
FliZ_neg	rhaB//arsC//pgaC//allC//lsrF//
FucR-L-fuculose-1-P_pos	frdB//citE//fumC//acnB//purN//fadM//
Fur-Fe2_neg	aceF//psd//galT//ygeA//fabI//purH//nanM//iscS//fadI//aceE//phnH//fabZ//argF//dgkA//moaE//glsA//wecE//chbG//dkgA//aroF//rpiB//prpE//astC//trpD//fbaB//nanA//galM//nirD//gatZ//ada//glsA//garK//oxc//ynfF//nrdF//hemL//ssuE//fucI//ndh//nrdF//citX//garR//fabG//idnO//phr//lyxK//phnG//paaH//leuB//speA//nrfD//purD//lsrG//
Fur-Fe2_pos	pheT//mraY//trpE//gcvT//caiC//glxK//ynfE//allA//gudD//nagB//paaE//fadA//acnB//sucC//trpD//metE//
GadE-RcsB_pos	zwf//purB//dgkA//moaA//uvrB//
GadE_pos	mpl//alaS//cysG//cysI//glnA//rffH//ada//paaI//phnO//epd//
GadW_neg	puuB//glcE//acnA//
GadW_pos	sdhB//gabT//acnB//chbG//
GadX_neg	sdhC//icd//napH//
GadX_pos	murG//uxaA//psd//edd//gatZ//moaA//purC//rhaB//paaG//ubiA//ttdB//
GalR-beta-D-galactose_neg	prs//garD//argF//sgbE//allD//
GalR-beta-D-galactose_pos	wzc//ubiA//gapA//atoA//
GalR_neg	hmp//metB//puuB//nrdF//cynS//sucD//
GalR_pos	dhaM//dacC//hcaB//allE//
GalS-beta-D-galactose_neg	purD//fadA//nrfA//dapB//phnN//
GalS-beta-D-galactose_pos	nfsB//metF//hcaD//cdd//
GalS_neg	gabD//ybjG//nanA//moaE//betA//alkA//
GalS_pos	hyaA//talA//fabG//puuE//
GatR_neg	purH//guaB//trpC//
GcvA_neg	puuA//yedX//ccp//
GcvA_pos	phnH//pncB//rpiB//
GlcC-glycolate_neg	
GlcC-glycolate_pos	wecC//torA//alkA//
GlpR_neg	sdhB//fabG//ubiC//edd//accD//pheS//araB//
GlrR-Pasp56_pos	
GntR_neg	entA//fbaA//uvrA//wzb//amn//idnD//talA//katE//lpxD//
GutM_pos	grxA//rutE//waaZ//
HU_neg	hypB//recF//sodB//pdeH//lacA//pgaC//nrdA//
HU_pos	
HcaR-HCA_pos	guaB//uvrA//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	pgaD//
HigB-HigA_neg	serA//
HipAB_neg	gcvT//phnI//
HipB_neg	glpX//metH//napA//
HprR-Phosphorylated_neg	hemH//ribA//
HprR-Phosphorylated_pos	frc//argG//
HyfR_pos	dgkA//
HypT-Met-oxidized_neg	hypB//frdD//
HypT-Met-oxidized_pos	araA//dgcC//entB//mltF//pepD//
IclR-pyruvate_neg	pgaB//ycjG//ogt//
IdnR-5-ketogluconate_neg	sgbU//garL//
IdnR-5-ketogluconate_pos	narG//carB//lpxD//
IlvY-2-acetolactate_pos	lacZ//
IlvY_neg	
IscR-2Fe-2S_neg	entH//phnL//
IscR_neg	rsmH//fabG//malP//entD//
IscR_pos	folA//ndh//
KdgR_neg	yeaE//murF//
KdpE-Phosphorylated_pos	idnO//
LacI_neg	gutQ//purK//carB//
LeuO_neg	
LeuO_pos	ogt//metA//dinB//nrdA//citG//uxaA//
LexA_neg	slt//slt//metC//uxaB//hemL//chbG//rffG//glpB//tam//srlD//pdeR//leuB//garK//nagB//entC//nfsB//sbcD//edd//carA//prpB//argF//cyoE//bacA//
LldR-lactate_neg	dkgB//pepD//
LldR-lactate_pos	pspE//deoB//
LldR_neg	yeaE//alaC//
LldR_pos	ybjG//mazG//
LrhA_neg	
LrhA_pos	
LsrR_neg	rfe//fdhF//fabI//galK//patD//
LysR_neg	
LysR_pos	rutB//
MalI_neg	idnO//malP//
MalT-maltotriose-ATP_pos	dinB//cysH//fau//mhpC//lsrG//rffT//
MarA_neg	gatZ//
MarA_pos	puuE//aldA//entC//rutD//leuC//codA//astD//uxaC//waaY//umuD//deoC//sucB//purH//pgk//ubiC//tpiA//dkgB//galK//glxK//paaG//rpiB//tadA//rutB//
MarR_neg	
MatA_neg	phnM//
MatA_pos	
MazE-MazF_neg	pgi//
MazE_neg	pyrC//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	gadB//ychF//
MelR-melibiose_pos	aceA//frdB//
MelR_neg	fadB//prpC//
MelR_pos	ugpQ//pfkA//
MetJ-adenosylmethionine_neg	trpC//phnP//hycB//aroH//cysI//prpD//polB//slt//gabT//nanM//
MetR-L-homocysteine_neg	oxc//
MetR-L-homocysteine_pos	gatZ//ahpF//
MetR_pos	ruvA//accC//
MhpR-3HPP_pos	puuC//dmsA//phnH//sodA//paaF//argA//
Mlc_neg	pgaD//uvrA//tktB//gcl//
MlrA_pos	lpxA//
MngR_neg	lysC//epd//
MntR-Mn2_neg	uxaA//
MntR-Mn2_pos	acnA//
ModE-MoO42-_neg	phnL//sucA//nrdF//ychF//ppc//polB//waaH//phnG//
ModE-MoO42-_pos	nanE//cdd//epd//sodA//gatY//serA//hcaD//purA//hyaC//
MprA_neg	phoA//cysJ//metF//
MqsA_neg	deoA//rtcA//
MraZ_neg	katE//argC//gabD//rtcA//ulaE//aroF//mnmG//purK//pgm//gadB//
MurR_neg	galT//dhaK//mhpA//
MurR_pos	
Nac_neg	malY//edd//umuC//
Nac_pos	ygeA//pagP//folA//rtcB//betA//rffG//fadD//gadB//
NadR_neg	tdcB//moaE//pdeR//caiA//
NagC_neg	oxc//rffM//nirB//nrdA//glgB//rutB//yfdE//ribA//rffH//relA//bglB//phnL//napH//wecB//relA//glsA//mhpB//uidA//
NagC_pos	glxK//murE//
NanR_neg	allC//metF//wzb//recB//hycF//paaI//
NanR_pos	
NarL-Phosphorylated_neg	cysG//hypB//mraY//patD//phnG//amn//aroH//aspA//argD//alkB//zwf//glcB//nfsB//nanA//dgcZ//gltB//gnd//nagB//phnP//pncB//citX//ftnA//malS//lysA//kbaZ//hypB//icd//ribA//
NarL-Phosphorylated_pos	metC//putA//aceB//dgkA//pgaD//pck//cysC//nanM//pgk//argE//moaC//aroF//torA//glcE//grxA//
NarP-Phosphorylated_neg	fadJ//astA//puuC//hcaB//chbG//
NarP-Phosphorylated_pos	tnaA//cysK//folE//bglB//katG//metA//betA//gltB//sucA//phnO//leuD//tam//eda//allB//
NemR_neg	ulaF//glcE//
NhaR-Na_pos	alaC//amn//nagA//epd//pgpC//
NikR-Ni2_neg	betA//
NimR_neg	paaH//
NorR_neg	
NorR_pos	paaE//
NrdR-Zn2_neg	gnd//ubiA//ulaF//gltD//
NsrR_neg	gatD//dgcN//metB//yqhD//sodB//hypF//waaH//mhpB//fadD//ftsI//aceE//pgk//asnB//fabH//deoD//waaY//dmsB//nemA//murF//betB//gatD//psd//idnO//udp//fumC//cysJ//mazG//trpC//yiaK//moeA//dhaM//purH//aceE//dmsA//nrfA//entC//ttdA//araA//gapA//cysG//
NtrC-Phosphorylated_neg	rutE//polA//
NtrC-Phosphorylated_pos	paaC//metH//glcB//purK//mhpE//cyoE//wzc//gatD//nrdF//glxK//araB//gor//asnA//sgbH//leuA//fbaB//lsrG//purE//aroH//nagA//ulaF//
OmpR-Phosphorylated_neg	dhaL//chbG//ubiX//caiD//gdhA//
OmpR-Phosphorylated_pos	mhpD//sucD//frc//nirB//
OxyR_neg	paaH//patD//aspA//purK//nadA//
OxyR_pos	glcE//ahpF//purN//nrfD//rffM//phnG//fadB//ftsI//nirD//argA//purK//argB//
PaaX_neg	moaC//purH//accC//aspA//cysD//lysA//glgX//murC//narH//
PdeL_pos	fabB//
PdhR_neg	ppsA//ychF//ldtB//gudD//folE//carB//cadA//gltD//fabZ//puuD//nirB//speB//asnA//paaE//tyrA//aceB//dapB//glk//ynfG//prpC//paaG//eda//gcvT//
PdhR_pos	guaA//lacZ//
PepA_neg	nanK//glpX//
PgrR_neg	fadB//udp//
PhoB-Phosphorylated_neg	purE//gdhA//sdhC//hcaE//feaB//
PhoB-Phosphorylated_pos	tdcB//aroG//rffC//speG//recF//arsC//alkB//nrdD//uidA//purC//pyrD//phnI//atoB//hemH//yiaK//citX//mraY//
PhoP-Phosphorylated_neg	sucD//edd//psd//
PhoP-Phosphorylated_pos	narG//ndh//ccp//cysM//yiaK//fabB//dapD//frdC//lhgO//aceB//gcvT//cysI//melA//sucC//puuB//citG//sucD//fadB//tdcB//moeA//phnH//nirD//uidA//rhaA//deoC//lyxK//citC//sucC//ycjG//glmU//rutA//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	fadI//yqhD//uvrB//entA//
PspF_neg	
PspF_pos	ulaG//
PurR-hypoxanthine_neg	malY//glmS//glpC//napA//recF//dkgA//dacC//slt//uxuA//pgpC//sdhB//wrbA//glnA//pfkA//glpK//patD//feaB//napG//paaG//paaB//puuA//nrfA//gadA//nrfD//ulaD//hcaD//
PutA_neg	fucA//prpB//
PuuR_neg	metL//glcB//lsrG//rhaD//dhaK//ubiA//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	pheT//tam//hypF//lpxD//napA//
RcdA_neg	
RcdA_pos	murG//
RclR_pos	
RcnR_neg	ppsA//
RcsAB_neg	lacZ//
RcsAB_pos	nadA//murG//
RcsB-BglJ_pos	hyaB//recD//
RcsB-Pasp56_neg	purE//
RcsB-Pasp56_pos	mtlD//puuD//pflB//
RelB-RelE_neg	paaI//
RelB_neg	phnJ//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	leuD//entD//rffT//moaE//
Rob_neg	
Rob_pos	ilvC//pdeH//uvrC//paaB//eno//metE//paaY//argA//gpmM//uvrA//alaS//ndh//deoA//fucI//gdhA//frdB//araD//torC//leuB//
RstA-Phosphorylated_neg	bioD//lyxK//
RstA-Phosphorylated_pos	hycD//
RtcR_pos	fabZ//sdhB//
RutR_neg	sodB//bioF//tyrA//malS//paaK//tehB//astE//gcvT//fbaB//tyrA//
RutR_pos	paaB//
SdiA_neg	
SdiA_pos	
SgrR_neg	paaK//
SgrR_pos	puuC//hycD//
SlyA_neg	
SlyA_pos	yeaE//sdhB//entD//prpD//purE//gatY//cysD//glmU//nanM//
SoxR_neg	
SoxR_pos	ilvC//eno//entE//phnI//phoA//pgaC//
SoxS_neg	
SoxS_pos	poxB//mhpF//purF//chbF//fadI//waaY//aroF//gudD//chbF//fadI//pnp//moeB//oxc//uxuA//hycF//frdA//nadB//glpK//gapA//asnA//glxK//poxB//nadA//citX//idnK//atoD//phnH//grxA//
SrlR_neg	pdeH//phoA//purA//
StpA_neg	phnH//metA//tdcG//
SutR_neg	gntK//uvrB//
SutR_pos	
TdcA_pos	gadB//ydcS//yiaK//tehB//pgaC//
TdcR_pos	talA//narH//melA//fabI//prpD//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	mdh//oxc//hycF//nrfA//
TorR-TorI_neg	aceB//
TorR-TorI_pos	
TreR_neg	citD//ftsI//
TrpR-tryptophan_neg	araD//malP//narG//nrfC//prs//fbaB//citF//prs//treC//
TyrR-phenylalanine_neg	fadA//asnB//
TyrR-phenylalanine_pos	prpE//
TyrR-tyrosine_neg	aspA//entE//nemA//ldtD//tdcE//glmS//
TyrR-tyrosine_pos	araD//tnaA//
TyrR_neg	amn//
TyrR_pos	nfsB//
UhpA-Phosphorylated_pos	puuD//
UidR_neg	bioD//citE//
UlaR_neg	rhaA//gltB//glmS//bacA//accA//
UvrY-Phosphorylated_pos	dgcN//ldtC//
UxuR_neg	puuE//allD//lpd//alsE//bioB//
XapR-xanthosine_pos	rnpB//fumC//
XylR-xylose_neg	
XylR-xylose_pos	galK//galK//glcB//
YdeO_neg	
YdeO_pos	citE//gloA//paaZ//
YefM-YoeB_neg	fadM//
YefM_neg	moeA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	citC//rnpB//malS//zwf//carB//gadB//
YjjQ_neg	caiB//nrdA//
YpdB-Phosphorylated_pos	
YqhC_pos	yedX//appA//
YqjI_neg	paaB//
ZntR-Zn2_pos	truB//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	malP//
