# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	hypB//entA//
GalS_pos	waaZ//aspA//ogt//polA//
GatR_neg	patD//glcD//napG//
GcvA_neg	aspA//xylA//fucK//
GcvA_pos	udp//pagP//bioA//
GlcC-glycolate_neg	
GlcC-glycolate_pos	astC//paaB//glmU//
GlpR_neg	hypB//astC//ada//nrfC//guaB//pfkA//hypF//
GlrR-Pasp56_pos	
GntR_neg	citE//mngB//recD//hycC//cysI//bioC//argE//paaA//uxaB//
GutM_pos	ttdA//ldtC//wecE//
HU_neg	hycF//lldD//entC//tdcE//lysC//prpC//bioC//
HU_pos	
HcaR-HCA_pos	uidA//uxaC//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	putA//
HigB-HigA_neg	phnJ//
HipAB_neg	relA//citX//
HipB_neg	arsC//tynA//cysC//
HprR-Phosphorylated_neg	astA//citD//
HprR-Phosphorylated_pos	fabZ//prpC//
HyfR_pos	rbsK//
HypT-Met-oxidized_neg	waaY//sdhD//
HypT-Met-oxidized_pos	cysD//mhpC//rfe//chbF//citG//
IclR-pyruvate_neg	adiA//ldtB//ruvA//
IdnR-5-ketogluconate_neg	speB//paaF//
IdnR-5-ketogluconate_pos	paaB//deoC//yfdE//
IlvY-2-acetolactate_pos	garK//
IlvY_neg	
IscR-2Fe-2S_neg	nrdB//lacZ//
IscR_neg	tyrB//malP//nanK//alaC//
IscR_pos	cysI//cynS//
KdgR_neg	yedX//prpE//
KdpE-Phosphorylated_pos	entB//
LacI_neg	iscS//gloA//araA//
LeuO_neg	
LeuO_pos	torC//pepD//rutA//trpD//cysE//dgcC//
LexA_neg	tam//garK//aroF//hyaB//nadA//hycB//puuD//slt//sdhA//lsrF//rutE//entF//bioF//cysH//betA//accA//mhpA//phnH//gnd//idnK//phnI//recB//puuD//
LldR-lactate_neg	glgC//mhpB//
LldR-lactate_pos	tyrB//mazG//
LldR_neg	paaA//speB//
LldR_pos	galK//mltF//
LrhA_neg	
LrhA_pos	
LsrR_neg	phnN//entC//tnaA//hcaC//sbcD//
LysR_neg	
LysR_pos	waaZ//
MalI_neg	metB//fabH//
MalT-maltotriose-ATP_pos	ycjG//hemL//pykF//nrdE//fbaA//torA//
MarA_neg	entF//
MarA_pos	ulaD//entC//udp//purK//nrfD//purE//ppc//phnM//cdd//purD//gabD//glgA//treC//umuD//glpD//uxaC//atoD//pgk//mhpE//pgm//yeaE//fumC//wrbA//
MarR_neg	
MatA_neg	entF//
MatA_pos	
MazE-MazF_neg	wzc//
MazE_neg	moaD//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	cysI//speA//
MelR-melibiose_pos	folA//deoA//
MelR_neg	moaE//rffG//
MelR_pos	yqjH//torA//
MetJ-adenosylmethionine_neg	mdh//ynfF//hycE//sdhA//murG//moaE//prpE//chbG//garR//moaD//
MetR-L-homocysteine_neg	allB//
MetR-L-homocysteine_pos	glsA//cyoE//
MetR_pos	sucB//hycC//
MhpR-3HPP_pos	nirB//allB//psd//bioA//fucK//ldtC//
Mlc_neg	fadA//ndh//caiA//pagP//
MlrA_pos	thrS//
MngR_neg	asnB//pflB//
MntR-Mn2_neg	paaG//
MntR-Mn2_pos	nirB//
ModE-MoO42-_neg	melA//glpQ//frdD//ulaF//cadA//hcp//talA//uxuB//
ModE-MoO42-_pos	galT//allA//gatD//glmS//chbG//malQ//cysN//glnA//atoB//
MprA_neg	speA//ycjG//ribA//
MqsA_neg	pfkA//napB//
MraZ_neg	glpD//pgaB//betA//hypB//moeA//entD//alaC//cysN//bioB//mpaA//
MurR_neg	chbG//caiC//poxB//
MurR_pos	
Nac_neg	allC//deoA//yqjH//
Nac_pos	yeaG//polA//metH//astE//treC//uvrA//dhaK//allC//
NadR_neg	fadE//ygeA//uxaB//ccp//
NagC_neg	pflB//aceB//gor//hyaA//ftnA//gadB//ugpQ//cysJ//ppc//carB//hcaF//sdhC//entB//purL//hcaD//feaB//sdhA//purA//
NagC_pos	hyaC//glcE//
NanR_neg	yqhD//napB//hcaE//hcp//fadE//phoA//
NanR_pos	
NarL-Phosphorylated_neg	folE//bioC//napB//sgbE//nrdD//dsdA//gcvT//rffC//nanK//fabG//deoA//metF//umuC//sucC//napG//fucA//purD//rbsD//fadH//patA//mpl//ampC//grxA//argB//yfdE//dkgA//yfdE//pheS//
NarL-Phosphorylated_pos	iscS//murI//moeB//entA//alaC//sgbE//bioC//phnG//metK//glcE//rsmH//ogt//metH//fruK//yeaG//
NarP-Phosphorylated_neg	ulaE//nagA//argG//rimK//phnI//
NarP-Phosphorylated_pos	metB//lsrF//moaA//fucK//sdhC//carB//ribA//appA//dhaM//tdcG//accC//cysC//glnA//frdC//
NemR_neg	fucI//udp//
NhaR-Na_pos	paaH//lsrG//argI//gatZ//lpd//
NikR-Ni2_neg	sucB//
NimR_neg	serA//
NorR_neg	
NorR_pos	uxaC//
NrdR-Zn2_neg	fdhF//mdh//glpX//dinB//
NsrR_neg	entA//nrdE//rutD//folA//hyaB//phnH//ascB//ppc//murD//sgbH//gatY//aceE//polB//metH//paaI//rffC//fucA//treC//cysI//cysM//hycG//pgm//eno//lsrG//glxK//yeaG//astE//sgbE//fadE//yedX//ugpQ//galM//glsA//bioF//tehB//nrfD//acnB//narH//glgX//putA//
NtrC-Phosphorylated_neg	gltB//bioC//
NtrC-Phosphorylated_pos	fadI//glgC//glyA//rhaD//nanE//malS//pfkA//rffG//garL//argG//purF//ribA//chbG//glk//gnd//wecE//asnA//argD//yfdE//relA//trpA//
OmpR-Phosphorylated_neg	ubiX//folA//uxaA//mngB//frdD//
OmpR-Phosphorylated_pos	ugpQ//lacA//murD//murQ//
OxyR_neg	phoA//phnL//nrfC//umuD//sdhC//
OxyR_pos	hyi//hcaF//speG//atoD//lpxA//purD//argC//wecB//nanK//purH//mtlD//ruvA//
PaaX_neg	entE//paaJ//rfe//garR//metA//glcF//torA//kbaY//pdeH//
PdeL_pos	mhpB//
PdhR_neg	sdhB//murE//purA//dmsB//allE//leuB//fbaB//gltD//citC//ldtD//rhaD//pck//frdD//iscS//mhpE//malQ//hycG//ndh//metL//glpC//ruvB//puuA//aceE//
PdhR_pos	umuD//betB//
PepA_neg	polA//fumC//
PgrR_neg	idnD//glpX//
PhoB-Phosphorylated_neg	prpC//gntK//argC//glcB//lhgO//
PhoB-Phosphorylated_pos	rutA//hycG//feaB//gabD//pgaB//rbsK//allC//deoC//adiA//dhaL//nagB//nrdE//sdhA//argD//tadA//pgaB//paaY//
PhoP-Phosphorylated_neg	alsE//mhpC//fadM//
PhoP-Phosphorylated_pos	rffC//cysJ//ribA//hyi//psd//frdC//yqhD//araA//allA//phnG//nagA//uvrB//ftsI//aceA//dgcZ//eno//purM//astE//ynfE//xylA//gltD//dhaK//pagP//mhpE//pagP//pdeL//ampC//gor//atoD//gloA//glpQ//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	hycC//fadJ//paaG//umuD//
PspF_neg	
PspF_pos	nirB//
PurR-hypoxanthine_neg	ynfG//citC//paaJ//aroL//metF//garR//trpB//trpD//ppiA//moaC//accC//hycC//uxuB//garL//metF//nrfD//glgP//ascB//pgaC//pagP//leuB//ldtB//malS//sodA//ldtD//malP//
PutA_neg	ttdB//astE//
PuuR_neg	lysA//sucD//paaJ//tdcB//astE//lacZ//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	pgaD//deoB//uxaA//nirD//moeB//
RcdA_neg	
RcdA_pos	ccp//
RclR_pos	
RcnR_neg	ampC//
RcsAB_neg	prpC//
RcsAB_pos	purB//treC//
RcsB-BglJ_pos	speA//aroG//
RcsB-Pasp56_neg	nrdA//
RcsB-Pasp56_pos	epd//argF//paaK//
RelB-RelE_neg	betB//
RelB_neg	mtlD//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	rhaA//allB//glpC//ldtB//
Rob_neg	
Rob_pos	thrS//nagB//idnD//gntK//ynfH//glpD//citC//cynT//glgB//lysA//sdhC//adiA//grxA//ascB//fadJ//rnpB//gadB//luxS//metA//
RstA-Phosphorylated_neg	wecC//udp//
RstA-Phosphorylated_pos	allC//
RtcR_pos	gltD//fumC//
RutR_neg	uidA//glpX//murG//pgaD//rhaD//cysD//ubiX//nrfC//fes//malY//
RutR_pos	nagA//
SdiA_neg	
SdiA_pos	
SgrR_neg	fucK//
SgrR_pos	cyoE//rnpB//
SlyA_neg	
SlyA_pos	gatZ//mpaA//cysN//paaY//hyaC//glpA//umuD//deoA//recD//
SoxR_neg	
SoxR_pos	murG//wzc//allD//prpD//fadJ//waaH//
SoxS_neg	
SoxS_pos	accD//uxaA//paaB//aceA//gcl//puuE//gdhA//entA//metC//pgk//argH//caiA//dgkA//idnK//carB//argE//ycjG//recB//astA//serA//hyaC//entC//appA//polB//phnJ//glpK//deoB//accC//
SrlR_neg	ssuD//lldD//hycG//
StpA_neg	murC//paaH//trpB//
SutR_neg	hycD//hyaC//
SutR_pos	
TdcA_pos	umuC//aspC//mnmG//hycE//fau//
TdcR_pos	guaA//psd//purK//talA//paaF//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	uxaB//uxaB//ttdA//paaZ//
TorR-TorI_neg	phnO//
TorR-TorI_pos	
TreR_neg	allE//glpQ//
TrpR-tryptophan_neg	lldD//bioF//mhpF//ahpC//ydcS//fabZ//phnM//garL//lacZ//
TyrR-phenylalanine_neg	ldtD//napH//
TyrR-phenylalanine_pos	pflB//
TyrR-tyrosine_neg	prpD//aspA//sufS//luxS//purH//entA//
TyrR-tyrosine_pos	glyA//hmp//
TyrR_neg	cysK//
TyrR_pos	aspC//
UhpA-Phosphorylated_pos	prpE//
UidR_neg	mhpB//argC//
UlaR_neg	sbcC//xylB//rutE//caiD//moeB//
UvrY-Phosphorylated_pos	gcvP//purH//
UxuR_neg	lacA//deoC//polB//trpB//pheS//
XapR-xanthosine_pos	pflB//paaH//
XylR-xylose_neg	
XylR-xylose_pos	dsdA//puuD//metF//
YdeO_neg	
YdeO_pos	aspA//purF//citF//
YefM-YoeB_neg	metH//
YefM_neg	leuB//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	wzc//nanM//astC//nrdD//bioF//nadA//
YjjQ_neg	ribA//wecC//
YpdB-Phosphorylated_pos	
YqhC_pos	glpB//pflB//
YqjI_neg	aroG//
ZntR-Zn2_pos	araB//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	argA//
